"GrimoireArrmure_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.032
191.00,3.717
192.00,3.698
193.00,3.682
194.00,3.842
195.00,3.917
196.00,3.995
197.00,3.960
198.00,3.917
199.00,3.845
200.00,3.840
201.00,3.798
202.00,3.874
203.00,3.967
204.00,3.923
205.00,3.832
206.00,3.759
207.00,3.996
208.00,3.860
209.00,3.849
210.00,3.886
211.00,3.584
212.00,3.631
213.00,3.401
214.00,3.349
215.00,3.181
216.00,3.115
217.00,2.955
218.00,2.835
219.00,2.707
220.00,2.571
221.00,2.470
222.00,2.361
223.00,2.254
224.00,2.154
225.00,2.051
226.00,1.951
227.00,1.850
228.00,1.753
229.00,1.665
230.00,1.582
231.00,1.504
232.00,1.434
233.00,1.370
234.00,1.315
235.00,1.268
236.00,1.226
237.00,1.191
238.00,1.162
239.00,1.137
240.00,1.118
241.00,1.103
242.00,1.093
243.00,1.087
244.00,1.085
245.00,1.084
246.00,1.086
247.00,1.089
248.00,1.093
249.00,1.098
250.00,1.103
251.00,1.110
252.00,1.116
253.00,1.123
254.00,1.130
255.00,1.137
256.00,1.144
257.00,1.149
258.00,1.153
259.00,1.155
260.00,1.157
261.00,1.159
262.00,1.161
263.00,1.164
264.00,1.166
265.00,1.168
266.00,1.169
267.00,1.169
268.00,1.167
269.00,1.165
270.00,1.160
271.00,1.155
272.00,1.148
273.00,1.140
274.00,1.131
275.00,1.120
276.00,1.108
277.00,1.093
278.00,1.077
279.00,1.060
280.00,1.041
281.00,1.023
282.00,1.003
283.00,0.982
284.00,0.960
285.00,0.935
286.00,0.912
287.00,0.889
288.00,0.864
289.00,0.840
290.00,0.814
291.00,0.789
292.00,0.766
293.00,0.746
294.00,0.728
295.00,0.710
296.00,0.694
297.00,0.679
298.00,0.665
299.00,0.650
300.00,0.638
301.00,0.625
302.00,0.614
303.00,0.603
304.00,0.593
305.00,0.584
306.00,0.574
307.00,0.565
308.00,0.556
309.00,0.548
310.00,0.540
311.00,0.532
312.00,0.525
313.00,0.518
314.00,0.511
315.00,0.504
316.00,0.498
317.00,0.491
318.00,0.484
319.00,0.477
320.00,0.470
321.00,0.463
322.00,0.456
323.00,0.449
324.00,0.442
325.00,0.434
326.00,0.427
327.00,0.420
328.00,0.412
329.00,0.404
330.00,0.397
331.00,0.389
332.00,0.382
333.00,0.375
334.00,0.367
335.00,0.359
336.00,0.353
337.00,0.346
338.00,0.338
339.00,0.331
340.00,0.325
341.00,0.317
342.00,0.310
343.00,0.303
344.00,0.297
345.00,0.291
346.00,0.285
347.00,0.280
348.00,0.274
349.00,0.268
350.00,0.263
351.00,0.257
352.00,0.252
353.00,0.247
354.00,0.242
355.00,0.238
356.00,0.233
357.00,0.229
358.00,0.224
359.00,0.220
360.00,0.216
361.00,0.211
362.00,0.208
363.00,0.204
364.00,0.201
365.00,0.198
366.00,0.194
367.00,0.191
368.00,0.188
369.00,0.185
370.00,0.182
371.00,0.179
372.00,0.176
373.00,0.174
374.00,0.171
375.00,0.168
376.00,0.166
377.00,0.164
378.00,0.161
379.00,0.159
380.00,0.157
381.00,0.154
382.00,0.152
383.00,0.150
384.00,0.148
385.00,0.147
386.00,0.145
387.00,0.143
388.00,0.141
389.00,0.140
390.00,0.138
391.00,0.137
392.00,0.135
393.00,0.133
394.00,0.132
395.00,0.131
396.00,0.129
397.00,0.128
398.00,0.127
399.00,0.126
