"GrimoireVitale_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.881
191.00,3.026
192.00,3.221
193.00,3.383
194.00,3.353
195.00,3.397
196.00,3.287
197.00,3.560
198.00,3.285
199.00,3.475
200.00,3.386
201.00,3.268
202.00,3.238
203.00,3.353
204.00,3.180
205.00,3.057
206.00,2.935
207.00,2.803
208.00,2.699
209.00,2.571
210.00,2.446
211.00,2.347
212.00,2.239
213.00,2.131
214.00,2.029
215.00,1.931
216.00,1.837
217.00,1.750
218.00,1.665
219.00,1.580
220.00,1.499
221.00,1.424
222.00,1.354
223.00,1.285
224.00,1.217
225.00,1.153
226.00,1.090
227.00,1.028
228.00,0.968
229.00,0.914
230.00,0.864
231.00,0.820
232.00,0.780
233.00,0.745
234.00,0.716
235.00,0.691
236.00,0.670
237.00,0.653
238.00,0.640
239.00,0.630
240.00,0.622
241.00,0.617
242.00,0.614
243.00,0.612
244.00,0.611
245.00,0.611
246.00,0.611
247.00,0.612
248.00,0.614
249.00,0.615
250.00,0.617
251.00,0.619
252.00,0.621
253.00,0.623
254.00,0.624
255.00,0.625
256.00,0.625
257.00,0.625
258.00,0.625
259.00,0.624
260.00,0.624
261.00,0.624
262.00,0.623
263.00,0.623
264.00,0.622
265.00,0.620
266.00,0.618
267.00,0.615
268.00,0.611
269.00,0.607
270.00,0.601
271.00,0.594
272.00,0.586
273.00,0.578
274.00,0.568
275.00,0.558
276.00,0.548
277.00,0.537
278.00,0.525
279.00,0.512
280.00,0.500
281.00,0.487
282.00,0.475
283.00,0.462
284.00,0.449
285.00,0.435
286.00,0.421
287.00,0.409
288.00,0.396
289.00,0.383
290.00,0.369
291.00,0.355
292.00,0.343
293.00,0.332
294.00,0.323
295.00,0.314
296.00,0.306
297.00,0.299
298.00,0.293
299.00,0.287
300.00,0.281
301.00,0.276
302.00,0.272
303.00,0.267
304.00,0.264
305.00,0.260
306.00,0.257
307.00,0.253
308.00,0.251
309.00,0.248
310.00,0.245
311.00,0.243
312.00,0.241
313.00,0.239
314.00,0.237
315.00,0.235
316.00,0.233
317.00,0.231
318.00,0.228
319.00,0.226
320.00,0.224
321.00,0.221
322.00,0.219
323.00,0.216
324.00,0.213
325.00,0.210
326.00,0.207
327.00,0.204
328.00,0.200
329.00,0.197
330.00,0.194
331.00,0.190
332.00,0.186
333.00,0.182
334.00,0.178
335.00,0.174
336.00,0.171
337.00,0.167
338.00,0.163
339.00,0.159
340.00,0.156
341.00,0.151
342.00,0.147
343.00,0.143
344.00,0.139
345.00,0.136
346.00,0.133
347.00,0.129
348.00,0.126
349.00,0.123
350.00,0.120
351.00,0.117
352.00,0.114
353.00,0.111
354.00,0.108
355.00,0.106
356.00,0.103
357.00,0.101
358.00,0.099
359.00,0.096
360.00,0.094
361.00,0.092
362.00,0.090
363.00,0.088
364.00,0.087
365.00,0.085
366.00,0.084
367.00,0.082
368.00,0.081
369.00,0.079
370.00,0.078
371.00,0.077
372.00,0.075
373.00,0.074
374.00,0.073
375.00,0.072
376.00,0.071
377.00,0.070
378.00,0.069
379.00,0.068
380.00,0.067
381.00,0.067
382.00,0.066
383.00,0.065
384.00,0.064
385.00,0.064
386.00,0.063
387.00,0.062
388.00,0.062
389.00,0.061
390.00,0.061
391.00,0.060
392.00,0.060
393.00,0.059
394.00,0.059
395.00,0.058
396.00,0.058
397.00,0.057
398.00,0.057
399.00,0.057
400.00,0.056
401.00,0.056
402.00,0.056
403.00,0.055
404.00,0.055
405.00,0.055
406.00,0.054
407.00,0.054
408.00,0.054
409.00,0.054
410.00,0.053
411.00,0.053
412.00,0.053
413.00,0.053
414.00,0.052
415.00,0.052
416.00,0.052
417.00,0.052
418.00,0.051
419.00,0.051
420.00,0.051
421.00,0.051
422.00,0.051
423.00,0.051
424.00,0.050
425.00,0.050
426.00,0.050
427.00,0.050
428.00,0.050
429.00,0.049
430.00,0.049
431.00,0.049
432.00,0.049
433.00,0.049
434.00,0.049
435.00,0.049
436.00,0.048
437.00,0.048
438.00,0.048
439.00,0.048
440.00,0.048
441.00,0.048
442.00,0.048
443.00,0.047
444.00,0.047
445.00,0.047
446.00,0.047
447.00,0.047
448.00,0.047
449.00,0.047
450.00,0.047
451.00,0.046
452.00,0.046
453.00,0.046
454.00,0.046
455.00,0.046
456.00,0.046
457.00,0.046
458.00,0.046
459.00,0.046
460.00,0.046
461.00,0.045
462.00,0.045
463.00,0.045
464.00,0.045
465.00,0.045
466.00,0.045
467.00,0.045
468.00,0.045
469.00,0.045
470.00,0.045
471.00,0.045
472.00,0.044
473.00,0.044
474.00,0.044
475.00,0.044
476.00,0.044
477.00,0.044
478.00,0.044
479.00,0.044
480.00,0.044
481.00,0.044
482.00,0.044
483.00,0.044
484.00,0.043
485.00,0.043
486.00,0.043
487.00,0.043
488.00,0.043
489.00,0.043
490.00,0.043
491.00,0.043
492.00,0.043
493.00,0.043
494.00,0.043
495.00,0.043
496.00,0.043
497.00,0.043
498.00,0.042
499.00,0.042
500.00,0.042
501.00,0.042
502.00,0.042
503.00,0.042
504.00,0.042
505.00,0.042
506.00,0.042
507.00,0.042
508.00,0.042
509.00,0.042
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
514.00,0.042
515.00,0.041
516.00,0.041
517.00,0.041
518.00,0.041
519.00,0.041
520.00,0.041
521.00,0.041
522.00,0.041
523.00,0.041
524.00,0.041
525.00,0.041
526.00,0.041
527.00,0.041
528.00,0.041
529.00,0.041
530.00,0.041
531.00,0.041
532.00,0.040
533.00,0.040
534.00,0.040
535.00,0.040
536.00,0.041
537.00,0.040
538.00,0.040
539.00,0.040
540.00,0.040
541.00,0.040
542.00,0.040
543.00,0.040
544.00,0.040
545.00,0.040
546.00,0.040
547.00,0.040
548.00,0.040
549.00,0.040
550.00,0.040
551.00,0.040
552.00,0.040
553.00,0.040
554.00,0.040
555.00,0.040
556.00,0.040
557.00,0.039
558.00,0.039
559.00,0.039
560.00,0.039
561.00,0.039
562.00,0.039
563.00,0.039
564.00,0.039
565.00,0.039
566.00,0.039
567.00,0.039
568.00,0.039
569.00,0.039
570.00,0.039
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.039
577.00,0.039
578.00,0.039
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.039
583.00,0.039
584.00,0.039
585.00,0.039
586.00,0.039
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.039
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.038
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.038
629.00,0.038
630.00,0.038
631.00,0.038
632.00,0.038
633.00,0.038
634.00,0.038
635.00,0.038
636.00,0.038
637.00,0.038
638.00,0.038
639.00,0.038
640.00,0.038
641.00,0.038
642.00,0.038
643.00,0.038
644.00,0.038
645.00,0.038
646.00,0.038
647.00,0.038
648.00,0.038
649.00,0.038
650.00,0.038
651.00,0.038
652.00,0.038
653.00,0.038
654.00,0.038
655.00,0.038
656.00,0.038
657.00,0.038
658.00,0.038
659.00,0.038
660.00,0.038
661.00,0.038
662.00,0.038
663.00,0.038
664.00,0.038
665.00,0.038
666.00,0.038
667.00,0.038
668.00,0.038
669.00,0.038
670.00,0.038
671.00,0.038
672.00,0.038
673.00,0.038
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.038
697.00,0.038
698.00,0.038
699.00,0.038
700.00,0.038
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.039
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.040
718.00,0.040
719.00,0.041
720.00,0.041
721.00,0.041
722.00,0.041
723.00,0.041
724.00,0.042
725.00,0.042
726.00,0.042
727.00,0.043
728.00,0.043
729.00,0.043
730.00,0.044
731.00,0.044
732.00,0.045
733.00,0.045
734.00,0.046
735.00,0.046
736.00,0.046
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.047
743.00,0.047
744.00,0.047
745.00,0.047
746.00,0.047
747.00,0.047
748.00,0.047
749.00,0.047
750.00,0.047
751.00,0.047
752.00,0.047
753.00,0.047
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.047
760.00,0.047
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.046
775.00,0.046
776.00,0.046
777.00,0.046
778.00,0.046
779.00,0.046
780.00,0.046
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.045
787.00,0.045
788.00,0.045
789.00,0.045
790.00,0.045
791.00,0.045
792.00,0.045
793.00,0.045
794.00,0.045
795.00,0.045
796.00,0.044
797.00,0.044
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.044
803.00,0.044
804.00,0.044
805.00,0.044
806.00,0.044
807.00,0.044
808.00,0.044
809.00,0.044
810.00,0.044
811.00,0.044
812.00,0.044
813.00,0.044
814.00,0.044
815.00,0.044
816.00,0.044
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.044
821.00,0.045
822.00,0.045
823.00,0.045
824.00,0.045
825.00,0.046
826.00,0.046
827.00,0.047
828.00,0.047
829.00,0.048
830.00,0.048
831.00,0.049
832.00,0.049
833.00,0.050
834.00,0.050
835.00,0.050
836.00,0.050
837.00,0.051
838.00,0.051
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.051
845.00,0.052
846.00,0.052
847.00,0.052
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.053
853.00,0.053
854.00,0.053
855.00,0.053
856.00,0.053
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.054
861.00,0.054
862.00,0.054
863.00,0.054
864.00,0.054
865.00,0.054
866.00,0.054
867.00,0.054
868.00,0.055
869.00,0.055
870.00,0.055
871.00,0.055
872.00,0.055
873.00,0.055
874.00,0.056
875.00,0.056
876.00,0.056
877.00,0.056
878.00,0.056
879.00,0.057
880.00,0.057
881.00,0.057
882.00,0.057
883.00,0.058
884.00,0.058
885.00,0.058
886.00,0.058
887.00,0.059
888.00,0.059
889.00,0.059
890.00,0.059
891.00,0.060
892.00,0.060
893.00,0.060
894.00,0.060
895.00,0.061
896.00,0.061
897.00,0.061
898.00,0.061
899.00,0.062
900.00,0.062
