"HelmBernard_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.468
191.00,3.133
192.00,2.966
193.00,3.125
194.00,3.038
195.00,3.277
196.00,3.378
197.00,3.258
198.00,3.292
199.00,3.331
200.00,3.376
201.00,3.292
202.00,3.455
203.00,3.364
204.00,3.384
205.00,3.273
206.00,3.322
207.00,3.324
208.00,3.262
209.00,3.110
210.00,3.000
211.00,2.906
212.00,2.813
213.00,2.711
214.00,2.610
215.00,2.496
216.00,2.396
217.00,2.294
218.00,2.193
219.00,2.086
220.00,1.987
221.00,1.896
222.00,1.810
223.00,1.725
224.00,1.639
225.00,1.556
226.00,1.475
227.00,1.392
228.00,1.312
229.00,1.239
230.00,1.171
231.00,1.110
232.00,1.055
233.00,1.005
234.00,0.963
235.00,0.926
236.00,0.895
237.00,0.869
238.00,0.847
239.00,0.830
240.00,0.817
241.00,0.806
242.00,0.800
243.00,0.796
244.00,0.794
245.00,0.794
246.00,0.795
247.00,0.798
248.00,0.802
249.00,0.806
250.00,0.811
251.00,0.817
252.00,0.823
253.00,0.829
254.00,0.835
255.00,0.841
256.00,0.847
257.00,0.851
258.00,0.853
259.00,0.854
260.00,0.855
261.00,0.855
262.00,0.856
263.00,0.857
264.00,0.857
265.00,0.857
266.00,0.855
267.00,0.853
268.00,0.849
269.00,0.845
270.00,0.838
271.00,0.831
272.00,0.823
273.00,0.814
274.00,0.804
275.00,0.792
276.00,0.781
277.00,0.767
278.00,0.752
279.00,0.736
280.00,0.721
281.00,0.704
282.00,0.687
283.00,0.668
284.00,0.648
285.00,0.628
286.00,0.609
287.00,0.590
288.00,0.570
289.00,0.550
290.00,0.528
291.00,0.508
292.00,0.491
293.00,0.475
294.00,0.462
295.00,0.449
296.00,0.439
297.00,0.430
298.00,0.421
299.00,0.413
300.00,0.406
301.00,0.399
302.00,0.393
303.00,0.388
304.00,0.383
305.00,0.378
306.00,0.373
307.00,0.368
308.00,0.364
309.00,0.360
310.00,0.356
311.00,0.352
312.00,0.348
313.00,0.344
314.00,0.340
315.00,0.337
316.00,0.333
317.00,0.329
318.00,0.325
319.00,0.321
320.00,0.317
321.00,0.313
322.00,0.308
323.00,0.304
324.00,0.299
325.00,0.294
326.00,0.289
327.00,0.284
328.00,0.279
329.00,0.273
330.00,0.268
331.00,0.263
332.00,0.257
333.00,0.252
334.00,0.246
335.00,0.241
336.00,0.236
337.00,0.231
338.00,0.225
339.00,0.220
340.00,0.215
341.00,0.208
342.00,0.203
343.00,0.198
344.00,0.193
345.00,0.189
346.00,0.184
347.00,0.181
348.00,0.176
349.00,0.172
350.00,0.168
351.00,0.164
352.00,0.160
353.00,0.157
354.00,0.154
355.00,0.151
356.00,0.148
357.00,0.144
358.00,0.142
359.00,0.139
360.00,0.136
361.00,0.133
362.00,0.131
363.00,0.129
364.00,0.127
365.00,0.124
366.00,0.123
367.00,0.120
368.00,0.118
369.00,0.116
370.00,0.115
371.00,0.113
372.00,0.111
373.00,0.110
374.00,0.108
375.00,0.106
376.00,0.105
377.00,0.103
378.00,0.102
379.00,0.100
380.00,0.099
381.00,0.098
382.00,0.096
383.00,0.095
384.00,0.094
385.00,0.092
386.00,0.091
387.00,0.090
388.00,0.089
389.00,0.088
390.00,0.087
391.00,0.086
392.00,0.085
393.00,0.084
394.00,0.083
395.00,0.083
396.00,0.082
397.00,0.081
398.00,0.080
399.00,0.080
400.00,0.079
401.00,0.078
402.00,0.077
403.00,0.077
404.00,0.076
405.00,0.076
406.00,0.075
407.00,0.074
408.00,0.074
409.00,0.073
410.00,0.073
411.00,0.072
412.00,0.072
413.00,0.071
414.00,0.071
415.00,0.071
416.00,0.070
417.00,0.070
418.00,0.070
419.00,0.069
420.00,0.069
421.00,0.068
422.00,0.068
423.00,0.068
424.00,0.068
425.00,0.067
426.00,0.067
427.00,0.067
428.00,0.066
429.00,0.066
430.00,0.066
431.00,0.066
432.00,0.065
433.00,0.065
434.00,0.065
435.00,0.065
436.00,0.064
437.00,0.064
438.00,0.064
439.00,0.064
440.00,0.064
441.00,0.063
442.00,0.063
443.00,0.063
444.00,0.063
445.00,0.063
446.00,0.062
447.00,0.062
448.00,0.062
449.00,0.062
450.00,0.062
451.00,0.061
452.00,0.061
453.00,0.061
454.00,0.061
455.00,0.061
456.00,0.061
457.00,0.060
458.00,0.060
459.00,0.060
460.00,0.060
461.00,0.060
462.00,0.060
463.00,0.060
464.00,0.059
465.00,0.059
466.00,0.059
467.00,0.059
468.00,0.059
469.00,0.059
470.00,0.058
471.00,0.058
472.00,0.058
473.00,0.058
474.00,0.058
475.00,0.058
476.00,0.058
477.00,0.057
478.00,0.057
479.00,0.057
480.00,0.057
481.00,0.057
482.00,0.057
483.00,0.057
484.00,0.057
485.00,0.056
486.00,0.056
487.00,0.056
488.00,0.056
489.00,0.056
490.00,0.056
491.00,0.056
492.00,0.056
493.00,0.056
494.00,0.055
495.00,0.055
496.00,0.055
497.00,0.055
498.00,0.055
499.00,0.055
500.00,0.055
501.00,0.055
502.00,0.055
503.00,0.055
504.00,0.054
505.00,0.054
506.00,0.054
507.00,0.054
508.00,0.054
509.00,0.054
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.054
515.00,0.054
516.00,0.053
517.00,0.053
518.00,0.053
519.00,0.053
520.00,0.053
521.00,0.053
522.00,0.053
523.00,0.053
524.00,0.053
525.00,0.053
526.00,0.053
527.00,0.053
528.00,0.053
529.00,0.053
530.00,0.052
531.00,0.052
532.00,0.052
533.00,0.052
534.00,0.052
535.00,0.052
536.00,0.052
537.00,0.052
538.00,0.052
539.00,0.052
540.00,0.052
541.00,0.052
542.00,0.052
543.00,0.052
544.00,0.051
545.00,0.051
546.00,0.051
547.00,0.051
548.00,0.051
549.00,0.051
550.00,0.051
551.00,0.051
552.00,0.051
553.00,0.051
554.00,0.051
555.00,0.051
556.00,0.051
557.00,0.051
558.00,0.051
559.00,0.051
560.00,0.051
561.00,0.051
562.00,0.051
563.00,0.051
564.00,0.051
565.00,0.051
566.00,0.051
567.00,0.051
568.00,0.050
569.00,0.050
570.00,0.050
571.00,0.050
572.00,0.050
573.00,0.050
574.00,0.050
575.00,0.050
576.00,0.050
577.00,0.050
578.00,0.050
579.00,0.050
580.00,0.050
581.00,0.050
582.00,0.050
583.00,0.050
584.00,0.050
585.00,0.050
586.00,0.050
587.00,0.050
588.00,0.050
589.00,0.050
590.00,0.050
591.00,0.050
592.00,0.050
593.00,0.050
594.00,0.050
595.00,0.050
596.00,0.050
597.00,0.050
598.00,0.050
599.00,0.050
600.00,0.050
601.00,0.050
602.00,0.050
603.00,0.050
604.00,0.050
605.00,0.050
606.00,0.050
607.00,0.050
608.00,0.050
609.00,0.050
610.00,0.050
611.00,0.050
612.00,0.050
613.00,0.050
614.00,0.050
615.00,0.050
616.00,0.050
617.00,0.050
618.00,0.050
619.00,0.050
620.00,0.050
621.00,0.050
622.00,0.050
623.00,0.050
624.00,0.050
625.00,0.050
626.00,0.050
627.00,0.050
628.00,0.050
629.00,0.050
630.00,0.050
631.00,0.050
632.00,0.050
633.00,0.050
634.00,0.050
635.00,0.050
636.00,0.050
637.00,0.050
638.00,0.049
639.00,0.049
640.00,0.049
641.00,0.049
642.00,0.049
643.00,0.049
644.00,0.049
645.00,0.049
646.00,0.049
647.00,0.049
648.00,0.049
649.00,0.049
650.00,0.050
651.00,0.049
652.00,0.049
653.00,0.049
654.00,0.049
655.00,0.049
656.00,0.050
657.00,0.050
658.00,0.050
659.00,0.050
660.00,0.049
661.00,0.050
662.00,0.050
663.00,0.050
664.00,0.050
665.00,0.050
666.00,0.050
667.00,0.050
668.00,0.049
669.00,0.049
670.00,0.049
671.00,0.049
672.00,0.049
673.00,0.049
674.00,0.049
675.00,0.049
676.00,0.049
677.00,0.049
678.00,0.049
679.00,0.049
680.00,0.049
681.00,0.049
682.00,0.049
683.00,0.049
684.00,0.049
685.00,0.049
686.00,0.049
687.00,0.049
688.00,0.050
689.00,0.050
690.00,0.050
691.00,0.050
692.00,0.050
693.00,0.050
694.00,0.050
695.00,0.050
696.00,0.050
697.00,0.050
698.00,0.050
699.00,0.050
700.00,0.050
701.00,0.050
702.00,0.050
703.00,0.050
704.00,0.050
705.00,0.050
706.00,0.050
707.00,0.050
708.00,0.050
709.00,0.050
710.00,0.051
711.00,0.051
712.00,0.051
713.00,0.051
714.00,0.051
715.00,0.051
716.00,0.051
717.00,0.052
718.00,0.052
719.00,0.052
720.00,0.052
721.00,0.052
722.00,0.053
723.00,0.053
724.00,0.053
725.00,0.053
726.00,0.054
727.00,0.054
728.00,0.054
729.00,0.055
730.00,0.055
731.00,0.056
732.00,0.056
733.00,0.057
734.00,0.057
735.00,0.057
736.00,0.058
737.00,0.058
738.00,0.058
739.00,0.058
740.00,0.059
741.00,0.059
742.00,0.059
743.00,0.059
744.00,0.059
745.00,0.059
746.00,0.059
747.00,0.059
748.00,0.059
749.00,0.059
750.00,0.059
751.00,0.059
752.00,0.059
753.00,0.058
754.00,0.059
755.00,0.059
756.00,0.059
757.00,0.059
758.00,0.059
759.00,0.059
760.00,0.059
761.00,0.059
762.00,0.058
763.00,0.058
764.00,0.058
765.00,0.058
766.00,0.058
767.00,0.058
768.00,0.058
769.00,0.058
770.00,0.058
771.00,0.058
772.00,0.058
773.00,0.058
774.00,0.058
775.00,0.058
776.00,0.058
777.00,0.058
778.00,0.057
779.00,0.057
