"HelmBloomfield_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.419
191.00,3.551
192.00,3.674
193.00,3.870
194.00,3.869
195.00,3.640
196.00,3.621
197.00,3.620
198.00,3.676
199.00,3.951
200.00,3.785
201.00,3.805
202.00,3.734
203.00,3.834
204.00,3.935
205.00,3.777
206.00,3.607
207.00,3.501
208.00,3.476
209.00,3.356
210.00,3.220
211.00,3.089
212.00,2.981
213.00,2.864
214.00,2.753
215.00,2.608
216.00,2.497
217.00,2.379
218.00,2.267
219.00,2.152
220.00,2.038
221.00,1.935
222.00,1.840
223.00,1.743
224.00,1.652
225.00,1.566
226.00,1.478
227.00,1.392
228.00,1.309
229.00,1.236
230.00,1.168
231.00,1.107
232.00,1.053
233.00,1.005
234.00,0.964
235.00,0.929
236.00,0.899
237.00,0.874
238.00,0.855
239.00,0.839
240.00,0.828
241.00,0.820
242.00,0.815
243.00,0.813
244.00,0.812
245.00,0.813
246.00,0.814
247.00,0.817
248.00,0.821
249.00,0.825
250.00,0.828
251.00,0.833
252.00,0.837
253.00,0.842
254.00,0.846
255.00,0.850
256.00,0.852
257.00,0.854
258.00,0.855
259.00,0.854
260.00,0.852
261.00,0.851
262.00,0.849
263.00,0.847
264.00,0.845
265.00,0.841
266.00,0.837
267.00,0.832
268.00,0.825
269.00,0.818
270.00,0.808
271.00,0.798
272.00,0.788
273.00,0.776
274.00,0.764
275.00,0.752
276.00,0.740
277.00,0.727
278.00,0.712
279.00,0.697
280.00,0.681
281.00,0.666
282.00,0.650
283.00,0.633
284.00,0.615
285.00,0.597
286.00,0.580
287.00,0.563
288.00,0.546
289.00,0.528
290.00,0.509
291.00,0.491
292.00,0.474
293.00,0.459
294.00,0.447
295.00,0.435
296.00,0.425
297.00,0.416
298.00,0.407
299.00,0.399
300.00,0.392
301.00,0.385
302.00,0.380
303.00,0.374
304.00,0.369
305.00,0.365
306.00,0.361
307.00,0.356
308.00,0.353
309.00,0.349
310.00,0.346
311.00,0.343
312.00,0.340
313.00,0.337
314.00,0.334
315.00,0.331
316.00,0.328
317.00,0.325
318.00,0.321
319.00,0.318
320.00,0.315
321.00,0.312
322.00,0.308
323.00,0.304
324.00,0.301
325.00,0.296
326.00,0.292
327.00,0.288
328.00,0.284
329.00,0.279
330.00,0.274
331.00,0.269
332.00,0.264
333.00,0.259
334.00,0.254
335.00,0.249
336.00,0.244
337.00,0.239
338.00,0.234
339.00,0.229
340.00,0.224
341.00,0.218
342.00,0.212
343.00,0.207
344.00,0.203
345.00,0.198
346.00,0.193
347.00,0.189
348.00,0.184
349.00,0.180
350.00,0.176
351.00,0.172
352.00,0.168
353.00,0.164
354.00,0.160
355.00,0.156
356.00,0.153
357.00,0.149
358.00,0.146
359.00,0.142
