"HelmCasgrainator_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.819
191.00,2.811
192.00,3.038
193.00,3.130
194.00,3.064
195.00,3.125
196.00,3.262
197.00,3.304
198.00,3.333
199.00,3.497
200.00,3.458
201.00,3.257
202.00,3.290
203.00,3.500
204.00,3.435
205.00,3.596
206.00,3.504
207.00,3.710
208.00,3.606
209.00,3.526
210.00,3.568
211.00,3.550
212.00,3.457
213.00,3.463
214.00,3.549
215.00,3.325
216.00,3.266
217.00,3.228
218.00,3.072
219.00,2.979
220.00,2.866
221.00,2.750
222.00,2.631
223.00,2.532
224.00,2.409
225.00,2.291
226.00,2.176
227.00,2.059
228.00,1.947
229.00,1.848
230.00,1.754
231.00,1.667
232.00,1.588
233.00,1.518
234.00,1.458
235.00,1.407
236.00,1.363
237.00,1.327
238.00,1.298
239.00,1.275
240.00,1.257
241.00,1.243
242.00,1.235
243.00,1.230
244.00,1.228
245.00,1.229
246.00,1.231
247.00,1.235
248.00,1.240
249.00,1.246
250.00,1.252
251.00,1.259
252.00,1.266
253.00,1.275
254.00,1.282
255.00,1.290
256.00,1.297
257.00,1.302
258.00,1.306
259.00,1.307
260.00,1.308
261.00,1.308
262.00,1.309
263.00,1.310
264.00,1.310
265.00,1.309
266.00,1.306
267.00,1.303
268.00,1.298
269.00,1.291
270.00,1.281
271.00,1.272
272.00,1.261
273.00,1.248
274.00,1.232
275.00,1.217
276.00,1.199
277.00,1.180
278.00,1.157
279.00,1.134
280.00,1.111
281.00,1.087
282.00,1.062
283.00,1.036
284.00,1.008
285.00,0.980
286.00,0.953
287.00,0.926
288.00,0.898
289.00,0.870
290.00,0.840
291.00,0.810
292.00,0.785
293.00,0.761
294.00,0.742
295.00,0.723
296.00,0.708
297.00,0.694
298.00,0.680
299.00,0.668
300.00,0.656
301.00,0.645
302.00,0.635
303.00,0.626
304.00,0.617
305.00,0.608
306.00,0.600
307.00,0.592
308.00,0.584
309.00,0.576
310.00,0.569
311.00,0.562
312.00,0.555
313.00,0.548
314.00,0.541
315.00,0.534
316.00,0.528
317.00,0.521
318.00,0.515
319.00,0.508
320.00,0.501
321.00,0.494
322.00,0.486
323.00,0.479
324.00,0.472
325.00,0.464
326.00,0.456
327.00,0.448
328.00,0.440
329.00,0.431
330.00,0.422
331.00,0.414
332.00,0.406
333.00,0.398
334.00,0.390
335.00,0.381
336.00,0.374
337.00,0.365
338.00,0.357
339.00,0.349
340.00,0.341
341.00,0.332
342.00,0.323
343.00,0.315
344.00,0.308
345.00,0.301
346.00,0.294
347.00,0.288
348.00,0.281
349.00,0.274
350.00,0.268
351.00,0.262
352.00,0.255
353.00,0.250
354.00,0.245
355.00,0.239
356.00,0.234
357.00,0.228
358.00,0.224
359.00,0.219
360.00,0.214
361.00,0.210
362.00,0.206
363.00,0.202
364.00,0.198
365.00,0.194
366.00,0.191
367.00,0.187
368.00,0.184
369.00,0.181
370.00,0.177
371.00,0.175
372.00,0.172
373.00,0.169
374.00,0.166
375.00,0.163
376.00,0.160
377.00,0.158
378.00,0.155
379.00,0.153
380.00,0.150
381.00,0.148
382.00,0.146
383.00,0.144
384.00,0.141
385.00,0.140
386.00,0.138
387.00,0.136
388.00,0.134
389.00,0.132
390.00,0.131
391.00,0.129
392.00,0.127
393.00,0.126
394.00,0.124
395.00,0.123
396.00,0.121
397.00,0.120
