"HelmClark_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.630
191.00,3.240
192.00,3.138
193.00,3.179
194.00,3.181
195.00,3.434
196.00,3.272
197.00,3.344
198.00,3.492
199.00,3.513
200.00,3.596
201.00,3.556
202.00,3.407
203.00,3.313
204.00,3.266
205.00,3.180
206.00,3.050
207.00,2.928
208.00,2.819
209.00,2.697
210.00,2.578
211.00,2.475
212.00,2.369
213.00,2.257
214.00,2.160
215.00,2.068
216.00,1.973
217.00,1.877
218.00,1.787
219.00,1.698
220.00,1.613
221.00,1.537
222.00,1.462
223.00,1.391
224.00,1.320
225.00,1.251
226.00,1.184
227.00,1.115
228.00,1.050
229.00,0.991
230.00,0.937
231.00,0.888
232.00,0.844
233.00,0.805
234.00,0.772
235.00,0.742
236.00,0.717
237.00,0.695
238.00,0.678
239.00,0.663
240.00,0.651
241.00,0.642
242.00,0.635
243.00,0.631
244.00,0.627
245.00,0.626
246.00,0.626
247.00,0.627
248.00,0.629
249.00,0.631
250.00,0.634
251.00,0.639
252.00,0.643
253.00,0.647
254.00,0.652
255.00,0.656
256.00,0.661
257.00,0.663
258.00,0.665
259.00,0.666
260.00,0.666
261.00,0.666
262.00,0.666
263.00,0.667
264.00,0.667
265.00,0.666
266.00,0.665
267.00,0.663
268.00,0.659
269.00,0.655
270.00,0.649
271.00,0.643
272.00,0.636
273.00,0.628
274.00,0.619
275.00,0.609
276.00,0.598
277.00,0.586
278.00,0.573
279.00,0.559
280.00,0.545
281.00,0.530
282.00,0.515
283.00,0.498
284.00,0.482
285.00,0.464
286.00,0.447
287.00,0.430
288.00,0.412
289.00,0.394
290.00,0.375
291.00,0.357
292.00,0.342
293.00,0.328
294.00,0.317
295.00,0.307
296.00,0.298
297.00,0.291
298.00,0.284
299.00,0.278
300.00,0.272
301.00,0.268
302.00,0.264
303.00,0.260
304.00,0.257
305.00,0.254
306.00,0.252
307.00,0.249
308.00,0.247
309.00,0.245
310.00,0.243
311.00,0.242
312.00,0.240
313.00,0.239
314.00,0.237
315.00,0.236
316.00,0.234
317.00,0.233
318.00,0.231
319.00,0.229
320.00,0.227
321.00,0.225
322.00,0.223
323.00,0.220
324.00,0.218
325.00,0.215
326.00,0.212
327.00,0.209
328.00,0.206
329.00,0.203
330.00,0.199
331.00,0.196
332.00,0.192
333.00,0.189
334.00,0.184
335.00,0.181
336.00,0.177
337.00,0.174
338.00,0.170
339.00,0.166
340.00,0.162
341.00,0.157
342.00,0.153
343.00,0.150
344.00,0.146
345.00,0.142
346.00,0.139
347.00,0.136
348.00,0.132
349.00,0.129
350.00,0.126
351.00,0.123
352.00,0.120
353.00,0.117
354.00,0.114
355.00,0.112
356.00,0.109
357.00,0.107
358.00,0.104
359.00,0.102
360.00,0.100
361.00,0.098
362.00,0.096
363.00,0.094
364.00,0.092
365.00,0.091
366.00,0.089
367.00,0.087
368.00,0.086
369.00,0.084
370.00,0.083
371.00,0.082
372.00,0.080
373.00,0.079
374.00,0.077
375.00,0.076
376.00,0.075
377.00,0.074
378.00,0.073
379.00,0.071
380.00,0.071
381.00,0.070
382.00,0.069
383.00,0.068
384.00,0.067
385.00,0.066
386.00,0.065
387.00,0.064
388.00,0.064
389.00,0.063
390.00,0.062
391.00,0.062
392.00,0.061
393.00,0.060
394.00,0.060
395.00,0.059
396.00,0.059
397.00,0.058
398.00,0.058
399.00,0.057
400.00,0.057
401.00,0.056
402.00,0.056
403.00,0.056
404.00,0.055
405.00,0.055
406.00,0.054
407.00,0.054
408.00,0.054
409.00,0.054
410.00,0.053
411.00,0.053
412.00,0.053
413.00,0.052
414.00,0.052
415.00,0.052
416.00,0.051
417.00,0.052
418.00,0.051
419.00,0.051
