"HelmDuParcRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.728
191.00,3.786
192.00,3.399
193.00,3.732
194.00,3.539
195.00,3.536
196.00,3.788
197.00,3.921
198.00,3.871
199.00,3.790
200.00,3.775
201.00,3.911
202.00,3.952
203.00,3.956
204.00,3.968
205.00,3.812
206.00,3.841
207.00,3.771
208.00,3.747
209.00,3.654
210.00,3.592
211.00,3.389
212.00,3.288
213.00,3.163
214.00,3.079
215.00,2.947
216.00,2.839
217.00,2.696
218.00,2.596
219.00,2.492
220.00,2.377
221.00,2.278
222.00,2.182
223.00,2.088
224.00,1.993
225.00,1.900
226.00,1.809
227.00,1.720
228.00,1.633
229.00,1.552
230.00,1.473
231.00,1.401
232.00,1.336
233.00,1.275
234.00,1.221
235.00,1.175
236.00,1.134
237.00,1.100
238.00,1.069
239.00,1.043
240.00,1.021
241.00,1.003
242.00,0.991
243.00,0.981
244.00,0.975
245.00,0.971
246.00,0.969
247.00,0.969
248.00,0.970
249.00,0.972
250.00,0.975
251.00,0.980
252.00,0.985
253.00,0.991
254.00,0.996
255.00,1.002
256.00,1.008
257.00,1.013
258.00,1.017
259.00,1.020
260.00,1.023
261.00,1.025
262.00,1.027
263.00,1.029
264.00,1.031
265.00,1.032
266.00,1.032
267.00,1.032
268.00,1.030
269.00,1.028
270.00,1.024
271.00,1.019
272.00,1.014
273.00,1.007
274.00,1.000
275.00,0.992
276.00,0.983
277.00,0.973
278.00,0.961
279.00,0.949
280.00,0.936
281.00,0.924
282.00,0.910
283.00,0.894
284.00,0.877
285.00,0.860
286.00,0.843
287.00,0.826
288.00,0.808
289.00,0.790
290.00,0.771
291.00,0.751
292.00,0.734
293.00,0.718
294.00,0.703
295.00,0.690
296.00,0.678
297.00,0.666
298.00,0.655
299.00,0.643
300.00,0.633
301.00,0.623
302.00,0.614
303.00,0.605
304.00,0.595
305.00,0.586
306.00,0.579
307.00,0.569
308.00,0.561
309.00,0.553
310.00,0.544
311.00,0.537
312.00,0.529
313.00,0.522
314.00,0.515
315.00,0.508
316.00,0.501
317.00,0.494
318.00,0.487
319.00,0.480
320.00,0.474
321.00,0.467
322.00,0.460
323.00,0.453
324.00,0.447
325.00,0.440
326.00,0.433
327.00,0.426
328.00,0.419
329.00,0.412
330.00,0.405
331.00,0.398
332.00,0.391
333.00,0.385
334.00,0.378
335.00,0.372
336.00,0.366
337.00,0.360
338.00,0.353
339.00,0.347
340.00,0.342
341.00,0.334
342.00,0.328
343.00,0.322
344.00,0.317
345.00,0.311
346.00,0.306
347.00,0.301
348.00,0.296
349.00,0.291
350.00,0.286
351.00,0.281
352.00,0.277
353.00,0.272
354.00,0.268
355.00,0.264
356.00,0.260
357.00,0.256
358.00,0.252
359.00,0.248
360.00,0.244
361.00,0.241
362.00,0.237
363.00,0.234
364.00,0.231
365.00,0.227
366.00,0.224
367.00,0.222
368.00,0.219
369.00,0.216
370.00,0.213
371.00,0.210
372.00,0.208
373.00,0.205
374.00,0.203
375.00,0.200
376.00,0.198
377.00,0.195
378.00,0.193
379.00,0.191
380.00,0.189
381.00,0.186
382.00,0.184
383.00,0.182
384.00,0.180
385.00,0.178
386.00,0.177
387.00,0.175
388.00,0.173
389.00,0.171
390.00,0.169
391.00,0.168
392.00,0.166
393.00,0.165
394.00,0.163
395.00,0.161
396.00,0.160
397.00,0.159
398.00,0.158
399.00,0.156
400.00,0.155
401.00,0.154
402.00,0.152
403.00,0.151
404.00,0.150
405.00,0.149
406.00,0.148
407.00,0.147
408.00,0.145
409.00,0.144
410.00,0.143
411.00,0.142
412.00,0.142
413.00,0.140
414.00,0.140
415.00,0.139
416.00,0.138
417.00,0.137
418.00,0.136
419.00,0.135
420.00,0.134
421.00,0.133
422.00,0.133
423.00,0.132
424.00,0.131
425.00,0.131
426.00,0.130
427.00,0.129
428.00,0.128
429.00,0.128
430.00,0.127
431.00,0.126
432.00,0.125
433.00,0.125
434.00,0.124
435.00,0.123
436.00,0.123
437.00,0.122
438.00,0.121
439.00,0.121
440.00,0.120
441.00,0.120
442.00,0.119
443.00,0.118
444.00,0.118
445.00,0.117
446.00,0.117
447.00,0.116
448.00,0.116
449.00,0.115
450.00,0.115
451.00,0.114
452.00,0.114
453.00,0.113
454.00,0.113
455.00,0.112
456.00,0.112
457.00,0.111
458.00,0.111
459.00,0.110
460.00,0.110
461.00,0.109
462.00,0.109
463.00,0.109
464.00,0.108
465.00,0.108
466.00,0.107
467.00,0.107
468.00,0.106
469.00,0.106
470.00,0.106
471.00,0.105
472.00,0.105
473.00,0.104
474.00,0.104
475.00,0.104
476.00,0.103
477.00,0.103
478.00,0.102
479.00,0.102
480.00,0.101
481.00,0.101
482.00,0.101
483.00,0.100
484.00,0.100
485.00,0.100
486.00,0.099
487.00,0.099
488.00,0.099
489.00,0.098
490.00,0.098
491.00,0.098
492.00,0.097
493.00,0.097
494.00,0.097
495.00,0.096
496.00,0.096
497.00,0.096
498.00,0.096
499.00,0.095
500.00,0.095
501.00,0.094
502.00,0.094
503.00,0.094
504.00,0.094
505.00,0.093
506.00,0.093
507.00,0.093
508.00,0.092
509.00,0.092
510.00,0.092
511.00,0.092
512.00,0.091
513.00,0.091
514.00,0.091
515.00,0.091
516.00,0.091
517.00,0.090
518.00,0.090
519.00,0.090
520.00,0.090
521.00,0.089
522.00,0.089
523.00,0.089
524.00,0.089
525.00,0.089
526.00,0.088
527.00,0.088
528.00,0.088
529.00,0.088
530.00,0.087
531.00,0.087
532.00,0.087
533.00,0.087
534.00,0.087
535.00,0.086
536.00,0.087
537.00,0.086
538.00,0.086
539.00,0.086
540.00,0.086
541.00,0.086
542.00,0.085
543.00,0.085
544.00,0.085
545.00,0.085
546.00,0.085
547.00,0.085
548.00,0.084
549.00,0.084
550.00,0.084
551.00,0.084
552.00,0.084
553.00,0.084
554.00,0.083
555.00,0.083
556.00,0.083
557.00,0.083
558.00,0.083
559.00,0.083
560.00,0.083
561.00,0.083
562.00,0.082
563.00,0.082
564.00,0.082
565.00,0.082
566.00,0.082
567.00,0.082
568.00,0.082
569.00,0.081
570.00,0.081
571.00,0.081
572.00,0.081
573.00,0.081
574.00,0.081
575.00,0.081
576.00,0.081
577.00,0.081
578.00,0.080
579.00,0.080
580.00,0.080
581.00,0.080
582.00,0.080
583.00,0.080
584.00,0.080
585.00,0.080
586.00,0.080
587.00,0.080
588.00,0.080
589.00,0.080
590.00,0.079
591.00,0.079
592.00,0.079
593.00,0.079
594.00,0.079
595.00,0.079
596.00,0.079
597.00,0.079
598.00,0.079
599.00,0.079
