"HelmFairmount_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.615
191.00,3.618
192.00,3.745
193.00,3.866
194.00,3.950
195.00,3.816
196.00,3.643
197.00,3.743
198.00,3.841
199.00,3.697
200.00,3.714
201.00,3.786
202.00,3.886
203.00,3.873
204.00,3.962
205.00,3.898
206.00,3.863
207.00,3.874
208.00,3.713
209.00,3.682
210.00,3.597
211.00,3.383
212.00,3.263
213.00,3.071
214.00,2.913
215.00,2.822
216.00,2.702
217.00,2.549
218.00,2.435
219.00,2.312
220.00,2.195
221.00,2.090
222.00,1.988
223.00,1.894
224.00,1.797
225.00,1.708
226.00,1.623
227.00,1.540
228.00,1.459
229.00,1.387
230.00,1.319
231.00,1.259
232.00,1.205
233.00,1.155
234.00,1.113
235.00,1.077
236.00,1.046
237.00,1.020
238.00,0.999
239.00,0.981
240.00,0.967
241.00,0.956
242.00,0.948
243.00,0.943
244.00,0.940
245.00,0.939
246.00,0.938
247.00,0.939
248.00,0.940
249.00,0.943
250.00,0.946
251.00,0.949
252.00,0.953
253.00,0.957
254.00,0.960
255.00,0.964
256.00,0.967
257.00,0.969
258.00,0.969
259.00,0.968
260.00,0.967
261.00,0.965
262.00,0.963
263.00,0.962
264.00,0.960
265.00,0.957
266.00,0.954
267.00,0.949
268.00,0.943
269.00,0.936
270.00,0.927
271.00,0.919
272.00,0.909
273.00,0.898
274.00,0.887
275.00,0.876
276.00,0.863
277.00,0.849
278.00,0.835
279.00,0.819
280.00,0.804
281.00,0.788
282.00,0.771
283.00,0.754
284.00,0.736
285.00,0.717
286.00,0.698
287.00,0.680
288.00,0.660
289.00,0.641
290.00,0.622
291.00,0.603
292.00,0.586
293.00,0.571
294.00,0.558
295.00,0.546
296.00,0.536
297.00,0.526
298.00,0.516
299.00,0.508
300.00,0.500
301.00,0.493
302.00,0.486
303.00,0.479
304.00,0.473
305.00,0.467
306.00,0.461
307.00,0.455
308.00,0.449
309.00,0.443
310.00,0.437
311.00,0.432
312.00,0.427
313.00,0.422
314.00,0.417
315.00,0.412
316.00,0.406
317.00,0.401
318.00,0.396
319.00,0.390
320.00,0.385
321.00,0.379
322.00,0.373
323.00,0.367
324.00,0.361
325.00,0.355
326.00,0.349
327.00,0.343
328.00,0.336
329.00,0.329
330.00,0.322
331.00,0.316
332.00,0.309
333.00,0.302
334.00,0.295
335.00,0.289
336.00,0.283
337.00,0.276
338.00,0.270
339.00,0.263
340.00,0.257
341.00,0.249
342.00,0.243
343.00,0.237
344.00,0.231
345.00,0.225
346.00,0.220
347.00,0.215
348.00,0.209
349.00,0.204
350.00,0.199
351.00,0.194
352.00,0.189
353.00,0.185
354.00,0.180
355.00,0.176
356.00,0.172
357.00,0.168
358.00,0.164
359.00,0.160
360.00,0.156
361.00,0.154
362.00,0.150
363.00,0.147
364.00,0.144
365.00,0.141
366.00,0.139
367.00,0.136
368.00,0.134
369.00,0.131
370.00,0.129
371.00,0.127
372.00,0.125
373.00,0.123
374.00,0.121
375.00,0.119
376.00,0.117
377.00,0.115
378.00,0.113
379.00,0.112
380.00,0.110
381.00,0.108
382.00,0.107
383.00,0.105
384.00,0.104
385.00,0.103
386.00,0.102
387.00,0.100
388.00,0.099
389.00,0.098
390.00,0.097
391.00,0.096
392.00,0.095
393.00,0.094
394.00,0.093
395.00,0.092
396.00,0.091
397.00,0.090
398.00,0.090
399.00,0.089
400.00,0.088
401.00,0.087
402.00,0.087
403.00,0.086
404.00,0.085
405.00,0.085
406.00,0.084
407.00,0.083
408.00,0.083
409.00,0.082
410.00,0.082
411.00,0.081
412.00,0.081
413.00,0.080
414.00,0.080
415.00,0.079
416.00,0.079
417.00,0.078
418.00,0.078
419.00,0.078
420.00,0.077
421.00,0.077
422.00,0.076
423.00,0.076
424.00,0.076
425.00,0.075
426.00,0.075
427.00,0.074
428.00,0.074
429.00,0.074
430.00,0.073
431.00,0.073
432.00,0.073
433.00,0.072
434.00,0.072
435.00,0.072
436.00,0.071
437.00,0.071
438.00,0.071
439.00,0.071
440.00,0.070
441.00,0.070
442.00,0.070
443.00,0.069
444.00,0.069
445.00,0.069
446.00,0.069
