"HelmMildThing_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.096
191.00,2.084
192.00,2.073
193.00,2.031
194.00,1.966
195.00,1.931
196.00,1.871
197.00,1.820
198.00,1.757
199.00,1.704
200.00,1.649
201.00,1.592
202.00,1.537
203.00,1.485
204.00,1.433
205.00,1.380
206.00,1.331
207.00,1.284
208.00,1.237
209.00,1.191
210.00,1.149
211.00,1.108
212.00,1.069
213.00,1.031
214.00,0.993
215.00,0.958
216.00,0.924
217.00,0.890
218.00,0.858
219.00,0.826
220.00,0.796
221.00,0.769
222.00,0.742
223.00,0.716
224.00,0.691
225.00,0.667
226.00,0.644
227.00,0.620
228.00,0.597
229.00,0.575
230.00,0.553
231.00,0.534
232.00,0.515
233.00,0.498
234.00,0.482
235.00,0.468
236.00,0.455
237.00,0.443
238.00,0.431
239.00,0.421
240.00,0.411
241.00,0.403
242.00,0.396
243.00,0.390
244.00,0.385
245.00,0.380
246.00,0.377
247.00,0.374
248.00,0.371
249.00,0.369
250.00,0.368
251.00,0.367
252.00,0.367
253.00,0.367
254.00,0.367
255.00,0.367
256.00,0.367
257.00,0.368
258.00,0.368
259.00,0.368
260.00,0.368
261.00,0.368
262.00,0.368
263.00,0.369
264.00,0.369
265.00,0.369
266.00,0.369
267.00,0.369
268.00,0.369
269.00,0.369
270.00,0.368
271.00,0.367
272.00,0.366
273.00,0.364
274.00,0.362
275.00,0.360
276.00,0.357
277.00,0.354
278.00,0.350
279.00,0.346
280.00,0.343
281.00,0.338
282.00,0.333
283.00,0.328
284.00,0.322
285.00,0.316
286.00,0.310
287.00,0.304
288.00,0.297
289.00,0.290
290.00,0.283
291.00,0.276
292.00,0.269
293.00,0.264
294.00,0.258
295.00,0.253
296.00,0.249
297.00,0.245
298.00,0.241
299.00,0.237
300.00,0.233
301.00,0.230
302.00,0.227
303.00,0.224
304.00,0.221
305.00,0.218
306.00,0.216
307.00,0.213
308.00,0.211
309.00,0.208
310.00,0.206
311.00,0.204
312.00,0.202
313.00,0.200
314.00,0.198
315.00,0.196
316.00,0.195
317.00,0.193
318.00,0.191
319.00,0.189
320.00,0.188
321.00,0.186
322.00,0.184
323.00,0.182
324.00,0.180
325.00,0.179
326.00,0.177
327.00,0.175
328.00,0.173
329.00,0.170
330.00,0.169
331.00,0.167
332.00,0.165
333.00,0.163
334.00,0.161
335.00,0.159
336.00,0.157
337.00,0.155
338.00,0.154
339.00,0.152
340.00,0.150
341.00,0.146
342.00,0.144
343.00,0.143
344.00,0.141
345.00,0.140
346.00,0.138
347.00,0.136
348.00,0.134
349.00,0.133
350.00,0.131
351.00,0.130
352.00,0.128
353.00,0.127
354.00,0.126
355.00,0.124
356.00,0.123
357.00,0.121
358.00,0.120
359.00,0.119
