"HelmNutelisBlondi50x - RawData"
"Wavelength nm.","Abs."
190.00,3.690
191.00,3.550
192.00,3.766
193.00,3.902
194.00,3.654
195.00,3.931
196.00,3.930
197.00,3.826
198.00,3.917
199.00,3.741
200.00,3.846
201.00,3.869
202.00,3.944
203.00,3.957
204.00,3.936
205.00,3.961
206.00,3.994
207.00,3.974
208.00,3.831
209.00,3.982
210.00,3.964
211.00,3.858
212.00,3.762
213.00,3.633
214.00,3.481
215.00,3.398
216.00,3.211
217.00,3.059
218.00,2.916
219.00,2.768
220.00,2.654
221.00,2.537
222.00,2.431
223.00,2.315
224.00,2.200
225.00,2.090
226.00,1.980
227.00,1.869
228.00,1.762
229.00,1.668
230.00,1.578
231.00,1.499
232.00,1.430
233.00,1.367
234.00,1.313
235.00,1.267
236.00,1.228
237.00,1.195
238.00,1.169
239.00,1.147
240.00,1.131
241.00,1.119
242.00,1.111
243.00,1.106
244.00,1.104
245.00,1.104
246.00,1.106
247.00,1.110
248.00,1.115
249.00,1.121
250.00,1.127
251.00,1.135
252.00,1.144
253.00,1.153
254.00,1.161
255.00,1.170
256.00,1.177
257.00,1.183
258.00,1.187
259.00,1.190
260.00,1.191
261.00,1.192
262.00,1.193
263.00,1.194
264.00,1.194
265.00,1.192
266.00,1.189
267.00,1.187
268.00,1.183
269.00,1.176
270.00,1.167
271.00,1.155
272.00,1.141
273.00,1.125
274.00,1.108
275.00,1.089
276.00,1.069
277.00,1.048
278.00,1.025
279.00,1.000
280.00,0.976
281.00,0.950
282.00,0.922
283.00,0.891
284.00,0.861
285.00,0.829
286.00,0.798
287.00,0.768
288.00,0.737
289.00,0.706
290.00,0.673
291.00,0.642
292.00,0.615
293.00,0.590
294.00,0.570
295.00,0.552
296.00,0.536
297.00,0.523
298.00,0.510
299.00,0.499
300.00,0.489
301.00,0.480
302.00,0.472
303.00,0.465
304.00,0.459
305.00,0.454
306.00,0.448
307.00,0.443
308.00,0.438
309.00,0.435
310.00,0.431
311.00,0.427
312.00,0.423
313.00,0.420
314.00,0.417
315.00,0.414
316.00,0.411
317.00,0.408
318.00,0.405
319.00,0.401
320.00,0.397
321.00,0.394
