"HelmSmash_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.998
191.00,3.037
192.00,3.201
193.00,3.246
194.00,3.232
195.00,3.180
196.00,3.215
197.00,3.388
198.00,3.361
199.00,3.372
200.00,3.315
201.00,3.316
202.00,3.406
203.00,3.324
204.00,3.224
205.00,3.146
206.00,3.003
207.00,2.913
208.00,2.809
209.00,2.664
210.00,2.583
211.00,2.483
212.00,2.385
213.00,2.280
214.00,2.176
215.00,2.082
216.00,1.988
217.00,1.900
218.00,1.807
219.00,1.719
220.00,1.637
221.00,1.559
222.00,1.485
223.00,1.413
224.00,1.341
225.00,1.272
226.00,1.204
227.00,1.135
228.00,1.070
229.00,1.010
230.00,0.954
231.00,0.903
232.00,0.858
233.00,0.818
234.00,0.785
235.00,0.756
236.00,0.732
237.00,0.713
238.00,0.697
239.00,0.685
240.00,0.675
241.00,0.668
242.00,0.664
243.00,0.661
244.00,0.660
245.00,0.661
246.00,0.663
247.00,0.665
248.00,0.668
249.00,0.672
250.00,0.677
251.00,0.682
252.00,0.687
253.00,0.692
254.00,0.697
255.00,0.702
256.00,0.706
257.00,0.710
258.00,0.711
259.00,0.712
260.00,0.712
261.00,0.712
262.00,0.712
263.00,0.712
264.00,0.711
265.00,0.710
266.00,0.708
267.00,0.706
268.00,0.702
269.00,0.697
270.00,0.691
271.00,0.684
272.00,0.677
273.00,0.668
274.00,0.659
275.00,0.648
276.00,0.637
277.00,0.624
278.00,0.610
279.00,0.596
280.00,0.581
281.00,0.566
282.00,0.550
283.00,0.533
284.00,0.515
285.00,0.497
286.00,0.479
287.00,0.462
288.00,0.443
289.00,0.425
290.00,0.406
291.00,0.387
292.00,0.371
293.00,0.357
294.00,0.345
295.00,0.334
296.00,0.325
297.00,0.317
298.00,0.309
299.00,0.302
300.00,0.296
301.00,0.291
302.00,0.286
303.00,0.282
304.00,0.278
305.00,0.275
306.00,0.271
307.00,0.268
308.00,0.265
309.00,0.262
310.00,0.259
311.00,0.257
312.00,0.254
313.00,0.252
314.00,0.250
315.00,0.247
316.00,0.245
317.00,0.243
318.00,0.240
319.00,0.238
320.00,0.236
321.00,0.233
322.00,0.230
323.00,0.227
324.00,0.225
325.00,0.222
326.00,0.218
327.00,0.215
328.00,0.212
329.00,0.208
330.00,0.205
331.00,0.201
332.00,0.198
333.00,0.194
334.00,0.190
335.00,0.186
336.00,0.183
337.00,0.179
338.00,0.176
339.00,0.172
340.00,0.169
341.00,0.163
342.00,0.159
343.00,0.156
344.00,0.152
345.00,0.149
346.00,0.146
347.00,0.142
348.00,0.139
349.00,0.136
350.00,0.133
351.00,0.130
352.00,0.127
353.00,0.124
354.00,0.122
355.00,0.119
356.00,0.117
357.00,0.114
358.00,0.112
359.00,0.109
360.00,0.107
361.00,0.105
362.00,0.104
363.00,0.102
364.00,0.100
365.00,0.098
366.00,0.097
367.00,0.095
368.00,0.093
369.00,0.092
370.00,0.090
371.00,0.089
372.00,0.088
373.00,0.087
374.00,0.085
375.00,0.084
376.00,0.083
377.00,0.082
378.00,0.081
379.00,0.080
380.00,0.078
381.00,0.077
382.00,0.076
383.00,0.076
384.00,0.075
385.00,0.074
386.00,0.073
387.00,0.072
388.00,0.072
389.00,0.071
390.00,0.070
391.00,0.069
392.00,0.069
393.00,0.068
394.00,0.067
395.00,0.067
396.00,0.066
397.00,0.066
398.00,0.065
399.00,0.065
400.00,0.064
401.00,0.064
402.00,0.063
403.00,0.063
404.00,0.063
405.00,0.062
406.00,0.062
407.00,0.061
408.00,0.061
409.00,0.061
410.00,0.060
411.00,0.060
412.00,0.060
413.00,0.059
414.00,0.059
415.00,0.059
416.00,0.058
417.00,0.059
418.00,0.058
419.00,0.058
420.00,0.058
421.00,0.058
422.00,0.057
423.00,0.057
424.00,0.057
425.00,0.057
426.00,0.057
427.00,0.057
428.00,0.056
429.00,0.056
430.00,0.056
431.00,0.056
432.00,0.056
433.00,0.055
434.00,0.055
435.00,0.055
436.00,0.055
437.00,0.055
438.00,0.055
439.00,0.055
440.00,0.054
441.00,0.054
442.00,0.054
443.00,0.054
444.00,0.054
445.00,0.054
446.00,0.054
447.00,0.054
448.00,0.053
449.00,0.053
450.00,0.053
451.00,0.053
452.00,0.053
453.00,0.053
454.00,0.053
455.00,0.053
456.00,0.053
457.00,0.052
458.00,0.052
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.052
464.00,0.052
465.00,0.052
466.00,0.052
467.00,0.051
468.00,0.051
469.00,0.051
470.00,0.051
471.00,0.051
472.00,0.051
473.00,0.051
474.00,0.051
475.00,0.051
476.00,0.051
477.00,0.051
478.00,0.050
479.00,0.050
480.00,0.050
481.00,0.050
482.00,0.050
483.00,0.050
484.00,0.050
485.00,0.050
486.00,0.050
487.00,0.050
488.00,0.050
489.00,0.050
490.00,0.050
491.00,0.049
492.00,0.049
493.00,0.049
494.00,0.049
495.00,0.049
496.00,0.049
497.00,0.049
498.00,0.049
499.00,0.049
500.00,0.049
501.00,0.049
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.048
508.00,0.048
509.00,0.048
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.048
516.00,0.048
517.00,0.048
518.00,0.048
519.00,0.048
520.00,0.048
521.00,0.048
522.00,0.048
523.00,0.048
524.00,0.048
525.00,0.048
526.00,0.048
527.00,0.047
528.00,0.047
529.00,0.047
530.00,0.047
531.00,0.047
532.00,0.047
533.00,0.047
534.00,0.047
535.00,0.047
536.00,0.047
537.00,0.047
538.00,0.047
539.00,0.047
540.00,0.047
541.00,0.047
542.00,0.047
543.00,0.047
544.00,0.047
545.00,0.047
546.00,0.047
547.00,0.046
548.00,0.046
549.00,0.046
550.00,0.046
551.00,0.046
552.00,0.046
553.00,0.046
554.00,0.046
555.00,0.046
556.00,0.046
557.00,0.046
558.00,0.046
559.00,0.046
560.00,0.046
561.00,0.046
562.00,0.046
563.00,0.046
564.00,0.046
565.00,0.046
566.00,0.046
567.00,0.046
568.00,0.046
569.00,0.046
570.00,0.046
571.00,0.046
572.00,0.046
573.00,0.046
574.00,0.046
575.00,0.046
576.00,0.046
577.00,0.046
578.00,0.046
579.00,0.046
580.00,0.046
581.00,0.046
582.00,0.046
583.00,0.046
584.00,0.046
585.00,0.046
586.00,0.046
587.00,0.046
588.00,0.046
589.00,0.046
590.00,0.046
591.00,0.046
592.00,0.046
593.00,0.046
594.00,0.046
595.00,0.046
596.00,0.046
597.00,0.046
598.00,0.046
599.00,0.046
600.00,0.046
601.00,0.046
602.00,0.046
603.00,0.046
604.00,0.046
605.00,0.046
606.00,0.046
607.00,0.046
608.00,0.046
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.046
615.00,0.046
616.00,0.046
617.00,0.046
618.00,0.046
619.00,0.046
620.00,0.046
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.046
626.00,0.045
627.00,0.046
628.00,0.045
629.00,0.045
630.00,0.045
631.00,0.045
632.00,0.045
633.00,0.045
634.00,0.045
635.00,0.045
636.00,0.045
637.00,0.045
638.00,0.045
639.00,0.045
640.00,0.045
641.00,0.045
642.00,0.045
643.00,0.045
644.00,0.045
645.00,0.045
646.00,0.045
647.00,0.045
648.00,0.045
649.00,0.045
650.00,0.045
651.00,0.045
652.00,0.045
653.00,0.045
654.00,0.045
655.00,0.045
656.00,0.045
657.00,0.045
658.00,0.045
659.00,0.045
660.00,0.045
661.00,0.045
662.00,0.045
663.00,0.045
664.00,0.045
665.00,0.045
666.00,0.045
667.00,0.045
668.00,0.045
669.00,0.045
670.00,0.045
671.00,0.045
672.00,0.045
673.00,0.045
674.00,0.045
675.00,0.045
676.00,0.045
677.00,0.045
678.00,0.045
679.00,0.045
680.00,0.045
681.00,0.045
682.00,0.045
683.00,0.045
684.00,0.045
685.00,0.045
686.00,0.045
687.00,0.045
688.00,0.045
689.00,0.045
690.00,0.045
691.00,0.045
692.00,0.045
693.00,0.045
694.00,0.045
695.00,0.045
696.00,0.045
697.00,0.045
698.00,0.045
699.00,0.046
700.00,0.046
701.00,0.046
702.00,0.046
703.00,0.046
704.00,0.046
705.00,0.046
706.00,0.046
707.00,0.046
708.00,0.046
709.00,0.046
710.00,0.046
711.00,0.046
712.00,0.047
713.00,0.047
714.00,0.047
715.00,0.047
716.00,0.047
717.00,0.047
718.00,0.047
719.00,0.048
720.00,0.048
721.00,0.048
722.00,0.048
723.00,0.049
724.00,0.049
725.00,0.049
726.00,0.049
727.00,0.050
728.00,0.050
729.00,0.051
730.00,0.051
731.00,0.052
732.00,0.052
733.00,0.052
734.00,0.053
735.00,0.053
736.00,0.054
737.00,0.054
738.00,0.054
739.00,0.054
740.00,0.054
741.00,0.054
742.00,0.054
743.00,0.054
744.00,0.054
745.00,0.054
746.00,0.054
747.00,0.054
748.00,0.054
749.00,0.054
750.00,0.054
751.00,0.054
752.00,0.054
753.00,0.054
754.00,0.054
755.00,0.054
756.00,0.054
757.00,0.054
758.00,0.054
759.00,0.054
760.00,0.054
761.00,0.054
762.00,0.054
763.00,0.054
764.00,0.054
765.00,0.054
766.00,0.054
767.00,0.054
768.00,0.054
769.00,0.054
770.00,0.054
771.00,0.054
772.00,0.054
773.00,0.053
774.00,0.053
775.00,0.053
776.00,0.053
777.00,0.053
778.00,0.053
779.00,0.053
780.00,0.053
781.00,0.053
782.00,0.053
783.00,0.053
784.00,0.053
785.00,0.052
786.00,0.052
787.00,0.052
788.00,0.052
789.00,0.052
790.00,0.052
791.00,0.052
792.00,0.052
793.00,0.052
794.00,0.051
795.00,0.051
796.00,0.051
797.00,0.051
798.00,0.051
799.00,0.051
800.00,0.051
801.00,0.051
802.00,0.051
803.00,0.051
804.00,0.051
805.00,0.051
806.00,0.050
807.00,0.050
808.00,0.050
809.00,0.050
810.00,0.050
811.00,0.050
812.00,0.050
813.00,0.051
814.00,0.051
815.00,0.051
816.00,0.051
817.00,0.051
818.00,0.051
819.00,0.051
820.00,0.051
821.00,0.051
822.00,0.051
823.00,0.052
824.00,0.052
825.00,0.052
826.00,0.053
827.00,0.053
828.00,0.054
829.00,0.054
830.00,0.055
831.00,0.056
832.00,0.056
833.00,0.056
834.00,0.057
835.00,0.057
836.00,0.057
837.00,0.057
838.00,0.058
839.00,0.058
840.00,0.058
841.00,0.058
842.00,0.058
843.00,0.058
844.00,0.058
845.00,0.058
846.00,0.059
847.00,0.059
848.00,0.059
849.00,0.059
850.00,0.059
851.00,0.059
852.00,0.059
853.00,0.059
854.00,0.059
855.00,0.060
856.00,0.060
857.00,0.060
858.00,0.060
859.00,0.060
860.00,0.060
861.00,0.060
862.00,0.060
863.00,0.060
864.00,0.061
865.00,0.061
866.00,0.061
867.00,0.061
868.00,0.061
869.00,0.061
870.00,0.061
871.00,0.062
872.00,0.062
873.00,0.062
874.00,0.062
875.00,0.062
876.00,0.062
877.00,0.063
878.00,0.063
879.00,0.063
880.00,0.063
881.00,0.064
882.00,0.064
883.00,0.064
884.00,0.064
885.00,0.065
886.00,0.065
887.00,0.065
888.00,0.065
889.00,0.065
890.00,0.066
891.00,0.066
892.00,0.066
893.00,0.066
894.00,0.067
895.00,0.067
896.00,0.067
897.00,0.067
898.00,0.068
899.00,0.068
900.00,0.068
