"HelmSurelabrosse_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.857
191.00,3.622
192.00,3.343
193.00,3.550
194.00,3.794
195.00,3.953
196.00,3.928
197.00,3.907
198.00,3.969
199.00,3.862
200.00,3.789
201.00,3.815
202.00,3.940
203.00,3.924
204.00,3.970
205.00,3.927
206.00,3.977
207.00,3.952
208.00,3.866
209.00,3.823
210.00,3.869
211.00,3.969
212.00,3.878
213.00,3.716
214.00,3.795
215.00,3.637
216.00,3.640
217.00,3.503
218.00,3.437
219.00,3.192
220.00,3.101
221.00,2.947
222.00,2.804
223.00,2.671
224.00,2.534
225.00,2.391
226.00,2.253
227.00,2.100
228.00,1.948
229.00,1.804
230.00,1.666
231.00,1.542
232.00,1.432
233.00,1.331
234.00,1.245
235.00,1.169
236.00,1.103
237.00,1.045
238.00,0.996
239.00,0.954
240.00,0.918
241.00,0.889
242.00,0.867
243.00,0.851
244.00,0.839
245.00,0.830
246.00,0.824
247.00,0.821
248.00,0.820
249.00,0.820
250.00,0.823
251.00,0.827
252.00,0.832
253.00,0.838
254.00,0.844
255.00,0.851
256.00,0.859
257.00,0.868
258.00,0.875
259.00,0.881
260.00,0.887
261.00,0.894
262.00,0.900
263.00,0.906
264.00,0.912
265.00,0.916
266.00,0.919
267.00,0.921
268.00,0.921
269.00,0.920
270.00,0.917
271.00,0.914
272.00,0.910
273.00,0.904
274.00,0.896
275.00,0.886
276.00,0.875
277.00,0.862
278.00,0.847
279.00,0.832
280.00,0.816
281.00,0.799
282.00,0.781
283.00,0.760
284.00,0.739
285.00,0.715
286.00,0.694
287.00,0.673
288.00,0.651
289.00,0.629
290.00,0.605
291.00,0.582
292.00,0.561
293.00,0.542
294.00,0.526
295.00,0.510
296.00,0.496
297.00,0.484
298.00,0.471
299.00,0.460
300.00,0.449
301.00,0.440
302.00,0.431
303.00,0.423
304.00,0.417
305.00,0.410
306.00,0.405
307.00,0.400
308.00,0.396
309.00,0.392
310.00,0.388
311.00,0.385
312.00,0.382
313.00,0.379
314.00,0.376
315.00,0.373
316.00,0.370
317.00,0.368
318.00,0.364
319.00,0.361
320.00,0.359
321.00,0.355
322.00,0.351
323.00,0.347
324.00,0.343
325.00,0.338
326.00,0.333
327.00,0.328
328.00,0.322
329.00,0.317
330.00,0.310
331.00,0.304
332.00,0.298
333.00,0.291
334.00,0.284
335.00,0.277
336.00,0.271
337.00,0.264
338.00,0.257
339.00,0.250
340.00,0.244
341.00,0.235
