"HelmVanHorneIPA - RawData"
"Wavelength nm.","Abs."
190.00,3.091
191.00,3.729
192.00,3.855
193.00,3.784
194.00,3.815
195.00,3.986
196.00,3.822
197.00,3.794
198.00,3.678
199.00,3.827
200.00,3.824
201.00,3.876
202.00,3.964
203.00,3.902
204.00,3.917
205.00,3.782
206.00,3.942
207.00,3.960
208.00,4.000
209.00,3.900
210.00,3.999
211.00,3.856
212.00,3.855
213.00,3.931
214.00,3.827
215.00,3.659
216.00,3.449
217.00,3.335
218.00,3.261
219.00,3.078
220.00,2.947
221.00,2.820
222.00,2.691
223.00,2.567
224.00,2.444
225.00,2.328
226.00,2.206
227.00,2.090
228.00,1.980
229.00,1.877
230.00,1.781
231.00,1.695
232.00,1.618
233.00,1.548
234.00,1.489
235.00,1.438
236.00,1.395
237.00,1.359
238.00,1.329
239.00,1.305
240.00,1.287
241.00,1.272
242.00,1.262
243.00,1.256
244.00,1.252
245.00,1.251
246.00,1.252
247.00,1.255
248.00,1.258
249.00,1.264
250.00,1.269
251.00,1.276
252.00,1.283
253.00,1.291
254.00,1.299
255.00,1.306
256.00,1.313
257.00,1.318
258.00,1.322
259.00,1.324
260.00,1.325
261.00,1.326
262.00,1.328
263.00,1.329
264.00,1.329
265.00,1.327
266.00,1.326
267.00,1.325
268.00,1.321
269.00,1.314
270.00,1.306
271.00,1.296
272.00,1.285
273.00,1.273
274.00,1.260
275.00,1.245
276.00,1.229
277.00,1.213
278.00,1.194
279.00,1.173
280.00,1.154
281.00,1.133
282.00,1.109
283.00,1.084
284.00,1.058
285.00,1.030
286.00,1.004
287.00,0.977
288.00,0.950
289.00,0.923
290.00,0.894
291.00,0.866
292.00,0.841
293.00,0.819
294.00,0.800
295.00,0.782
296.00,0.766
297.00,0.753
298.00,0.738
299.00,0.726
300.00,0.714
301.00,0.703
302.00,0.692
303.00,0.682
304.00,0.673
305.00,0.664
306.00,0.653
307.00,0.644
308.00,0.636
309.00,0.627
310.00,0.619
311.00,0.611
312.00,0.603
313.00,0.596
314.00,0.589
315.00,0.581
316.00,0.574
317.00,0.566
318.00,0.559
319.00,0.551
320.00,0.543
321.00,0.535
322.00,0.527
323.00,0.519
324.00,0.511
325.00,0.502
326.00,0.493
327.00,0.485
328.00,0.476
329.00,0.467
330.00,0.458
331.00,0.449
332.00,0.440
333.00,0.431
334.00,0.422
335.00,0.413
336.00,0.405
337.00,0.397
338.00,0.387
339.00,0.379
340.00,0.371
341.00,0.361
342.00,0.352
343.00,0.344
344.00,0.336
345.00,0.329
346.00,0.321
347.00,0.314
348.00,0.307
349.00,0.300
350.00,0.293
351.00,0.286
352.00,0.280
353.00,0.274
354.00,0.268
355.00,0.262
356.00,0.256
357.00,0.251
358.00,0.245
359.00,0.240
360.00,0.235
361.00,0.231
362.00,0.226
363.00,0.222
364.00,0.218
365.00,0.214
366.00,0.211
367.00,0.207
368.00,0.204
369.00,0.201
370.00,0.197
371.00,0.194
372.00,0.191
373.00,0.188
374.00,0.185
375.00,0.182
376.00,0.179
377.00,0.177
378.00,0.174
379.00,0.171
380.00,0.169
381.00,0.167
382.00,0.164
383.00,0.162
384.00,0.160
385.00,0.158
386.00,0.156
387.00,0.154
388.00,0.153
389.00,0.151
390.00,0.149
391.00,0.147
392.00,0.146
393.00,0.144
394.00,0.143
395.00,0.141
396.00,0.140
397.00,0.138
398.00,0.137
399.00,0.136
400.00,0.135
401.00,0.133
402.00,0.132
403.00,0.131
404.00,0.130
405.00,0.129
406.00,0.128
407.00,0.127
408.00,0.126
409.00,0.125
410.00,0.124
411.00,0.123
412.00,0.123
413.00,0.122
414.00,0.121
415.00,0.120
416.00,0.120
417.00,0.119
418.00,0.119
419.00,0.118
420.00,0.117
421.00,0.117
422.00,0.116
423.00,0.116
424.00,0.115
425.00,0.115
426.00,0.114
427.00,0.113
428.00,0.113
429.00,0.112
430.00,0.112
431.00,0.111
432.00,0.111
433.00,0.110
434.00,0.110
435.00,0.109
436.00,0.109
437.00,0.108
438.00,0.108
439.00,0.108
440.00,0.107
441.00,0.107
442.00,0.106
443.00,0.106
444.00,0.106
445.00,0.105
446.00,0.105
447.00,0.105
448.00,0.104
449.00,0.104
450.00,0.104
451.00,0.103
452.00,0.103
453.00,0.103
454.00,0.102
455.00,0.102
456.00,0.102
457.00,0.102
458.00,0.101
459.00,0.101
460.00,0.101
461.00,0.100
462.00,0.100
463.00,0.100
464.00,0.099
465.00,0.099
466.00,0.099
467.00,0.099
468.00,0.098
469.00,0.098
470.00,0.098
471.00,0.098
472.00,0.097
473.00,0.097
474.00,0.097
475.00,0.097
476.00,0.096
477.00,0.096
478.00,0.096
479.00,0.096
480.00,0.095
481.00,0.095
482.00,0.095
483.00,0.095
484.00,0.094
485.00,0.094
486.00,0.094
487.00,0.094
488.00,0.093
489.00,0.093
490.00,0.093
491.00,0.093
492.00,0.093
493.00,0.092
494.00,0.092
495.00,0.092
496.00,0.092
497.00,0.092
498.00,0.091
499.00,0.091
500.00,0.091
501.00,0.091
502.00,0.091
503.00,0.090
504.00,0.090
505.00,0.090
506.00,0.090
507.00,0.090
508.00,0.089
509.00,0.089
510.00,0.089
511.00,0.089
512.00,0.089
513.00,0.089
514.00,0.089
515.00,0.089
516.00,0.089
517.00,0.088
518.00,0.088
519.00,0.088
520.00,0.088
521.00,0.088
522.00,0.088
523.00,0.087
524.00,0.087
525.00,0.087
526.00,0.087
527.00,0.087
528.00,0.087
529.00,0.087
530.00,0.087
531.00,0.086
532.00,0.086
533.00,0.086
534.00,0.086
535.00,0.086
536.00,0.086
537.00,0.086
538.00,0.085
539.00,0.085
540.00,0.085
541.00,0.085
542.00,0.085
543.00,0.085
544.00,0.085
545.00,0.085
546.00,0.085
547.00,0.085
548.00,0.084
549.00,0.084
550.00,0.084
551.00,0.084
552.00,0.084
553.00,0.084
554.00,0.084
555.00,0.084
556.00,0.084
557.00,0.084
558.00,0.083
559.00,0.083
560.00,0.083
561.00,0.083
562.00,0.083
563.00,0.083
564.00,0.083
565.00,0.083
566.00,0.083
567.00,0.083
568.00,0.083
569.00,0.083
570.00,0.082
571.00,0.082
572.00,0.082
573.00,0.082
574.00,0.082
575.00,0.082
576.00,0.082
577.00,0.082
578.00,0.082
579.00,0.082
580.00,0.082
581.00,0.082
582.00,0.082
583.00,0.082
584.00,0.081
585.00,0.081
586.00,0.081
587.00,0.081
588.00,0.081
589.00,0.081
590.00,0.081
591.00,0.081
592.00,0.081
593.00,0.081
594.00,0.081
595.00,0.081
596.00,0.081
597.00,0.081
598.00,0.081
599.00,0.081
600.00,0.081
601.00,0.081
602.00,0.081
603.00,0.081
604.00,0.081
605.00,0.081
606.00,0.081
607.00,0.080
608.00,0.080
609.00,0.080
610.00,0.080
611.00,0.080
612.00,0.080
613.00,0.080
614.00,0.080
615.00,0.080
616.00,0.080
617.00,0.080
618.00,0.080
619.00,0.080
620.00,0.080
621.00,0.080
622.00,0.080
623.00,0.080
624.00,0.080
625.00,0.079
626.00,0.079
627.00,0.079
628.00,0.079
629.00,0.079
630.00,0.079
631.00,0.079
632.00,0.079
633.00,0.079
634.00,0.079
635.00,0.079
636.00,0.079
637.00,0.079
638.00,0.079
639.00,0.079
640.00,0.079
641.00,0.079
642.00,0.079
643.00,0.079
644.00,0.079
645.00,0.079
646.00,0.079
647.00,0.079
648.00,0.079
649.00,0.079
650.00,0.079
651.00,0.079
652.00,0.079
653.00,0.078
654.00,0.078
655.00,0.078
656.00,0.078
657.00,0.078
658.00,0.078
659.00,0.078
660.00,0.078
661.00,0.078
662.00,0.078
663.00,0.078
664.00,0.078
665.00,0.078
666.00,0.078
667.00,0.078
668.00,0.078
669.00,0.078
670.00,0.078
671.00,0.078
672.00,0.078
673.00,0.078
674.00,0.078
675.00,0.078
676.00,0.078
677.00,0.078
678.00,0.078
679.00,0.078
680.00,0.078
681.00,0.078
682.00,0.078
683.00,0.078
684.00,0.078
685.00,0.078
686.00,0.078
687.00,0.078
688.00,0.078
689.00,0.078
690.00,0.078
691.00,0.078
692.00,0.078
693.00,0.078
694.00,0.078
695.00,0.078
696.00,0.078
697.00,0.078
698.00,0.078
699.00,0.078
700.00,0.078
701.00,0.078
702.00,0.078
703.00,0.078
704.00,0.078
705.00,0.078
706.00,0.078
707.00,0.078
708.00,0.078
709.00,0.078
710.00,0.078
711.00,0.079
712.00,0.079
713.00,0.079
714.00,0.079
715.00,0.079
716.00,0.079
717.00,0.079
718.00,0.080
719.00,0.080
720.00,0.080
721.00,0.080
722.00,0.080
723.00,0.081
724.00,0.081
725.00,0.081
726.00,0.081
727.00,0.082
728.00,0.082
729.00,0.083
730.00,0.083
731.00,0.083
732.00,0.084
733.00,0.084
734.00,0.085
735.00,0.085
736.00,0.085
737.00,0.086
738.00,0.086
739.00,0.086
740.00,0.086
741.00,0.086
742.00,0.086
743.00,0.086
744.00,0.086
745.00,0.086
746.00,0.086
747.00,0.086
748.00,0.086
749.00,0.086
750.00,0.086
751.00,0.086
752.00,0.086
753.00,0.086
754.00,0.086
755.00,0.086
756.00,0.086
757.00,0.086
758.00,0.086
759.00,0.086
760.00,0.086
761.00,0.086
762.00,0.086
763.00,0.086
764.00,0.086
765.00,0.086
766.00,0.086
767.00,0.086
768.00,0.086
769.00,0.086
770.00,0.086
771.00,0.085
772.00,0.085
773.00,0.085
774.00,0.085
775.00,0.085
776.00,0.085
777.00,0.085
778.00,0.085
