"HoperaBrownAle_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.728
191.00,3.142
192.00,3.147
193.00,3.522
194.00,3.530
195.00,3.304
196.00,3.761
197.00,3.636
198.00,3.684
199.00,3.895
200.00,3.671
201.00,3.671
202.00,3.783
203.00,3.793
204.00,3.714
205.00,3.879
206.00,3.744
207.00,3.857
208.00,3.665
209.00,3.747
210.00,3.619
211.00,3.358
212.00,3.374
213.00,3.326
214.00,3.127
215.00,3.079
216.00,2.978
217.00,2.853
218.00,2.765
219.00,2.657
220.00,2.547
221.00,2.445
222.00,2.348
223.00,2.259
224.00,2.165
225.00,2.080
226.00,1.992
227.00,1.901
228.00,1.815
229.00,1.732
230.00,1.653
231.00,1.582
232.00,1.517
233.00,1.456
234.00,1.402
235.00,1.355
236.00,1.314
237.00,1.279
238.00,1.247
239.00,1.220
240.00,1.197
241.00,1.178
242.00,1.165
243.00,1.156
244.00,1.150
245.00,1.146
246.00,1.144
247.00,1.144
248.00,1.146
249.00,1.148
250.00,1.152
251.00,1.157
252.00,1.162
253.00,1.167
254.00,1.173
255.00,1.179
256.00,1.185
257.00,1.190
258.00,1.193
259.00,1.196
260.00,1.198
261.00,1.200
262.00,1.202
263.00,1.205
264.00,1.206
265.00,1.208
266.00,1.209
267.00,1.208
268.00,1.206
269.00,1.203
270.00,1.199
271.00,1.193
272.00,1.187
273.00,1.180
274.00,1.171
275.00,1.160
276.00,1.149
277.00,1.136
278.00,1.121
279.00,1.106
280.00,1.090
281.00,1.074
282.00,1.057
283.00,1.037
284.00,1.016
285.00,0.996
286.00,0.975
287.00,0.954
288.00,0.932
289.00,0.910
290.00,0.887
291.00,0.863
292.00,0.842
293.00,0.821
294.00,0.804
295.00,0.787
296.00,0.773
297.00,0.759
298.00,0.745
299.00,0.731
300.00,0.719
301.00,0.706
302.00,0.696
303.00,0.684
304.00,0.674
305.00,0.664
306.00,0.654
307.00,0.643
308.00,0.634
309.00,0.625
310.00,0.616
311.00,0.607
312.00,0.598
313.00,0.591
314.00,0.583
315.00,0.575
316.00,0.567
317.00,0.559
318.00,0.551
319.00,0.544
320.00,0.536
321.00,0.528
322.00,0.521
323.00,0.513
324.00,0.505
325.00,0.497
326.00,0.489
327.00,0.481
328.00,0.473
329.00,0.465
330.00,0.457
331.00,0.450
332.00,0.442
333.00,0.434
334.00,0.427
335.00,0.419
336.00,0.412
337.00,0.404
338.00,0.397
339.00,0.390
340.00,0.384
341.00,0.376
342.00,0.369
343.00,0.362
344.00,0.355
345.00,0.349
346.00,0.343
347.00,0.337
348.00,0.331
349.00,0.325
350.00,0.319
351.00,0.313
352.00,0.307
353.00,0.302
354.00,0.297
355.00,0.292
356.00,0.287
357.00,0.282
358.00,0.277
359.00,0.273
360.00,0.268
361.00,0.264
362.00,0.259
363.00,0.255
364.00,0.252
365.00,0.248
366.00,0.244
367.00,0.240
368.00,0.237
369.00,0.233
370.00,0.229
371.00,0.226
372.00,0.222
373.00,0.220
374.00,0.217
375.00,0.213
376.00,0.210
377.00,0.207
378.00,0.205
379.00,0.202
380.00,0.199
381.00,0.196
382.00,0.194
383.00,0.191
384.00,0.189
385.00,0.186
386.00,0.184
387.00,0.182
388.00,0.180
389.00,0.177
390.00,0.175
391.00,0.173
392.00,0.171
393.00,0.169
394.00,0.167
395.00,0.165
396.00,0.163
397.00,0.162
398.00,0.160
399.00,0.158
400.00,0.157
401.00,0.155
402.00,0.153
403.00,0.152
404.00,0.150
405.00,0.149
406.00,0.148
407.00,0.146
408.00,0.145
409.00,0.143
410.00,0.142
411.00,0.140
412.00,0.139
413.00,0.138
414.00,0.137
415.00,0.135
416.00,0.134
417.00,0.133
418.00,0.132
419.00,0.131
420.00,0.130
421.00,0.129
422.00,0.128
423.00,0.126
424.00,0.125
425.00,0.124
426.00,0.123
427.00,0.122
428.00,0.121
429.00,0.120
430.00,0.119
431.00,0.118
432.00,0.117
433.00,0.116
434.00,0.115
435.00,0.114
436.00,0.113
437.00,0.112
438.00,0.112
439.00,0.111
440.00,0.110
441.00,0.109
442.00,0.108
443.00,0.107
444.00,0.107
445.00,0.106
446.00,0.105
447.00,0.104
448.00,0.104
449.00,0.103
450.00,0.102
451.00,0.101
452.00,0.101
453.00,0.100
454.00,0.099
455.00,0.099
456.00,0.098
457.00,0.097
458.00,0.096
459.00,0.096
460.00,0.095
461.00,0.095
462.00,0.094
463.00,0.093
464.00,0.093
465.00,0.092
466.00,0.092
467.00,0.091
468.00,0.090
469.00,0.090
470.00,0.089
471.00,0.089
472.00,0.088
473.00,0.087
474.00,0.087
475.00,0.086
476.00,0.086
477.00,0.085
478.00,0.085
479.00,0.084
480.00,0.084
481.00,0.083
482.00,0.083
483.00,0.082
484.00,0.081
485.00,0.081
486.00,0.080
487.00,0.080
488.00,0.080
489.00,0.079
490.00,0.079
491.00,0.078
492.00,0.078
493.00,0.077
494.00,0.077
495.00,0.076
496.00,0.076
497.00,0.075
498.00,0.075
499.00,0.075
500.00,0.074
501.00,0.074
502.00,0.074
503.00,0.073
504.00,0.073
505.00,0.072
506.00,0.072
507.00,0.072
508.00,0.071
509.00,0.071
510.00,0.070
511.00,0.070
512.00,0.070
513.00,0.070
514.00,0.069
515.00,0.069
516.00,0.068
517.00,0.068
518.00,0.068
519.00,0.068
520.00,0.067
521.00,0.067
522.00,0.066
523.00,0.066
524.00,0.066
525.00,0.066
526.00,0.065
527.00,0.065
528.00,0.065
529.00,0.064
530.00,0.064
531.00,0.064
532.00,0.064
533.00,0.063
534.00,0.063
535.00,0.063
536.00,0.063
537.00,0.062
538.00,0.062
539.00,0.062
540.00,0.062
541.00,0.061
542.00,0.061
543.00,0.061
544.00,0.061
545.00,0.060
546.00,0.060
547.00,0.060
548.00,0.060
549.00,0.059
550.00,0.059
551.00,0.059
552.00,0.059
553.00,0.059
554.00,0.058
555.00,0.058
556.00,0.058
557.00,0.058
558.00,0.057
559.00,0.057
560.00,0.057
561.00,0.057
562.00,0.057
563.00,0.057
564.00,0.056
565.00,0.056
566.00,0.056
567.00,0.056
568.00,0.056
569.00,0.056
570.00,0.055
571.00,0.055
572.00,0.055
573.00,0.055
574.00,0.055
575.00,0.055
576.00,0.054
577.00,0.054
578.00,0.054
579.00,0.054
580.00,0.054
581.00,0.054
582.00,0.054
583.00,0.053
584.00,0.053
585.00,0.053
586.00,0.053
587.00,0.053
588.00,0.053
589.00,0.053
590.00,0.053
591.00,0.052
592.00,0.052
593.00,0.052
594.00,0.052
595.00,0.052
596.00,0.052
597.00,0.052
598.00,0.052
599.00,0.052
600.00,0.052
601.00,0.052
602.00,0.051
603.00,0.051
604.00,0.051
605.00,0.051
606.00,0.051
607.00,0.051
608.00,0.051
609.00,0.051
610.00,0.051
611.00,0.051
612.00,0.051
613.00,0.050
614.00,0.050
615.00,0.050
616.00,0.050
617.00,0.050
618.00,0.050
619.00,0.050
620.00,0.050
621.00,0.050
622.00,0.050
623.00,0.049
624.00,0.049
625.00,0.049
626.00,0.049
627.00,0.049
628.00,0.049
629.00,0.049
630.00,0.049
631.00,0.049
632.00,0.049
633.00,0.049
634.00,0.048
635.00,0.048
636.00,0.048
637.00,0.048
638.00,0.048
639.00,0.048
640.00,0.048
641.00,0.048
642.00,0.048
643.00,0.048
644.00,0.048
645.00,0.048
646.00,0.048
647.00,0.047
648.00,0.047
649.00,0.047
650.00,0.047
651.00,0.047
652.00,0.047
653.00,0.047
654.00,0.047
655.00,0.047
656.00,0.047
657.00,0.047
658.00,0.047
659.00,0.047
660.00,0.047
661.00,0.047
662.00,0.047
663.00,0.047
664.00,0.047
665.00,0.047
666.00,0.047
667.00,0.047
668.00,0.046
669.00,0.046
670.00,0.046
671.00,0.046
672.00,0.046
673.00,0.046
674.00,0.046
675.00,0.046
676.00,0.046
677.00,0.046
678.00,0.046
679.00,0.046
680.00,0.046
681.00,0.046
682.00,0.046
683.00,0.046
684.00,0.046
685.00,0.046
686.00,0.046
687.00,0.046
688.00,0.046
689.00,0.046
690.00,0.046
691.00,0.046
692.00,0.045
693.00,0.045
694.00,0.045
695.00,0.045
696.00,0.045
697.00,0.045
698.00,0.046
699.00,0.046
700.00,0.046
701.00,0.046
702.00,0.045
703.00,0.045
704.00,0.045
705.00,0.046
706.00,0.046
707.00,0.046
708.00,0.046
709.00,0.046
710.00,0.046
711.00,0.046
712.00,0.046
713.00,0.046
714.00,0.046
715.00,0.046
716.00,0.046
717.00,0.047
718.00,0.047
719.00,0.047
720.00,0.047
721.00,0.047
722.00,0.047
723.00,0.048
724.00,0.048
725.00,0.048
726.00,0.048
727.00,0.049
728.00,0.049
729.00,0.049
730.00,0.050
731.00,0.050
732.00,0.051
733.00,0.051
734.00,0.052
735.00,0.052
736.00,0.052
737.00,0.052
738.00,0.053
739.00,0.053
740.00,0.053
741.00,0.053
742.00,0.053
743.00,0.053
744.00,0.053
745.00,0.053
746.00,0.053
747.00,0.053
748.00,0.053
749.00,0.053
750.00,0.053
751.00,0.053
752.00,0.053
753.00,0.053
754.00,0.053
755.00,0.053
756.00,0.052
757.00,0.052
758.00,0.052
759.00,0.052
760.00,0.053
761.00,0.052
762.00,0.052
763.00,0.052
764.00,0.052
765.00,0.052
766.00,0.052
767.00,0.052
768.00,0.052
769.00,0.052
770.00,0.052
771.00,0.052
772.00,0.052
773.00,0.052
774.00,0.051
775.00,0.051
776.00,0.051
777.00,0.051
778.00,0.051
779.00,0.051
780.00,0.051
781.00,0.051
782.00,0.051
783.00,0.051
784.00,0.051
785.00,0.050
786.00,0.050
787.00,0.050
788.00,0.050
789.00,0.050
790.00,0.050
791.00,0.050
792.00,0.049
793.00,0.049
794.00,0.049
795.00,0.049
796.00,0.049
797.00,0.049
798.00,0.049
799.00,0.049
800.00,0.049
801.00,0.049
802.00,0.049
803.00,0.048
804.00,0.048
805.00,0.048
806.00,0.048
807.00,0.048
808.00,0.048
809.00,0.048
810.00,0.048
811.00,0.048
812.00,0.048
813.00,0.048
814.00,0.048
815.00,0.048
816.00,0.048
817.00,0.048
818.00,0.049
819.00,0.049
820.00,0.049
821.00,0.049
822.00,0.049
823.00,0.049
824.00,0.049
825.00,0.050
826.00,0.050
827.00,0.051
828.00,0.051
829.00,0.052
830.00,0.053
831.00,0.053
832.00,0.053
833.00,0.054
834.00,0.054
835.00,0.054
836.00,0.055
837.00,0.055
838.00,0.055
839.00,0.055
840.00,0.055
841.00,0.055
842.00,0.055
843.00,0.055
844.00,0.055
845.00,0.056
846.00,0.056
847.00,0.056
848.00,0.056
849.00,0.056
850.00,0.056
851.00,0.056
852.00,0.056
853.00,0.056
854.00,0.056
855.00,0.057
856.00,0.057
857.00,0.057
858.00,0.057
859.00,0.057
860.00,0.057
861.00,0.057
862.00,0.057
863.00,0.057
864.00,0.057
865.00,0.058
866.00,0.058
867.00,0.058
868.00,0.058
869.00,0.058
870.00,0.058
871.00,0.058
872.00,0.059
873.00,0.059
874.00,0.059
875.00,0.059
876.00,0.059
877.00,0.059
878.00,0.060
879.00,0.060
880.00,0.060
881.00,0.060
882.00,0.061
883.00,0.061
884.00,0.061
885.00,0.061
886.00,0.062
887.00,0.062
888.00,0.062
889.00,0.062
890.00,0.063
891.00,0.063
892.00,0.063
893.00,0.063
894.00,0.063
895.00,0.064
896.00,0.064
897.00,0.064
898.00,0.064
899.00,0.065
900.00,0.065
