"HopfenstarkGose50x - RawData"
"Wavelength nm.","Abs."
190.00,3.065
191.00,3.335
192.00,3.400
193.00,3.524
194.00,3.362
195.00,3.452
196.00,3.665
197.00,3.597
198.00,3.619
199.00,3.632
200.00,3.326
201.00,3.127
202.00,3.004
203.00,2.874
204.00,2.728
205.00,2.581
206.00,2.440
207.00,2.294
208.00,2.172
209.00,2.053
210.00,1.951
211.00,1.854
212.00,1.761
213.00,1.675
214.00,1.592
215.00,1.518
216.00,1.444
217.00,1.373
218.00,1.305
219.00,1.238
220.00,1.173
221.00,1.113
222.00,1.054
223.00,0.995
224.00,0.936
225.00,0.878
226.00,0.820
227.00,0.761
228.00,0.704
229.00,0.650
230.00,0.601
231.00,0.557
232.00,0.518
233.00,0.483
234.00,0.453
235.00,0.429
236.00,0.408
237.00,0.392
238.00,0.379
239.00,0.369
240.00,0.362
241.00,0.357
242.00,0.354
243.00,0.353
244.00,0.353
245.00,0.354
246.00,0.355
247.00,0.358
248.00,0.360
249.00,0.363
250.00,0.366
251.00,0.369
252.00,0.372
253.00,0.374
254.00,0.377
255.00,0.380
256.00,0.382
257.00,0.384
258.00,0.386
259.00,0.386
260.00,0.387
261.00,0.387
262.00,0.388
263.00,0.388
264.00,0.388
265.00,0.388
266.00,0.388
267.00,0.387
268.00,0.385
269.00,0.383
270.00,0.380
271.00,0.377
272.00,0.373
273.00,0.368
274.00,0.363
275.00,0.357
276.00,0.351
277.00,0.344
278.00,0.336
279.00,0.328
280.00,0.321
281.00,0.312
282.00,0.304
283.00,0.293
284.00,0.283
285.00,0.272
286.00,0.262
287.00,0.253
288.00,0.243
289.00,0.234
290.00,0.223
291.00,0.213
292.00,0.204
293.00,0.196
294.00,0.188
295.00,0.182
296.00,0.176
297.00,0.171
298.00,0.165
299.00,0.161
300.00,0.157
301.00,0.153
302.00,0.150
303.00,0.147
304.00,0.145
305.00,0.143
306.00,0.141
307.00,0.139
308.00,0.138
309.00,0.136
310.00,0.135
311.00,0.134
312.00,0.133
313.00,0.132
314.00,0.132
315.00,0.131
316.00,0.131
317.00,0.130
318.00,0.129
319.00,0.128
320.00,0.128
321.00,0.127
322.00,0.126
323.00,0.125
324.00,0.124
325.00,0.123
326.00,0.122
327.00,0.121
328.00,0.119
329.00,0.118
330.00,0.116
331.00,0.115
332.00,0.113
333.00,0.112
334.00,0.110
335.00,0.108
336.00,0.107
337.00,0.105
338.00,0.104
339.00,0.102
340.00,0.100
341.00,0.098
342.00,0.096
343.00,0.094
344.00,0.093
345.00,0.091
346.00,0.090
347.00,0.088
348.00,0.086
349.00,0.084
350.00,0.083
351.00,0.082
352.00,0.080
353.00,0.079
354.00,0.077
355.00,0.076
356.00,0.074
357.00,0.073
358.00,0.072
359.00,0.071
360.00,0.070
361.00,0.069
362.00,0.068
363.00,0.067
364.00,0.066
365.00,0.065
366.00,0.064
367.00,0.063
368.00,0.062
369.00,0.062
370.00,0.061
371.00,0.060
372.00,0.060
