"APACLASSIQUE50x - RawData"
"Wavelength nm.","Abs."
190.00,2.910
191.00,3.530
192.00,3.647
193.00,3.548
194.00,3.676
195.00,3.658
196.00,3.775
197.00,3.698
198.00,3.733
199.00,3.672
200.00,3.773
201.00,3.755
202.00,3.905
203.00,3.794
204.00,3.884
205.00,3.773
206.00,3.714
207.00,3.688
208.00,3.816
209.00,3.665
210.00,3.524
211.00,3.472
212.00,3.304
213.00,3.158
214.00,3.062
215.00,2.940
216.00,2.826
217.00,2.672
218.00,2.561
219.00,2.449
220.00,2.313
221.00,2.201
222.00,2.093
223.00,1.989
224.00,1.879
225.00,1.776
226.00,1.676
227.00,1.574
228.00,1.478
229.00,1.391
230.00,1.308
231.00,1.231
232.00,1.164
233.00,1.104
234.00,1.051
235.00,1.007
236.00,0.970
237.00,0.938
238.00,0.912
239.00,0.891
240.00,0.874
241.00,0.861
242.00,0.853
243.00,0.846
244.00,0.842
245.00,0.840
246.00,0.840
247.00,0.841
248.00,0.843
249.00,0.845
250.00,0.849
251.00,0.853
252.00,0.858
253.00,0.863
254.00,0.868
255.00,0.872
256.00,0.877
257.00,0.881
258.00,0.884
259.00,0.885
260.00,0.886
261.00,0.887
262.00,0.887
263.00,0.888
264.00,0.888
265.00,0.887
266.00,0.886
267.00,0.885
268.00,0.882
269.00,0.878
270.00,0.871
271.00,0.863
272.00,0.853
273.00,0.842
274.00,0.830
275.00,0.817
276.00,0.802
277.00,0.788
278.00,0.772
279.00,0.756
280.00,0.739
281.00,0.721
282.00,0.702
283.00,0.681
284.00,0.660
285.00,0.637
286.00,0.616
287.00,0.596
288.00,0.575
289.00,0.554
290.00,0.531
291.00,0.510
292.00,0.491
293.00,0.474
294.00,0.460
295.00,0.447
296.00,0.436
297.00,0.426
298.00,0.418
299.00,0.409
300.00,0.402
301.00,0.396
302.00,0.390
303.00,0.385
304.00,0.381
305.00,0.377
306.00,0.373
307.00,0.369
308.00,0.365
309.00,0.362
310.00,0.359
311.00,0.356
312.00,0.353
313.00,0.351
314.00,0.348
315.00,0.345
316.00,0.343
317.00,0.340
318.00,0.337
319.00,0.333
320.00,0.330
321.00,0.326
322.00,0.322
323.00,0.319
324.00,0.314
325.00,0.310
326.00,0.305
327.00,0.300
328.00,0.295
329.00,0.290
330.00,0.284
331.00,0.279
332.00,0.273
333.00,0.267
334.00,0.261
335.00,0.255
336.00,0.250
337.00,0.244
338.00,0.238
339.00,0.232
340.00,0.226
341.00,0.219
342.00,0.213
343.00,0.207
344.00,0.202
345.00,0.196
346.00,0.191
347.00,0.186
348.00,0.181
349.00,0.177
350.00,0.172
351.00,0.168
352.00,0.163
353.00,0.159
354.00,0.155
355.00,0.151
356.00,0.148
357.00,0.144
358.00,0.140
359.00,0.137
360.00,0.134
361.00,0.131
362.00,0.129
363.00,0.126
364.00,0.124
365.00,0.121
366.00,0.119
367.00,0.117
368.00,0.115
369.00,0.113
370.00,0.111
371.00,0.109
372.00,0.107
373.00,0.106
374.00,0.104
375.00,0.102
376.00,0.101
377.00,0.099
378.00,0.098
379.00,0.096
380.00,0.095
381.00,0.093
382.00,0.092
383.00,0.091
384.00,0.090
385.00,0.089
386.00,0.088
387.00,0.087
388.00,0.086
389.00,0.085
390.00,0.084
391.00,0.083
392.00,0.082
393.00,0.081
394.00,0.080
395.00,0.080
396.00,0.079
397.00,0.078
398.00,0.077
399.00,0.077
400.00,0.076
401.00,0.076
402.00,0.075
403.00,0.074
404.00,0.074
405.00,0.073
406.00,0.073
407.00,0.072
408.00,0.072
409.00,0.071
410.00,0.071
411.00,0.070
412.00,0.070
413.00,0.070
414.00,0.069
415.00,0.069
416.00,0.068
417.00,0.068
418.00,0.068
419.00,0.068
420.00,0.067
421.00,0.067
422.00,0.067
423.00,0.067
424.00,0.066
425.00,0.066
426.00,0.066
427.00,0.065
428.00,0.065
429.00,0.065
430.00,0.065
431.00,0.065
432.00,0.064
433.00,0.064
434.00,0.064
435.00,0.064
436.00,0.063
437.00,0.063
438.00,0.063
439.00,0.063
440.00,0.063
441.00,0.063
442.00,0.062
443.00,0.062
444.00,0.062
445.00,0.062
446.00,0.062
447.00,0.062
448.00,0.061
449.00,0.061
450.00,0.061
451.00,0.061
452.00,0.061
453.00,0.061
454.00,0.061
455.00,0.060
456.00,0.060
457.00,0.060
458.00,0.060
459.00,0.060
460.00,0.060
461.00,0.060
462.00,0.059
463.00,0.059
464.00,0.059
465.00,0.059
466.00,0.059
467.00,0.059
468.00,0.059
469.00,0.058
470.00,0.058
471.00,0.058
472.00,0.058
473.00,0.058
474.00,0.058
475.00,0.058
476.00,0.058
477.00,0.057
478.00,0.057
479.00,0.057
480.00,0.057
481.00,0.057
482.00,0.057
483.00,0.057
484.00,0.057
485.00,0.057
486.00,0.056
487.00,0.056
488.00,0.056
489.00,0.056
490.00,0.056
491.00,0.056
492.00,0.056
493.00,0.056
494.00,0.055
495.00,0.055
496.00,0.055
