"Jazz50x - RawData"
"Wavelength nm.","Abs."
190.00,3.791
191.00,3.623
192.00,3.360
193.00,3.351
194.00,3.513
195.00,3.705
196.00,3.711
197.00,3.691
198.00,3.644
199.00,3.720
200.00,3.655
201.00,3.828
202.00,3.854
203.00,3.797
204.00,3.779
205.00,3.655
206.00,3.711
207.00,3.767
208.00,3.662
209.00,3.611
210.00,3.536
211.00,3.348
212.00,3.241
213.00,3.116
214.00,2.999
215.00,2.874
216.00,2.778
217.00,2.655
218.00,2.536
219.00,2.421
220.00,2.313
221.00,2.214
222.00,2.114
223.00,2.019
224.00,1.922
225.00,1.830
226.00,1.735
227.00,1.644
228.00,1.554
229.00,1.472
230.00,1.394
231.00,1.324
232.00,1.259
233.00,1.200
234.00,1.148
235.00,1.104
236.00,1.065
237.00,1.031
238.00,1.003
239.00,0.979
240.00,0.959
241.00,0.943
242.00,0.931
243.00,0.923
244.00,0.917
245.00,0.914
246.00,0.912
247.00,0.912
248.00,0.912
249.00,0.914
250.00,0.917
251.00,0.921
252.00,0.926
253.00,0.932
254.00,0.937
255.00,0.942
256.00,0.947
257.00,0.952
258.00,0.955
259.00,0.957
260.00,0.960
261.00,0.962
262.00,0.964
263.00,0.966
264.00,0.968
265.00,0.969
266.00,0.970
267.00,0.971
268.00,0.971
269.00,0.970
270.00,0.966
271.00,0.961
272.00,0.955
273.00,0.947
274.00,0.939
275.00,0.930
276.00,0.921
277.00,0.911
278.00,0.899
279.00,0.888
280.00,0.875
281.00,0.861
282.00,0.846
283.00,0.830
284.00,0.813
285.00,0.794
286.00,0.776
287.00,0.758
288.00,0.739
289.00,0.720
290.00,0.700
291.00,0.680
292.00,0.662
293.00,0.646
294.00,0.632
295.00,0.619
296.00,0.607
297.00,0.596
298.00,0.585
299.00,0.575
300.00,0.566
301.00,0.556
302.00,0.548
303.00,0.540
304.00,0.532
305.00,0.525
306.00,0.517
307.00,0.510
308.00,0.503
309.00,0.496
310.00,0.489
311.00,0.483
312.00,0.476
313.00,0.470
314.00,0.464
315.00,0.458
316.00,0.452
317.00,0.446
318.00,0.440
319.00,0.433
320.00,0.427
321.00,0.420
322.00,0.413
323.00,0.407
324.00,0.399
325.00,0.392
326.00,0.385
327.00,0.378
328.00,0.370
329.00,0.362
330.00,0.354
331.00,0.346
332.00,0.339
333.00,0.331
334.00,0.323
335.00,0.316
336.00,0.309
337.00,0.302
338.00,0.294
339.00,0.288
340.00,0.280
341.00,0.272
342.00,0.265
343.00,0.258
344.00,0.252
345.00,0.246
346.00,0.239
347.00,0.234
348.00,0.228
349.00,0.223
350.00,0.218
351.00,0.212
352.00,0.207
353.00,0.203
354.00,0.198
355.00,0.194
356.00,0.190
357.00,0.185
358.00,0.181
359.00,0.177
360.00,0.174
361.00,0.170
362.00,0.167
363.00,0.164
364.00,0.161
365.00,0.158
366.00,0.155
367.00,0.153
368.00,0.150
369.00,0.147
370.00,0.145
371.00,0.142
372.00,0.140
373.00,0.138
374.00,0.136
375.00,0.134
376.00,0.131
377.00,0.129
378.00,0.127
379.00,0.125
380.00,0.123
381.00,0.121
382.00,0.120
383.00,0.118
384.00,0.116
385.00,0.115
386.00,0.113
387.00,0.112
388.00,0.110
389.00,0.109
390.00,0.107
391.00,0.106
392.00,0.104
393.00,0.103
394.00,0.102
395.00,0.101
396.00,0.099
397.00,0.098
398.00,0.097
399.00,0.096
400.00,0.095
401.00,0.094
402.00,0.093
403.00,0.092
404.00,0.091
405.00,0.090
406.00,0.089
407.00,0.088
408.00,0.087
409.00,0.087
410.00,0.086
411.00,0.085
412.00,0.084
413.00,0.083
414.00,0.083
415.00,0.082
416.00,0.081
417.00,0.081
418.00,0.080
419.00,0.080
420.00,0.079
421.00,0.078
422.00,0.078
423.00,0.077
424.00,0.076
425.00,0.076
426.00,0.075
427.00,0.075
428.00,0.074
429.00,0.074
430.00,0.073
431.00,0.072
432.00,0.072
433.00,0.072
434.00,0.071
435.00,0.071
436.00,0.070
437.00,0.070
438.00,0.069
439.00,0.069
440.00,0.068
441.00,0.068
442.00,0.068
443.00,0.067
444.00,0.067
445.00,0.066
446.00,0.066
447.00,0.066
448.00,0.065
449.00,0.065
450.00,0.064
451.00,0.064
452.00,0.064
453.00,0.063
454.00,0.063
455.00,0.063
456.00,0.062
457.00,0.062
458.00,0.062
459.00,0.061
460.00,0.061
461.00,0.061
462.00,0.060
463.00,0.060
464.00,0.060
465.00,0.059
466.00,0.059
467.00,0.059
468.00,0.059
469.00,0.058
470.00,0.058
471.00,0.058
472.00,0.057
473.00,0.057
474.00,0.057
475.00,0.057
476.00,0.056
477.00,0.056
478.00,0.056
479.00,0.055
480.00,0.055
481.00,0.055
482.00,0.054
483.00,0.054
484.00,0.054
485.00,0.054
486.00,0.053
487.00,0.053
488.00,0.053
489.00,0.053
490.00,0.052
491.00,0.052
492.00,0.052
493.00,0.052
494.00,0.052
495.00,0.051
496.00,0.051
497.00,0.051
498.00,0.051
499.00,0.051
500.00,0.050
501.00,0.050
502.00,0.050
503.00,0.050
504.00,0.050
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.049
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.048
516.00,0.048
517.00,0.047
518.00,0.047
519.00,0.047
520.00,0.047
521.00,0.047
522.00,0.047
523.00,0.046
524.00,0.046
525.00,0.046
526.00,0.046
527.00,0.046
528.00,0.046
529.00,0.046
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.045
535.00,0.045
536.00,0.045
537.00,0.045
538.00,0.045
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
543.00,0.044
544.00,0.044
545.00,0.044
546.00,0.044
547.00,0.044
548.00,0.043
549.00,0.043
