"LDFImperialIPA_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.282
191.00,3.136
192.00,3.270
193.00,3.300
194.00,3.576
195.00,3.272
196.00,3.257
197.00,3.575
198.00,3.454
199.00,3.393
200.00,3.766
201.00,3.531
202.00,3.728
203.00,3.677
204.00,3.808
205.00,3.688
206.00,3.561
207.00,3.584
208.00,3.684
209.00,3.631
210.00,3.797
211.00,3.536
212.00,3.610
213.00,3.447
214.00,3.466
215.00,3.394
216.00,3.344
217.00,3.216
218.00,3.051
219.00,2.946
220.00,2.826
221.00,2.697
222.00,2.582
223.00,2.470
224.00,2.357
225.00,2.259
226.00,2.147
227.00,2.047
228.00,1.946
229.00,1.853
230.00,1.768
231.00,1.689
232.00,1.618
233.00,1.553
234.00,1.498
235.00,1.448
236.00,1.404
237.00,1.366
238.00,1.334
239.00,1.306
240.00,1.284
241.00,1.266
242.00,1.253
243.00,1.243
244.00,1.236
245.00,1.232
246.00,1.229
247.00,1.229
248.00,1.229
249.00,1.231
250.00,1.234
251.00,1.237
252.00,1.241
253.00,1.247
254.00,1.251
255.00,1.256
256.00,1.261
257.00,1.264
258.00,1.266
259.00,1.267
260.00,1.267
261.00,1.269
262.00,1.270
263.00,1.273
264.00,1.275
265.00,1.277
266.00,1.279
267.00,1.280
268.00,1.279
269.00,1.278
270.00,1.275
271.00,1.271
272.00,1.266
273.00,1.259
274.00,1.250
275.00,1.238
276.00,1.225
277.00,1.209
278.00,1.191
279.00,1.171
280.00,1.150
281.00,1.128
282.00,1.104
283.00,1.079
284.00,1.053
285.00,1.024
286.00,0.995
287.00,0.966
288.00,0.936
289.00,0.907
290.00,0.876
291.00,0.846
292.00,0.820
293.00,0.796
294.00,0.776
295.00,0.756
296.00,0.740
297.00,0.725
298.00,0.709
299.00,0.695
300.00,0.683
301.00,0.671
302.00,0.660
303.00,0.649
304.00,0.640
305.00,0.631
306.00,0.621
307.00,0.613
308.00,0.605
309.00,0.596
310.00,0.588
311.00,0.581
312.00,0.573
313.00,0.566
314.00,0.559
315.00,0.552
316.00,0.545
317.00,0.538
318.00,0.531
319.00,0.524
320.00,0.517
321.00,0.509
322.00,0.502
323.00,0.494
324.00,0.487
325.00,0.479
326.00,0.472
327.00,0.463
328.00,0.455
329.00,0.447
330.00,0.438
331.00,0.430
332.00,0.422
333.00,0.414
334.00,0.405
335.00,0.397
336.00,0.389
337.00,0.381
338.00,0.373
339.00,0.365
340.00,0.358
341.00,0.348
342.00,0.340
343.00,0.333
344.00,0.326
345.00,0.319
346.00,0.312
347.00,0.305
348.00,0.298
349.00,0.291
350.00,0.285
351.00,0.279
352.00,0.273
353.00,0.267
354.00,0.261
355.00,0.256
356.00,0.251
357.00,0.245
358.00,0.240
359.00,0.235
360.00,0.231
361.00,0.226
362.00,0.221
363.00,0.217
364.00,0.213
365.00,0.209
366.00,0.206
367.00,0.202
368.00,0.199
369.00,0.195
370.00,0.192
371.00,0.188
372.00,0.185
373.00,0.182
374.00,0.179
375.00,0.176
376.00,0.173
377.00,0.170
378.00,0.168
379.00,0.165
380.00,0.162
381.00,0.160
382.00,0.157
383.00,0.155
384.00,0.152
385.00,0.150
386.00,0.148
387.00,0.146
388.00,0.144
389.00,0.142
390.00,0.140
391.00,0.138
392.00,0.136
393.00,0.135
394.00,0.133
395.00,0.131
396.00,0.130
397.00,0.128
398.00,0.127
399.00,0.125
400.00,0.124
401.00,0.122
402.00,0.121
403.00,0.120
404.00,0.119
405.00,0.117
406.00,0.116
407.00,0.115
408.00,0.114
409.00,0.113
410.00,0.112
411.00,0.111
412.00,0.109
413.00,0.109
414.00,0.108
415.00,0.107
416.00,0.106
417.00,0.105
418.00,0.104
419.00,0.103
420.00,0.103
421.00,0.102
422.00,0.101
423.00,0.100
424.00,0.100
425.00,0.099
426.00,0.098
427.00,0.097
428.00,0.097
429.00,0.096
430.00,0.095
431.00,0.094
432.00,0.094
433.00,0.093
434.00,0.093
435.00,0.092
436.00,0.091
437.00,0.091
438.00,0.090
439.00,0.090
440.00,0.089
441.00,0.089
442.00,0.088
443.00,0.087
444.00,0.087
445.00,0.086
446.00,0.086
447.00,0.085
448.00,0.085
449.00,0.084
450.00,0.084
451.00,0.083
452.00,0.083
453.00,0.083
454.00,0.082
455.00,0.082
456.00,0.081
457.00,0.081
458.00,0.080
459.00,0.080
460.00,0.079
461.00,0.079
462.00,0.078
463.00,0.078
464.00,0.078
465.00,0.077
466.00,0.077
467.00,0.077
468.00,0.076
469.00,0.076
470.00,0.075
471.00,0.075
472.00,0.075
473.00,0.074
474.00,0.074
475.00,0.074
476.00,0.073
477.00,0.073
478.00,0.072
479.00,0.072
480.00,0.072
481.00,0.071
482.00,0.071
483.00,0.071
484.00,0.070
485.00,0.070
486.00,0.070
487.00,0.069
488.00,0.069
489.00,0.069
490.00,0.068
491.00,0.068
492.00,0.068
493.00,0.067
494.00,0.067
495.00,0.067
496.00,0.067
497.00,0.066
498.00,0.066
499.00,0.066
500.00,0.065
501.00,0.065
502.00,0.065
503.00,0.065
504.00,0.064
505.00,0.064
506.00,0.064
507.00,0.064
508.00,0.063
509.00,0.063
510.00,0.063
511.00,0.063
512.00,0.062
513.00,0.062
514.00,0.062
515.00,0.062
516.00,0.061
517.00,0.061
518.00,0.061
519.00,0.061
520.00,0.061
521.00,0.060
522.00,0.060
523.00,0.060
524.00,0.060
525.00,0.060
526.00,0.059
527.00,0.059
528.00,0.059
529.00,0.059
530.00,0.059
531.00,0.058
532.00,0.058
533.00,0.058
534.00,0.058
535.00,0.058
536.00,0.058
537.00,0.057
538.00,0.057
539.00,0.057
540.00,0.057
