"LDFPorterBaltique_100x - RawData"
"Wavelength nm.","Abs."
190.00,3.321
191.00,3.332
192.00,3.551
193.00,3.516
194.00,3.445
195.00,3.350
196.00,3.433
197.00,3.742
198.00,3.628
199.00,3.428
200.00,3.538
201.00,3.498
202.00,3.506
203.00,3.427
204.00,3.700
205.00,3.598
206.00,3.421
207.00,3.477
208.00,3.407
209.00,3.323
210.00,3.253
211.00,3.138
212.00,3.016
213.00,2.870
214.00,2.777
215.00,2.661
216.00,2.572
217.00,2.461
218.00,2.363
219.00,2.271
220.00,2.171
221.00,2.090
222.00,2.005
223.00,1.920
224.00,1.839
225.00,1.760
226.00,1.681
227.00,1.602
228.00,1.527
229.00,1.458
230.00,1.392
231.00,1.332
232.00,1.277
233.00,1.227
234.00,1.184
235.00,1.145
236.00,1.112
237.00,1.083
238.00,1.058
239.00,1.038
240.00,1.020
241.00,1.006
242.00,0.996
243.00,0.989
244.00,0.985
245.00,0.982
246.00,0.980
247.00,0.979
248.00,0.980
249.00,0.981
250.00,0.983
251.00,0.986
252.00,0.989
253.00,0.993
254.00,0.997
255.00,1.000
256.00,1.004
257.00,1.006
258.00,1.008
259.00,1.010
260.00,1.011
261.00,1.011
262.00,1.012
263.00,1.012
264.00,1.013
265.00,1.013
266.00,1.012
267.00,1.012
268.00,1.010
269.00,1.008
270.00,1.004
271.00,0.999
272.00,0.993
273.00,0.985
274.00,0.976
275.00,0.968
276.00,0.959
277.00,0.948
278.00,0.936
279.00,0.924
280.00,0.911
281.00,0.897
282.00,0.883
283.00,0.866
284.00,0.850
285.00,0.832
286.00,0.815
287.00,0.797
288.00,0.779
289.00,0.760
290.00,0.741
291.00,0.722
292.00,0.704
293.00,0.688
294.00,0.674
295.00,0.661
296.00,0.650
297.00,0.639
298.00,0.628
299.00,0.618
300.00,0.609
301.00,0.600
302.00,0.592
303.00,0.583
304.00,0.575
305.00,0.567
306.00,0.559
307.00,0.552
308.00,0.544
309.00,0.537
310.00,0.530
311.00,0.523
312.00,0.516
313.00,0.510
314.00,0.504
315.00,0.497
316.00,0.492
317.00,0.485
318.00,0.479
319.00,0.473
320.00,0.467
321.00,0.460
322.00,0.454
323.00,0.448
324.00,0.441
325.00,0.434
326.00,0.427
327.00,0.421
328.00,0.414
329.00,0.407
330.00,0.401
331.00,0.394
332.00,0.388
333.00,0.381
334.00,0.375
335.00,0.368
336.00,0.362
337.00,0.356
338.00,0.350
339.00,0.344
340.00,0.339
341.00,0.331
342.00,0.325
343.00,0.320
344.00,0.314
345.00,0.309
346.00,0.304
347.00,0.299
348.00,0.294
349.00,0.290
350.00,0.285
351.00,0.280
352.00,0.276
353.00,0.272
354.00,0.267
355.00,0.264
356.00,0.259
357.00,0.256
358.00,0.251
359.00,0.248
360.00,0.244
361.00,0.241
362.00,0.237
363.00,0.234
364.00,0.231
365.00,0.228
366.00,0.225
367.00,0.222
368.00,0.219
369.00,0.216
370.00,0.214
371.00,0.211
372.00,0.208
373.00,0.206
374.00,0.203
375.00,0.201
376.00,0.198
377.00,0.196
378.00,0.193
379.00,0.191
380.00,0.189
381.00,0.186
382.00,0.184
383.00,0.182
384.00,0.180
385.00,0.178
386.00,0.176
387.00,0.174
388.00,0.172
389.00,0.170
390.00,0.169
391.00,0.167
392.00,0.165
393.00,0.163
394.00,0.162
395.00,0.160
396.00,0.158
397.00,0.157
398.00,0.155
399.00,0.154
400.00,0.152
401.00,0.151
402.00,0.149
403.00,0.148
404.00,0.147
405.00,0.146
406.00,0.144
407.00,0.143
408.00,0.142
409.00,0.140
410.00,0.139
411.00,0.138
412.00,0.137
413.00,0.135
414.00,0.134
415.00,0.133
416.00,0.132
417.00,0.131
418.00,0.130
419.00,0.129
420.00,0.128
421.00,0.127
422.00,0.126
423.00,0.125
424.00,0.124
425.00,0.123
426.00,0.122
427.00,0.121
428.00,0.120
429.00,0.119
430.00,0.118
431.00,0.118
432.00,0.117
433.00,0.116
434.00,0.115
435.00,0.114
436.00,0.113
437.00,0.112
438.00,0.112
439.00,0.111
440.00,0.110
441.00,0.109
442.00,0.109
443.00,0.108
444.00,0.107
445.00,0.106
446.00,0.106
447.00,0.105
448.00,0.104
449.00,0.104
450.00,0.103
451.00,0.102
452.00,0.102
453.00,0.101
454.00,0.100
455.00,0.100
456.00,0.099
457.00,0.098
458.00,0.098
459.00,0.097
460.00,0.097
461.00,0.096
462.00,0.095
463.00,0.095
464.00,0.094
465.00,0.094
466.00,0.093
467.00,0.092
468.00,0.092
469.00,0.091
470.00,0.091
471.00,0.090
472.00,0.090
473.00,0.089
474.00,0.089
475.00,0.088
476.00,0.088
477.00,0.087
478.00,0.087
479.00,0.086
480.00,0.085
481.00,0.085
482.00,0.084
483.00,0.084
484.00,0.084
485.00,0.083
486.00,0.083
487.00,0.082
488.00,0.082
489.00,0.081
490.00,0.081
491.00,0.080
492.00,0.080
493.00,0.079
494.00,0.079
495.00,0.079
496.00,0.078
497.00,0.078
498.00,0.077
499.00,0.077
500.00,0.077
501.00,0.076
502.00,0.076
503.00,0.076
504.00,0.075
505.00,0.075
506.00,0.074
507.00,0.074
508.00,0.074
509.00,0.073
510.00,0.073
511.00,0.073
512.00,0.072
513.00,0.072
514.00,0.072
515.00,0.071
516.00,0.071
517.00,0.071
518.00,0.070
519.00,0.070
520.00,0.070
521.00,0.069
522.00,0.069
523.00,0.069
524.00,0.068
525.00,0.068
526.00,0.068
527.00,0.068
528.00,0.067
529.00,0.067
530.00,0.067
531.00,0.066
532.00,0.066
533.00,0.066
534.00,0.066
535.00,0.065
536.00,0.065
537.00,0.065
538.00,0.065
539.00,0.064
540.00,0.064
541.00,0.064
542.00,0.064
543.00,0.063
544.00,0.063
545.00,0.063
546.00,0.063
547.00,0.062
548.00,0.062
549.00,0.062
550.00,0.062
551.00,0.062
552.00,0.061
553.00,0.061
554.00,0.061
555.00,0.061
556.00,0.060
557.00,0.060
558.00,0.060
559.00,0.060
560.00,0.060
561.00,0.060
562.00,0.059
563.00,0.059
564.00,0.059
565.00,0.059
566.00,0.059
567.00,0.058
568.00,0.058
569.00,0.058
570.00,0.058
571.00,0.058
572.00,0.057
573.00,0.057
574.00,0.057
575.00,0.057
576.00,0.057
577.00,0.057
578.00,0.057
579.00,0.056
580.00,0.056
581.00,0.056
582.00,0.056
583.00,0.056
584.00,0.056
585.00,0.055
586.00,0.055
587.00,0.055
588.00,0.055
589.00,0.055
590.00,0.055
591.00,0.055
592.00,0.055
593.00,0.055
594.00,0.055
595.00,0.054
596.00,0.054
597.00,0.054
598.00,0.054
599.00,0.054
600.00,0.054
601.00,0.054
602.00,0.054
603.00,0.054
604.00,0.054
605.00,0.053
606.00,0.053
607.00,0.053
608.00,0.053
609.00,0.053
610.00,0.053
611.00,0.053
612.00,0.053
613.00,0.053
614.00,0.052
615.00,0.052
616.00,0.052
617.00,0.052
618.00,0.052
619.00,0.052
620.00,0.052
621.00,0.052
622.00,0.052
623.00,0.052
624.00,0.051
625.00,0.051
626.00,0.051
627.00,0.051
628.00,0.051
629.00,0.051
630.00,0.051
631.00,0.051
632.00,0.051
633.00,0.051
634.00,0.051
635.00,0.050
636.00,0.050
637.00,0.050
638.00,0.050
639.00,0.050
640.00,0.050
641.00,0.050
642.00,0.050
643.00,0.050
644.00,0.050
645.00,0.050
646.00,0.050
647.00,0.049
648.00,0.049
649.00,0.049
650.00,0.049
651.00,0.049
652.00,0.049
653.00,0.049
654.00,0.049
655.00,0.049
656.00,0.049
657.00,0.049
658.00,0.049
659.00,0.049
660.00,0.049
661.00,0.049
662.00,0.049
663.00,0.049
664.00,0.049
665.00,0.048
666.00,0.048
667.00,0.048
668.00,0.048
669.00,0.048
670.00,0.048
671.00,0.048
672.00,0.048
673.00,0.048
674.00,0.048
675.00,0.048
676.00,0.048
677.00,0.048
678.00,0.048
679.00,0.048
680.00,0.048
681.00,0.047
682.00,0.047
683.00,0.047
684.00,0.047
685.00,0.047
686.00,0.047
687.00,0.047
688.00,0.047
689.00,0.047
690.00,0.047
691.00,0.047
692.00,0.047
693.00,0.047
694.00,0.047
695.00,0.047
696.00,0.047
697.00,0.047
698.00,0.047
699.00,0.047
700.00,0.047
701.00,0.047
702.00,0.047
703.00,0.047
704.00,0.047
705.00,0.047
706.00,0.047
707.00,0.047
708.00,0.047
709.00,0.047
710.00,0.047
711.00,0.047
712.00,0.047
713.00,0.048
714.00,0.048
715.00,0.048
716.00,0.048
717.00,0.048
718.00,0.048
719.00,0.049
720.00,0.049
721.00,0.049
722.00,0.049
723.00,0.049
724.00,0.049
725.00,0.050
726.00,0.050
727.00,0.050
728.00,0.050
729.00,0.051
730.00,0.051
731.00,0.052
732.00,0.052
733.00,0.053
734.00,0.053
735.00,0.053
736.00,0.054
737.00,0.054
738.00,0.054
739.00,0.054
740.00,0.054
741.00,0.054
742.00,0.054
743.00,0.054
744.00,0.054
745.00,0.054
746.00,0.054
747.00,0.054
748.00,0.054
749.00,0.054
750.00,0.054
751.00,0.054
752.00,0.054
753.00,0.054
754.00,0.054
755.00,0.054
756.00,0.054
757.00,0.054
758.00,0.054
759.00,0.054
760.00,0.054
761.00,0.054
762.00,0.054
763.00,0.054
764.00,0.054
765.00,0.054
766.00,0.053
767.00,0.053
768.00,0.053
769.00,0.053
770.00,0.053
771.00,0.053
772.00,0.053
773.00,0.053
774.00,0.053
775.00,0.053
776.00,0.053
777.00,0.053
778.00,0.052
779.00,0.052
780.00,0.052
781.00,0.052
782.00,0.052
783.00,0.052
784.00,0.052
785.00,0.052
786.00,0.052
787.00,0.051
788.00,0.051
789.00,0.051
790.00,0.051
791.00,0.051
792.00,0.051
793.00,0.051
794.00,0.051
795.00,0.050
796.00,0.050
797.00,0.050
798.00,0.050
799.00,0.050
800.00,0.050
801.00,0.050
802.00,0.050
803.00,0.050
804.00,0.050
805.00,0.049
806.00,0.049
807.00,0.049
808.00,0.049
809.00,0.049
810.00,0.049
811.00,0.049
812.00,0.049
813.00,0.049
814.00,0.049
815.00,0.050
816.00,0.049
817.00,0.050
818.00,0.050
819.00,0.050
820.00,0.050
821.00,0.050
822.00,0.050
823.00,0.050
824.00,0.051
825.00,0.051
826.00,0.052
827.00,0.052
828.00,0.052
829.00,0.053
830.00,0.054
831.00,0.054
832.00,0.054
833.00,0.055
834.00,0.055
835.00,0.055
836.00,0.056
837.00,0.056
838.00,0.056
839.00,0.056
840.00,0.056
841.00,0.056
842.00,0.056
843.00,0.056
844.00,0.057
845.00,0.057
846.00,0.057
847.00,0.057
848.00,0.057
849.00,0.057
850.00,0.057
851.00,0.057
852.00,0.057
853.00,0.057
854.00,0.058
855.00,0.058
856.00,0.058
857.00,0.058
858.00,0.058
859.00,0.058
860.00,0.058
861.00,0.058
862.00,0.058
863.00,0.058
864.00,0.058
865.00,0.059
866.00,0.059
867.00,0.059
868.00,0.059
869.00,0.059
