"LSIBeluette50x - RawData"
"Wavelength nm.","Abs."
190.00,3.014
191.00,3.454
192.00,3.069
193.00,3.362
194.00,3.705
195.00,3.236
196.00,3.552
197.00,3.558
198.00,3.237
199.00,3.241
200.00,3.128
201.00,3.089
202.00,3.007
203.00,2.878
204.00,2.773
205.00,2.609
206.00,2.497
207.00,2.377
208.00,2.284
209.00,2.187
210.00,2.084
211.00,1.995
212.00,1.913
213.00,1.831
214.00,1.758
215.00,1.687
216.00,1.618
217.00,1.553
218.00,1.487
219.00,1.425
220.00,1.364
221.00,1.307
222.00,1.250
223.00,1.194
224.00,1.137
225.00,1.080
226.00,1.022
227.00,0.961
228.00,0.901
229.00,0.845
230.00,0.791
231.00,0.742
232.00,0.699
233.00,0.659
234.00,0.625
235.00,0.595
236.00,0.568
237.00,0.546
238.00,0.526
239.00,0.510
240.00,0.496
241.00,0.484
242.00,0.474
243.00,0.467
244.00,0.461
245.00,0.456
246.00,0.452
247.00,0.449
248.00,0.447
249.00,0.445
250.00,0.444
251.00,0.445
252.00,0.445
253.00,0.445
254.00,0.446
255.00,0.448
256.00,0.449
257.00,0.451
258.00,0.453
259.00,0.455
260.00,0.458
261.00,0.460
262.00,0.462
263.00,0.465
264.00,0.467
265.00,0.469
266.00,0.471
267.00,0.472
268.00,0.472
269.00,0.472
270.00,0.471
271.00,0.470
272.00,0.469
273.00,0.466
274.00,0.463
275.00,0.459
276.00,0.455
277.00,0.450
278.00,0.444
279.00,0.438
280.00,0.432
281.00,0.426
282.00,0.418
283.00,0.410
284.00,0.401
285.00,0.391
286.00,0.383
287.00,0.374
288.00,0.366
289.00,0.357
290.00,0.348
291.00,0.339
292.00,0.331
293.00,0.323
294.00,0.316
295.00,0.310
296.00,0.304
297.00,0.299
298.00,0.293
299.00,0.288
300.00,0.283
301.00,0.278
302.00,0.273
303.00,0.269
304.00,0.266
305.00,0.262
306.00,0.259
307.00,0.255
308.00,0.253
309.00,0.250
310.00,0.247
311.00,0.245
312.00,0.243
313.00,0.241
314.00,0.239
315.00,0.237
316.00,0.236
317.00,0.234
318.00,0.232
319.00,0.231
320.00,0.229
321.00,0.227
322.00,0.225
323.00,0.223
324.00,0.221
325.00,0.219
326.00,0.216
327.00,0.214
328.00,0.212
329.00,0.209
330.00,0.206
331.00,0.203
332.00,0.200
333.00,0.196
334.00,0.193
335.00,0.190
336.00,0.187
337.00,0.184
338.00,0.180
339.00,0.177
340.00,0.174
341.00,0.169
342.00,0.166
343.00,0.162
344.00,0.159
345.00,0.155
346.00,0.152
347.00,0.149
348.00,0.146
349.00,0.143
350.00,0.139
351.00,0.136
352.00,0.133
353.00,0.131
354.00,0.128
355.00,0.125
356.00,0.122
357.00,0.120
358.00,0.118
359.00,0.115
360.00,0.113
361.00,0.111
362.00,0.109
363.00,0.107
364.00,0.105
365.00,0.103
366.00,0.102
367.00,0.100
368.00,0.098
369.00,0.097
370.00,0.095
371.00,0.094
372.00,0.093
373.00,0.091
374.00,0.090
375.00,0.089
376.00,0.088
377.00,0.087
378.00,0.086
379.00,0.084
380.00,0.083
381.00,0.082
382.00,0.081
383.00,0.080
384.00,0.080
385.00,0.079
386.00,0.078
387.00,0.077
388.00,0.076
389.00,0.076
390.00,0.075
391.00,0.074
392.00,0.074
393.00,0.073
394.00,0.072
395.00,0.072
396.00,0.071
397.00,0.071
398.00,0.070
399.00,0.070
400.00,0.069
401.00,0.069
402.00,0.068
403.00,0.068
404.00,0.068
405.00,0.067
406.00,0.067
407.00,0.066
408.00,0.066
409.00,0.066
410.00,0.066
411.00,0.065
412.00,0.065
413.00,0.065
414.00,0.064
415.00,0.064
416.00,0.064
417.00,0.063
418.00,0.063
419.00,0.063
420.00,0.063
421.00,0.063
422.00,0.062
423.00,0.062
424.00,0.062
425.00,0.062
426.00,0.062
427.00,0.062
428.00,0.061
429.00,0.061
430.00,0.061
431.00,0.061
432.00,0.061
433.00,0.061
434.00,0.061
435.00,0.060
436.00,0.060
437.00,0.060
438.00,0.060
439.00,0.060
440.00,0.060
441.00,0.060
442.00,0.059
443.00,0.059
444.00,0.059
445.00,0.059
446.00,0.059
447.00,0.059
448.00,0.059
449.00,0.059
450.00,0.059
451.00,0.058
452.00,0.058
453.00,0.058
454.00,0.058
455.00,0.058
456.00,0.058
457.00,0.058
458.00,0.058
459.00,0.058
460.00,0.058
461.00,0.058
462.00,0.058
463.00,0.058
464.00,0.058
465.00,0.057
466.00,0.057
467.00,0.057
468.00,0.057
469.00,0.057
470.00,0.057
471.00,0.057
472.00,0.057
473.00,0.057
474.00,0.057
475.00,0.057
476.00,0.057
477.00,0.057
478.00,0.057
479.00,0.057
480.00,0.056
481.00,0.057
482.00,0.056
483.00,0.056
484.00,0.056
485.00,0.056
486.00,0.056
487.00,0.056
488.00,0.056
489.00,0.056
490.00,0.056
491.00,0.056
492.00,0.056
493.00,0.056
494.00,0.056
495.00,0.056
496.00,0.056
497.00,0.056
498.00,0.055
499.00,0.055
500.00,0.055
501.00,0.055
502.00,0.055
503.00,0.055
504.00,0.055
505.00,0.055
506.00,0.055
507.00,0.055
508.00,0.055
509.00,0.055
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.054
515.00,0.054
516.00,0.054
517.00,0.054
518.00,0.054
519.00,0.053
520.00,0.053
521.00,0.053
522.00,0.053
523.00,0.053
524.00,0.053
525.00,0.053
526.00,0.053
527.00,0.052
528.00,0.052
529.00,0.052
530.00,0.052
531.00,0.052
532.00,0.052
533.00,0.052
534.00,0.051
535.00,0.051
536.00,0.052
537.00,0.051
538.00,0.051
539.00,0.051
540.00,0.051
541.00,0.051
542.00,0.051
543.00,0.050
544.00,0.050
545.00,0.050
546.00,0.050
547.00,0.050
548.00,0.050
549.00,0.050
550.00,0.050
551.00,0.050
552.00,0.050
553.00,0.050
554.00,0.049
555.00,0.049
556.00,0.049
557.00,0.049
558.00,0.049
559.00,0.049
560.00,0.049
561.00,0.049
562.00,0.049
563.00,0.049
564.00,0.049
565.00,0.049
566.00,0.048
567.00,0.048
568.00,0.048
569.00,0.048
570.00,0.048
571.00,0.048
572.00,0.048
573.00,0.048
574.00,0.048
575.00,0.048
576.00,0.048
577.00,0.047
578.00,0.047
579.00,0.047
580.00,0.047
581.00,0.047
582.00,0.047
583.00,0.047
584.00,0.047
585.00,0.047
586.00,0.047
587.00,0.047
588.00,0.047
589.00,0.047
590.00,0.047
591.00,0.047
592.00,0.046
593.00,0.046
594.00,0.046
595.00,0.046
596.00,0.046
597.00,0.046
598.00,0.046
599.00,0.046
600.00,0.046
601.00,0.046
602.00,0.046
603.00,0.046
604.00,0.046
605.00,0.046
606.00,0.046
607.00,0.046
608.00,0.046
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.046
615.00,0.045
616.00,0.045
617.00,0.045
618.00,0.045
619.00,0.045
620.00,0.045
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.045
626.00,0.045
627.00,0.045
628.00,0.045
629.00,0.045
630.00,0.045
631.00,0.045
632.00,0.045
633.00,0.045
634.00,0.045
635.00,0.044
636.00,0.044
637.00,0.044
638.00,0.044
639.00,0.044
640.00,0.044
641.00,0.044
642.00,0.044
643.00,0.044
644.00,0.044
645.00,0.044
646.00,0.044
647.00,0.044
648.00,0.044
649.00,0.044
650.00,0.044
651.00,0.044
652.00,0.044
653.00,0.044
654.00,0.044
655.00,0.044
656.00,0.044
657.00,0.044
658.00,0.044
659.00,0.044
660.00,0.044
661.00,0.044
662.00,0.044
663.00,0.044
664.00,0.044
665.00,0.044
666.00,0.044
667.00,0.044
668.00,0.044
669.00,0.044
670.00,0.044
671.00,0.043
672.00,0.044
673.00,0.043
674.00,0.043
675.00,0.043
676.00,0.043
677.00,0.043
678.00,0.043
679.00,0.043
680.00,0.043
681.00,0.043
682.00,0.043
683.00,0.043
684.00,0.043
685.00,0.043
686.00,0.043
687.00,0.043
688.00,0.043
689.00,0.043
690.00,0.043
691.00,0.043
692.00,0.043
693.00,0.043
694.00,0.043
695.00,0.043
696.00,0.043
697.00,0.043
698.00,0.043
699.00,0.043
700.00,0.044
701.00,0.044
702.00,0.044
703.00,0.044
704.00,0.044
705.00,0.044
706.00,0.044
707.00,0.044
708.00,0.044
709.00,0.044
710.00,0.044
711.00,0.044
712.00,0.044
713.00,0.044
714.00,0.045
715.00,0.045
716.00,0.045
717.00,0.045
718.00,0.045
719.00,0.045
720.00,0.046
721.00,0.046
722.00,0.046
723.00,0.046
724.00,0.046
725.00,0.047
726.00,0.047
