"LSTGrosMollet100x - RawData"
"Wavelength nm.","Abs."
190.00,2.817
191.00,3.404
192.00,2.994
193.00,3.047
194.00,3.128
195.00,3.245
196.00,3.072
197.00,3.040
198.00,2.912
199.00,2.840
200.00,2.763
201.00,2.680
202.00,2.600
203.00,2.513
204.00,2.424
205.00,2.339
206.00,2.279
207.00,2.208
208.00,2.134
209.00,2.071
210.00,2.008
211.00,1.955
212.00,1.904
213.00,1.852
214.00,1.803
215.00,1.757
216.00,1.711
217.00,1.664
218.00,1.621
219.00,1.578
220.00,1.536
221.00,1.495
222.00,1.455
223.00,1.415
224.00,1.372
225.00,1.328
226.00,1.284
227.00,1.239
228.00,1.193
229.00,1.147
230.00,1.099
231.00,1.053
232.00,1.007
233.00,0.959
234.00,0.914
235.00,0.873
236.00,0.836
237.00,0.800
238.00,0.764
239.00,0.729
240.00,0.696
241.00,0.669
242.00,0.649
243.00,0.636
244.00,0.626
245.00,0.620
246.00,0.615
247.00,0.614
248.00,0.613
249.00,0.613
250.00,0.615
251.00,0.617
252.00,0.620
253.00,0.624
254.00,0.628
255.00,0.632
256.00,0.637
257.00,0.641
258.00,0.645
259.00,0.649
260.00,0.652
261.00,0.656
262.00,0.659
263.00,0.663
264.00,0.666
265.00,0.670
266.00,0.672
267.00,0.675
268.00,0.677
269.00,0.679
270.00,0.680
271.00,0.681
272.00,0.680
273.00,0.680
274.00,0.679
275.00,0.678
276.00,0.675
277.00,0.672
278.00,0.668
279.00,0.664
280.00,0.659
281.00,0.653
282.00,0.647
283.00,0.639
284.00,0.631
285.00,0.622
286.00,0.612
287.00,0.602
288.00,0.591
289.00,0.579
290.00,0.566
291.00,0.554
292.00,0.542
293.00,0.530
294.00,0.519
295.00,0.508
296.00,0.498
297.00,0.488
298.00,0.477
299.00,0.467
300.00,0.457
301.00,0.448
302.00,0.439
303.00,0.430
304.00,0.422
305.00,0.414
306.00,0.406
307.00,0.398
308.00,0.390
309.00,0.383
310.00,0.376
311.00,0.369
312.00,0.363
313.00,0.357
314.00,0.351
315.00,0.345
316.00,0.340
317.00,0.335
318.00,0.329
319.00,0.324
320.00,0.319
321.00,0.314
322.00,0.309
323.00,0.304
324.00,0.299
325.00,0.294
326.00,0.290
327.00,0.285
328.00,0.280
329.00,0.276
330.00,0.271
331.00,0.267
332.00,0.262
333.00,0.257
334.00,0.253
335.00,0.249
336.00,0.246
337.00,0.242
338.00,0.238
339.00,0.234
340.00,0.231
341.00,0.226
342.00,0.222
343.00,0.219
344.00,0.216
345.00,0.212
346.00,0.209
347.00,0.206
348.00,0.203
349.00,0.199
350.00,0.197
351.00,0.193
352.00,0.191
353.00,0.188
354.00,0.185
355.00,0.183
356.00,0.180
357.00,0.177
358.00,0.175
359.00,0.172
360.00,0.170
361.00,0.168
362.00,0.165
363.00,0.163
364.00,0.161
365.00,0.159
366.00,0.157
367.00,0.155
368.00,0.153
369.00,0.151
370.00,0.149
371.00,0.147
372.00,0.145
373.00,0.144
374.00,0.142
375.00,0.140
376.00,0.138
377.00,0.136
378.00,0.134
379.00,0.132
380.00,0.131
381.00,0.129
382.00,0.128
383.00,0.126
384.00,0.124
385.00,0.123
386.00,0.122
387.00,0.120
388.00,0.119
389.00,0.117
390.00,0.116
391.00,0.115
392.00,0.113
393.00,0.112
394.00,0.111
395.00,0.110
396.00,0.108
397.00,0.107
398.00,0.106
399.00,0.105
400.00,0.104
401.00,0.103
402.00,0.102
403.00,0.101
404.00,0.100
405.00,0.099
406.00,0.098
407.00,0.097
408.00,0.096
409.00,0.095
410.00,0.095
411.00,0.094
412.00,0.093
413.00,0.092
414.00,0.091
415.00,0.091
416.00,0.090
417.00,0.089
418.00,0.089
419.00,0.088
420.00,0.087
421.00,0.087
422.00,0.086
423.00,0.085
424.00,0.085
425.00,0.084
426.00,0.084
427.00,0.083
428.00,0.082
429.00,0.082
430.00,0.081
431.00,0.081
432.00,0.080
433.00,0.079
434.00,0.079
435.00,0.078
436.00,0.078
437.00,0.077
438.00,0.077
439.00,0.076
440.00,0.076
441.00,0.075
442.00,0.075
443.00,0.074
444.00,0.074
445.00,0.074
446.00,0.073
447.00,0.073
448.00,0.072
449.00,0.072
450.00,0.071
451.00,0.071
452.00,0.071
453.00,0.070
454.00,0.070
455.00,0.070
456.00,0.069
457.00,0.069
458.00,0.068
459.00,0.068
460.00,0.068
461.00,0.067
462.00,0.067
463.00,0.067
464.00,0.066
465.00,0.066
466.00,0.066
467.00,0.065
468.00,0.065
469.00,0.065
470.00,0.064
471.00,0.064
472.00,0.064
473.00,0.063
474.00,0.063
475.00,0.063
476.00,0.062
477.00,0.062
478.00,0.062
479.00,0.061
480.00,0.061
481.00,0.061
482.00,0.061
483.00,0.060
484.00,0.060
485.00,0.060
486.00,0.060
487.00,0.059
488.00,0.059
489.00,0.059
490.00,0.059
491.00,0.058
492.00,0.058
493.00,0.058
494.00,0.058
495.00,0.057
496.00,0.057
497.00,0.057
498.00,0.057
499.00,0.057
500.00,0.056
501.00,0.056
502.00,0.056
503.00,0.056
504.00,0.056
505.00,0.055
506.00,0.055
507.00,0.055
508.00,0.055
509.00,0.055
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.054
515.00,0.054
516.00,0.053
517.00,0.053
518.00,0.053
519.00,0.053
520.00,0.053
521.00,0.053
522.00,0.052
523.00,0.052
524.00,0.052
525.00,0.052
526.00,0.052
527.00,0.052
528.00,0.052
529.00,0.051
530.00,0.051
531.00,0.051
532.00,0.051
533.00,0.051
534.00,0.051
535.00,0.050
536.00,0.051
537.00,0.050
538.00,0.050
539.00,0.050
540.00,0.050
541.00,0.050
542.00,0.049
543.00,0.049
544.00,0.049
545.00,0.049
546.00,0.049
547.00,0.049
548.00,0.049
