"LSJTantetricotante_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.837
191.00,3.346
192.00,3.305
193.00,3.388
194.00,3.633
195.00,3.322
196.00,3.427
197.00,3.468
198.00,3.612
199.00,3.663
200.00,3.839
201.00,3.773
202.00,3.674
203.00,3.813
204.00,3.631
205.00,3.532
206.00,3.681
207.00,3.625
208.00,3.499
209.00,3.349
210.00,3.257
211.00,3.074
212.00,2.948
213.00,2.860
214.00,2.716
215.00,2.593
216.00,2.488
217.00,2.356
218.00,2.239
219.00,2.129
220.00,2.014
221.00,1.913
222.00,1.818
223.00,1.727
224.00,1.637
225.00,1.553
226.00,1.470
227.00,1.387
228.00,1.309
229.00,1.238
230.00,1.172
231.00,1.112
232.00,1.059
233.00,1.012
234.00,0.971
235.00,0.935
236.00,0.904
237.00,0.878
238.00,0.857
239.00,0.840
240.00,0.826
241.00,0.815
242.00,0.808
243.00,0.803
244.00,0.800
245.00,0.799
246.00,0.799
247.00,0.800
248.00,0.803
249.00,0.806
250.00,0.810
251.00,0.815
252.00,0.820
253.00,0.825
254.00,0.830
255.00,0.835
256.00,0.839
257.00,0.842
258.00,0.843
259.00,0.843
260.00,0.843
261.00,0.842
262.00,0.841
263.00,0.841
264.00,0.840
265.00,0.838
266.00,0.835
267.00,0.831
268.00,0.825
269.00,0.818
270.00,0.810
271.00,0.800
272.00,0.790
273.00,0.778
274.00,0.765
275.00,0.751
276.00,0.737
277.00,0.721
278.00,0.704
279.00,0.686
280.00,0.668
281.00,0.650
282.00,0.631
283.00,0.612
284.00,0.592
285.00,0.570
286.00,0.550
287.00,0.530
288.00,0.509
289.00,0.489
290.00,0.467
291.00,0.446
292.00,0.428
293.00,0.412
294.00,0.398
295.00,0.385
296.00,0.375
297.00,0.365
298.00,0.356
299.00,0.348
300.00,0.341
301.00,0.335
302.00,0.330
303.00,0.325
304.00,0.320
305.00,0.317
306.00,0.313
307.00,0.310
308.00,0.307
309.00,0.304
310.00,0.302
311.00,0.299
312.00,0.297
313.00,0.295
314.00,0.293
315.00,0.291
316.00,0.290
317.00,0.287
318.00,0.285
319.00,0.284
320.00,0.281
321.00,0.279
322.00,0.277
323.00,0.274
324.00,0.272
325.00,0.268
326.00,0.266
327.00,0.263
328.00,0.259
329.00,0.256
330.00,0.252
331.00,0.248
332.00,0.245
333.00,0.241
334.00,0.237
335.00,0.233
336.00,0.229
337.00,0.226
338.00,0.221
339.00,0.217
340.00,0.214
341.00,0.209
342.00,0.205
343.00,0.201
344.00,0.196
345.00,0.192
346.00,0.189
347.00,0.185
348.00,0.181
349.00,0.177
350.00,0.173
351.00,0.170
352.00,0.166
353.00,0.163
354.00,0.159
355.00,0.156
356.00,0.153
357.00,0.150
358.00,0.147
359.00,0.144
360.00,0.141
361.00,0.139
362.00,0.136
363.00,0.133
364.00,0.131
365.00,0.129
366.00,0.126
367.00,0.124
368.00,0.123
369.00,0.120
370.00,0.118
371.00,0.116
372.00,0.114
373.00,0.113
374.00,0.111
375.00,0.109
376.00,0.108
377.00,0.106
378.00,0.104
379.00,0.103
380.00,0.101
381.00,0.100
382.00,0.098
383.00,0.097
384.00,0.096
385.00,0.094
386.00,0.093
387.00,0.092
388.00,0.091
389.00,0.090
390.00,0.089
391.00,0.088
392.00,0.087
393.00,0.086
394.00,0.085
395.00,0.084
396.00,0.083
397.00,0.083
398.00,0.082
399.00,0.081
400.00,0.081
401.00,0.080
402.00,0.079
403.00,0.079
404.00,0.078
405.00,0.078
406.00,0.077
407.00,0.077
408.00,0.076
409.00,0.076
410.00,0.075
411.00,0.075
412.00,0.074
413.00,0.074
414.00,0.074
415.00,0.073
416.00,0.073
417.00,0.073
418.00,0.072
419.00,0.072
420.00,0.072
421.00,0.071
422.00,0.071
423.00,0.071
424.00,0.071
425.00,0.070
426.00,0.070
427.00,0.070
428.00,0.070
429.00,0.069
430.00,0.069
431.00,0.069
432.00,0.069
433.00,0.068
434.00,0.068
435.00,0.068
436.00,0.068
437.00,0.068
438.00,0.067
439.00,0.067
440.00,0.067
441.00,0.067
442.00,0.067
443.00,0.067
444.00,0.066
445.00,0.066
446.00,0.066
447.00,0.066
448.00,0.066
449.00,0.066
450.00,0.065
451.00,0.065
452.00,0.065
453.00,0.065
454.00,0.065
455.00,0.065
456.00,0.065
457.00,0.064
458.00,0.064
459.00,0.064
460.00,0.064
461.00,0.064
462.00,0.064
463.00,0.064
464.00,0.064
465.00,0.063
466.00,0.063
467.00,0.063
468.00,0.063
469.00,0.063
470.00,0.063
471.00,0.063
472.00,0.063
473.00,0.062
474.00,0.062
475.00,0.062
476.00,0.062
477.00,0.062
478.00,0.062
479.00,0.062
480.00,0.061
481.00,0.061
482.00,0.061
483.00,0.061
484.00,0.061
485.00,0.061
486.00,0.061
487.00,0.061
488.00,0.061
489.00,0.061
490.00,0.060
491.00,0.060
492.00,0.060
493.00,0.060
494.00,0.060
495.00,0.060
496.00,0.060
497.00,0.060
498.00,0.060
499.00,0.060
500.00,0.059
501.00,0.059
502.00,0.059
503.00,0.059
504.00,0.059
505.00,0.059
506.00,0.059
507.00,0.059
508.00,0.059
509.00,0.058
510.00,0.058
511.00,0.058
512.00,0.058
513.00,0.058
514.00,0.058
515.00,0.058
516.00,0.058
517.00,0.058
518.00,0.058
519.00,0.058
520.00,0.058
521.00,0.057
522.00,0.057
523.00,0.057
524.00,0.057
525.00,0.057
526.00,0.057
527.00,0.057
528.00,0.057
529.00,0.057
530.00,0.057
531.00,0.056
532.00,0.056
533.00,0.056
534.00,0.056
535.00,0.056
536.00,0.056
537.00,0.056
538.00,0.056
539.00,0.056
540.00,0.056
541.00,0.056
542.00,0.056
543.00,0.056
544.00,0.055
545.00,0.055
546.00,0.055
547.00,0.055
548.00,0.055
549.00,0.055
550.00,0.055
551.00,0.055
552.00,0.055
553.00,0.055
554.00,0.055
555.00,0.055
556.00,0.055
557.00,0.055
558.00,0.054
559.00,0.054
560.00,0.054
561.00,0.054
562.00,0.054
563.00,0.054
564.00,0.054
565.00,0.054
566.00,0.054
567.00,0.054
568.00,0.054
569.00,0.054
570.00,0.054
571.00,0.054
572.00,0.053
573.00,0.053
574.00,0.053
575.00,0.053
576.00,0.053
577.00,0.053
578.00,0.053
579.00,0.053
580.00,0.053
581.00,0.053
582.00,0.053
583.00,0.053
584.00,0.053
585.00,0.053
586.00,0.053
587.00,0.053
588.00,0.053
589.00,0.053
590.00,0.053
591.00,0.053
592.00,0.053
593.00,0.052
594.00,0.052
595.00,0.053
596.00,0.052
597.00,0.052
598.00,0.052
599.00,0.052
600.00,0.052
601.00,0.052
602.00,0.052
603.00,0.052
604.00,0.052
605.00,0.052
606.00,0.052
607.00,0.052
608.00,0.052
609.00,0.052
610.00,0.052
611.00,0.052
612.00,0.052
613.00,0.052
614.00,0.052
615.00,0.052
616.00,0.052
617.00,0.052
618.00,0.052
619.00,0.052
620.00,0.051
621.00,0.051
622.00,0.051
623.00,0.051
624.00,0.051
625.00,0.051
626.00,0.051
627.00,0.051
628.00,0.051
629.00,0.051
630.00,0.051
631.00,0.051
632.00,0.051
633.00,0.051
634.00,0.051
635.00,0.051
636.00,0.051
637.00,0.051
638.00,0.051
639.00,0.051
