"LTMAPA50x - RawData"
"Wavelength nm.","Abs."
190.00,3.837
191.00,3.954
192.00,3.924
193.00,3.893
194.00,3.984
195.00,3.886
196.00,3.789
197.00,3.877
198.00,3.928
199.00,3.982
200.00,3.988
201.00,3.971
202.00,3.958
203.00,3.979
204.00,3.997
205.00,3.911
206.00,3.834
207.00,3.741
208.00,3.457
209.00,3.253
210.00,3.128
211.00,2.984
212.00,2.819
213.00,2.693
214.00,2.562
215.00,2.442
216.00,2.326
217.00,2.215
218.00,2.101
219.00,1.989
220.00,1.884
221.00,1.790
222.00,1.702
223.00,1.615
224.00,1.527
225.00,1.447
226.00,1.367
227.00,1.287
228.00,1.212
229.00,1.144
230.00,1.080
231.00,1.023
232.00,0.971
233.00,0.924
234.00,0.884
235.00,0.851
236.00,0.822
237.00,0.798
238.00,0.778
239.00,0.762
240.00,0.749
241.00,0.739
242.00,0.733
243.00,0.729
244.00,0.726
245.00,0.726
246.00,0.727
247.00,0.728
248.00,0.731
249.00,0.735
250.00,0.739
251.00,0.744
252.00,0.749
253.00,0.754
254.00,0.759
255.00,0.763
256.00,0.768
257.00,0.771
258.00,0.772
259.00,0.773
260.00,0.772
261.00,0.772
262.00,0.771
263.00,0.771
264.00,0.771
265.00,0.769
266.00,0.767
267.00,0.764
268.00,0.760
269.00,0.755
270.00,0.749
271.00,0.742
272.00,0.735
273.00,0.727
274.00,0.718
275.00,0.708
276.00,0.697
277.00,0.685
278.00,0.672
279.00,0.658
280.00,0.645
281.00,0.631
282.00,0.616
283.00,0.600
284.00,0.582
285.00,0.564
286.00,0.547
287.00,0.530
288.00,0.512
289.00,0.495
290.00,0.477
291.00,0.459
292.00,0.443
293.00,0.429
294.00,0.417
295.00,0.406
296.00,0.397
297.00,0.388
298.00,0.380
299.00,0.372
300.00,0.366
301.00,0.359
302.00,0.354
303.00,0.349
304.00,0.344
305.00,0.339
306.00,0.335
307.00,0.331
308.00,0.327
309.00,0.323
310.00,0.319
311.00,0.316
312.00,0.313
313.00,0.310
314.00,0.306
315.00,0.304
316.00,0.300
317.00,0.297
318.00,0.293
319.00,0.290
320.00,0.287
321.00,0.283
322.00,0.279
323.00,0.275
324.00,0.271
325.00,0.267
326.00,0.262
327.00,0.258
328.00,0.253
329.00,0.249
330.00,0.244
331.00,0.239
332.00,0.234
333.00,0.229
334.00,0.223
335.00,0.219
336.00,0.214
337.00,0.209
338.00,0.204
339.00,0.199
340.00,0.195
341.00,0.188
342.00,0.183
343.00,0.178
344.00,0.174
345.00,0.170
346.00,0.165
347.00,0.161
348.00,0.157
349.00,0.153
350.00,0.149
351.00,0.145
352.00,0.142
353.00,0.138
354.00,0.135
355.00,0.132
356.00,0.129
357.00,0.126
358.00,0.123
359.00,0.120
360.00,0.117
361.00,0.115
362.00,0.112
363.00,0.110
364.00,0.108
365.00,0.106
366.00,0.104
367.00,0.102
368.00,0.100
369.00,0.098
370.00,0.097
371.00,0.095
372.00,0.093
373.00,0.092
374.00,0.090
375.00,0.088
376.00,0.087
377.00,0.085
378.00,0.084
379.00,0.083
380.00,0.081
381.00,0.080
382.00,0.079
383.00,0.077
384.00,0.076
385.00,0.075
386.00,0.074
387.00,0.073
388.00,0.072
389.00,0.071
390.00,0.070
391.00,0.069
392.00,0.068
393.00,0.067
394.00,0.067
395.00,0.066
396.00,0.065
397.00,0.064
398.00,0.064
399.00,0.063
400.00,0.062
401.00,0.062
402.00,0.061
403.00,0.061
404.00,0.060
405.00,0.059
406.00,0.059
407.00,0.058
408.00,0.058
409.00,0.057
410.00,0.057
411.00,0.056
412.00,0.056
413.00,0.056
414.00,0.055
415.00,0.055
416.00,0.054
417.00,0.054
418.00,0.054
419.00,0.054
420.00,0.053
421.00,0.053
422.00,0.053
423.00,0.053
424.00,0.052
425.00,0.052
426.00,0.052
427.00,0.052
428.00,0.051
429.00,0.051
430.00,0.051
431.00,0.051
432.00,0.050
433.00,0.050
434.00,0.050
435.00,0.050
436.00,0.050
437.00,0.049
438.00,0.049
439.00,0.049
440.00,0.049
441.00,0.049
442.00,0.048
443.00,0.048
