"LTMGrandeCuvee100x - RawData"
"Wavelength nm.","Abs."
190.00,3.409
191.00,3.420
192.00,3.945
193.00,3.634
194.00,3.694
195.00,3.561
196.00,3.617
197.00,3.550
198.00,3.598
199.00,3.862
200.00,3.972
201.00,3.760
202.00,3.716
203.00,3.682
204.00,3.508
205.00,3.475
206.00,3.394
207.00,3.330
208.00,3.219
209.00,3.121
210.00,2.992
211.00,2.868
212.00,2.772
213.00,2.677
214.00,2.574
215.00,2.481
216.00,2.383
217.00,2.300
218.00,2.209
219.00,2.121
220.00,2.036
221.00,1.959
222.00,1.886
223.00,1.812
224.00,1.740
225.00,1.670
226.00,1.601
227.00,1.530
228.00,1.461
229.00,1.397
230.00,1.336
231.00,1.279
232.00,1.227
233.00,1.180
234.00,1.138
235.00,1.101
236.00,1.070
237.00,1.043
238.00,1.019
239.00,0.999
240.00,0.982
241.00,0.969
242.00,0.959
243.00,0.953
244.00,0.948
245.00,0.945
246.00,0.944
247.00,0.944
248.00,0.944
249.00,0.946
250.00,0.948
251.00,0.951
252.00,0.955
253.00,0.958
254.00,0.961
255.00,0.965
256.00,0.968
257.00,0.971
258.00,0.973
259.00,0.974
260.00,0.974
261.00,0.975
262.00,0.975
263.00,0.976
264.00,0.976
265.00,0.975
266.00,0.974
267.00,0.973
268.00,0.970
269.00,0.967
270.00,0.964
271.00,0.961
272.00,0.956
273.00,0.951
274.00,0.946
275.00,0.939
276.00,0.932
277.00,0.925
278.00,0.917
279.00,0.908
280.00,0.899
281.00,0.889
282.00,0.879
283.00,0.868
284.00,0.855
285.00,0.842
286.00,0.830
287.00,0.817
288.00,0.803
289.00,0.790
290.00,0.776
291.00,0.761
292.00,0.748
293.00,0.734
294.00,0.722
295.00,0.710
296.00,0.698
297.00,0.687
298.00,0.676
299.00,0.664
300.00,0.654
301.00,0.643
302.00,0.633
303.00,0.622
304.00,0.612
305.00,0.602
306.00,0.593
307.00,0.583
308.00,0.574
309.00,0.564
310.00,0.556
311.00,0.546
312.00,0.539
313.00,0.531
314.00,0.524
315.00,0.516
316.00,0.508
317.00,0.501
318.00,0.494
319.00,0.487
320.00,0.481
321.00,0.474
322.00,0.467
323.00,0.460
324.00,0.454
325.00,0.447
326.00,0.441
327.00,0.435
328.00,0.428
329.00,0.422
330.00,0.416
331.00,0.410
332.00,0.404
333.00,0.398
334.00,0.392
335.00,0.387
336.00,0.382
337.00,0.377
338.00,0.371
339.00,0.366
340.00,0.361
341.00,0.355
342.00,0.350
343.00,0.345
344.00,0.340
345.00,0.335
346.00,0.331
347.00,0.327
348.00,0.322
349.00,0.318
350.00,0.314
351.00,0.310
352.00,0.305
353.00,0.302
354.00,0.298
