"LTMMaibock50x - RawData"
"Wavelength nm.","Abs."
190.00,3.185
191.00,3.597
192.00,3.581
193.00,3.659
194.00,3.581
195.00,3.765
196.00,3.852
197.00,3.906
198.00,3.707
199.00,3.801
200.00,3.891
201.00,3.889
202.00,3.804
203.00,3.937
204.00,3.821
205.00,3.895
206.00,3.843
207.00,3.844
208.00,3.794
209.00,3.761
210.00,3.738
211.00,3.835
212.00,3.655
213.00,3.574
214.00,3.442
215.00,3.321
216.00,3.223
217.00,3.049
218.00,2.937
219.00,2.810
220.00,2.645
221.00,2.514
222.00,2.391
223.00,2.261
224.00,2.137
225.00,2.019
226.00,1.900
227.00,1.774
228.00,1.654
229.00,1.546
230.00,1.445
231.00,1.356
232.00,1.278
233.00,1.210
234.00,1.153
235.00,1.105
236.00,1.065
237.00,1.033
238.00,1.008
239.00,0.990
240.00,0.976
241.00,0.967
242.00,0.962
243.00,0.960
244.00,0.960
245.00,0.962
246.00,0.966
247.00,0.971
248.00,0.977
249.00,0.983
250.00,0.991
251.00,0.998
252.00,1.006
253.00,1.014
254.00,1.021
255.00,1.028
256.00,1.034
257.00,1.040
258.00,1.043
259.00,1.043
260.00,1.043
261.00,1.043
262.00,1.043
263.00,1.043
264.00,1.042
265.00,1.039
266.00,1.035
267.00,1.030
268.00,1.022
269.00,1.013
270.00,1.003
271.00,0.991
272.00,0.978
273.00,0.964
274.00,0.949
275.00,0.931
276.00,0.913
277.00,0.892
278.00,0.871
279.00,0.848
280.00,0.826
281.00,0.803
282.00,0.780
283.00,0.753
284.00,0.727
285.00,0.701
286.00,0.677
287.00,0.654
288.00,0.631
289.00,0.607
290.00,0.583
291.00,0.559
292.00,0.538
293.00,0.521
294.00,0.506
295.00,0.493
296.00,0.482
297.00,0.472
298.00,0.463
299.00,0.455
300.00,0.448
301.00,0.442
302.00,0.436
303.00,0.431
304.00,0.427
305.00,0.422
306.00,0.418
307.00,0.414
308.00,0.410
309.00,0.406
310.00,0.403
311.00,0.399
312.00,0.396
313.00,0.392
314.00,0.389
315.00,0.385
316.00,0.381
317.00,0.377
