"TroisMousquetairesMicroRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.978
191.00,3.644
192.00,3.788
193.00,3.738
194.00,3.796
195.00,3.816
196.00,3.850
197.00,3.563
198.00,3.919
199.00,3.931
200.00,3.908
201.00,3.857
202.00,3.974
203.00,3.872
204.00,3.931
205.00,3.968
206.00,3.984
207.00,3.969
208.00,3.798
209.00,3.948
210.00,3.757
211.00,3.965
212.00,3.791
213.00,3.544
214.00,3.445
215.00,3.291
216.00,3.218
217.00,3.054
218.00,2.933
219.00,2.803
220.00,2.673
221.00,2.556
222.00,2.437
223.00,2.322
224.00,2.209
225.00,2.101
226.00,1.992
227.00,1.880
228.00,1.773
229.00,1.673
230.00,1.577
231.00,1.490
232.00,1.412
233.00,1.342
234.00,1.281
235.00,1.229
236.00,1.184
237.00,1.147
238.00,1.116
239.00,1.090
240.00,1.069
241.00,1.052
242.00,1.042
243.00,1.034
244.00,1.029
245.00,1.026
246.00,1.025
247.00,1.025
248.00,1.026
249.00,1.030
250.00,1.034
251.00,1.038
252.00,1.044
253.00,1.049
254.00,1.055
255.00,1.060
256.00,1.066
257.00,1.072
258.00,1.076
259.00,1.079
260.00,1.082
261.00,1.084
262.00,1.087
263.00,1.090
264.00,1.092
265.00,1.093
266.00,1.093
267.00,1.093
268.00,1.092
269.00,1.089
270.00,1.086
271.00,1.081
272.00,1.075
273.00,1.070
274.00,1.063
275.00,1.055
276.00,1.045
277.00,1.034
278.00,1.021
279.00,1.008
280.00,0.995
281.00,0.981
282.00,0.967
283.00,0.950
284.00,0.932
285.00,0.913
286.00,0.897
287.00,0.880
288.00,0.862
289.00,0.845
290.00,0.826
291.00,0.807
292.00,0.789
293.00,0.774
294.00,0.760
295.00,0.748
296.00,0.737
297.00,0.726
298.00,0.715
299.00,0.705
300.00,0.696
301.00,0.686
302.00,0.676
303.00,0.667
304.00,0.657
305.00,0.647
306.00,0.637
307.00,0.627
308.00,0.617
309.00,0.607
310.00,0.597
311.00,0.587
312.00,0.578
313.00,0.569
314.00,0.559
315.00,0.550
316.00,0.540
317.00,0.531
318.00,0.521
319.00,0.512
320.00,0.502
321.00,0.493
322.00,0.483
323.00,0.473
324.00,0.464
325.00,0.454
326.00,0.444
327.00,0.435
328.00,0.426
329.00,0.416
330.00,0.406
331.00,0.397
332.00,0.389
333.00,0.380
334.00,0.370
335.00,0.362
336.00,0.354
337.00,0.346
338.00,0.336
339.00,0.329
340.00,0.322
341.00,0.313
342.00,0.305
343.00,0.298
344.00,0.291
345.00,0.284
346.00,0.277
347.00,0.271
348.00,0.265
349.00,0.259
350.00,0.253
351.00,0.247
352.00,0.242
353.00,0.237
354.00,0.231
355.00,0.227
356.00,0.222
357.00,0.217
358.00,0.213
359.00,0.208
360.00,0.204
361.00,0.200
362.00,0.196
363.00,0.193
364.00,0.189
365.00,0.186
366.00,0.183
367.00,0.179
368.00,0.177
369.00,0.173
370.00,0.170
371.00,0.167
372.00,0.165
373.00,0.162
374.00,0.160
375.00,0.157
376.00,0.155
377.00,0.152
378.00,0.150
379.00,0.147
380.00,0.145
381.00,0.143
382.00,0.141
383.00,0.139
384.00,0.137
385.00,0.135
386.00,0.133
387.00,0.131
388.00,0.129
389.00,0.128
390.00,0.126
391.00,0.124
392.00,0.123
393.00,0.121
394.00,0.120
395.00,0.118
396.00,0.117
397.00,0.116
398.00,0.114
399.00,0.113
400.00,0.112
401.00,0.110
402.00,0.109
403.00,0.108
404.00,0.107
405.00,0.106
406.00,0.105
407.00,0.104
408.00,0.103
409.00,0.101
410.00,0.100
411.00,0.100
412.00,0.099
413.00,0.098
414.00,0.097
415.00,0.096
416.00,0.095
417.00,0.094
418.00,0.093
419.00,0.092
