"LTMPorterBaltique100x - RawData"
"Wavelength nm.","Abs."
190.00,3.775
191.00,3.431
192.00,3.533
193.00,3.591
194.00,3.680
195.00,3.773
196.00,3.893
197.00,3.966
198.00,3.718
199.00,3.701
200.00,3.570
201.00,3.504
202.00,3.321
203.00,3.238
204.00,3.117
205.00,2.942
206.00,2.803
207.00,2.696
208.00,2.593
209.00,2.485
210.00,2.392
211.00,2.304
212.00,2.222
213.00,2.138
214.00,2.057
215.00,1.982
216.00,1.911
217.00,1.842
218.00,1.773
219.00,1.706
220.00,1.640
221.00,1.580
222.00,1.522
223.00,1.466
224.00,1.408
225.00,1.352
226.00,1.298
227.00,1.242
228.00,1.189
229.00,1.138
230.00,1.090
231.00,1.047
232.00,1.006
233.00,0.968
234.00,0.934
235.00,0.905
236.00,0.879
237.00,0.857
238.00,0.838
239.00,0.821
240.00,0.808
241.00,0.797
242.00,0.789
243.00,0.784
244.00,0.781
245.00,0.779
246.00,0.779
247.00,0.780
248.00,0.781
249.00,0.784
250.00,0.786
251.00,0.790
252.00,0.793
253.00,0.797
254.00,0.801
255.00,0.805
256.00,0.808
257.00,0.812
258.00,0.814
259.00,0.816
260.00,0.817
261.00,0.818
262.00,0.820
263.00,0.821
264.00,0.822
265.00,0.822
266.00,0.823
267.00,0.822
268.00,0.822
269.00,0.821
270.00,0.819
271.00,0.817
272.00,0.814
273.00,0.811
274.00,0.808
275.00,0.804
276.00,0.800
277.00,0.795
278.00,0.790
279.00,0.783
280.00,0.777
281.00,0.770
282.00,0.763
283.00,0.755
284.00,0.747
285.00,0.737
286.00,0.728
287.00,0.719
288.00,0.709
289.00,0.698
290.00,0.687
291.00,0.676
292.00,0.666
293.00,0.655
294.00,0.646
295.00,0.636
296.00,0.627
297.00,0.618
298.00,0.609
299.00,0.600
300.00,0.591
301.00,0.582
302.00,0.573
303.00,0.563
304.00,0.555
305.00,0.546
306.00,0.537
307.00,0.528
308.00,0.520
309.00,0.511
310.00,0.502
311.00,0.494
312.00,0.486
313.00,0.479
314.00,0.471
315.00,0.463
316.00,0.456
317.00,0.449
318.00,0.442
319.00,0.435
320.00,0.428
321.00,0.421
322.00,0.414
323.00,0.407
324.00,0.401
325.00,0.394
326.00,0.388
327.00,0.382
328.00,0.375
329.00,0.369
330.00,0.363
331.00,0.357
332.00,0.351
333.00,0.346
334.00,0.340
335.00,0.335
336.00,0.330
337.00,0.325
338.00,0.320
339.00,0.315
340.00,0.311
341.00,0.305
342.00,0.300
343.00,0.295
344.00,0.291
345.00,0.287
346.00,0.283
347.00,0.279
348.00,0.275
349.00,0.271
350.00,0.268
351.00,0.264
352.00,0.261
353.00,0.257
354.00,0.254
355.00,0.250
356.00,0.247
357.00,0.244
358.00,0.241
359.00,0.238
360.00,0.235
361.00,0.232
362.00,0.229
363.00,0.226
364.00,0.224
365.00,0.221
366.00,0.218
367.00,0.216
368.00,0.213
369.00,0.211
370.00,0.209
371.00,0.206
372.00,0.204
373.00,0.202
374.00,0.199
375.00,0.197
376.00,0.195
377.00,0.193
378.00,0.190
379.00,0.188
380.00,0.186
381.00,0.184
382.00,0.182
383.00,0.180
384.00,0.178
385.00,0.176
386.00,0.174
387.00,0.173
388.00,0.171
389.00,0.169
390.00,0.167
391.00,0.165
392.00,0.163
393.00,0.162
394.00,0.160
395.00,0.159
396.00,0.157
397.00,0.156
398.00,0.154
399.00,0.153
400.00,0.151
401.00,0.149
402.00,0.148
403.00,0.147
404.00,0.145
405.00,0.144
406.00,0.143
407.00,0.141
408.00,0.140
409.00,0.139
410.00,0.138
411.00,0.136
412.00,0.135
413.00,0.134
414.00,0.133
415.00,0.132
416.00,0.130
417.00,0.129
418.00,0.128
419.00,0.127
420.00,0.126
421.00,0.125
422.00,0.124
423.00,0.123
424.00,0.122
425.00,0.121
426.00,0.120
427.00,0.119
428.00,0.118
429.00,0.117
430.00,0.116
431.00,0.115
432.00,0.115
433.00,0.114
434.00,0.113
