"LTMSaisonBrettFut50x - RawData"
"Wavelength nm.","Abs."
190.00,3.061
191.00,3.510
192.00,3.790
193.00,3.811
194.00,3.738
195.00,3.644
196.00,3.854
197.00,3.780
198.00,3.763
199.00,3.739
200.00,3.763
201.00,3.570
202.00,3.784
203.00,3.706
204.00,3.630
205.00,3.655
206.00,3.598
207.00,3.377
208.00,3.278
209.00,3.179
210.00,3.048
211.00,2.941
212.00,2.799
213.00,2.684
214.00,2.556
215.00,2.438
216.00,2.341
217.00,2.229
218.00,2.126
219.00,2.029
220.00,1.926
221.00,1.834
222.00,1.747
223.00,1.662
224.00,1.575
225.00,1.495
226.00,1.416
227.00,1.336
228.00,1.259
229.00,1.189
230.00,1.122
231.00,1.062
232.00,1.010
233.00,0.963
234.00,0.922
235.00,0.888
236.00,0.858
237.00,0.833
238.00,0.811
239.00,0.794
240.00,0.779
241.00,0.768
242.00,0.759
243.00,0.753
244.00,0.749
245.00,0.746
246.00,0.744
247.00,0.743
248.00,0.743
249.00,0.744
250.00,0.745
251.00,0.747
252.00,0.749
253.00,0.752
254.00,0.754
255.00,0.756
256.00,0.759
257.00,0.761
258.00,0.763
259.00,0.765
260.00,0.767
261.00,0.769
262.00,0.771
263.00,0.773
264.00,0.774
265.00,0.775
266.00,0.775
267.00,0.775
268.00,0.773
269.00,0.771
270.00,0.767
271.00,0.762
272.00,0.757
273.00,0.750
274.00,0.743
275.00,0.735
276.00,0.726
277.00,0.717
278.00,0.706
279.00,0.695
280.00,0.685
281.00,0.673
282.00,0.660
283.00,0.646
284.00,0.631
285.00,0.616
286.00,0.601
287.00,0.587
288.00,0.573
289.00,0.559
290.00,0.544
291.00,0.529
292.00,0.515
293.00,0.503
294.00,0.492
295.00,0.482
296.00,0.473
297.00,0.465
298.00,0.456
299.00,0.448
300.00,0.441
301.00,0.434
302.00,0.427
303.00,0.421
304.00,0.416
305.00,0.410
306.00,0.406
307.00,0.401
308.00,0.396
309.00,0.392
310.00,0.388
311.00,0.384
312.00,0.380
313.00,0.377
314.00,0.373
315.00,0.370
316.00,0.367
317.00,0.364
318.00,0.360
319.00,0.356
320.00,0.353
321.00,0.349
322.00,0.345
323.00,0.341
324.00,0.338
325.00,0.334
326.00,0.329
327.00,0.325
328.00,0.320
329.00,0.315
330.00,0.311
331.00,0.306
332.00,0.301
333.00,0.296
334.00,0.291
335.00,0.286
336.00,0.282
337.00,0.277
338.00,0.272
339.00,0.267
340.00,0.263
341.00,0.257
342.00,0.252
343.00,0.247
344.00,0.243
345.00,0.238
346.00,0.235
347.00,0.230
348.00,0.226
349.00,0.222
350.00,0.218
351.00,0.215
352.00,0.211
353.00,0.208
354.00,0.204
355.00,0.201
356.00,0.198
357.00,0.195
358.00,0.192
359.00,0.189
360.00,0.186
361.00,0.184
362.00,0.181
363.00,0.179
364.00,0.177
365.00,0.175
366.00,0.173
367.00,0.170
368.00,0.168
369.00,0.166
370.00,0.164
371.00,0.163
372.00,0.161
373.00,0.159
374.00,0.158
375.00,0.156
376.00,0.154
377.00,0.153
378.00,0.151
379.00,0.150
380.00,0.149
381.00,0.147
382.00,0.146
383.00,0.145
384.00,0.144
385.00,0.142
386.00,0.141
387.00,0.140
388.00,0.139
389.00,0.138
390.00,0.137
391.00,0.136
392.00,0.135
393.00,0.134
394.00,0.133
395.00,0.132
396.00,0.132
397.00,0.131
398.00,0.130
399.00,0.129
400.00,0.128
401.00,0.128
402.00,0.127
403.00,0.126
404.00,0.126
405.00,0.125
406.00,0.125
407.00,0.124
408.00,0.123
409.00,0.123
410.00,0.122
411.00,0.122
412.00,0.121
413.00,0.121
414.00,0.120
415.00,0.120
416.00,0.119
417.00,0.119
418.00,0.119
419.00,0.118
420.00,0.118
421.00,0.118
422.00,0.117
423.00,0.117
424.00,0.116
425.00,0.116
426.00,0.115
427.00,0.115
428.00,0.115
429.00,0.114
430.00,0.114
431.00,0.114
432.00,0.113
433.00,0.113
434.00,0.113
435.00,0.112
436.00,0.112
437.00,0.112
438.00,0.111
