"LTMSaisonBrett50x - RawData"
"Wavelength nm.","Abs."
190.00,3.373
191.00,3.253
192.00,3.623
193.00,3.419
194.00,3.665
195.00,3.453
196.00,3.630
197.00,3.536
198.00,3.690
199.00,3.787
200.00,3.696
201.00,3.693
202.00,3.672
203.00,3.739
204.00,3.582
205.00,3.653
206.00,3.584
207.00,3.444
208.00,3.404
209.00,3.301
210.00,3.137
211.00,3.003
212.00,2.906
213.00,2.762
214.00,2.646
215.00,2.539
216.00,2.420
217.00,2.305
218.00,2.197
219.00,2.094
220.00,1.992
221.00,1.898
222.00,1.806
223.00,1.717
224.00,1.627
225.00,1.544
226.00,1.462
227.00,1.378
228.00,1.299
229.00,1.225
230.00,1.155
231.00,1.092
232.00,1.036
233.00,0.987
234.00,0.944
235.00,0.908
236.00,0.876
237.00,0.850
238.00,0.827
239.00,0.809
240.00,0.794
241.00,0.782
242.00,0.773
243.00,0.767
244.00,0.762
245.00,0.759
246.00,0.757
247.00,0.755
248.00,0.755
249.00,0.756
250.00,0.757
251.00,0.759
252.00,0.761
253.00,0.764
254.00,0.766
255.00,0.768
256.00,0.770
257.00,0.773
258.00,0.775
259.00,0.776
260.00,0.778
261.00,0.781
262.00,0.783
263.00,0.785
264.00,0.786
265.00,0.787
266.00,0.787
267.00,0.786
268.00,0.785
269.00,0.782
270.00,0.778
271.00,0.774
272.00,0.768
273.00,0.761
274.00,0.754
275.00,0.745
276.00,0.736
277.00,0.725
278.00,0.714
279.00,0.704
280.00,0.692
281.00,0.679
282.00,0.666
283.00,0.651
284.00,0.636
285.00,0.620
286.00,0.605
287.00,0.591
288.00,0.576
289.00,0.561
290.00,0.545
291.00,0.530
292.00,0.516
293.00,0.503
294.00,0.492
295.00,0.481
296.00,0.472
297.00,0.463
298.00,0.454
299.00,0.446
300.00,0.439
301.00,0.431
302.00,0.425
303.00,0.418
304.00,0.413
305.00,0.407
306.00,0.402
307.00,0.397
308.00,0.392
309.00,0.388
310.00,0.384
311.00,0.380
312.00,0.376
313.00,0.372
314.00,0.368
315.00,0.365
316.00,0.361
317.00,0.358
318.00,0.354
319.00,0.351
320.00,0.347
321.00,0.343
322.00,0.339
323.00,0.335
324.00,0.331
325.00,0.327
326.00,0.322
327.00,0.318
328.00,0.313
329.00,0.308
330.00,0.304
331.00,0.299
332.00,0.294
333.00,0.288
334.00,0.283
335.00,0.278
336.00,0.274
337.00,0.269
338.00,0.263
339.00,0.259
340.00,0.254
341.00,0.248
342.00,0.243
343.00,0.238
344.00,0.233
345.00,0.229
346.00,0.224
347.00,0.220
348.00,0.216
349.00,0.212
350.00,0.208
351.00,0.204
352.00,0.200
353.00,0.196
354.00,0.193
355.00,0.189
356.00,0.186
357.00,0.183
358.00,0.180
359.00,0.177
360.00,0.174
361.00,0.171
362.00,0.169
363.00,0.166
364.00,0.164
365.00,0.162
366.00,0.160
367.00,0.157
368.00,0.155
369.00,0.153
370.00,0.151
371.00,0.150
372.00,0.148
373.00,0.146
374.00,0.144
375.00,0.143
376.00,0.141
377.00,0.140
378.00,0.138
379.00,0.137
380.00,0.135
381.00,0.134
382.00,0.133
383.00,0.131
384.00,0.130
385.00,0.129
386.00,0.128
387.00,0.127
388.00,0.126
389.00,0.125
390.00,0.123
