"LTMStickaltFut_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.573
191.00,3.271
192.00,3.858
193.00,3.722
194.00,3.408
195.00,3.767
196.00,3.846
197.00,3.927
198.00,3.649
199.00,3.742
200.00,3.617
201.00,3.777
202.00,3.919
203.00,3.913
204.00,3.868
205.00,3.843
206.00,3.811
207.00,3.781
208.00,3.738
209.00,3.696
210.00,3.781
211.00,3.686
212.00,3.624
213.00,3.616
214.00,3.505
215.00,3.304
216.00,3.276
217.00,3.070
218.00,2.964
219.00,2.821
220.00,2.709
221.00,2.601
222.00,2.484
223.00,2.369
224.00,2.257
225.00,2.154
226.00,2.053
227.00,1.947
228.00,1.845
229.00,1.753
230.00,1.665
231.00,1.584
232.00,1.511
233.00,1.445
234.00,1.387
235.00,1.337
236.00,1.293
237.00,1.255
238.00,1.222
239.00,1.195
240.00,1.173
241.00,1.155
242.00,1.141
243.00,1.133
244.00,1.127
245.00,1.123
246.00,1.122
247.00,1.121
248.00,1.123
249.00,1.126
250.00,1.130
251.00,1.135
252.00,1.139
253.00,1.144
254.00,1.150
255.00,1.155
256.00,1.161
257.00,1.164
258.00,1.167
259.00,1.169
260.00,1.169
261.00,1.170
262.00,1.170
263.00,1.171
264.00,1.171
265.00,1.170
266.00,1.169
267.00,1.167
268.00,1.165
269.00,1.161
270.00,1.156
271.00,1.149
272.00,1.143
273.00,1.137
274.00,1.128
275.00,1.119
276.00,1.109
277.00,1.098
278.00,1.087
279.00,1.074
280.00,1.060
281.00,1.046
282.00,1.030
283.00,1.013
284.00,0.996
285.00,0.976
286.00,0.957
287.00,0.939
288.00,0.920
289.00,0.899
290.00,0.878
291.00,0.856
292.00,0.837
293.00,0.820
294.00,0.805
295.00,0.790
296.00,0.777
297.00,0.764
298.00,0.751
299.00,0.739
300.00,0.727
301.00,0.715
302.00,0.704
303.00,0.693
304.00,0.682
305.00,0.670
306.00,0.660
307.00,0.648
308.00,0.637
309.00,0.626
310.00,0.615
311.00,0.604
312.00,0.594
313.00,0.583
314.00,0.573
315.00,0.563
316.00,0.553
317.00,0.544
318.00,0.534
319.00,0.523
320.00,0.514
321.00,0.503
322.00,0.493
323.00,0.483
324.00,0.474
325.00,0.463
326.00,0.453
327.00,0.444
328.00,0.434
329.00,0.424
330.00,0.413
331.00,0.404
332.00,0.394
333.00,0.385
334.00,0.375
335.00,0.366
336.00,0.357
337.00,0.348
338.00,0.339
339.00,0.331
340.00,0.323
341.00,0.313
342.00,0.304
343.00,0.296
344.00,0.289
345.00,0.281
346.00,0.274
347.00,0.267
348.00,0.260
349.00,0.253
350.00,0.247
351.00,0.240
352.00,0.234
353.00,0.228
354.00,0.223
355.00,0.217
356.00,0.212
357.00,0.206
358.00,0.201
359.00,0.196
360.00,0.191
361.00,0.187
362.00,0.183
363.00,0.178
364.00,0.174
365.00,0.171
366.00,0.167
367.00,0.163
368.00,0.159
369.00,0.156
370.00,0.152
371.00,0.149
372.00,0.146
373.00,0.143
374.00,0.140
375.00,0.137
376.00,0.134
377.00,0.131
378.00,0.128
379.00,0.125
380.00,0.123
381.00,0.120
382.00,0.118
383.00,0.115
384.00,0.113
385.00,0.111
386.00,0.108
387.00,0.106
388.00,0.104
389.00,0.102
390.00,0.100
391.00,0.098
392.00,0.096
393.00,0.094
394.00,0.092
395.00,0.091
396.00,0.089
397.00,0.087
398.00,0.086
399.00,0.084
400.00,0.083
401.00,0.081
402.00,0.080
403.00,0.078
404.00,0.077
405.00,0.075
406.00,0.074
407.00,0.073
408.00,0.072
409.00,0.070
410.00,0.069
411.00,0.068
412.00,0.067
413.00,0.066
414.00,0.065
415.00,0.064
416.00,0.062
417.00,0.062
418.00,0.061
419.00,0.060
420.00,0.059
421.00,0.058
422.00,0.057
423.00,0.056
424.00,0.055
425.00,0.054
426.00,0.054
427.00,0.053
428.00,0.052
429.00,0.051
430.00,0.050
431.00,0.049
432.00,0.049
433.00,0.048
434.00,0.047
435.00,0.046
436.00,0.046
437.00,0.045
438.00,0.044
439.00,0.044
440.00,0.043
441.00,0.042
442.00,0.042
443.00,0.041
444.00,0.040
445.00,0.040
446.00,0.039
447.00,0.039
448.00,0.038
449.00,0.038
450.00,0.037
451.00,0.036
452.00,0.036
453.00,0.035
454.00,0.035
455.00,0.034
456.00,0.034
457.00,0.033
458.00,0.033
459.00,0.032
460.00,0.032
461.00,0.031
462.00,0.031
463.00,0.030
464.00,0.030
465.00,0.029
466.00,0.029
467.00,0.028
468.00,0.028
469.00,0.028
470.00,0.027
471.00,0.027
472.00,0.026
473.00,0.026
474.00,0.025
475.00,0.025
476.00,0.024
477.00,0.024
478.00,0.024
479.00,0.023
480.00,0.023
481.00,0.022
482.00,0.022
483.00,0.022
484.00,0.021
485.00,0.021
486.00,0.021
487.00,0.020
488.00,0.020
489.00,0.019
490.00,0.019
491.00,0.019
492.00,0.018
493.00,0.018
494.00,0.018
495.00,0.018
496.00,0.017
497.00,0.017
498.00,0.017
499.00,0.016
500.00,0.016
501.00,0.016
502.00,0.015
503.00,0.015
504.00,0.015
505.00,0.015
506.00,0.014
507.00,0.014
508.00,0.014
509.00,0.014
510.00,0.013
511.00,0.013
512.00,0.013
513.00,0.013
514.00,0.012
515.00,0.012
516.00,0.012
517.00,0.012
518.00,0.011
519.00,0.011
520.00,0.011
521.00,0.011
522.00,0.011
523.00,0.010
524.00,0.010
525.00,0.010
526.00,0.010
527.00,0.010
528.00,0.009
529.00,0.009
