"LaBitteATitbiAmos_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.007
191.00,3.324
192.00,3.469
193.00,3.519
194.00,3.579
195.00,3.589
196.00,3.672
197.00,3.710
198.00,3.754
199.00,3.732
200.00,3.533
201.00,3.520
202.00,3.452
203.00,3.558
204.00,3.489
205.00,3.327
206.00,3.485
207.00,3.204
208.00,3.024
209.00,2.920
210.00,2.801
211.00,2.709
212.00,2.594
213.00,2.463
214.00,2.354
215.00,2.252
216.00,2.146
217.00,2.049
218.00,1.951
219.00,1.850
220.00,1.753
221.00,1.665
222.00,1.580
223.00,1.497
224.00,1.411
225.00,1.328
226.00,1.245
227.00,1.160
228.00,1.077
229.00,1.002
230.00,0.933
231.00,0.872
232.00,0.819
233.00,0.773
234.00,0.734
235.00,0.701
236.00,0.674
237.00,0.652
238.00,0.635
239.00,0.622
240.00,0.613
241.00,0.606
242.00,0.602
243.00,0.600
244.00,0.600
245.00,0.601
246.00,0.603
247.00,0.606
248.00,0.610
249.00,0.613
250.00,0.618
251.00,0.622
252.00,0.627
253.00,0.631
254.00,0.635
255.00,0.640
256.00,0.644
257.00,0.647
258.00,0.649
259.00,0.651
260.00,0.651
261.00,0.652
262.00,0.652
263.00,0.652
264.00,0.652
265.00,0.651
266.00,0.649
267.00,0.646
268.00,0.642
269.00,0.636
270.00,0.630
271.00,0.623
272.00,0.615
273.00,0.606
274.00,0.595
275.00,0.584
276.00,0.571
277.00,0.558
278.00,0.544
279.00,0.529
280.00,0.514
281.00,0.498
282.00,0.482
283.00,0.465
284.00,0.448
285.00,0.430
286.00,0.415
287.00,0.400
288.00,0.385
289.00,0.370
290.00,0.354
291.00,0.339
292.00,0.325
293.00,0.314
294.00,0.304
295.00,0.295
296.00,0.288
297.00,0.282
298.00,0.277
299.00,0.272
300.00,0.267
301.00,0.263
302.00,0.260
303.00,0.257
304.00,0.254
305.00,0.251
306.00,0.249
307.00,0.246
308.00,0.244
309.00,0.242
310.00,0.240
311.00,0.238
312.00,0.236
313.00,0.234
314.00,0.232
315.00,0.230
316.00,0.228
317.00,0.226
318.00,0.223
319.00,0.221
320.00,0.219
321.00,0.216
322.00,0.214
323.00,0.211
324.00,0.208
325.00,0.205
326.00,0.202
327.00,0.198
328.00,0.195
329.00,0.192
330.00,0.188
331.00,0.184
332.00,0.181
333.00,0.177
334.00,0.173
335.00,0.169
336.00,0.166
337.00,0.162
338.00,0.159
339.00,0.155
340.00,0.151
341.00,0.147
342.00,0.143
343.00,0.139
344.00,0.136
345.00,0.133
346.00,0.130
347.00,0.127
348.00,0.124
349.00,0.121
350.00,0.118
351.00,0.115
352.00,0.112
353.00,0.110
354.00,0.107
355.00,0.105
356.00,0.102
357.00,0.100
358.00,0.098
359.00,0.096
360.00,0.094
361.00,0.092
362.00,0.091
363.00,0.089
364.00,0.087
365.00,0.086
366.00,0.084
367.00,0.083
368.00,0.082
369.00,0.080
370.00,0.079
371.00,0.078
372.00,0.077
373.00,0.076
374.00,0.075
375.00,0.073
376.00,0.072
377.00,0.071
378.00,0.070
379.00,0.069
380.00,0.068
381.00,0.068
382.00,0.067
383.00,0.066
384.00,0.065
385.00,0.065
386.00,0.064
387.00,0.064
388.00,0.063
389.00,0.062
390.00,0.062
391.00,0.061
392.00,0.061
393.00,0.060
394.00,0.060
395.00,0.059
396.00,0.059
397.00,0.059
398.00,0.058
399.00,0.058
400.00,0.057
401.00,0.057
402.00,0.057
403.00,0.056
404.00,0.056
405.00,0.056
406.00,0.055
407.00,0.055
408.00,0.055
409.00,0.054
410.00,0.054
411.00,0.054
412.00,0.054
413.00,0.054
414.00,0.053
415.00,0.053
416.00,0.053
417.00,0.053
418.00,0.052
419.00,0.052
420.00,0.052
421.00,0.052
422.00,0.052
423.00,0.051
424.00,0.051
425.00,0.051
426.00,0.051
427.00,0.051
428.00,0.050
429.00,0.050
430.00,0.050
431.00,0.050
432.00,0.050
433.00,0.050
434.00,0.049
435.00,0.049
436.00,0.049
437.00,0.049
438.00,0.049
439.00,0.049
440.00,0.048
441.00,0.048
442.00,0.048
443.00,0.048
444.00,0.048
445.00,0.048
446.00,0.048
447.00,0.048
448.00,0.048
449.00,0.048
450.00,0.047
451.00,0.047
452.00,0.047
453.00,0.047
454.00,0.047
455.00,0.047
456.00,0.047
457.00,0.047
458.00,0.047
459.00,0.046
460.00,0.046
461.00,0.046
462.00,0.046
463.00,0.046
464.00,0.046
465.00,0.046
466.00,0.046
467.00,0.046
468.00,0.046
469.00,0.046
470.00,0.045
471.00,0.045
472.00,0.045
473.00,0.045
474.00,0.045
475.00,0.045
476.00,0.045
477.00,0.045
478.00,0.045
479.00,0.045
480.00,0.045
481.00,0.045
482.00,0.044
483.00,0.044
484.00,0.044
485.00,0.044
486.00,0.044
487.00,0.044
488.00,0.044
489.00,0.044
490.00,0.044
491.00,0.044
492.00,0.044
493.00,0.044
494.00,0.043
495.00,0.043
496.00,0.043
497.00,0.043
498.00,0.043
499.00,0.043
500.00,0.043
501.00,0.043
502.00,0.043
503.00,0.043
504.00,0.043
505.00,0.043
506.00,0.043
507.00,0.043
508.00,0.043
509.00,0.043
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
