"LabattBleu_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.439
191.00,3.117
192.00,3.391
193.00,3.422
194.00,3.530
195.00,3.447
196.00,3.616
197.00,3.719
198.00,3.818
199.00,3.654
200.00,3.809
201.00,3.759
202.00,3.875
203.00,3.783
204.00,3.762
205.00,3.685
206.00,3.744
207.00,3.784
208.00,3.783
209.00,3.868
210.00,3.671
211.00,3.560
212.00,3.408
213.00,3.324
214.00,3.284
215.00,3.076
216.00,3.005
217.00,2.875
218.00,2.739
219.00,2.603
220.00,2.483
221.00,2.375
222.00,2.261
223.00,2.153
224.00,2.041
225.00,1.936
226.00,1.831
227.00,1.719
228.00,1.613
229.00,1.513
230.00,1.419
231.00,1.332
232.00,1.254
233.00,1.185
234.00,1.125
235.00,1.074
236.00,1.028
237.00,0.991
238.00,0.959
239.00,0.934
240.00,0.913
241.00,0.896
242.00,0.884
243.00,0.875
244.00,0.868
245.00,0.863
246.00,0.861
247.00,0.859
248.00,0.858
249.00,0.859
250.00,0.860
251.00,0.862
252.00,0.866
253.00,0.869
254.00,0.873
255.00,0.877
256.00,0.881
257.00,0.885
258.00,0.888
259.00,0.890
260.00,0.892
261.00,0.894
262.00,0.897
263.00,0.900
264.00,0.904
265.00,0.906
266.00,0.908
267.00,0.910
268.00,0.911
269.00,0.911
270.00,0.909
271.00,0.907
272.00,0.903
273.00,0.899
274.00,0.893
275.00,0.885
276.00,0.875
277.00,0.863
278.00,0.850
279.00,0.836
280.00,0.821
281.00,0.805
282.00,0.788
283.00,0.768
284.00,0.747
285.00,0.724
286.00,0.704
287.00,0.684
288.00,0.663
289.00,0.642
290.00,0.620
291.00,0.599
292.00,0.580
293.00,0.563
294.00,0.549
295.00,0.535
296.00,0.523
297.00,0.513
298.00,0.503
299.00,0.494
300.00,0.486
301.00,0.478
302.00,0.471
303.00,0.465
304.00,0.459
305.00,0.454
306.00,0.449
307.00,0.443
308.00,0.438
309.00,0.434
310.00,0.430
311.00,0.426
312.00,0.422
313.00,0.418
314.00,0.415
315.00,0.411
316.00,0.407
317.00,0.403
318.00,0.399
319.00,0.395
320.00,0.390
321.00,0.386
322.00,0.381
323.00,0.376
324.00,0.370
325.00,0.365
326.00,0.359
327.00,0.353
328.00,0.346
329.00,0.340
330.00,0.333
331.00,0.326
332.00,0.320
333.00,0.312
334.00,0.305
335.00,0.298
336.00,0.292
337.00,0.285
338.00,0.277
339.00,0.271
340.00,0.264
341.00,0.256
342.00,0.249
343.00,0.242
344.00,0.236
345.00,0.230
346.00,0.224
347.00,0.219
348.00,0.214
349.00,0.208
350.00,0.203
351.00,0.197
352.00,0.193
353.00,0.188
354.00,0.184
355.00,0.180
356.00,0.175
357.00,0.172
358.00,0.168
359.00,0.164
360.00,0.161
361.00,0.158
362.00,0.155
363.00,0.152
364.00,0.150
365.00,0.147
366.00,0.145
367.00,0.142
368.00,0.140
369.00,0.138
370.00,0.136
371.00,0.134
372.00,0.132
373.00,0.130
374.00,0.128
375.00,0.126
376.00,0.125
377.00,0.123
378.00,0.122
379.00,0.120
380.00,0.119
381.00,0.118
382.00,0.116
383.00,0.115
384.00,0.114
385.00,0.113
386.00,0.112
387.00,0.111
388.00,0.110
389.00,0.109
390.00,0.108
391.00,0.107
392.00,0.106
393.00,0.105
394.00,0.104
395.00,0.103
396.00,0.103
397.00,0.102
398.00,0.101
399.00,0.101
400.00,0.100
401.00,0.099
402.00,0.099
403.00,0.098
404.00,0.098
405.00,0.097
406.00,0.097
407.00,0.096
408.00,0.095
409.00,0.095
410.00,0.094
411.00,0.094
412.00,0.093
413.00,0.093
414.00,0.093
415.00,0.092
416.00,0.092
417.00,0.091
418.00,0.091
419.00,0.091
420.00,0.090
421.00,0.090
422.00,0.089
423.00,0.089
424.00,0.089
425.00,0.088
426.00,0.088
427.00,0.088
428.00,0.087
429.00,0.087
430.00,0.087
431.00,0.086
432.00,0.086
433.00,0.086
434.00,0.085
435.00,0.085
436.00,0.085
437.00,0.084
438.00,0.084
439.00,0.084
440.00,0.083
441.00,0.083
442.00,0.083
443.00,0.083
444.00,0.082
445.00,0.082
446.00,0.082
447.00,0.081
448.00,0.081
449.00,0.081
450.00,0.081
451.00,0.081
452.00,0.080
453.00,0.080
454.00,0.080
455.00,0.079
456.00,0.079
457.00,0.079
458.00,0.079
459.00,0.079
460.00,0.078
461.00,0.078
462.00,0.078
463.00,0.078
464.00,0.077
465.00,0.077
466.00,0.077
467.00,0.077
468.00,0.077
469.00,0.076
470.00,0.076
471.00,0.076
472.00,0.076
473.00,0.076
474.00,0.075
475.00,0.075
476.00,0.075
477.00,0.075
478.00,0.074
479.00,0.074
480.00,0.074
481.00,0.074
482.00,0.074
483.00,0.073
484.00,0.073
485.00,0.073
486.00,0.073
487.00,0.073
488.00,0.072
489.00,0.072
490.00,0.072
491.00,0.072
492.00,0.072
493.00,0.072
494.00,0.071
495.00,0.071
496.00,0.071
497.00,0.071
498.00,0.071
499.00,0.071
500.00,0.070
501.00,0.070
502.00,0.070
503.00,0.070
504.00,0.070
505.00,0.070
506.00,0.070
507.00,0.069
508.00,0.069
509.00,0.069
510.00,0.069
511.00,0.069
512.00,0.069
513.00,0.069
514.00,0.069
515.00,0.068
516.00,0.068
517.00,0.068
518.00,0.068
519.00,0.068
520.00,0.068
521.00,0.067
522.00,0.067
523.00,0.067
524.00,0.067
525.00,0.067
526.00,0.067
527.00,0.067
528.00,0.067
529.00,0.067
530.00,0.066
531.00,0.066
532.00,0.066
533.00,0.066
534.00,0.066
535.00,0.066
536.00,0.066
537.00,0.066
538.00,0.066
539.00,0.065
540.00,0.065
541.00,0.065
542.00,0.065
543.00,0.065
544.00,0.065
545.00,0.065
546.00,0.065
547.00,0.065
548.00,0.065
549.00,0.064
550.00,0.064
551.00,0.064
552.00,0.064
553.00,0.064
554.00,0.064
555.00,0.064
556.00,0.064
557.00,0.064
558.00,0.064
559.00,0.064
560.00,0.063
561.00,0.063
562.00,0.063
563.00,0.063
564.00,0.063
565.00,0.063
566.00,0.063
567.00,0.063
568.00,0.063
569.00,0.063
570.00,0.063
571.00,0.063
572.00,0.063
573.00,0.062
574.00,0.062
575.00,0.062
576.00,0.062
577.00,0.062
578.00,0.062
579.00,0.062
580.00,0.062
581.00,0.062
582.00,0.062
583.00,0.062
584.00,0.062
585.00,0.062
586.00,0.062
587.00,0.062
588.00,0.062
589.00,0.062
590.00,0.062
591.00,0.062
592.00,0.062
593.00,0.061
594.00,0.061
595.00,0.061
596.00,0.061
597.00,0.061
598.00,0.061
599.00,0.061
600.00,0.061
601.00,0.061
602.00,0.061
603.00,0.061
604.00,0.061
605.00,0.061
606.00,0.061
607.00,0.061
608.00,0.061
609.00,0.061
610.00,0.061
611.00,0.061
612.00,0.061
613.00,0.061
614.00,0.061
615.00,0.061
616.00,0.061
617.00,0.061
618.00,0.060
619.00,0.060
620.00,0.060
621.00,0.060
622.00,0.060
623.00,0.060
624.00,0.060
625.00,0.060
626.00,0.060
627.00,0.060
628.00,0.060
629.00,0.060
630.00,0.060
631.00,0.060
632.00,0.060
633.00,0.060
634.00,0.060
635.00,0.060
636.00,0.060
637.00,0.060
638.00,0.059
639.00,0.059
640.00,0.059
641.00,0.059
642.00,0.059
643.00,0.059
644.00,0.059
645.00,0.059
646.00,0.059
647.00,0.059
648.00,0.059
649.00,0.059
650.00,0.059
651.00,0.059
652.00,0.059
653.00,0.059
654.00,0.059
655.00,0.059
656.00,0.059
657.00,0.059
658.00,0.059
659.00,0.059
660.00,0.059
661.00,0.059
662.00,0.059
663.00,0.059
664.00,0.059
665.00,0.059
666.00,0.059
667.00,0.059
668.00,0.059
669.00,0.059
670.00,0.059
671.00,0.058
672.00,0.058
673.00,0.058
674.00,0.058
675.00,0.058
676.00,0.058
677.00,0.058
678.00,0.058
679.00,0.058
680.00,0.058
681.00,0.058
682.00,0.058
683.00,0.058
684.00,0.058
685.00,0.058
686.00,0.058
687.00,0.058
688.00,0.058
689.00,0.058
690.00,0.058
691.00,0.058
692.00,0.058
693.00,0.058
694.00,0.058
695.00,0.058
696.00,0.058
697.00,0.058
698.00,0.058
699.00,0.058
700.00,0.058
701.00,0.058
702.00,0.058
703.00,0.058
704.00,0.058
705.00,0.058
706.00,0.058
707.00,0.058
708.00,0.058
709.00,0.059
710.00,0.059
711.00,0.059
712.00,0.059
713.00,0.059
714.00,0.059
715.00,0.059
716.00,0.059
717.00,0.060
718.00,0.060
719.00,0.060
720.00,0.060
721.00,0.060
722.00,0.060
723.00,0.061
724.00,0.061
725.00,0.061
726.00,0.061
727.00,0.062
728.00,0.062
729.00,0.062
730.00,0.063
731.00,0.063
732.00,0.064
733.00,0.064
734.00,0.065
735.00,0.065
736.00,0.065
737.00,0.066
738.00,0.066
739.00,0.066
740.00,0.066
741.00,0.066
742.00,0.066
743.00,0.066
744.00,0.066
745.00,0.066
746.00,0.066
747.00,0.066
748.00,0.066
749.00,0.066
750.00,0.066
751.00,0.066
752.00,0.066
753.00,0.066
754.00,0.066
755.00,0.066
756.00,0.066
757.00,0.066
758.00,0.066
759.00,0.066
760.00,0.066
761.00,0.065
762.00,0.065
763.00,0.065
764.00,0.065
765.00,0.065
766.00,0.065
767.00,0.065
768.00,0.065
769.00,0.065
770.00,0.065
771.00,0.065
772.00,0.065
773.00,0.065
774.00,0.065
775.00,0.065
776.00,0.064
777.00,0.064
778.00,0.064
779.00,0.064
780.00,0.064
781.00,0.064
782.00,0.064
783.00,0.064
784.00,0.064
785.00,0.063
786.00,0.063
787.00,0.063
788.00,0.063
789.00,0.063
790.00,0.063
