"LagabiereSouthshoreIPL_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.455
191.00,3.923
192.00,3.812
193.00,3.319
194.00,3.526
195.00,3.421
196.00,3.831
197.00,3.772
198.00,3.855
199.00,3.687
200.00,3.715
201.00,3.745
202.00,3.749
203.00,3.835
204.00,3.705
205.00,3.930
206.00,3.924
207.00,3.820
208.00,3.773
209.00,3.622
210.00,3.510
211.00,3.509
212.00,3.396
213.00,3.225
214.00,3.143
215.00,3.023
216.00,2.856
217.00,2.728
218.00,2.609
219.00,2.488
220.00,2.362
221.00,2.251
222.00,2.143
223.00,2.038
224.00,1.929
225.00,1.828
226.00,1.726
227.00,1.623
228.00,1.526
229.00,1.436
230.00,1.354
231.00,1.280
232.00,1.215
233.00,1.158
234.00,1.109
235.00,1.067
236.00,1.033
237.00,1.003
238.00,0.979
239.00,0.961
240.00,0.946
241.00,0.935
242.00,0.928
243.00,0.924
244.00,0.922
245.00,0.922
246.00,0.923
247.00,0.926
248.00,0.930
249.00,0.934
250.00,0.939
251.00,0.945
252.00,0.952
253.00,0.958
254.00,0.964
255.00,0.971
256.00,0.976
257.00,0.980
258.00,0.982
259.00,0.984
260.00,0.984
261.00,0.984
262.00,0.985
263.00,0.984
264.00,0.983
265.00,0.981
266.00,0.979
267.00,0.976
268.00,0.973
269.00,0.967
270.00,0.960
271.00,0.950
272.00,0.937
273.00,0.925
274.00,0.911
275.00,0.895
276.00,0.879
277.00,0.863
278.00,0.845
279.00,0.826
280.00,0.806
281.00,0.786
282.00,0.764
283.00,0.741
284.00,0.716
285.00,0.690
286.00,0.666
287.00,0.643
288.00,0.618
289.00,0.594
290.00,0.567
291.00,0.542
292.00,0.520
293.00,0.501
294.00,0.485
295.00,0.470
296.00,0.458
297.00,0.447
298.00,0.436
299.00,0.427
300.00,0.419
301.00,0.411
302.00,0.405
303.00,0.399
304.00,0.393
305.00,0.389
306.00,0.384
307.00,0.380
308.00,0.376
309.00,0.372
310.00,0.368
311.00,0.365
312.00,0.362
313.00,0.358
314.00,0.355
315.00,0.352
316.00,0.349
317.00,0.346
318.00,0.343
319.00,0.339
320.00,0.335
321.00,0.332
322.00,0.328
323.00,0.324
324.00,0.320
325.00,0.315
326.00,0.310
327.00,0.305
328.00,0.300
329.00,0.295
330.00,0.289
331.00,0.284
332.00,0.279
333.00,0.273
334.00,0.267
335.00,0.262
336.00,0.256
337.00,0.250
338.00,0.245
339.00,0.239
340.00,0.234
341.00,0.227
342.00,0.221
343.00,0.216
344.00,0.210
345.00,0.205
346.00,0.200
347.00,0.195
348.00,0.190
349.00,0.185
350.00,0.180
351.00,0.176
352.00,0.171
353.00,0.167
354.00,0.163
355.00,0.159
356.00,0.155
357.00,0.152
358.00,0.148
359.00,0.145
360.00,0.141
361.00,0.138
362.00,0.135
363.00,0.132
364.00,0.129
365.00,0.127
366.00,0.124
367.00,0.122
368.00,0.119
369.00,0.117
370.00,0.114
371.00,0.112
372.00,0.110
373.00,0.108
374.00,0.106
375.00,0.104
376.00,0.102
377.00,0.100
378.00,0.098
379.00,0.096
380.00,0.095
381.00,0.093
382.00,0.092
383.00,0.090
384.00,0.089
385.00,0.087
386.00,0.086
387.00,0.085
388.00,0.083
389.00,0.082
390.00,0.081
391.00,0.080
392.00,0.079
393.00,0.078
394.00,0.077
395.00,0.076
396.00,0.075
397.00,0.074
398.00,0.073
399.00,0.072
400.00,0.071
401.00,0.071
402.00,0.070
403.00,0.069
404.00,0.068
405.00,0.068
406.00,0.067
407.00,0.067
408.00,0.066
409.00,0.065
410.00,0.065
411.00,0.064
412.00,0.064
413.00,0.064
414.00,0.063
415.00,0.063
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.061
420.00,0.061
421.00,0.061
422.00,0.060
423.00,0.060
424.00,0.060
425.00,0.059
426.00,0.059
427.00,0.059
428.00,0.058
429.00,0.058
430.00,0.058
431.00,0.058
432.00,0.057
433.00,0.057
434.00,0.057
435.00,0.057
436.00,0.056
437.00,0.056
438.00,0.056
439.00,0.056
440.00,0.056
441.00,0.055
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.055
446.00,0.054
447.00,0.054
448.00,0.054
449.00,0.054
450.00,0.054
451.00,0.053
452.00,0.053
453.00,0.053
454.00,0.053
455.00,0.053
456.00,0.053
457.00,0.053
458.00,0.053
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.052
464.00,0.052
465.00,0.051
466.00,0.051
467.00,0.051
468.00,0.051
469.00,0.051
470.00,0.051
471.00,0.051
472.00,0.051
473.00,0.050
474.00,0.050
475.00,0.050
476.00,0.050
477.00,0.050
478.00,0.050
479.00,0.050
480.00,0.050
481.00,0.050
482.00,0.049
483.00,0.049
484.00,0.049
485.00,0.049
486.00,0.049
487.00,0.049
488.00,0.049
489.00,0.049
490.00,0.049
491.00,0.048
492.00,0.048
493.00,0.048
494.00,0.048
495.00,0.048
496.00,0.048
497.00,0.048
498.00,0.048
499.00,0.048
500.00,0.048
501.00,0.047
502.00,0.047
503.00,0.047
504.00,0.047
505.00,0.047
506.00,0.047
507.00,0.047
508.00,0.047
509.00,0.047
510.00,0.047
511.00,0.047
512.00,0.046
513.00,0.046
514.00,0.046
515.00,0.046
516.00,0.046
517.00,0.046
518.00,0.046
519.00,0.046
520.00,0.046
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.045
525.00,0.045
526.00,0.045
527.00,0.045
528.00,0.045
529.00,0.045
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.045
535.00,0.045
536.00,0.045
537.00,0.045
538.00,0.044
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
543.00,0.044
544.00,0.044
545.00,0.044
546.00,0.044
547.00,0.044
548.00,0.044
549.00,0.044
550.00,0.044
551.00,0.044
552.00,0.044
553.00,0.044
554.00,0.043
555.00,0.043
556.00,0.043
557.00,0.043
558.00,0.043
559.00,0.043
560.00,0.043
561.00,0.043
562.00,0.043
563.00,0.043
564.00,0.043
565.00,0.043
566.00,0.043
567.00,0.043
568.00,0.043
569.00,0.043
570.00,0.043
571.00,0.043
572.00,0.043
573.00,0.043
574.00,0.043
575.00,0.043
576.00,0.042
577.00,0.042
578.00,0.042
579.00,0.042
580.00,0.042
581.00,0.042
582.00,0.042
583.00,0.042
584.00,0.042
585.00,0.042
586.00,0.042
587.00,0.042
588.00,0.042
589.00,0.042
590.00,0.042
591.00,0.042
592.00,0.042
593.00,0.042
594.00,0.042
595.00,0.042
596.00,0.042
597.00,0.042
598.00,0.042
599.00,0.042
600.00,0.042
601.00,0.042
602.00,0.042
603.00,0.042
604.00,0.042
605.00,0.042
606.00,0.042
607.00,0.042
608.00,0.042
609.00,0.042
610.00,0.042
611.00,0.042
612.00,0.042
613.00,0.042
614.00,0.042
615.00,0.042
616.00,0.042
617.00,0.042
618.00,0.042
619.00,0.042
620.00,0.041
621.00,0.041
622.00,0.041
623.00,0.041
624.00,0.041
625.00,0.041
626.00,0.041
627.00,0.041
628.00,0.041
629.00,0.041
630.00,0.041
631.00,0.041
632.00,0.041
633.00,0.041
634.00,0.041
635.00,0.041
636.00,0.041
637.00,0.041
638.00,0.041
639.00,0.041
640.00,0.041
641.00,0.041
642.00,0.041
643.00,0.041
644.00,0.041
645.00,0.041
646.00,0.041
647.00,0.041
648.00,0.041
649.00,0.041
650.00,0.041
651.00,0.041
652.00,0.041
653.00,0.041
654.00,0.041
655.00,0.041
656.00,0.041
657.00,0.041
658.00,0.041
659.00,0.041
660.00,0.041
