"LagerBlondeCarling50x - RawData"
"Wavelength nm.","Abs."
190.00,2.907
191.00,3.021
192.00,3.033
193.00,3.129
194.00,3.251
195.00,3.043
196.00,3.183
197.00,3.063
198.00,2.930
199.00,2.871
200.00,2.713
201.00,2.572
202.00,2.435
203.00,2.316
204.00,2.176
205.00,2.056
206.00,1.944
207.00,1.840
208.00,1.743
209.00,1.656
210.00,1.575
211.00,1.501
212.00,1.431
213.00,1.363
214.00,1.300
215.00,1.242
216.00,1.185
217.00,1.131
218.00,1.078
219.00,1.025
220.00,0.975
221.00,0.929
222.00,0.884
223.00,0.840
224.00,0.795
225.00,0.752
226.00,0.708
227.00,0.663
228.00,0.619
229.00,0.578
230.00,0.540
231.00,0.506
232.00,0.475
233.00,0.447
234.00,0.423
235.00,0.402
236.00,0.385
237.00,0.370
238.00,0.358
239.00,0.348
240.00,0.339
241.00,0.333
242.00,0.328
243.00,0.325
244.00,0.322
245.00,0.321
246.00,0.320
247.00,0.319
248.00,0.319
249.00,0.320
250.00,0.321
251.00,0.322
252.00,0.324
253.00,0.325
254.00,0.327
255.00,0.329
256.00,0.331
257.00,0.333
258.00,0.334
259.00,0.335
260.00,0.336
261.00,0.338
262.00,0.339
263.00,0.341
264.00,0.342
265.00,0.343
266.00,0.343
267.00,0.344
268.00,0.344
269.00,0.343
270.00,0.342
271.00,0.341
272.00,0.339
273.00,0.337
274.00,0.335
275.00,0.331
276.00,0.327
277.00,0.322
278.00,0.317
279.00,0.311
280.00,0.305
281.00,0.299
282.00,0.292
283.00,0.284
284.00,0.276
285.00,0.268
286.00,0.260
287.00,0.253
288.00,0.245
289.00,0.237
290.00,0.229
291.00,0.221
292.00,0.214
293.00,0.208
294.00,0.203
295.00,0.198
296.00,0.194
297.00,0.190
298.00,0.186
299.00,0.183
300.00,0.180
301.00,0.177
302.00,0.175
303.00,0.172
304.00,0.170
305.00,0.168
306.00,0.166
307.00,0.164
308.00,0.162
309.00,0.161
310.00,0.159
311.00,0.157
312.00,0.156
313.00,0.155
314.00,0.153
315.00,0.151
316.00,0.150
317.00,0.149
318.00,0.147
319.00,0.145
320.00,0.144
321.00,0.142
322.00,0.140
323.00,0.138
324.00,0.136
325.00,0.134
326.00,0.132
327.00,0.130
328.00,0.128
329.00,0.125
330.00,0.123
331.00,0.120
332.00,0.118
333.00,0.115
334.00,0.113
335.00,0.110
336.00,0.108
337.00,0.105
338.00,0.103
339.00,0.101
340.00,0.099
341.00,0.094
342.00,0.092
343.00,0.090
344.00,0.088
345.00,0.086
346.00,0.084
347.00,0.082
348.00,0.080
349.00,0.078
350.00,0.076
351.00,0.074
352.00,0.073
353.00,0.071
354.00,0.070
355.00,0.068
356.00,0.067
357.00,0.066
358.00,0.064
359.00,0.063
360.00,0.062
361.00,0.061
362.00,0.060
363.00,0.059
364.00,0.059
365.00,0.058
366.00,0.057
367.00,0.056
368.00,0.055
369.00,0.055
370.00,0.054
371.00,0.053
372.00,0.053
373.00,0.052
374.00,0.052
375.00,0.051
376.00,0.051
377.00,0.050
378.00,0.050
379.00,0.049
380.00,0.049
381.00,0.048
382.00,0.048
383.00,0.048
384.00,0.047
385.00,0.047
386.00,0.047
387.00,0.046
388.00,0.046
389.00,0.046
390.00,0.045
391.00,0.045
392.00,0.045
393.00,0.045
394.00,0.044
395.00,0.044
396.00,0.044
397.00,0.044
398.00,0.044
399.00,0.043
400.00,0.043
401.00,0.043
402.00,0.043
403.00,0.043
404.00,0.042
405.00,0.042
406.00,0.042
407.00,0.042
408.00,0.042
409.00,0.042
410.00,0.041
411.00,0.041
412.00,0.041
413.00,0.041
414.00,0.041
415.00,0.041
416.00,0.041
417.00,0.041
418.00,0.041
419.00,0.041
420.00,0.040
421.00,0.040
422.00,0.040
423.00,0.040
424.00,0.040
425.00,0.040
426.00,0.040
427.00,0.040
428.00,0.040
429.00,0.040
430.00,0.040
431.00,0.039
432.00,0.039
433.00,0.039
434.00,0.039
435.00,0.039
436.00,0.039
437.00,0.039
438.00,0.039
439.00,0.039
440.00,0.039
441.00,0.039
442.00,0.039
443.00,0.039
444.00,0.039
445.00,0.038
446.00,0.038
447.00,0.038
448.00,0.038
449.00,0.038
450.00,0.038
451.00,0.038
452.00,0.038
453.00,0.038
454.00,0.038
455.00,0.038
456.00,0.038
457.00,0.038
458.00,0.038
459.00,0.038
460.00,0.038
461.00,0.038
462.00,0.037
463.00,0.037
464.00,0.037
465.00,0.037
466.00,0.037
467.00,0.037
468.00,0.037
469.00,0.037
470.00,0.037
471.00,0.037
472.00,0.037
473.00,0.037
474.00,0.037
475.00,0.037
476.00,0.037
477.00,0.037
478.00,0.037
479.00,0.037
480.00,0.037
481.00,0.037
482.00,0.037
483.00,0.036
484.00,0.036
485.00,0.036
486.00,0.036
487.00,0.036
488.00,0.036
489.00,0.036
490.00,0.036
491.00,0.036
492.00,0.036
493.00,0.036
494.00,0.036
495.00,0.036
496.00,0.036
497.00,0.036
498.00,0.036
499.00,0.036
500.00,0.036
501.00,0.036
502.00,0.036
503.00,0.036
504.00,0.036
505.00,0.036
506.00,0.036
507.00,0.036
508.00,0.036
509.00,0.036
510.00,0.036
511.00,0.036
512.00,0.036
513.00,0.036
514.00,0.035
515.00,0.035
516.00,0.035
517.00,0.035
518.00,0.035
519.00,0.035
520.00,0.035
521.00,0.035
522.00,0.035
523.00,0.035
524.00,0.035
525.00,0.035
526.00,0.035
527.00,0.035
528.00,0.035
529.00,0.035
530.00,0.035
531.00,0.035
532.00,0.035
533.00,0.035
534.00,0.035
535.00,0.035
536.00,0.035
537.00,0.035
538.00,0.035
539.00,0.035
540.00,0.035
541.00,0.035
542.00,0.035
543.00,0.035
544.00,0.035
545.00,0.035
546.00,0.035
547.00,0.035
548.00,0.035
549.00,0.035
550.00,0.035
551.00,0.035
552.00,0.035
553.00,0.035
554.00,0.035
555.00,0.035
556.00,0.035
557.00,0.035
558.00,0.035
559.00,0.035
560.00,0.035
561.00,0.035
562.00,0.035
563.00,0.035
564.00,0.035
565.00,0.035
566.00,0.035
567.00,0.035
568.00,0.035
569.00,0.035
570.00,0.035
571.00,0.035
572.00,0.035
573.00,0.035
574.00,0.035
575.00,0.035
576.00,0.035
577.00,0.035
578.00,0.035
579.00,0.035
580.00,0.035
581.00,0.035
582.00,0.035
583.00,0.035
584.00,0.035
585.00,0.035
586.00,0.035
587.00,0.035
588.00,0.035
589.00,0.035
590.00,0.035
591.00,0.035
592.00,0.035
593.00,0.035
594.00,0.035
595.00,0.035
596.00,0.035
597.00,0.035
598.00,0.035
599.00,0.035
600.00,0.035
601.00,0.035
602.00,0.035
603.00,0.035
604.00,0.035
605.00,0.035
606.00,0.035
607.00,0.035
608.00,0.035
609.00,0.035
610.00,0.035
611.00,0.035
