"LeCastorSanctuaire50x - RawData"
"Wavelength nm.","Abs."
190.00,2.812
191.00,3.053
192.00,3.209
193.00,3.189
194.00,3.204
195.00,3.292
196.00,3.347
197.00,3.337
198.00,3.434
199.00,3.615
200.00,3.487
201.00,3.570
202.00,3.473
203.00,3.634
204.00,3.700
205.00,3.587
206.00,3.751
207.00,3.835
208.00,3.609
209.00,3.485
210.00,3.474
211.00,3.512
212.00,3.363
213.00,3.367
214.00,3.192
215.00,3.058
216.00,2.945
217.00,2.827
218.00,2.704
219.00,2.580
220.00,2.468
221.00,2.356
222.00,2.244
223.00,2.139
224.00,2.027
225.00,1.919
226.00,1.815
227.00,1.708
228.00,1.605
229.00,1.511
230.00,1.424
231.00,1.342
232.00,1.270
233.00,1.206
234.00,1.152
235.00,1.106
236.00,1.067
237.00,1.035
238.00,1.009
239.00,0.988
240.00,0.972
241.00,0.960
242.00,0.951
243.00,0.946
244.00,0.942
245.00,0.941
246.00,0.941
247.00,0.942
248.00,0.945
249.00,0.948
250.00,0.952
251.00,0.956
252.00,0.961
253.00,0.966
254.00,0.972
255.00,0.976
256.00,0.981
257.00,0.986
258.00,0.990
259.00,0.994
260.00,0.997
261.00,1.001
262.00,1.004
263.00,1.007
264.00,1.010
265.00,1.011
266.00,1.011
267.00,1.011
268.00,1.009
269.00,1.006
270.00,1.000
271.00,0.993
272.00,0.984
273.00,0.974
274.00,0.962
275.00,0.949
276.00,0.933
277.00,0.917
278.00,0.898
279.00,0.880
280.00,0.860
281.00,0.840
282.00,0.819
283.00,0.795
284.00,0.771
285.00,0.746
286.00,0.723
287.00,0.701
288.00,0.678
289.00,0.656
290.00,0.632
291.00,0.609
292.00,0.588
293.00,0.570
294.00,0.554
295.00,0.540
296.00,0.527
297.00,0.516
298.00,0.504
299.00,0.494
300.00,0.485
301.00,0.476
302.00,0.469
303.00,0.461
304.00,0.455
305.00,0.449
306.00,0.443
307.00,0.437
308.00,0.432
309.00,0.427
310.00,0.422
311.00,0.417
312.00,0.413
313.00,0.409
314.00,0.404
315.00,0.400
316.00,0.396
317.00,0.392
318.00,0.388
319.00,0.383
320.00,0.379
321.00,0.375
322.00,0.369
323.00,0.364
324.00,0.360
325.00,0.355
326.00,0.349
327.00,0.344
328.00,0.338
329.00,0.333
330.00,0.327
331.00,0.321
332.00,0.316
333.00,0.310
334.00,0.304
335.00,0.298
336.00,0.293
337.00,0.287
338.00,0.281
339.00,0.275
340.00,0.270
341.00,0.264
342.00,0.258
343.00,0.252
344.00,0.247
345.00,0.242
346.00,0.237
347.00,0.232
348.00,0.228
349.00,0.223
350.00,0.218
351.00,0.214
352.00,0.209
353.00,0.205
354.00,0.201
355.00,0.197
356.00,0.194
357.00,0.190
358.00,0.186
359.00,0.183
360.00,0.180
361.00,0.177
362.00,0.174
363.00,0.171
364.00,0.169
365.00,0.166
366.00,0.163
367.00,0.161
368.00,0.159
369.00,0.156
370.00,0.154
371.00,0.152
372.00,0.150
373.00,0.148
374.00,0.146
375.00,0.145
376.00,0.143
377.00,0.141
378.00,0.140
379.00,0.138
380.00,0.136
381.00,0.135
382.00,0.134
383.00,0.132
384.00,0.131
385.00,0.130
386.00,0.129
387.00,0.127
388.00,0.126
389.00,0.125
390.00,0.124
391.00,0.123
392.00,0.122
393.00,0.121
394.00,0.120
395.00,0.119
396.00,0.118
397.00,0.117
398.00,0.117
399.00,0.116
400.00,0.115
401.00,0.114
402.00,0.114
403.00,0.113
404.00,0.112
405.00,0.112
406.00,0.111
407.00,0.110
408.00,0.110
409.00,0.109
410.00,0.109
411.00,0.108
412.00,0.108
413.00,0.107
414.00,0.107
415.00,0.106
416.00,0.106
417.00,0.106
418.00,0.105
419.00,0.105
420.00,0.104
421.00,0.104
422.00,0.104
423.00,0.103
424.00,0.103
425.00,0.102
426.00,0.102
427.00,0.101
428.00,0.101
429.00,0.101
430.00,0.100
431.00,0.100
432.00,0.100
433.00,0.099
434.00,0.099
435.00,0.099
436.00,0.098
437.00,0.098
438.00,0.098
439.00,0.097
440.00,0.097
441.00,0.097
