"LeCastorSessionHoublon50x - RawData"
"Wavelength nm.","Abs."
190.00,2.839
191.00,2.928
192.00,3.028
193.00,3.141
194.00,3.183
195.00,3.232
196.00,3.175
197.00,3.356
198.00,3.425
199.00,3.450
200.00,3.310
201.00,3.485
202.00,3.602
203.00,3.336
204.00,3.374
205.00,3.423
206.00,3.274
207.00,3.249
208.00,3.114
209.00,3.050
210.00,2.943
211.00,2.812
212.00,2.710
213.00,2.600
214.00,2.495
215.00,2.383
216.00,2.277
217.00,2.179
218.00,2.077
219.00,1.985
220.00,1.896
221.00,1.813
222.00,1.731
223.00,1.653
224.00,1.573
225.00,1.499
226.00,1.425
227.00,1.351
228.00,1.281
229.00,1.219
230.00,1.160
231.00,1.106
232.00,1.058
233.00,1.015
234.00,0.978
235.00,0.946
236.00,0.919
237.00,0.896
238.00,0.876
239.00,0.860
240.00,0.847
241.00,0.836
242.00,0.829
243.00,0.824
244.00,0.821
245.00,0.820
246.00,0.820
247.00,0.821
248.00,0.823
249.00,0.826
250.00,0.829
251.00,0.834
252.00,0.839
253.00,0.844
254.00,0.850
255.00,0.854
256.00,0.859
257.00,0.863
258.00,0.866
259.00,0.868
260.00,0.869
261.00,0.870
262.00,0.871
263.00,0.872
264.00,0.872
265.00,0.871
266.00,0.870
267.00,0.869
268.00,0.867
269.00,0.864
270.00,0.858
271.00,0.850
272.00,0.842
273.00,0.831
274.00,0.820
275.00,0.808
276.00,0.796
277.00,0.783
278.00,0.769
279.00,0.754
280.00,0.738
281.00,0.722
282.00,0.705
283.00,0.686
284.00,0.668
285.00,0.647
286.00,0.629
287.00,0.610
288.00,0.590
289.00,0.570
290.00,0.549
291.00,0.528
292.00,0.510
293.00,0.494
294.00,0.481
295.00,0.468
296.00,0.458
297.00,0.448
298.00,0.439
299.00,0.431
300.00,0.423
301.00,0.416
302.00,0.410
303.00,0.404
304.00,0.399
305.00,0.394
306.00,0.388
307.00,0.383
308.00,0.379
309.00,0.375
310.00,0.370
311.00,0.366
312.00,0.362
313.00,0.358
314.00,0.355
315.00,0.351
316.00,0.347
317.00,0.344
318.00,0.340
319.00,0.335
320.00,0.331
321.00,0.327
322.00,0.323
323.00,0.318
324.00,0.314
325.00,0.309
326.00,0.304
327.00,0.300
328.00,0.295
329.00,0.289
330.00,0.284
331.00,0.279
332.00,0.274
333.00,0.268
334.00,0.263
335.00,0.258
336.00,0.253
337.00,0.248
338.00,0.243
339.00,0.238
340.00,0.233
341.00,0.227
342.00,0.222
343.00,0.217
344.00,0.213
345.00,0.209
346.00,0.204
347.00,0.200
348.00,0.195
349.00,0.191
350.00,0.188
351.00,0.184
352.00,0.180
353.00,0.176
354.00,0.173
355.00,0.170
356.00,0.166
357.00,0.163
358.00,0.160
359.00,0.157
360.00,0.154
361.00,0.151
362.00,0.149
363.00,0.146
364.00,0.144
365.00,0.142
366.00,0.139
367.00,0.137
368.00,0.135
369.00,0.133
370.00,0.131
371.00,0.129
372.00,0.127
373.00,0.125
374.00,0.123
375.00,0.121
376.00,0.120
377.00,0.118
378.00,0.117
379.00,0.115
380.00,0.113
381.00,0.112
382.00,0.110
383.00,0.109
384.00,0.108
385.00,0.107
386.00,0.106
387.00,0.104
388.00,0.103
389.00,0.102
390.00,0.101
391.00,0.100
392.00,0.099
393.00,0.098
394.00,0.097
395.00,0.096
396.00,0.096
397.00,0.095
398.00,0.094
399.00,0.093
400.00,0.092
401.00,0.092
402.00,0.091
403.00,0.090
404.00,0.090
405.00,0.089
406.00,0.089
407.00,0.088
408.00,0.087
409.00,0.087
410.00,0.086
411.00,0.086
412.00,0.086
413.00,0.085
414.00,0.085
