"LeGrimoireGoliath100x - RawData"
"Wavelength nm.","Abs."
190.00,2.594
191.00,3.052
192.00,3.133
193.00,2.993
194.00,3.119
195.00,3.064
196.00,2.966
197.00,2.973
198.00,2.878
199.00,2.778
200.00,2.747
201.00,2.640
202.00,2.541
203.00,2.426
204.00,2.331
205.00,2.239
206.00,2.147
207.00,2.061
208.00,1.978
209.00,1.900
210.00,1.820
211.00,1.752
212.00,1.689
213.00,1.621
214.00,1.558
215.00,1.498
216.00,1.439
217.00,1.381
218.00,1.326
219.00,1.273
220.00,1.222
221.00,1.175
222.00,1.132
223.00,1.089
224.00,1.047
225.00,1.007
226.00,0.967
227.00,0.927
228.00,0.889
229.00,0.852
230.00,0.818
231.00,0.786
232.00,0.758
233.00,0.730
234.00,0.707
235.00,0.686
236.00,0.668
237.00,0.652
238.00,0.638
239.00,0.627
240.00,0.617
241.00,0.610
242.00,0.605
243.00,0.601
244.00,0.599
245.00,0.598
246.00,0.599
247.00,0.599
248.00,0.601
249.00,0.603
250.00,0.605
251.00,0.608
252.00,0.611
253.00,0.614
254.00,0.617
255.00,0.620
256.00,0.623
257.00,0.626
258.00,0.627
259.00,0.628
260.00,0.629
261.00,0.630
262.00,0.631
263.00,0.632
264.00,0.632
265.00,0.633
266.00,0.632
267.00,0.632
268.00,0.630
269.00,0.628
270.00,0.625
271.00,0.622
272.00,0.618
273.00,0.614
274.00,0.609
275.00,0.604
276.00,0.597
277.00,0.590
278.00,0.583
279.00,0.574
280.00,0.566
281.00,0.557
282.00,0.548
283.00,0.538
284.00,0.527
285.00,0.516
286.00,0.505
287.00,0.494
288.00,0.482
289.00,0.470
290.00,0.457
291.00,0.446
292.00,0.434
293.00,0.424
294.00,0.415
295.00,0.406
296.00,0.398
297.00,0.390
298.00,0.382
299.00,0.375
300.00,0.369
301.00,0.362
302.00,0.356
303.00,0.351
304.00,0.345
305.00,0.340
306.00,0.335
307.00,0.331
308.00,0.326
309.00,0.322
310.00,0.318
311.00,0.314
312.00,0.310
313.00,0.307
314.00,0.304
315.00,0.300
316.00,0.297
317.00,0.294
318.00,0.291
319.00,0.288
320.00,0.285
321.00,0.282
322.00,0.278
323.00,0.275
324.00,0.272
325.00,0.268
326.00,0.265
327.00,0.262
328.00,0.258
329.00,0.254
330.00,0.251
331.00,0.247
332.00,0.244
333.00,0.240
334.00,0.237
335.00,0.233
336.00,0.230
337.00,0.227
338.00,0.223
339.00,0.220
340.00,0.217
341.00,0.212
342.00,0.209
343.00,0.205
344.00,0.202
345.00,0.199
346.00,0.196
347.00,0.193
348.00,0.191
349.00,0.188
350.00,0.185
351.00,0.183
352.00,0.180
353.00,0.178
354.00,0.175
355.00,0.173
356.00,0.171
357.00,0.168
358.00,0.166
359.00,0.164
360.00,0.162
361.00,0.160
362.00,0.158
363.00,0.156
364.00,0.155
365.00,0.153
366.00,0.151
367.00,0.150
368.00,0.148
369.00,0.146
370.00,0.145
371.00,0.143
372.00,0.142
373.00,0.140
374.00,0.139
375.00,0.138
376.00,0.136
377.00,0.135
378.00,0.134
379.00,0.132
380.00,0.131
381.00,0.130
382.00,0.129
383.00,0.128
384.00,0.126
385.00,0.125
386.00,0.124
387.00,0.123
388.00,0.122
389.00,0.121
390.00,0.120
391.00,0.119
392.00,0.118
393.00,0.117
394.00,0.116
395.00,0.115
396.00,0.114
397.00,0.114
398.00,0.113
399.00,0.112
400.00,0.111
401.00,0.110
402.00,0.109
403.00,0.109
404.00,0.108
405.00,0.107
406.00,0.106
407.00,0.106
408.00,0.105
409.00,0.104
410.00,0.103
411.00,0.103
412.00,0.102
413.00,0.101
414.00,0.101
415.00,0.100
416.00,0.099
417.00,0.099
418.00,0.098
419.00,0.098
420.00,0.097
421.00,0.096
422.00,0.096
423.00,0.095
424.00,0.095
425.00,0.094
426.00,0.093
427.00,0.093
428.00,0.092
429.00,0.092
430.00,0.091
431.00,0.091
432.00,0.090
433.00,0.089
434.00,0.089
435.00,0.088
436.00,0.088
437.00,0.087
438.00,0.087
439.00,0.086
440.00,0.086
441.00,0.086
442.00,0.085
443.00,0.085
444.00,0.084
445.00,0.084
446.00,0.083
447.00,0.083
448.00,0.082
449.00,0.082
450.00,0.081
451.00,0.081
452.00,0.081
453.00,0.080
454.00,0.080
455.00,0.080
456.00,0.079
457.00,0.079
458.00,0.078
459.00,0.078
460.00,0.078
461.00,0.077
462.00,0.077
463.00,0.076
464.00,0.076
465.00,0.076
466.00,0.075
467.00,0.075
468.00,0.075
469.00,0.074
470.00,0.074
471.00,0.074
472.00,0.073
473.00,0.073
474.00,0.073
475.00,0.072
476.00,0.072
477.00,0.072
478.00,0.071
479.00,0.071
480.00,0.071
481.00,0.070
482.00,0.070
483.00,0.070
484.00,0.069
485.00,0.069
486.00,0.069
487.00,0.069
488.00,0.068
489.00,0.068
490.00,0.068
491.00,0.067
492.00,0.067
493.00,0.067
494.00,0.067
495.00,0.066
496.00,0.066
497.00,0.066
498.00,0.066
499.00,0.065
500.00,0.065
501.00,0.065
502.00,0.065
503.00,0.064
504.00,0.064
505.00,0.064
506.00,0.064
507.00,0.063
508.00,0.063
509.00,0.063
510.00,0.063
511.00,0.063
512.00,0.062
513.00,0.062
514.00,0.062
515.00,0.062
516.00,0.062
517.00,0.061
518.00,0.061
519.00,0.061
520.00,0.061
521.00,0.061
522.00,0.060
523.00,0.060
524.00,0.060
525.00,0.060
526.00,0.060
527.00,0.059
528.00,0.059
529.00,0.059
530.00,0.059
531.00,0.058
532.00,0.058
533.00,0.058
534.00,0.058
535.00,0.058
536.00,0.058
537.00,0.058
538.00,0.057
539.00,0.057
540.00,0.057
541.00,0.057
542.00,0.057
543.00,0.056
544.00,0.056
545.00,0.056
546.00,0.056
547.00,0.056
548.00,0.056
549.00,0.056
550.00,0.055
551.00,0.055
552.00,0.055
553.00,0.055
554.00,0.055
555.00,0.055
556.00,0.055
557.00,0.055
558.00,0.054
559.00,0.054
560.00,0.054
561.00,0.054
562.00,0.054
563.00,0.054
564.00,0.054
565.00,0.053
566.00,0.053
567.00,0.053
568.00,0.053
569.00,0.053
570.00,0.053
571.00,0.053
572.00,0.053
573.00,0.053
574.00,0.053
575.00,0.052
576.00,0.052
577.00,0.052
578.00,0.052
579.00,0.052
580.00,0.052
581.00,0.052
582.00,0.052
583.00,0.052
584.00,0.051
585.00,0.051
586.00,0.051
587.00,0.051
588.00,0.051
589.00,0.051
590.00,0.051
591.00,0.051
592.00,0.051
593.00,0.051
594.00,0.051
595.00,0.051
596.00,0.051
597.00,0.051
598.00,0.051
599.00,0.051
600.00,0.051
601.00,0.051
602.00,0.050
603.00,0.050
604.00,0.050
605.00,0.050
606.00,0.050
607.00,0.050
608.00,0.050
609.00,0.050
610.00,0.050
611.00,0.050
612.00,0.050
613.00,0.050
614.00,0.050
615.00,0.050
616.00,0.049
617.00,0.049
618.00,0.049
619.00,0.049
620.00,0.049
621.00,0.049
622.00,0.049
623.00,0.049
624.00,0.049
625.00,0.049
626.00,0.049
627.00,0.049
628.00,0.049
629.00,0.049
630.00,0.049
631.00,0.048
632.00,0.048
633.00,0.048
634.00,0.048
635.00,0.048
636.00,0.048
637.00,0.048
638.00,0.048
639.00,0.048
640.00,0.048
641.00,0.048
642.00,0.048
643.00,0.048
644.00,0.048
645.00,0.048
646.00,0.048
647.00,0.048
648.00,0.048
649.00,0.048
650.00,0.048
651.00,0.048
652.00,0.048
653.00,0.047
654.00,0.047
655.00,0.047
656.00,0.047
657.00,0.047
658.00,0.047
659.00,0.047
660.00,0.047
661.00,0.047
662.00,0.047
663.00,0.047
664.00,0.047
665.00,0.047
666.00,0.047
667.00,0.047
668.00,0.047
669.00,0.047
670.00,0.047
671.00,0.047
672.00,0.047
673.00,0.047
674.00,0.047
675.00,0.047
676.00,0.047
677.00,0.047
678.00,0.047
679.00,0.047
680.00,0.047
681.00,0.046
682.00,0.046
683.00,0.046
684.00,0.046
685.00,0.046
686.00,0.046
687.00,0.046
688.00,0.046
689.00,0.046
690.00,0.046
691.00,0.046
692.00,0.046
693.00,0.046
694.00,0.046
695.00,0.046
696.00,0.046
697.00,0.046
698.00,0.046
699.00,0.046
700.00,0.046
701.00,0.046
702.00,0.046
703.00,0.046
704.00,0.046
705.00,0.047
706.00,0.047
707.00,0.047
708.00,0.047
709.00,0.047
710.00,0.047
711.00,0.047
712.00,0.047
713.00,0.047
714.00,0.047
715.00,0.048
716.00,0.048
717.00,0.048
718.00,0.048
719.00,0.048
720.00,0.048
721.00,0.049
722.00,0.049
723.00,0.049
724.00,0.049
725.00,0.049
726.00,0.050
727.00,0.050
728.00,0.050
729.00,0.051
730.00,0.051
731.00,0.052
732.00,0.052
733.00,0.053
734.00,0.053
735.00,0.053
736.00,0.054
737.00,0.054
738.00,0.054
739.00,0.054
740.00,0.054
741.00,0.054
742.00,0.054
743.00,0.054
744.00,0.054
745.00,0.054
746.00,0.054
747.00,0.054
748.00,0.054
749.00,0.054
750.00,0.054
751.00,0.054
752.00,0.054
753.00,0.054
754.00,0.054
755.00,0.054
756.00,0.054
757.00,0.054
758.00,0.054
759.00,0.054
760.00,0.054
761.00,0.054
762.00,0.054
763.00,0.054
764.00,0.054
765.00,0.054
766.00,0.054
767.00,0.054
768.00,0.054
769.00,0.054
770.00,0.054
771.00,0.053
772.00,0.053
773.00,0.053
774.00,0.053
775.00,0.053
776.00,0.053
777.00,0.053
778.00,0.053
779.00,0.053
780.00,0.053
781.00,0.053
782.00,0.052
783.00,0.052
784.00,0.052
785.00,0.052
786.00,0.052
787.00,0.052
788.00,0.052
789.00,0.052
790.00,0.052
791.00,0.051
792.00,0.051
793.00,0.051
794.00,0.051
795.00,0.051
796.00,0.051
797.00,0.051
798.00,0.051
799.00,0.051
800.00,0.051
801.00,0.050
802.00,0.050
803.00,0.050
804.00,0.050
805.00,0.050
806.00,0.050
807.00,0.050
808.00,0.050
809.00,0.050
810.00,0.050
811.00,0.050
812.00,0.050
813.00,0.050
814.00,0.050
815.00,0.050
816.00,0.050
817.00,0.050
818.00,0.050
819.00,0.051
820.00,0.051
821.00,0.051
822.00,0.051
823.00,0.051
824.00,0.052
825.00,0.052
826.00,0.052
827.00,0.053
828.00,0.053
829.00,0.054
830.00,0.054
831.00,0.055
832.00,0.055
833.00,0.056
834.00,0.056
835.00,0.056
836.00,0.057
837.00,0.057
838.00,0.057
839.00,0.057
840.00,0.057
841.00,0.057
842.00,0.057
843.00,0.057
844.00,0.058
845.00,0.058
846.00,0.058
847.00,0.058
848.00,0.058
849.00,0.058
850.00,0.058
851.00,0.058
852.00,0.058
853.00,0.059
854.00,0.059
855.00,0.059
856.00,0.059
857.00,0.059
858.00,0.059
859.00,0.059
860.00,0.059
861.00,0.059
862.00,0.059
863.00,0.059
864.00,0.060
865.00,0.060
866.00,0.060
867.00,0.060
868.00,0.060
869.00,0.060
870.00,0.060
871.00,0.060
872.00,0.061
873.00,0.061
874.00,0.061
875.00,0.061
876.00,0.061
877.00,0.062
878.00,0.062
879.00,0.062
880.00,0.062
881.00,0.062
882.00,0.063
883.00,0.063
884.00,0.063
885.00,0.063
886.00,0.064
887.00,0.064
888.00,0.064
889.00,0.064
890.00,0.065
891.00,0.065
892.00,0.065
893.00,0.065
894.00,0.065
895.00,0.066
896.00,0.066
897.00,0.066
898.00,0.066
899.00,0.067
900.00,0.067
