"LesFreresHoublonSaintSeverePasseeDate_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.166
191.00,3.421
192.00,3.719
193.00,3.115
194.00,3.420
195.00,3.669
196.00,3.539
197.00,3.566
198.00,3.576
199.00,3.712
200.00,3.601
201.00,3.572
202.00,3.586
203.00,3.723
204.00,3.689
205.00,3.713
206.00,3.615
207.00,3.483
208.00,3.396
209.00,3.304
210.00,3.226
211.00,3.133
212.00,2.988
213.00,2.872
214.00,2.745
215.00,2.622
216.00,2.509
217.00,2.398
218.00,2.285
219.00,2.173
220.00,2.061
221.00,1.962
222.00,1.869
223.00,1.777
224.00,1.687
225.00,1.603
226.00,1.520
227.00,1.437
228.00,1.358
229.00,1.284
230.00,1.214
231.00,1.151
232.00,1.094
233.00,1.044
234.00,1.001
235.00,0.963
236.00,0.931
237.00,0.903
238.00,0.880
239.00,0.861
240.00,0.846
241.00,0.834
242.00,0.826
243.00,0.820
244.00,0.816
245.00,0.814
246.00,0.814
247.00,0.816
248.00,0.818
249.00,0.822
250.00,0.826
251.00,0.831
252.00,0.838
253.00,0.844
254.00,0.850
255.00,0.857
256.00,0.864
257.00,0.869
258.00,0.874
259.00,0.878
260.00,0.881
261.00,0.884
262.00,0.886
263.00,0.888
264.00,0.889
265.00,0.889
266.00,0.887
267.00,0.884
268.00,0.880
269.00,0.874
270.00,0.866
271.00,0.857
272.00,0.847
273.00,0.836
274.00,0.823
275.00,0.808
276.00,0.793
277.00,0.776
278.00,0.759
279.00,0.739
280.00,0.721
281.00,0.701
282.00,0.682
283.00,0.662
284.00,0.641
285.00,0.620
286.00,0.600
287.00,0.580
288.00,0.561
289.00,0.543
290.00,0.524
291.00,0.507
292.00,0.491
293.00,0.477
294.00,0.465
295.00,0.454
296.00,0.445
297.00,0.437
298.00,0.429
299.00,0.422
300.00,0.415
301.00,0.409
302.00,0.403
303.00,0.398
304.00,0.393
305.00,0.389
306.00,0.384
307.00,0.380
308.00,0.376
309.00,0.372
310.00,0.369
311.00,0.366
312.00,0.362
313.00,0.359
314.00,0.356
315.00,0.353
316.00,0.350
317.00,0.347
318.00,0.344
319.00,0.341
320.00,0.338
321.00,0.334
322.00,0.331
323.00,0.327
324.00,0.324
325.00,0.320
326.00,0.316
327.00,0.312
328.00,0.307
329.00,0.303
330.00,0.298
331.00,0.294
332.00,0.289
333.00,0.285
334.00,0.280
335.00,0.275
336.00,0.270
337.00,0.266
338.00,0.261
339.00,0.257
340.00,0.252
341.00,0.246
342.00,0.241
343.00,0.237
344.00,0.232
345.00,0.228
346.00,0.223
347.00,0.219
348.00,0.215
