"LocasionBDM50x - RawData"
"Wavelength nm.","Abs."
190.00,3.559
191.00,3.782
192.00,3.883
193.00,3.883
194.00,3.813
195.00,3.802
196.00,3.963
197.00,3.986
198.00,3.828
199.00,3.896
200.00,3.676
201.00,3.576
202.00,3.449
203.00,3.297
204.00,3.162
205.00,3.010
206.00,2.860
207.00,2.739
208.00,2.624
209.00,2.517
210.00,2.395
211.00,2.282
212.00,2.184
213.00,2.088
214.00,1.995
215.00,1.904
216.00,1.817
217.00,1.735
218.00,1.655
219.00,1.579
220.00,1.505
221.00,1.437
222.00,1.371
223.00,1.307
224.00,1.242
225.00,1.181
226.00,1.122
227.00,1.062
228.00,1.005
229.00,0.954
230.00,0.905
231.00,0.861
232.00,0.822
233.00,0.787
234.00,0.757
235.00,0.731
236.00,0.708
237.00,0.689
238.00,0.673
239.00,0.659
240.00,0.648
241.00,0.638
242.00,0.631
243.00,0.626
244.00,0.622
245.00,0.620
246.00,0.618
247.00,0.617
248.00,0.617
249.00,0.617
250.00,0.618
251.00,0.619
252.00,0.621
253.00,0.623
254.00,0.624
255.00,0.626
256.00,0.627
257.00,0.628
258.00,0.628
259.00,0.628
260.00,0.627
261.00,0.627
262.00,0.626
263.00,0.625
264.00,0.624
265.00,0.623
266.00,0.622
267.00,0.620
268.00,0.617
269.00,0.614
270.00,0.610
271.00,0.604
272.00,0.599
273.00,0.592
274.00,0.584
275.00,0.576
276.00,0.567
277.00,0.557
278.00,0.546
279.00,0.535
280.00,0.524
281.00,0.512
282.00,0.500
283.00,0.486
284.00,0.471
285.00,0.456
286.00,0.442
287.00,0.427
288.00,0.412
289.00,0.397
290.00,0.381
291.00,0.366
292.00,0.353
293.00,0.341
294.00,0.331
295.00,0.321
296.00,0.313
297.00,0.307
298.00,0.300
299.00,0.294
300.00,0.289
301.00,0.284
302.00,0.280
303.00,0.276
304.00,0.273
305.00,0.270
306.00,0.267
307.00,0.264
308.00,0.262
309.00,0.260
310.00,0.257
311.00,0.255
312.00,0.253
313.00,0.251
314.00,0.249
315.00,0.247
316.00,0.246
317.00,0.244
318.00,0.241
319.00,0.239
320.00,0.237
321.00,0.235
322.00,0.233
323.00,0.230
324.00,0.228
325.00,0.225
326.00,0.222
327.00,0.220
328.00,0.217
329.00,0.214
330.00,0.211
331.00,0.208
332.00,0.205
333.00,0.202
334.00,0.198
335.00,0.195
336.00,0.192
337.00,0.189
338.00,0.186
339.00,0.183
340.00,0.180
341.00,0.176
342.00,0.173
343.00,0.169
344.00,0.167
345.00,0.163
346.00,0.161
347.00,0.158
348.00,0.155
349.00,0.152
350.00,0.150
351.00,0.147
352.00,0.145
353.00,0.143
354.00,0.140
355.00,0.138
356.00,0.135
357.00,0.134
358.00,0.132
359.00,0.129
360.00,0.127
361.00,0.126
362.00,0.123
363.00,0.122
364.00,0.121
365.00,0.119
366.00,0.117
367.00,0.116
368.00,0.114
369.00,0.113
370.00,0.111
371.00,0.109
372.00,0.108
373.00,0.107
374.00,0.105
375.00,0.104
376.00,0.103
377.00,0.101
378.00,0.100
379.00,0.099
380.00,0.097
381.00,0.096
382.00,0.095
383.00,0.094
384.00,0.092
385.00,0.091
386.00,0.090
387.00,0.089
388.00,0.088
389.00,0.087
390.00,0.086
391.00,0.085
392.00,0.084
393.00,0.083
394.00,0.082
395.00,0.081
396.00,0.080
397.00,0.079
398.00,0.079
399.00,0.078
400.00,0.077
401.00,0.076
402.00,0.076
403.00,0.075
404.00,0.074
405.00,0.074
406.00,0.073
407.00,0.072
408.00,0.072
409.00,0.071
410.00,0.071
411.00,0.070
412.00,0.070
413.00,0.070
414.00,0.069
415.00,0.069
416.00,0.068
417.00,0.068
418.00,0.068
419.00,0.067
420.00,0.067
421.00,0.067
422.00,0.066
423.00,0.066
424.00,0.066
425.00,0.065
426.00,0.065
427.00,0.065
428.00,0.065
429.00,0.064
430.00,0.064
431.00,0.064
432.00,0.064
433.00,0.063
434.00,0.063
435.00,0.063
436.00,0.063
437.00,0.063
438.00,0.062
439.00,0.062
440.00,0.062
441.00,0.062
442.00,0.062
443.00,0.061
444.00,0.061
445.00,0.061
446.00,0.061
447.00,0.061
448.00,0.060
449.00,0.060
450.00,0.060
451.00,0.060
452.00,0.060
453.00,0.060
454.00,0.060
455.00,0.059
456.00,0.059
457.00,0.059
458.00,0.059
459.00,0.059
460.00,0.059
461.00,0.058
462.00,0.058
463.00,0.058
464.00,0.058
465.00,0.058
466.00,0.058
467.00,0.058
468.00,0.057
469.00,0.057
470.00,0.057
471.00,0.057
