"LoupRougeWitBie - RawData"
"Wavelength nm.","Abs."
190.00,3.648
191.00,3.408
192.00,3.372
193.00,3.483
194.00,3.334
195.00,3.655
196.00,3.533
197.00,3.639
198.00,3.463
199.00,3.526
200.00,3.559
201.00,3.547
202.00,3.358
203.00,3.494
204.00,3.309
205.00,3.367
206.00,3.336
207.00,3.240
208.00,3.157
209.00,3.108
210.00,2.976
211.00,2.853
212.00,2.728
213.00,2.636
214.00,2.523
215.00,2.413
216.00,2.314
217.00,2.211
218.00,2.120
219.00,2.022
220.00,1.928
221.00,1.838
222.00,1.748
223.00,1.660
224.00,1.569
225.00,1.484
226.00,1.395
227.00,1.301
228.00,1.210
229.00,1.125
230.00,1.046
231.00,0.974
232.00,0.912
233.00,0.857
234.00,0.810
235.00,0.771
236.00,0.737
237.00,0.710
238.00,0.688
239.00,0.671
240.00,0.657
241.00,0.647
242.00,0.640
243.00,0.636
244.00,0.633
245.00,0.632
246.00,0.633
247.00,0.634
248.00,0.636
249.00,0.638
250.00,0.641
251.00,0.645
252.00,0.649
253.00,0.652
254.00,0.656
255.00,0.659
256.00,0.663
257.00,0.666
258.00,0.668
259.00,0.669
260.00,0.670
261.00,0.671
262.00,0.672
263.00,0.673
264.00,0.673
265.00,0.673
266.00,0.672
267.00,0.671
268.00,0.668
269.00,0.665
270.00,0.660
271.00,0.655
272.00,0.649
273.00,0.642
274.00,0.633
275.00,0.624
276.00,0.614
277.00,0.602
278.00,0.590
279.00,0.577
280.00,0.564
281.00,0.551
282.00,0.537
283.00,0.522
284.00,0.506
285.00,0.490
286.00,0.474
287.00,0.459
288.00,0.445
289.00,0.431
290.00,0.416
291.00,0.401
292.00,0.387
293.00,0.374
294.00,0.364
295.00,0.354
296.00,0.346
297.00,0.338
298.00,0.331
299.00,0.325
300.00,0.319
301.00,0.314
302.00,0.309
303.00,0.304
304.00,0.300
305.00,0.297
306.00,0.293
307.00,0.290
308.00,0.287
309.00,0.284
310.00,0.281
311.00,0.278
312.00,0.276
313.00,0.274
314.00,0.272
315.00,0.270
316.00,0.267
317.00,0.265
318.00,0.263
319.00,0.261
320.00,0.258
321.00,0.256
322.00,0.254
323.00,0.251
324.00,0.248
325.00,0.245
326.00,0.242
327.00,0.239
328.00,0.236
329.00,0.233
330.00,0.230
331.00,0.227
332.00,0.223
333.00,0.220
334.00,0.216
335.00,0.213
336.00,0.209
337.00,0.206
338.00,0.202
339.00,0.199
340.00,0.195
341.00,0.191
342.00,0.187
343.00,0.183
344.00,0.180
345.00,0.176
346.00,0.173
347.00,0.170
348.00,0.166
349.00,0.163
350.00,0.160
351.00,0.157
352.00,0.153
353.00,0.150
354.00,0.148
355.00,0.145
356.00,0.142
357.00,0.139
358.00,0.137
359.00,0.134
360.00,0.131
361.00,0.129
362.00,0.126
363.00,0.124
364.00,0.123
365.00,0.120
366.00,0.118
367.00,0.116
368.00,0.115
369.00,0.113
370.00,0.111
371.00,0.109
372.00,0.107
373.00,0.106
374.00,0.104
375.00,0.103
376.00,0.101
377.00,0.100
378.00,0.098
379.00,0.097
380.00,0.096
381.00,0.094
382.00,0.093
383.00,0.092
384.00,0.091
385.00,0.090
386.00,0.089
387.00,0.088
388.00,0.087
389.00,0.086
390.00,0.085
391.00,0.085
392.00,0.084
393.00,0.083
394.00,0.082
395.00,0.081
396.00,0.081
397.00,0.080
398.00,0.080
399.00,0.079
400.00,0.078
401.00,0.078
402.00,0.078
403.00,0.077
404.00,0.077
405.00,0.076
406.00,0.076
407.00,0.075
408.00,0.075
409.00,0.074
410.00,0.074
411.00,0.074
412.00,0.073
413.00,0.073
414.00,0.073
415.00,0.072
416.00,0.072
417.00,0.072
418.00,0.071
419.00,0.071
420.00,0.071
421.00,0.070
422.00,0.070
423.00,0.070
424.00,0.070
425.00,0.069
426.00,0.069
427.00,0.069
428.00,0.068
429.00,0.068
430.00,0.068
431.00,0.068
432.00,0.067
433.00,0.067
434.00,0.067
435.00,0.067
436.00,0.066
437.00,0.066
438.00,0.066
439.00,0.066
440.00,0.066
441.00,0.065
442.00,0.065
443.00,0.065
444.00,0.065
445.00,0.065
446.00,0.064
447.00,0.064
448.00,0.064
449.00,0.064
450.00,0.064
451.00,0.064
452.00,0.063
453.00,0.063
454.00,0.063
455.00,0.063
456.00,0.063
457.00,0.063
458.00,0.062
459.00,0.062
460.00,0.062
461.00,0.062
462.00,0.062
463.00,0.062
464.00,0.061
465.00,0.061
466.00,0.061
467.00,0.061
468.00,0.061
469.00,0.061
470.00,0.061
471.00,0.060
472.00,0.060
473.00,0.060
474.00,0.060
475.00,0.060
476.00,0.060
477.00,0.060
478.00,0.059
479.00,0.059
480.00,0.059
481.00,0.059
482.00,0.059
483.00,0.059
484.00,0.059
485.00,0.058
486.00,0.058
487.00,0.058
488.00,0.058
489.00,0.058
490.00,0.058
491.00,0.058
492.00,0.057
493.00,0.057
494.00,0.057
495.00,0.057
496.00,0.057
497.00,0.057
498.00,0.057
499.00,0.057
500.00,0.057
501.00,0.057
502.00,0.056
503.00,0.056
504.00,0.056
505.00,0.056
506.00,0.056
507.00,0.056
508.00,0.056
509.00,0.056
510.00,0.056
511.00,0.055
512.00,0.055
513.00,0.055
514.00,0.055
515.00,0.055
516.00,0.055
517.00,0.055
518.00,0.055
519.00,0.055
520.00,0.055
521.00,0.054
522.00,0.054
523.00,0.054
524.00,0.054
525.00,0.054
526.00,0.054
527.00,0.054
528.00,0.054
529.00,0.054
530.00,0.054
531.00,0.054
532.00,0.053
533.00,0.053
534.00,0.053
535.00,0.053
536.00,0.053
537.00,0.053
538.00,0.053
539.00,0.053
540.00,0.053
541.00,0.053
542.00,0.053
543.00,0.053
544.00,0.053
545.00,0.052
546.00,0.052
547.00,0.052
548.00,0.052
549.00,0.052
550.00,0.052
551.00,0.052
552.00,0.052
553.00,0.052
554.00,0.052
555.00,0.052
556.00,0.052
557.00,0.052
