"MDLGuimbarde50x - RawData"
"Wavelength nm.","Abs."
190.00,3.923
191.00,3.866
192.00,3.966
193.00,3.969
194.00,3.954
195.00,3.865
196.00,3.919
197.00,4.000
198.00,4.000
199.00,3.987
200.00,3.963
201.00,3.908
202.00,3.988
203.00,3.955
204.00,3.979
205.00,3.982
206.00,3.930
207.00,3.839
208.00,3.444
209.00,3.302
210.00,3.164
211.00,2.994
212.00,2.870
213.00,2.742
214.00,2.629
215.00,2.514
216.00,2.409
217.00,2.308
218.00,2.208
219.00,2.109
220.00,2.019
221.00,1.936
222.00,1.853
223.00,1.773
224.00,1.695
225.00,1.620
226.00,1.545
227.00,1.470
228.00,1.399
229.00,1.335
230.00,1.274
231.00,1.219
232.00,1.169
233.00,1.123
234.00,1.083
235.00,1.048
236.00,1.018
237.00,0.993
238.00,0.970
239.00,0.952
240.00,0.936
241.00,0.924
242.00,0.917
243.00,0.912
244.00,0.910
245.00,0.909
246.00,0.911
247.00,0.914
248.00,0.918
249.00,0.923
250.00,0.928
251.00,0.935
252.00,0.942
253.00,0.950
254.00,0.957
255.00,0.964
256.00,0.970
257.00,0.975
258.00,0.978
259.00,0.980
260.00,0.980
261.00,0.981
262.00,0.982
263.00,0.982
264.00,0.982
265.00,0.982
266.00,0.981
267.00,0.978
268.00,0.975
269.00,0.971
270.00,0.964
271.00,0.957
272.00,0.949
273.00,0.941
274.00,0.930
275.00,0.919
276.00,0.907
277.00,0.893
278.00,0.877
279.00,0.861
280.00,0.844
281.00,0.827
282.00,0.808
283.00,0.788
284.00,0.768
285.00,0.746
286.00,0.725
287.00,0.704
288.00,0.681
289.00,0.659
290.00,0.635
291.00,0.612
292.00,0.592
293.00,0.573
294.00,0.557
295.00,0.541
296.00,0.528
297.00,0.516
298.00,0.504
299.00,0.493
300.00,0.483
301.00,0.474
302.00,0.466
303.00,0.458
304.00,0.451
305.00,0.444
306.00,0.437
307.00,0.431
308.00,0.425
309.00,0.419
310.00,0.413
311.00,0.408
312.00,0.403
313.00,0.399
314.00,0.394
315.00,0.389
316.00,0.385
317.00,0.381
318.00,0.376
319.00,0.372
320.00,0.367
321.00,0.362
322.00,0.357
323.00,0.353
324.00,0.348
325.00,0.343
326.00,0.338
327.00,0.333
328.00,0.328
329.00,0.323
330.00,0.318
331.00,0.312
332.00,0.307
333.00,0.302
334.00,0.296
335.00,0.292
336.00,0.287
337.00,0.282
338.00,0.277
339.00,0.271
340.00,0.267
341.00,0.260
342.00,0.255
343.00,0.250
344.00,0.246
345.00,0.241
346.00,0.237
347.00,0.232
348.00,0.228
349.00,0.224
350.00,0.220
351.00,0.216
352.00,0.212
353.00,0.208
354.00,0.205
355.00,0.201
356.00,0.197
357.00,0.194
358.00,0.191
359.00,0.187
360.00,0.184
361.00,0.181
362.00,0.178
363.00,0.175
364.00,0.173
365.00,0.170
366.00,0.168
367.00,0.165
368.00,0.163
369.00,0.161
370.00,0.158
371.00,0.156
372.00,0.154
373.00,0.152
374.00,0.150
375.00,0.147
376.00,0.145
377.00,0.144
378.00,0.142
379.00,0.140
380.00,0.138
381.00,0.136
382.00,0.134
383.00,0.133
384.00,0.131
385.00,0.129
386.00,0.128
387.00,0.126
388.00,0.125
389.00,0.123
390.00,0.122
391.00,0.121
392.00,0.119
393.00,0.118
394.00,0.117
395.00,0.116
396.00,0.114
397.00,0.113
398.00,0.112
399.00,0.111
400.00,0.110
401.00,0.109
402.00,0.108
403.00,0.107
404.00,0.106
405.00,0.105
406.00,0.104
407.00,0.104
408.00,0.103
409.00,0.102
410.00,0.101
411.00,0.100
412.00,0.100
413.00,0.099
414.00,0.098
415.00,0.098
416.00,0.097
417.00,0.096
418.00,0.096
419.00,0.095
420.00,0.095
421.00,0.094
422.00,0.094
423.00,0.093
424.00,0.093
425.00,0.092
426.00,0.092
427.00,0.091
428.00,0.091
429.00,0.090
430.00,0.090
431.00,0.089
432.00,0.089
433.00,0.088
434.00,0.088
435.00,0.087
436.00,0.087
437.00,0.087
438.00,0.086
439.00,0.086
440.00,0.085
441.00,0.085
442.00,0.085
443.00,0.084
444.00,0.084
445.00,0.084
446.00,0.083
447.00,0.083
448.00,0.083
449.00,0.082
450.00,0.082
451.00,0.081
452.00,0.081
453.00,0.081
454.00,0.081
455.00,0.080
456.00,0.080
457.00,0.080
458.00,0.079
459.00,0.079
460.00,0.079
461.00,0.078
462.00,0.078
463.00,0.078
464.00,0.078
465.00,0.077
466.00,0.077
467.00,0.077
468.00,0.076
469.00,0.076
470.00,0.076
471.00,0.076
472.00,0.075
473.00,0.075
474.00,0.075
475.00,0.075
476.00,0.074
477.00,0.074
478.00,0.074
479.00,0.074
480.00,0.073
481.00,0.073
482.00,0.073
483.00,0.073
484.00,0.072
485.00,0.072
486.00,0.072
487.00,0.072
488.00,0.071
489.00,0.071
490.00,0.071
491.00,0.071
492.00,0.071
493.00,0.070
494.00,0.070
495.00,0.070
496.00,0.070
497.00,0.070
498.00,0.070
499.00,0.069
500.00,0.069
501.00,0.069
502.00,0.069
503.00,0.069
504.00,0.068
505.00,0.068
506.00,0.068
507.00,0.068
508.00,0.068
509.00,0.068
510.00,0.067
511.00,0.067
512.00,0.067
513.00,0.067
514.00,0.067
515.00,0.067
516.00,0.066
517.00,0.066
518.00,0.066
519.00,0.066
520.00,0.066
521.00,0.066
522.00,0.065
523.00,0.065
524.00,0.065
525.00,0.065
526.00,0.065
527.00,0.065
528.00,0.065
529.00,0.064
530.00,0.064
531.00,0.064
532.00,0.064
533.00,0.064
534.00,0.064
535.00,0.064
536.00,0.064
537.00,0.063
538.00,0.063
539.00,0.063
540.00,0.063
541.00,0.063
542.00,0.063
543.00,0.063
544.00,0.063
545.00,0.062
546.00,0.062
547.00,0.062
548.00,0.062
549.00,0.062
550.00,0.062
551.00,0.062
552.00,0.062
553.00,0.062
554.00,0.061
555.00,0.061
556.00,0.061
557.00,0.061
558.00,0.061
559.00,0.061
560.00,0.061
561.00,0.061
562.00,0.061
563.00,0.061
564.00,0.061
565.00,0.060
566.00,0.060
