"McAuslanBlonde_25x - RawData"
"Wavelength nm.","Abs."
190.00,2.976
191.00,3.161
192.00,3.350
193.00,3.825
194.00,3.820
195.00,3.851
196.00,3.689
197.00,3.503
198.00,3.762
199.00,3.683
200.00,3.794
201.00,3.739
202.00,3.902
203.00,3.988
204.00,3.890
205.00,3.687
206.00,3.971
207.00,3.877
208.00,3.899
209.00,3.895
210.00,3.805
211.00,3.809
212.00,3.918
213.00,3.904
214.00,3.891
215.00,3.935
216.00,3.780
217.00,3.772
218.00,3.589
219.00,3.629
220.00,3.413
221.00,3.351
222.00,3.221
223.00,3.079
224.00,2.950
225.00,2.840
226.00,2.693
227.00,2.556
228.00,2.417
229.00,2.283
230.00,2.161
231.00,2.050
232.00,1.949
233.00,1.855
234.00,1.776
235.00,1.708
236.00,1.649
237.00,1.599
238.00,1.558
239.00,1.523
240.00,1.496
241.00,1.475
242.00,1.461
243.00,1.451
244.00,1.447
245.00,1.447
246.00,1.449
247.00,1.453
248.00,1.460
249.00,1.467
250.00,1.476
251.00,1.485
252.00,1.497
253.00,1.508
254.00,1.520
255.00,1.530
256.00,1.543
257.00,1.550
258.00,1.557
259.00,1.560
260.00,1.564
261.00,1.568
262.00,1.571
263.00,1.577
264.00,1.581
265.00,1.584
266.00,1.587
267.00,1.588
268.00,1.587
269.00,1.584
270.00,1.581
271.00,1.573
272.00,1.565
273.00,1.557
274.00,1.543
275.00,1.529
276.00,1.512
277.00,1.491
278.00,1.470
279.00,1.445
280.00,1.419
281.00,1.394
282.00,1.365
283.00,1.335
284.00,1.302
285.00,1.266
286.00,1.233
287.00,1.198
288.00,1.161
289.00,1.126
290.00,1.089
291.00,1.054
292.00,1.021
293.00,0.991
294.00,0.964
295.00,0.939
296.00,0.917
297.00,0.897
298.00,0.876
299.00,0.857
300.00,0.840
301.00,0.822
302.00,0.808
303.00,0.793
304.00,0.781
305.00,0.768
306.00,0.756
307.00,0.745
308.00,0.733
309.00,0.723
310.00,0.713
311.00,0.704
312.00,0.694
313.00,0.685
314.00,0.677
315.00,0.668
316.00,0.659
317.00,0.651
318.00,0.642
319.00,0.633
320.00,0.624
321.00,0.614
322.00,0.605
323.00,0.595
324.00,0.584
325.00,0.574
326.00,0.563
327.00,0.553
328.00,0.542
329.00,0.530
330.00,0.519
331.00,0.507
332.00,0.496
333.00,0.484
334.00,0.472
335.00,0.461
336.00,0.450
337.00,0.439
338.00,0.427
339.00,0.417
340.00,0.406
341.00,0.394
342.00,0.383
343.00,0.373
344.00,0.363
345.00,0.354
346.00,0.344
347.00,0.336
348.00,0.327
349.00,0.318
350.00,0.310
351.00,0.302
352.00,0.294
353.00,0.287
354.00,0.280
355.00,0.274
356.00,0.267
357.00,0.261
358.00,0.255
359.00,0.248
360.00,0.243
361.00,0.238
362.00,0.233
363.00,0.228
364.00,0.223
365.00,0.219
366.00,0.215
367.00,0.210
368.00,0.206
369.00,0.202
370.00,0.199
371.00,0.195
372.00,0.191
373.00,0.188
374.00,0.185
375.00,0.181
376.00,0.178
377.00,0.175
378.00,0.172
379.00,0.169
380.00,0.167
381.00,0.164
382.00,0.161
383.00,0.159
384.00,0.156
385.00,0.154
386.00,0.152
387.00,0.150
388.00,0.148
389.00,0.145
390.00,0.143
391.00,0.142
392.00,0.140
393.00,0.138
394.00,0.136
395.00,0.134
396.00,0.133
397.00,0.131
398.00,0.130
399.00,0.128
400.00,0.127
401.00,0.125
402.00,0.124
403.00,0.123
404.00,0.122
405.00,0.120
406.00,0.119
407.00,0.118
408.00,0.117
409.00,0.116
410.00,0.114
411.00,0.113
412.00,0.112
413.00,0.111
414.00,0.110
415.00,0.109
416.00,0.108
417.00,0.108
418.00,0.107
419.00,0.106
420.00,0.105
421.00,0.105
422.00,0.104
423.00,0.103
424.00,0.102
425.00,0.102
426.00,0.101
427.00,0.100
428.00,0.099
429.00,0.099
430.00,0.098
431.00,0.097
432.00,0.097
433.00,0.096
434.00,0.095
435.00,0.095
436.00,0.094
437.00,0.093
438.00,0.093
439.00,0.092
440.00,0.092
441.00,0.091
442.00,0.090
443.00,0.090
444.00,0.089
445.00,0.089
446.00,0.088
447.00,0.088
448.00,0.087
449.00,0.087
450.00,0.086
451.00,0.086
452.00,0.085
453.00,0.085
454.00,0.084
455.00,0.084
456.00,0.084
457.00,0.083
458.00,0.083
459.00,0.082
460.00,0.082
461.00,0.081
462.00,0.081
463.00,0.080
464.00,0.080
465.00,0.080
466.00,0.079
467.00,0.079
468.00,0.078
469.00,0.078
470.00,0.077
471.00,0.077
472.00,0.077
473.00,0.076
474.00,0.076
475.00,0.076
476.00,0.075
477.00,0.075
478.00,0.074
479.00,0.074
480.00,0.074
481.00,0.073
482.00,0.073
483.00,0.073
484.00,0.072
485.00,0.072
486.00,0.072
487.00,0.071
488.00,0.071
489.00,0.071
490.00,0.070
491.00,0.070
492.00,0.070
493.00,0.069
494.00,0.069
495.00,0.069
496.00,0.068
497.00,0.068
498.00,0.068
499.00,0.068
500.00,0.067
501.00,0.067
502.00,0.067
503.00,0.066
504.00,0.066
505.00,0.066
506.00,0.066
507.00,0.065
508.00,0.065
509.00,0.065
510.00,0.065
511.00,0.064
512.00,0.064
513.00,0.064
514.00,0.064
515.00,0.064
516.00,0.063
517.00,0.063
518.00,0.063
519.00,0.063
520.00,0.063
521.00,0.062
522.00,0.062
523.00,0.062
524.00,0.062
525.00,0.062
526.00,0.061
527.00,0.061
528.00,0.061
529.00,0.061
530.00,0.061
531.00,0.060
532.00,0.060
533.00,0.060
534.00,0.060
535.00,0.060
536.00,0.060
537.00,0.060
538.00,0.059
539.00,0.059
540.00,0.059
541.00,0.059
542.00,0.059
543.00,0.059
544.00,0.058
545.00,0.058
546.00,0.058
547.00,0.058
548.00,0.058
549.00,0.058
550.00,0.058
551.00,0.058
552.00,0.057
553.00,0.057
554.00,0.057
555.00,0.057
556.00,0.057
557.00,0.057
558.00,0.057
559.00,0.057
560.00,0.056
561.00,0.056
562.00,0.056
563.00,0.056
564.00,0.056
565.00,0.056
566.00,0.056
567.00,0.056
568.00,0.056
569.00,0.056
570.00,0.055
571.00,0.055
572.00,0.055
573.00,0.055
574.00,0.055
575.00,0.055
576.00,0.055
577.00,0.055
578.00,0.055
579.00,0.055
580.00,0.054
581.00,0.054
582.00,0.054
583.00,0.054
584.00,0.054
585.00,0.054
586.00,0.054
587.00,0.054
588.00,0.054
589.00,0.054
590.00,0.054
591.00,0.054
592.00,0.054
593.00,0.054
594.00,0.054
595.00,0.053
596.00,0.053
597.00,0.053
598.00,0.053
599.00,0.053
600.00,0.053
601.00,0.053
602.00,0.053
603.00,0.053
604.00,0.053
605.00,0.053
606.00,0.053
607.00,0.053
608.00,0.053
609.00,0.053
610.00,0.053
611.00,0.053
612.00,0.053
613.00,0.053
614.00,0.053
615.00,0.053
616.00,0.052
617.00,0.052
618.00,0.052
619.00,0.052
620.00,0.052
621.00,0.052
622.00,0.052
623.00,0.052
624.00,0.052
625.00,0.052
626.00,0.052
627.00,0.052
628.00,0.052
629.00,0.052
630.00,0.052
631.00,0.052
632.00,0.052
633.00,0.051
