"McAuslanCitrouille_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.275
191.00,3.267
192.00,3.819
193.00,3.498
194.00,3.549
195.00,3.815
196.00,3.836
197.00,3.692
198.00,3.686
199.00,3.829
200.00,3.741
201.00,3.698
202.00,3.641
203.00,3.871
204.00,3.758
205.00,3.826
206.00,3.843
207.00,3.790
208.00,3.671
209.00,3.688
210.00,3.476
211.00,3.393
212.00,3.338
213.00,3.209
214.00,3.056
215.00,3.006
216.00,2.868
217.00,2.751
218.00,2.637
219.00,2.517
220.00,2.401
221.00,2.306
222.00,2.207
223.00,2.110
224.00,2.015
225.00,1.924
226.00,1.830
227.00,1.735
228.00,1.645
229.00,1.560
230.00,1.478
231.00,1.404
232.00,1.336
233.00,1.275
234.00,1.221
235.00,1.172
236.00,1.131
237.00,1.094
238.00,1.064
239.00,1.039
240.00,1.017
241.00,1.000
242.00,0.988
243.00,0.980
244.00,0.975
245.00,0.972
246.00,0.971
247.00,0.971
248.00,0.973
249.00,0.976
250.00,0.979
251.00,0.984
252.00,0.989
253.00,0.995
254.00,1.001
255.00,1.007
256.00,1.013
257.00,1.018
258.00,1.022
259.00,1.024
260.00,1.026
261.00,1.028
262.00,1.031
263.00,1.033
264.00,1.036
265.00,1.038
266.00,1.039
267.00,1.039
268.00,1.038
269.00,1.036
270.00,1.033
271.00,1.028
272.00,1.023
273.00,1.018
274.00,1.012
275.00,1.003
276.00,0.993
277.00,0.983
278.00,0.971
279.00,0.958
280.00,0.944
281.00,0.930
282.00,0.914
283.00,0.898
284.00,0.880
285.00,0.862
286.00,0.843
287.00,0.824
288.00,0.804
289.00,0.785
290.00,0.764
291.00,0.744
292.00,0.725
293.00,0.708
294.00,0.693
295.00,0.678
296.00,0.665
297.00,0.653
298.00,0.641
299.00,0.630
300.00,0.619
301.00,0.608
302.00,0.599
303.00,0.589
304.00,0.580
305.00,0.571
306.00,0.562
307.00,0.554
308.00,0.545
309.00,0.537
310.00,0.529
311.00,0.521
312.00,0.514
313.00,0.506
314.00,0.499
315.00,0.492
316.00,0.485
317.00,0.478
318.00,0.471
319.00,0.464
320.00,0.457
321.00,0.449
322.00,0.442
323.00,0.434
324.00,0.427
325.00,0.420
326.00,0.412
327.00,0.405
328.00,0.397
329.00,0.389
330.00,0.381
331.00,0.374
332.00,0.366
333.00,0.359
334.00,0.351
335.00,0.344
336.00,0.337
337.00,0.330
338.00,0.323
339.00,0.316
340.00,0.310
341.00,0.302
342.00,0.295
343.00,0.289
344.00,0.282
345.00,0.277
346.00,0.271
347.00,0.266
348.00,0.260
349.00,0.254
350.00,0.249
351.00,0.244
352.00,0.240
353.00,0.235
354.00,0.230
355.00,0.226
356.00,0.221
357.00,0.218
358.00,0.213
359.00,0.209
360.00,0.206
361.00,0.202
362.00,0.199
363.00,0.195
364.00,0.193
365.00,0.189
366.00,0.186
367.00,0.183
368.00,0.181
369.00,0.178
370.00,0.175
371.00,0.172
372.00,0.170
373.00,0.168
374.00,0.165
375.00,0.163
376.00,0.161
377.00,0.158
378.00,0.156
379.00,0.154
380.00,0.152
381.00,0.150
382.00,0.148
383.00,0.146
384.00,0.144
385.00,0.142
386.00,0.141
387.00,0.139
388.00,0.137
389.00,0.136
390.00,0.134
391.00,0.133
392.00,0.131
393.00,0.130
394.00,0.128
395.00,0.127
396.00,0.126
397.00,0.124
398.00,0.123
399.00,0.122
400.00,0.121
401.00,0.119
402.00,0.118
403.00,0.117
404.00,0.116
405.00,0.115
406.00,0.114
407.00,0.113
408.00,0.112
409.00,0.111
410.00,0.110
411.00,0.109
412.00,0.108
413.00,0.107
414.00,0.106
415.00,0.105
416.00,0.104
417.00,0.104
418.00,0.103
419.00,0.102
420.00,0.101
421.00,0.100
422.00,0.100
423.00,0.099
424.00,0.098
425.00,0.098
426.00,0.097
427.00,0.096
428.00,0.095
429.00,0.095
430.00,0.094
431.00,0.093
432.00,0.093
433.00,0.092
434.00,0.091
435.00,0.091
436.00,0.090
437.00,0.090
438.00,0.089
439.00,0.089
440.00,0.088
441.00,0.087
442.00,0.087
443.00,0.086
444.00,0.086
445.00,0.085
446.00,0.085
447.00,0.084
448.00,0.084
449.00,0.083
450.00,0.083
451.00,0.082
452.00,0.082
453.00,0.081
454.00,0.081
455.00,0.080
456.00,0.080
457.00,0.080
458.00,0.079
459.00,0.079
460.00,0.078
461.00,0.078
462.00,0.077
463.00,0.077
464.00,0.077
465.00,0.076
466.00,0.076
467.00,0.075
468.00,0.075
469.00,0.075
470.00,0.074
471.00,0.074
472.00,0.073
473.00,0.073
474.00,0.073
475.00,0.072
476.00,0.072
477.00,0.072
478.00,0.071
479.00,0.071
480.00,0.070
481.00,0.070
482.00,0.070
483.00,0.069
484.00,0.069
485.00,0.069
486.00,0.068
487.00,0.068
488.00,0.068
489.00,0.067
490.00,0.067
491.00,0.067
492.00,0.066
493.00,0.066
494.00,0.066
495.00,0.066
496.00,0.065
497.00,0.065
498.00,0.065
499.00,0.064
500.00,0.064
501.00,0.064
502.00,0.064
503.00,0.063
504.00,0.063
505.00,0.063
506.00,0.063
507.00,0.062
508.00,0.062
509.00,0.062
510.00,0.062
511.00,0.061
512.00,0.061
513.00,0.061
514.00,0.061
515.00,0.061
516.00,0.060
517.00,0.060
518.00,0.060
519.00,0.060
520.00,0.059
521.00,0.059
522.00,0.059
523.00,0.059
524.00,0.059
525.00,0.058
526.00,0.058
527.00,0.058
528.00,0.058
529.00,0.058
530.00,0.057
531.00,0.057
532.00,0.057
533.00,0.057
534.00,0.057
535.00,0.057
536.00,0.057
537.00,0.056
538.00,0.056
539.00,0.056
540.00,0.056
541.00,0.056
542.00,0.055
543.00,0.055
544.00,0.055
545.00,0.055
546.00,0.055
547.00,0.055
548.00,0.055
549.00,0.054
550.00,0.054
551.00,0.054
552.00,0.054
553.00,0.054
554.00,0.054
555.00,0.054
556.00,0.053
557.00,0.053
558.00,0.053
559.00,0.053
560.00,0.053
561.00,0.053
562.00,0.053
563.00,0.052
564.00,0.052
565.00,0.052
566.00,0.052
567.00,0.052
568.00,0.052
569.00,0.052
570.00,0.052
571.00,0.052
572.00,0.052
573.00,0.051
574.00,0.051
575.00,0.051
576.00,0.051
577.00,0.051
578.00,0.051
579.00,0.051
580.00,0.051
581.00,0.051
582.00,0.051
583.00,0.051
584.00,0.051
585.00,0.050
586.00,0.050
587.00,0.050
588.00,0.050
589.00,0.050
590.00,0.050
591.00,0.050
592.00,0.050
593.00,0.050
594.00,0.050
595.00,0.050
596.00,0.050
597.00,0.050
598.00,0.050
599.00,0.050
600.00,0.050
601.00,0.050
602.00,0.050
603.00,0.049
604.00,0.049
605.00,0.049
606.00,0.049
607.00,0.049
608.00,0.049
609.00,0.049
610.00,0.049
611.00,0.049
612.00,0.049
613.00,0.049
614.00,0.049
615.00,0.049
616.00,0.049
617.00,0.049
618.00,0.048
619.00,0.048
620.00,0.048
621.00,0.048
622.00,0.048
623.00,0.048
624.00,0.048
