"McAuslanIPA_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.277
191.00,3.211
192.00,3.209
193.00,3.552
194.00,3.473
195.00,3.695
196.00,3.567
197.00,3.878
198.00,3.626
199.00,3.769
200.00,3.661
201.00,3.672
202.00,3.678
203.00,3.853
204.00,3.813
205.00,3.727
206.00,3.764
207.00,3.790
208.00,3.655
209.00,3.698
210.00,3.552
211.00,3.409
212.00,3.392
213.00,3.228
214.00,3.059
215.00,2.948
216.00,2.841
217.00,2.716
218.00,2.603
219.00,2.494
220.00,2.374
221.00,2.266
222.00,2.167
223.00,2.065
224.00,1.965
225.00,1.870
226.00,1.774
227.00,1.679
228.00,1.586
229.00,1.502
230.00,1.421
231.00,1.347
232.00,1.281
233.00,1.220
234.00,1.169
235.00,1.124
236.00,1.086
237.00,1.054
238.00,1.026
239.00,1.004
240.00,0.986
241.00,0.971
242.00,0.961
243.00,0.954
244.00,0.949
245.00,0.947
246.00,0.946
247.00,0.947
248.00,0.949
249.00,0.952
250.00,0.955
251.00,0.960
252.00,0.965
253.00,0.971
254.00,0.977
255.00,0.983
256.00,0.988
257.00,0.992
258.00,0.995
259.00,0.997
260.00,0.999
261.00,1.001
262.00,1.003
263.00,1.005
264.00,1.007
265.00,1.009
266.00,1.010
267.00,1.011
268.00,1.011
269.00,1.009
270.00,1.006
271.00,1.001
272.00,0.996
273.00,0.989
274.00,0.981
275.00,0.970
276.00,0.959
277.00,0.946
278.00,0.932
279.00,0.916
280.00,0.900
281.00,0.883
282.00,0.865
283.00,0.844
284.00,0.822
285.00,0.799
286.00,0.776
287.00,0.753
288.00,0.729
289.00,0.706
290.00,0.681
291.00,0.658
292.00,0.636
293.00,0.617
294.00,0.600
295.00,0.584
296.00,0.571
297.00,0.559
298.00,0.546
299.00,0.535
300.00,0.524
301.00,0.514
302.00,0.506
303.00,0.497
304.00,0.490
305.00,0.482
306.00,0.475
307.00,0.468
308.00,0.461
309.00,0.455
310.00,0.449
311.00,0.443
312.00,0.437
313.00,0.432
314.00,0.426
315.00,0.421
316.00,0.415
317.00,0.410
318.00,0.405
319.00,0.399
320.00,0.393
321.00,0.387
322.00,0.381
323.00,0.375
324.00,0.369
325.00,0.362
326.00,0.356
327.00,0.349
328.00,0.343
329.00,0.336
330.00,0.329
331.00,0.322
332.00,0.315
333.00,0.309
334.00,0.301
335.00,0.294
336.00,0.288
