"MillesIlesBestBitterFut50x - RawData"
"Wavelength nm.","Abs."
190.00,2.939
191.00,2.848
192.00,3.044
193.00,3.059
194.00,3.158
195.00,3.181
196.00,3.397
197.00,3.477
198.00,3.422
199.00,3.214
200.00,3.184
201.00,3.302
202.00,3.194
203.00,3.147
204.00,3.088
205.00,2.982
206.00,2.908
207.00,2.787
208.00,2.670
209.00,2.545
210.00,2.435
211.00,2.338
212.00,2.246
213.00,2.147
214.00,2.051
215.00,1.963
216.00,1.877
217.00,1.792
218.00,1.713
219.00,1.637
220.00,1.561
221.00,1.492
222.00,1.426
223.00,1.362
224.00,1.299
225.00,1.239
226.00,1.181
227.00,1.122
228.00,1.065
229.00,1.011
230.00,0.960
231.00,0.914
232.00,0.872
233.00,0.836
234.00,0.803
235.00,0.776
236.00,0.752
237.00,0.732
238.00,0.714
239.00,0.700
240.00,0.689
241.00,0.680
242.00,0.674
243.00,0.671
244.00,0.669
245.00,0.669
246.00,0.670
247.00,0.672
248.00,0.675
249.00,0.678
250.00,0.682
251.00,0.686
252.00,0.690
253.00,0.694
254.00,0.699
255.00,0.703
256.00,0.707
257.00,0.710
258.00,0.712
259.00,0.713
260.00,0.713
261.00,0.713
262.00,0.714
263.00,0.714
264.00,0.715
265.00,0.714
266.00,0.714
267.00,0.713
268.00,0.710
269.00,0.707
270.00,0.703
271.00,0.698
272.00,0.692
273.00,0.686
274.00,0.679
275.00,0.671
276.00,0.662
277.00,0.653
278.00,0.642
279.00,0.631
280.00,0.620
281.00,0.608
282.00,0.596
283.00,0.583
284.00,0.569
285.00,0.554
286.00,0.540
287.00,0.526
288.00,0.511
289.00,0.496
290.00,0.481
291.00,0.466
292.00,0.452
293.00,0.440
294.00,0.429
295.00,0.420
296.00,0.411
297.00,0.403
298.00,0.395
299.00,0.387
300.00,0.381
301.00,0.374
302.00,0.369
303.00,0.363
304.00,0.358
305.00,0.353
306.00,0.348
307.00,0.343
308.00,0.338
309.00,0.334
310.00,0.329
311.00,0.325
312.00,0.321
313.00,0.317
314.00,0.313
315.00,0.310
316.00,0.306
317.00,0.302
318.00,0.299
319.00,0.295
320.00,0.291
321.00,0.287
322.00,0.282
323.00,0.278
324.00,0.274
325.00,0.270
326.00,0.265
327.00,0.261
328.00,0.256
329.00,0.252
330.00,0.247
331.00,0.242
332.00,0.238
333.00,0.233
334.00,0.228
335.00,0.223
336.00,0.219
337.00,0.215
338.00,0.210
339.00,0.205
340.00,0.201
341.00,0.195
342.00,0.191
343.00,0.186
344.00,0.182
345.00,0.178
346.00,0.175
347.00,0.171
348.00,0.166
349.00,0.163
350.00,0.159
351.00,0.156
352.00,0.152
353.00,0.149
354.00,0.146
355.00,0.143
356.00,0.140
357.00,0.137
358.00,0.135
359.00,0.132
360.00,0.129
361.00,0.127
362.00,0.125
363.00,0.122
364.00,0.121
365.00,0.118
366.00,0.117
367.00,0.115
368.00,0.113
369.00,0.111
370.00,0.109
371.00,0.108
372.00,0.106
373.00,0.104
374.00,0.103
375.00,0.101
376.00,0.100
377.00,0.099
378.00,0.097
379.00,0.096
380.00,0.095
381.00,0.094
382.00,0.093
383.00,0.091
384.00,0.090
385.00,0.089
386.00,0.089
387.00,0.088
388.00,0.087
389.00,0.086
390.00,0.085
391.00,0.084
392.00,0.083
393.00,0.083
394.00,0.082
395.00,0.081
396.00,0.081
397.00,0.080
398.00,0.079
399.00,0.079
400.00,0.078
401.00,0.078
402.00,0.077
403.00,0.076
404.00,0.076
405.00,0.076
406.00,0.075
407.00,0.075
408.00,0.074
409.00,0.074
410.00,0.073
411.00,0.073
412.00,0.073
413.00,0.072
414.00,0.072
415.00,0.071
416.00,0.071
417.00,0.071
418.00,0.071
419.00,0.070
420.00,0.070
421.00,0.070
422.00,0.069
423.00,0.069
424.00,0.069
425.00,0.069
426.00,0.068
427.00,0.068
428.00,0.068
429.00,0.067
430.00,0.067
431.00,0.067
432.00,0.067
433.00,0.066
434.00,0.066
435.00,0.066
436.00,0.065
437.00,0.065
438.00,0.065
439.00,0.065
440.00,0.065
441.00,0.064
442.00,0.064
443.00,0.064
444.00,0.064
445.00,0.064
446.00,0.063
447.00,0.063
448.00,0.063
449.00,0.063
450.00,0.063
451.00,0.063
452.00,0.062
453.00,0.062
454.00,0.062
455.00,0.062
456.00,0.062
457.00,0.061
458.00,0.061
459.00,0.061
460.00,0.061
461.00,0.061
462.00,0.061
463.00,0.060
464.00,0.060
465.00,0.060
466.00,0.060
467.00,0.060
468.00,0.060
469.00,0.060
470.00,0.059
471.00,0.059
472.00,0.059
473.00,0.059
474.00,0.059
475.00,0.059
476.00,0.059
477.00,0.058
478.00,0.058
479.00,0.058
480.00,0.058
481.00,0.058
482.00,0.058
483.00,0.058
484.00,0.058
485.00,0.058
486.00,0.057
487.00,0.057
488.00,0.057
489.00,0.057
490.00,0.057
491.00,0.057
492.00,0.057
493.00,0.057
494.00,0.057
495.00,0.057
496.00,0.056
497.00,0.056
498.00,0.056
499.00,0.056
500.00,0.056
501.00,0.056
502.00,0.056
503.00,0.056
504.00,0.056
505.00,0.056
506.00,0.056
507.00,0.055
508.00,0.055
509.00,0.055
510.00,0.055
511.00,0.055
512.00,0.055
513.00,0.055
514.00,0.055
515.00,0.055
516.00,0.055
517.00,0.055
518.00,0.055
519.00,0.055
520.00,0.054
521.00,0.054
522.00,0.054
523.00,0.054
524.00,0.054
525.00,0.054
526.00,0.054
527.00,0.054
528.00,0.054
529.00,0.054
530.00,0.054
531.00,0.054
532.00,0.054
533.00,0.053
534.00,0.053
535.00,0.053
536.00,0.054
537.00,0.053
538.00,0.053
539.00,0.053
540.00,0.053
541.00,0.053
542.00,0.053
543.00,0.053
544.00,0.053
545.00,0.053
546.00,0.053
547.00,0.053
548.00,0.053
549.00,0.053
550.00,0.053
551.00,0.053
552.00,0.052
553.00,0.052
554.00,0.052
555.00,0.052
556.00,0.052
557.00,0.052
558.00,0.052
559.00,0.052
560.00,0.052
561.00,0.052
562.00,0.052
563.00,0.052
564.00,0.052
565.00,0.052
566.00,0.052
567.00,0.052
568.00,0.052
569.00,0.052
570.00,0.052
571.00,0.052
572.00,0.052
573.00,0.052
574.00,0.052
575.00,0.052
576.00,0.052
577.00,0.052
578.00,0.052
579.00,0.052
580.00,0.052
581.00,0.052
582.00,0.051
583.00,0.051
584.00,0.051
585.00,0.051
586.00,0.052
587.00,0.051
588.00,0.051
589.00,0.051
590.00,0.051
591.00,0.052
592.00,0.052
593.00,0.052
594.00,0.051
595.00,0.052
596.00,0.052
597.00,0.052
598.00,0.052
599.00,0.052
600.00,0.052
601.00,0.052
602.00,0.052
603.00,0.052
604.00,0.052
605.00,0.052
606.00,0.052
607.00,0.052
608.00,0.052
609.00,0.052
610.00,0.052
611.00,0.052
612.00,0.052
613.00,0.052
614.00,0.052
615.00,0.052
616.00,0.051
617.00,0.052
618.00,0.051
619.00,0.051
620.00,0.051
621.00,0.051
622.00,0.051
623.00,0.051
624.00,0.051
625.00,0.051
626.00,0.051
627.00,0.051
628.00,0.051
629.00,0.051
630.00,0.051
631.00,0.051
632.00,0.051
633.00,0.051
634.00,0.051
635.00,0.051
636.00,0.051
637.00,0.051
638.00,0.051
639.00,0.051
640.00,0.051
641.00,0.051
642.00,0.051
643.00,0.051
644.00,0.051
645.00,0.051
646.00,0.051
647.00,0.051
648.00,0.051
649.00,0.051
650.00,0.051
651.00,0.051
652.00,0.051
653.00,0.051
654.00,0.051
655.00,0.051
656.00,0.051
657.00,0.051
658.00,0.051
659.00,0.051
660.00,0.051
661.00,0.051
662.00,0.051
663.00,0.051
664.00,0.051
665.00,0.051
666.00,0.051
667.00,0.051
668.00,0.051
669.00,0.051
670.00,0.051
671.00,0.051
672.00,0.051
673.00,0.051
674.00,0.051
675.00,0.051
676.00,0.051
677.00,0.051
678.00,0.051
679.00,0.051
680.00,0.051
681.00,0.051
682.00,0.051
683.00,0.051
684.00,0.051
685.00,0.051
686.00,0.051
687.00,0.051
688.00,0.051
689.00,0.051
690.00,0.051
691.00,0.051
692.00,0.051
693.00,0.051
694.00,0.051
695.00,0.051
696.00,0.051
697.00,0.051
698.00,0.052
699.00,0.052
700.00,0.052
701.00,0.052
702.00,0.052
703.00,0.052
704.00,0.052
705.00,0.052
706.00,0.052
707.00,0.052
708.00,0.052
709.00,0.052
710.00,0.052
711.00,0.052
712.00,0.053
713.00,0.053
714.00,0.053
715.00,0.053
716.00,0.053
717.00,0.053
718.00,0.054
719.00,0.054
720.00,0.054
721.00,0.054
722.00,0.054
723.00,0.055
724.00,0.055
725.00,0.055
726.00,0.055
727.00,0.056
728.00,0.056
729.00,0.057
730.00,0.057
731.00,0.058
732.00,0.058
733.00,0.059
734.00,0.059
735.00,0.059
736.00,0.060
737.00,0.060
738.00,0.060
739.00,0.060
740.00,0.060
741.00,0.060
742.00,0.060
743.00,0.060
744.00,0.060
745.00,0.060
746.00,0.060
747.00,0.060
748.00,0.060
749.00,0.060
750.00,0.060
751.00,0.060
752.00,0.060
753.00,0.060
754.00,0.060
755.00,0.060
756.00,0.060
757.00,0.060
758.00,0.060
759.00,0.060
760.00,0.061
761.00,0.060
762.00,0.060
763.00,0.060
764.00,0.060
765.00,0.060
766.00,0.060
767.00,0.060
768.00,0.060
769.00,0.060
770.00,0.060
771.00,0.060
772.00,0.060
773.00,0.060
774.00,0.059
775.00,0.059
776.00,0.059
777.00,0.059
778.00,0.059
779.00,0.059
780.00,0.059
781.00,0.059
782.00,0.059
783.00,0.059
784.00,0.059
785.00,0.059
786.00,0.058
787.00,0.058
788.00,0.058
789.00,0.058
790.00,0.058
791.00,0.058
792.00,0.058
793.00,0.058
794.00,0.058
795.00,0.057
796.00,0.057
797.00,0.057
798.00,0.057
799.00,0.057
800.00,0.057
801.00,0.057
802.00,0.057
803.00,0.057
804.00,0.057
805.00,0.057
806.00,0.057
807.00,0.057
808.00,0.057
809.00,0.057
810.00,0.057
811.00,0.057
812.00,0.057
813.00,0.057
814.00,0.057
815.00,0.057
816.00,0.057
817.00,0.057
818.00,0.057
819.00,0.057
820.00,0.057
821.00,0.057
822.00,0.058
823.00,0.058
824.00,0.058
825.00,0.059
826.00,0.059
827.00,0.059
828.00,0.060
829.00,0.061
830.00,0.061
831.00,0.062
832.00,0.062
833.00,0.062
834.00,0.063
835.00,0.063
836.00,0.063
837.00,0.063
838.00,0.064
839.00,0.064
840.00,0.064
841.00,0.064
842.00,0.064
843.00,0.064
844.00,0.064
845.00,0.064
846.00,0.064
847.00,0.065
848.00,0.065
849.00,0.065
850.00,0.065
851.00,0.065
852.00,0.065
853.00,0.065
854.00,0.065
855.00,0.065
856.00,0.066
857.00,0.066
858.00,0.066
859.00,0.066
860.00,0.066
861.00,0.066
862.00,0.066
863.00,0.066
864.00,0.066
865.00,0.066
866.00,0.067
867.00,0.067
868.00,0.067
869.00,0.067
870.00,0.067
871.00,0.067
872.00,0.067
873.00,0.068
874.00,0.068
875.00,0.068
876.00,0.068
877.00,0.068
878.00,0.069
879.00,0.069
880.00,0.069
881.00,0.069
882.00,0.070
883.00,0.070
884.00,0.070
885.00,0.070
886.00,0.071
887.00,0.071
888.00,0.071
889.00,0.071
890.00,0.071
891.00,0.072
892.00,0.072
893.00,0.072
894.00,0.072
895.00,0.073
896.00,0.073
897.00,0.073
898.00,0.073
899.00,0.073
900.00,0.074
