"MillesIlesIPAAmericaine50x - RawData"
"Wavelength nm.","Abs."
190.00,2.921
191.00,3.073
192.00,2.985
193.00,3.281
194.00,3.176
195.00,3.204
196.00,3.275
197.00,3.251
198.00,3.308
199.00,3.394
200.00,3.494
201.00,3.524
202.00,3.428
203.00,3.494
204.00,3.451
205.00,3.427
206.00,3.384
207.00,3.323
208.00,3.203
209.00,3.121
210.00,3.022
211.00,2.943
212.00,2.838
213.00,2.720
214.00,2.600
215.00,2.492
216.00,2.384
217.00,2.274
218.00,2.159
219.00,2.054
220.00,1.951
221.00,1.854
222.00,1.767
223.00,1.679
224.00,1.591
225.00,1.510
226.00,1.431
227.00,1.352
228.00,1.276
229.00,1.209
230.00,1.145
231.00,1.086
232.00,1.033
233.00,0.986
234.00,0.946
235.00,0.911
236.00,0.881
237.00,0.856
238.00,0.836
239.00,0.819
240.00,0.806
241.00,0.796
242.00,0.789
243.00,0.785
244.00,0.782
245.00,0.781
246.00,0.781
247.00,0.782
248.00,0.785
249.00,0.788
250.00,0.792
251.00,0.796
252.00,0.800
253.00,0.805
254.00,0.810
255.00,0.814
256.00,0.818
257.00,0.821
258.00,0.822
259.00,0.822
260.00,0.821
261.00,0.821
262.00,0.820
263.00,0.819
264.00,0.818
265.00,0.816
266.00,0.814
267.00,0.811
268.00,0.807
269.00,0.801
270.00,0.795
271.00,0.788
272.00,0.780
273.00,0.771
274.00,0.762
275.00,0.751
276.00,0.740
277.00,0.728
278.00,0.715
279.00,0.701
280.00,0.687
281.00,0.672
282.00,0.657
283.00,0.640
284.00,0.622
285.00,0.604
286.00,0.587
287.00,0.569
288.00,0.551
289.00,0.534
290.00,0.515
291.00,0.497
292.00,0.480
293.00,0.466
294.00,0.454
295.00,0.443
296.00,0.433
297.00,0.424
298.00,0.416
299.00,0.408
300.00,0.401
301.00,0.394
302.00,0.389
303.00,0.384
304.00,0.379
305.00,0.374
306.00,0.370
307.00,0.366
308.00,0.361
309.00,0.358
310.00,0.354
311.00,0.350
312.00,0.347
313.00,0.343
314.00,0.340
315.00,0.337
316.00,0.333
317.00,0.331
318.00,0.327
319.00,0.323
320.00,0.320
321.00,0.316
322.00,0.312
323.00,0.308
324.00,0.304
325.00,0.299
326.00,0.294
327.00,0.291
328.00,0.286
329.00,0.281
330.00,0.276
331.00,0.270
332.00,0.266
333.00,0.260
334.00,0.255
335.00,0.250
336.00,0.245
337.00,0.240
338.00,0.235
339.00,0.230
340.00,0.225
341.00,0.219
342.00,0.214
343.00,0.209
344.00,0.205
345.00,0.200
346.00,0.196
347.00,0.192
348.00,0.187
349.00,0.183
350.00,0.179
