"MolsonBlackLabel_25x2 - RawData"
"Wavelength nm.","Abs."
190.00,2.895
191.00,3.579
192.00,3.422
193.00,3.434
194.00,3.554
195.00,3.637
196.00,3.384
197.00,3.484
198.00,3.651
199.00,3.593
200.00,3.635
201.00,3.785
202.00,3.633
203.00,3.552
204.00,3.680
205.00,3.613
206.00,3.443
207.00,3.310
208.00,3.201
209.00,3.072
210.00,2.960
211.00,2.860
212.00,2.741
213.00,2.619
214.00,2.492
215.00,2.384
216.00,2.293
217.00,2.188
218.00,2.083
219.00,1.983
220.00,1.891
221.00,1.800
222.00,1.716
223.00,1.632
224.00,1.548
225.00,1.467
226.00,1.386
227.00,1.303
228.00,1.223
229.00,1.148
230.00,1.077
231.00,1.013
232.00,0.956
233.00,0.904
234.00,0.860
235.00,0.822
236.00,0.789
237.00,0.761
238.00,0.737
239.00,0.719
240.00,0.703
241.00,0.691
242.00,0.682
243.00,0.675
244.00,0.670
245.00,0.667
246.00,0.665
247.00,0.664
248.00,0.665
249.00,0.666
250.00,0.668
251.00,0.670
252.00,0.674
253.00,0.678
254.00,0.681
255.00,0.686
256.00,0.690
257.00,0.693
258.00,0.696
259.00,0.699
260.00,0.701
261.00,0.703
262.00,0.706
263.00,0.710
264.00,0.713
265.00,0.715
266.00,0.717
267.00,0.719
268.00,0.720
269.00,0.719
270.00,0.718
271.00,0.716
272.00,0.713
273.00,0.709
274.00,0.703
275.00,0.696
276.00,0.689
277.00,0.679
278.00,0.668
279.00,0.655
280.00,0.643
281.00,0.629
282.00,0.614
283.00,0.597
284.00,0.580
285.00,0.562
286.00,0.544
287.00,0.527
288.00,0.508
289.00,0.491
290.00,0.471
291.00,0.453
292.00,0.436
293.00,0.421
294.00,0.408
295.00,0.396
296.00,0.385
297.00,0.376
298.00,0.366
299.00,0.357
300.00,0.349
301.00,0.342
302.00,0.336
303.00,0.330
304.00,0.324
305.00,0.319
306.00,0.315
307.00,0.310
308.00,0.306
309.00,0.302
310.00,0.298
311.00,0.295
312.00,0.291
313.00,0.288
314.00,0.285
315.00,0.282
316.00,0.279
317.00,0.276
318.00,0.273
319.00,0.270
320.00,0.267
321.00,0.263
322.00,0.260
323.00,0.256
324.00,0.252
325.00,0.248
326.00,0.244
327.00,0.240
328.00,0.235
329.00,0.231
330.00,0.226
331.00,0.222
332.00,0.217
333.00,0.212
334.00,0.207
335.00,0.202
336.00,0.198
337.00,0.193
338.00,0.188
339.00,0.184
340.00,0.180
341.00,0.174
342.00,0.169
343.00,0.164
344.00,0.160
345.00,0.156
346.00,0.152
347.00,0.148
348.00,0.144
349.00,0.141
350.00,0.137
351.00,0.134
352.00,0.131
353.00,0.127
354.00,0.124
355.00,0.121
356.00,0.118
357.00,0.116
358.00,0.113
359.00,0.110
360.00,0.108
361.00,0.106
362.00,0.103
363.00,0.101
364.00,0.100
365.00,0.097
366.00,0.096
367.00,0.094
368.00,0.092
369.00,0.091
370.00,0.089
371.00,0.088
372.00,0.086
373.00,0.085
374.00,0.084
375.00,0.083
376.00,0.081
377.00,0.080
378.00,0.079
379.00,0.078
380.00,0.077
381.00,0.076
382.00,0.075
383.00,0.074
384.00,0.073
385.00,0.072
386.00,0.072
387.00,0.071
388.00,0.070
389.00,0.070
390.00,0.069
391.00,0.068
392.00,0.068
393.00,0.067
394.00,0.066
395.00,0.066
396.00,0.065
397.00,0.065
398.00,0.064
399.00,0.064
400.00,0.063
401.00,0.063
402.00,0.063
403.00,0.062
404.00,0.062
405.00,0.061
406.00,0.061
407.00,0.061
408.00,0.060
409.00,0.060
410.00,0.059
411.00,0.059
412.00,0.059
413.00,0.058
414.00,0.058
415.00,0.058
416.00,0.057
417.00,0.057
418.00,0.057
419.00,0.057
420.00,0.056
421.00,0.056
422.00,0.056
423.00,0.056
424.00,0.056
425.00,0.055
426.00,0.055
427.00,0.055
428.00,0.054
429.00,0.054
430.00,0.054
431.00,0.054
432.00,0.053
433.00,0.053
434.00,0.053
435.00,0.053
436.00,0.053
437.00,0.052
438.00,0.052
439.00,0.052
440.00,0.052
441.00,0.052
442.00,0.051
443.00,0.051
444.00,0.051
445.00,0.051
446.00,0.051
447.00,0.051
448.00,0.050
449.00,0.050
450.00,0.050
451.00,0.050
452.00,0.050
453.00,0.050
454.00,0.050
455.00,0.049
456.00,0.049
457.00,0.049
458.00,0.049
459.00,0.049
460.00,0.049
461.00,0.048
462.00,0.048
463.00,0.048
464.00,0.048
465.00,0.048
466.00,0.048
467.00,0.048
468.00,0.048
469.00,0.047
470.00,0.047
471.00,0.047
472.00,0.047
473.00,0.047
474.00,0.047
475.00,0.047
476.00,0.047
477.00,0.047
478.00,0.046
479.00,0.046
480.00,0.046
481.00,0.046
482.00,0.046
483.00,0.046
484.00,0.046
485.00,0.045
486.00,0.045
487.00,0.045
488.00,0.045
489.00,0.045
490.00,0.045
491.00,0.045
492.00,0.045
493.00,0.045
494.00,0.045
495.00,0.045
496.00,0.044
497.00,0.044
498.00,0.044
499.00,0.044
500.00,0.044
501.00,0.044
502.00,0.044
503.00,0.044
504.00,0.044
505.00,0.044
506.00,0.043
507.00,0.043
508.00,0.043
509.00,0.043
510.00,0.043
511.00,0.043
512.00,0.043
513.00,0.043
514.00,0.043
515.00,0.043
516.00,0.043
517.00,0.043
518.00,0.043
519.00,0.043
520.00,0.042
521.00,0.042
522.00,0.042
523.00,0.042
524.00,0.042
525.00,0.042
526.00,0.042
527.00,0.042
528.00,0.042
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.041
539.00,0.041
540.00,0.041
541.00,0.041
542.00,0.041
543.00,0.041
544.00,0.041
545.00,0.041
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.041
558.00,0.040
559.00,0.040
560.00,0.040
561.00,0.040
562.00,0.040
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.040
572.00,0.040
573.00,0.040
574.00,0.040
575.00,0.040
576.00,0.040
577.00,0.040
578.00,0.040
579.00,0.040
580.00,0.040
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
