"MonsDubbelAbbaye100x - RawData"
"Wavelength nm.","Abs."
190.00,3.966
191.00,3.977
192.00,3.792
193.00,3.918
194.00,3.910
195.00,3.866
196.00,3.944
197.00,3.977
198.00,3.831
199.00,3.925
200.00,3.730
201.00,3.706
202.00,3.763
203.00,3.692
204.00,3.517
205.00,3.181
206.00,3.041
207.00,2.928
208.00,2.762
209.00,2.643
210.00,2.518
211.00,2.409
212.00,2.309
213.00,2.212
214.00,2.121
215.00,2.035
216.00,1.949
217.00,1.867
218.00,1.788
219.00,1.712
220.00,1.635
221.00,1.565
222.00,1.497
223.00,1.430
224.00,1.363
225.00,1.298
226.00,1.232
227.00,1.166
228.00,1.101
229.00,1.041
230.00,0.983
231.00,0.930
232.00,0.882
233.00,0.838
234.00,0.800
235.00,0.767
236.00,0.738
237.00,0.714
238.00,0.692
239.00,0.674
240.00,0.659
241.00,0.646
242.00,0.637
243.00,0.630
244.00,0.625
245.00,0.622
246.00,0.619
247.00,0.618
248.00,0.618
249.00,0.618
250.00,0.620
251.00,0.622
252.00,0.625
253.00,0.628
254.00,0.632
255.00,0.636
256.00,0.640
257.00,0.644
258.00,0.648
259.00,0.651
260.00,0.655
261.00,0.658
262.00,0.662
263.00,0.666
264.00,0.669
265.00,0.672
266.00,0.675
267.00,0.677
268.00,0.679
269.00,0.680
270.00,0.680
271.00,0.679
272.00,0.677
273.00,0.675
274.00,0.671
275.00,0.666
276.00,0.661
277.00,0.653
278.00,0.644
279.00,0.633
280.00,0.622
281.00,0.610
282.00,0.598
283.00,0.584
284.00,0.571
285.00,0.557
286.00,0.544
287.00,0.533
288.00,0.520
289.00,0.508
290.00,0.495
291.00,0.483
292.00,0.471
293.00,0.461
294.00,0.452
295.00,0.443
296.00,0.435
297.00,0.428
298.00,0.421
299.00,0.415
300.00,0.409
301.00,0.402
302.00,0.397
303.00,0.391
304.00,0.386
305.00,0.380
306.00,0.375
307.00,0.369
308.00,0.364
309.00,0.359
310.00,0.354
311.00,0.349
312.00,0.344
313.00,0.339
314.00,0.335
315.00,0.331
316.00,0.326
317.00,0.322
318.00,0.317
319.00,0.313
320.00,0.309
321.00,0.304
322.00,0.300
323.00,0.296
324.00,0.292
325.00,0.287
326.00,0.283
327.00,0.279
328.00,0.275
329.00,0.271
330.00,0.266
331.00,0.262
332.00,0.258
333.00,0.254
334.00,0.250
335.00,0.246
336.00,0.242
337.00,0.238
338.00,0.234
339.00,0.230
340.00,0.227
341.00,0.222
342.00,0.219
343.00,0.215
344.00,0.212
345.00,0.208
346.00,0.205
347.00,0.202
348.00,0.198
349.00,0.195
350.00,0.192
351.00,0.189
352.00,0.186
353.00,0.183
354.00,0.180
355.00,0.178
356.00,0.175
357.00,0.173
358.00,0.170
359.00,0.167
360.00,0.165
361.00,0.162
362.00,0.160
363.00,0.158
364.00,0.156
365.00,0.154
366.00,0.152
367.00,0.150
368.00,0.149
369.00,0.147
370.00,0.145
371.00,0.143
372.00,0.141
373.00,0.140
374.00,0.138
375.00,0.136
376.00,0.135
377.00,0.133
378.00,0.132
379.00,0.130
380.00,0.129
381.00,0.127
382.00,0.126
383.00,0.124
384.00,0.123
385.00,0.122
386.00,0.120
387.00,0.119
388.00,0.118
389.00,0.117
390.00,0.116
391.00,0.115
392.00,0.113
393.00,0.112
394.00,0.111
395.00,0.110
396.00,0.109
397.00,0.108
398.00,0.107
399.00,0.106
400.00,0.105
401.00,0.104
402.00,0.104
403.00,0.103
404.00,0.102
405.00,0.101
406.00,0.100
407.00,0.099
408.00,0.099
409.00,0.098
410.00,0.097
411.00,0.096
412.00,0.096
413.00,0.095
414.00,0.094
415.00,0.094
416.00,0.093
417.00,0.092
418.00,0.092
419.00,0.091
420.00,0.090
421.00,0.090
422.00,0.089
423.00,0.089
424.00,0.088
425.00,0.087
426.00,0.087
427.00,0.086
428.00,0.086
429.00,0.085
430.00,0.084
431.00,0.084
432.00,0.083
433.00,0.083
434.00,0.082
435.00,0.082
436.00,0.081
437.00,0.081
438.00,0.080
439.00,0.080
440.00,0.079
441.00,0.079
442.00,0.078
443.00,0.078
444.00,0.077
445.00,0.077
446.00,0.077
447.00,0.076
448.00,0.076
449.00,0.075
450.00,0.075
451.00,0.074
452.00,0.074
453.00,0.074
454.00,0.073
455.00,0.073
456.00,0.072
457.00,0.072
458.00,0.072
459.00,0.071
460.00,0.071
461.00,0.071
462.00,0.070
463.00,0.070
464.00,0.070
465.00,0.069
466.00,0.069
467.00,0.069
468.00,0.068
469.00,0.068
470.00,0.067
471.00,0.067
472.00,0.067
473.00,0.067
474.00,0.066
475.00,0.066
476.00,0.066
477.00,0.065
478.00,0.065
479.00,0.065
480.00,0.064
481.00,0.064
482.00,0.064
483.00,0.063
484.00,0.063
485.00,0.063
486.00,0.062
487.00,0.062
488.00,0.062
489.00,0.062
490.00,0.061
491.00,0.061
492.00,0.061
493.00,0.061
494.00,0.060
495.00,0.060
496.00,0.060
497.00,0.060
498.00,0.059
499.00,0.059
500.00,0.059
501.00,0.059
502.00,0.058
503.00,0.058
504.00,0.058
505.00,0.058
506.00,0.058
507.00,0.057
508.00,0.057
509.00,0.057
510.00,0.057
511.00,0.056
512.00,0.056
513.00,0.056
514.00,0.056
515.00,0.056
516.00,0.055
517.00,0.055
518.00,0.055
519.00,0.055
520.00,0.055
521.00,0.054
522.00,0.054
523.00,0.054
524.00,0.054
525.00,0.054
526.00,0.053
527.00,0.053
528.00,0.053
529.00,0.053
530.00,0.053
531.00,0.053
532.00,0.053
533.00,0.052
534.00,0.052
535.00,0.052
536.00,0.052
537.00,0.052
538.00,0.051
539.00,0.051
540.00,0.051
541.00,0.051
542.00,0.051
543.00,0.051
544.00,0.051
545.00,0.050
546.00,0.050
547.00,0.050
548.00,0.050
549.00,0.050
550.00,0.050
551.00,0.050
552.00,0.050
553.00,0.049
554.00,0.049
555.00,0.049
556.00,0.049
557.00,0.049
558.00,0.049
559.00,0.049
560.00,0.049
561.00,0.049
562.00,0.048
563.00,0.048
564.00,0.048
565.00,0.048
566.00,0.048
567.00,0.048
568.00,0.048
569.00,0.048
