"MonsregiusMerida_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.679
191.00,3.438
192.00,3.749
193.00,3.597
194.00,3.619
195.00,3.459
196.00,3.597
197.00,3.821
198.00,3.928
199.00,3.806
200.00,3.644
201.00,3.761
202.00,3.854
203.00,3.839
204.00,3.915
205.00,3.815
206.00,3.692
207.00,3.813
208.00,3.702
209.00,3.679
210.00,3.658
211.00,3.695
212.00,3.662
213.00,3.368
214.00,3.229
215.00,3.153
216.00,3.048
217.00,2.901
218.00,2.779
219.00,2.645
220.00,2.503
221.00,2.401
222.00,2.278
223.00,2.171
224.00,2.058
225.00,1.949
226.00,1.837
227.00,1.723
228.00,1.613
229.00,1.511
230.00,1.418
231.00,1.333
232.00,1.258
233.00,1.191
234.00,1.137
235.00,1.089
236.00,1.051
237.00,1.020
238.00,0.996
239.00,0.978
240.00,0.965
241.00,0.956
242.00,0.952
243.00,0.951
244.00,0.953
245.00,0.957
246.00,0.962
247.00,0.969
248.00,0.977
249.00,0.985
250.00,0.994
251.00,1.003
252.00,1.013
253.00,1.022
254.00,1.031
255.00,1.041
256.00,1.050
257.00,1.057
258.00,1.061
259.00,1.063
260.00,1.065
261.00,1.066
262.00,1.068
263.00,1.068
264.00,1.068
265.00,1.066
266.00,1.064
267.00,1.060
268.00,1.054
269.00,1.046
270.00,1.037
271.00,1.026
272.00,1.014
273.00,1.000
274.00,0.985
275.00,0.969
276.00,0.952
277.00,0.933
278.00,0.912
279.00,0.891
280.00,0.869
281.00,0.848
282.00,0.826
283.00,0.802
284.00,0.779
285.00,0.754
286.00,0.732
287.00,0.710
288.00,0.688
289.00,0.666
290.00,0.643
291.00,0.620
292.00,0.600
293.00,0.582
294.00,0.568
295.00,0.554
296.00,0.542
297.00,0.532
298.00,0.521
299.00,0.512
300.00,0.503
301.00,0.495
302.00,0.488
303.00,0.481
304.00,0.474
305.00,0.467
306.00,0.461
307.00,0.454
308.00,0.448
309.00,0.442
310.00,0.436
311.00,0.431
312.00,0.425
313.00,0.420
314.00,0.414
315.00,0.409
316.00,0.404
317.00,0.398
318.00,0.393
319.00,0.387
320.00,0.382
321.00,0.376
322.00,0.370
323.00,0.364
324.00,0.358
325.00,0.352
326.00,0.345
327.00,0.339
328.00,0.333
329.00,0.326
330.00,0.319
331.00,0.313
332.00,0.306
333.00,0.299
334.00,0.292
335.00,0.285
336.00,0.279
337.00,0.273
338.00,0.266
339.00,0.259
340.00,0.253
341.00,0.245
342.00,0.239
343.00,0.233
344.00,0.227
345.00,0.222
346.00,0.216
347.00,0.210
348.00,0.205
349.00,0.200
350.00,0.194
351.00,0.189
352.00,0.184
353.00,0.180
354.00,0.175
355.00,0.171
356.00,0.167
357.00,0.163
358.00,0.159
359.00,0.155
360.00,0.151
361.00,0.148
362.00,0.145
363.00,0.142
364.00,0.138
365.00,0.135
366.00,0.133
367.00,0.130
368.00,0.128
369.00,0.125
370.00,0.122
371.00,0.121
372.00,0.118
373.00,0.116
374.00,0.114
375.00,0.112
376.00,0.110
377.00,0.108
378.00,0.106
379.00,0.105
380.00,0.103
381.00,0.101
382.00,0.100
383.00,0.098
384.00,0.097
385.00,0.095
386.00,0.094
387.00,0.093
388.00,0.091
389.00,0.090
390.00,0.089
391.00,0.088
392.00,0.087
393.00,0.086
394.00,0.084
395.00,0.084
396.00,0.083
397.00,0.082
398.00,0.081
399.00,0.080
400.00,0.079
401.00,0.078
402.00,0.078
403.00,0.077
404.00,0.076
405.00,0.076
406.00,0.075
407.00,0.074
408.00,0.074
409.00,0.073
410.00,0.073
411.00,0.072
412.00,0.071
413.00,0.071
414.00,0.070
415.00,0.070
416.00,0.069
417.00,0.069
418.00,0.069
419.00,0.068
420.00,0.068
421.00,0.067
422.00,0.067
423.00,0.066
424.00,0.066
425.00,0.065
426.00,0.065
427.00,0.065
428.00,0.064
429.00,0.064
430.00,0.063
431.00,0.063
432.00,0.063
433.00,0.062
434.00,0.062
435.00,0.062
436.00,0.061
437.00,0.061
438.00,0.061
439.00,0.060
440.00,0.060
441.00,0.060
442.00,0.060
443.00,0.059
444.00,0.059
445.00,0.059
446.00,0.058
447.00,0.058
448.00,0.058
449.00,0.058
450.00,0.057
451.00,0.057
452.00,0.057
453.00,0.057
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.056
459.00,0.055
460.00,0.055
461.00,0.055
462.00,0.055
463.00,0.054
464.00,0.054
465.00,0.054
466.00,0.054
467.00,0.054
468.00,0.053
469.00,0.053
470.00,0.053
471.00,0.053
472.00,0.052
473.00,0.052
474.00,0.052
475.00,0.052
476.00,0.052
477.00,0.051
478.00,0.051
479.00,0.051
480.00,0.051
481.00,0.051
482.00,0.050
483.00,0.050
484.00,0.050
485.00,0.050
486.00,0.050
487.00,0.049
488.00,0.049
489.00,0.049
490.00,0.049
491.00,0.049
492.00,0.049
493.00,0.048
494.00,0.048
495.00,0.048
496.00,0.048
497.00,0.048
498.00,0.048
499.00,0.047
500.00,0.047
501.00,0.047
502.00,0.047
503.00,0.047
504.00,0.047
505.00,0.047
506.00,0.046
507.00,0.046
508.00,0.046
509.00,0.046
510.00,0.046
511.00,0.046
512.00,0.046
513.00,0.046
514.00,0.045
515.00,0.045
516.00,0.045
517.00,0.045
518.00,0.045
519.00,0.045
520.00,0.045
521.00,0.045
522.00,0.044
523.00,0.044
524.00,0.044
525.00,0.044
526.00,0.044
527.00,0.044
528.00,0.044
529.00,0.044
530.00,0.044
531.00,0.044
532.00,0.043
533.00,0.043
534.00,0.043
535.00,0.043
536.00,0.043
537.00,0.043
538.00,0.043
539.00,0.043
540.00,0.043
541.00,0.043
542.00,0.043
543.00,0.043
544.00,0.042
545.00,0.042
546.00,0.042
547.00,0.042
548.00,0.042
549.00,0.042
550.00,0.042
551.00,0.042
552.00,0.042
553.00,0.042
554.00,0.042
555.00,0.042
556.00,0.042
557.00,0.042
558.00,0.042
559.00,0.042
560.00,0.042
561.00,0.041
562.00,0.041
563.00,0.041
564.00,0.041
565.00,0.041
566.00,0.041
567.00,0.041
568.00,0.041
569.00,0.041
570.00,0.041
571.00,0.041
572.00,0.041
573.00,0.041
574.00,0.041
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.041
579.00,0.041
580.00,0.040
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.039
623.00,0.039
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
