"Multi-brasseAmoureuse_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.075
191.00,3.204
192.00,3.278
193.00,3.202
194.00,3.403
195.00,3.354
196.00,3.470
197.00,3.557
198.00,3.438
199.00,3.487
200.00,3.434
201.00,3.458
202.00,3.679
203.00,3.656
204.00,3.593
205.00,3.539
206.00,3.819
207.00,3.486
208.00,3.739
209.00,3.651
210.00,3.669
211.00,3.725
212.00,3.587
213.00,3.599
214.00,3.414
215.00,3.375
216.00,3.248
217.00,3.120
218.00,3.002
219.00,2.862
220.00,2.760
221.00,2.627
222.00,2.506
223.00,2.385
224.00,2.257
225.00,2.139
226.00,2.014
227.00,1.892
228.00,1.772
229.00,1.665
230.00,1.562
231.00,1.468
232.00,1.383
233.00,1.308
234.00,1.245
235.00,1.191
236.00,1.146
237.00,1.109
238.00,1.080
239.00,1.057
240.00,1.038
241.00,1.024
242.00,1.016
243.00,1.011
244.00,1.009
245.00,1.009
246.00,1.011
247.00,1.015
248.00,1.021
249.00,1.027
250.00,1.035
251.00,1.044
252.00,1.054
253.00,1.064
254.00,1.073
255.00,1.083
256.00,1.092
257.00,1.100
258.00,1.107
259.00,1.112
260.00,1.116
261.00,1.120
262.00,1.124
263.00,1.129
264.00,1.131
265.00,1.132
266.00,1.132
267.00,1.131
268.00,1.128
269.00,1.122
270.00,1.114
271.00,1.104
272.00,1.092
273.00,1.078
274.00,1.062
275.00,1.044
276.00,1.025
277.00,1.004
278.00,0.981
279.00,0.957
280.00,0.933
281.00,0.907
282.00,0.880
283.00,0.850
284.00,0.820
285.00,0.788
286.00,0.759
287.00,0.731
288.00,0.703
289.00,0.674
290.00,0.643
291.00,0.613
292.00,0.587
293.00,0.563
294.00,0.542
295.00,0.523
296.00,0.507
297.00,0.492
298.00,0.477
299.00,0.464
300.00,0.453
301.00,0.442
302.00,0.432
303.00,0.423
304.00,0.415
305.00,0.407
306.00,0.400
307.00,0.393
308.00,0.386
309.00,0.380
310.00,0.374
311.00,0.368
312.00,0.363
313.00,0.358
314.00,0.354
315.00,0.349
316.00,0.344
317.00,0.340
318.00,0.335
319.00,0.330
320.00,0.325
321.00,0.320
322.00,0.315
323.00,0.310
324.00,0.304
325.00,0.299
326.00,0.294
327.00,0.288
328.00,0.282
329.00,0.277
330.00,0.271
331.00,0.266
332.00,0.260
333.00,0.255
334.00,0.249
335.00,0.243
336.00,0.238
337.00,0.233
338.00,0.227
339.00,0.223
340.00,0.218
341.00,0.211
342.00,0.206
343.00,0.202
344.00,0.197
345.00,0.193
346.00,0.188
347.00,0.184
348.00,0.180
349.00,0.176
350.00,0.172
351.00,0.168
352.00,0.165
353.00,0.161
354.00,0.158
355.00,0.155
356.00,0.151
357.00,0.149
358.00,0.146
359.00,0.142
360.00,0.140
361.00,0.137
362.00,0.134
363.00,0.133
364.00,0.130
365.00,0.128
366.00,0.126
367.00,0.124
368.00,0.122
369.00,0.120
370.00,0.118
371.00,0.116
372.00,0.115
373.00,0.113
374.00,0.111
375.00,0.110
376.00,0.108
377.00,0.106
378.00,0.105
379.00,0.103
380.00,0.101
381.00,0.100
382.00,0.099
383.00,0.097
384.00,0.096
385.00,0.094
386.00,0.093
387.00,0.092
388.00,0.091
389.00,0.090
390.00,0.089
391.00,0.088
392.00,0.087
393.00,0.086
394.00,0.085
395.00,0.085
396.00,0.084
397.00,0.083
398.00,0.083
399.00,0.082
400.00,0.081
401.00,0.081
402.00,0.080
403.00,0.080
404.00,0.079
405.00,0.079
406.00,0.078
407.00,0.078
408.00,0.077
409.00,0.077
410.00,0.076
411.00,0.076
412.00,0.075
413.00,0.075
414.00,0.075
415.00,0.074
416.00,0.074
417.00,0.074
418.00,0.073
419.00,0.073
420.00,0.072
421.00,0.072
422.00,0.072
423.00,0.072
424.00,0.071
425.00,0.071
426.00,0.071
427.00,0.070
428.00,0.070
429.00,0.070
430.00,0.070
431.00,0.069
432.00,0.069
433.00,0.069
434.00,0.068
435.00,0.068
436.00,0.068
437.00,0.068
438.00,0.068
439.00,0.067
440.00,0.067
441.00,0.067
442.00,0.067
443.00,0.066
444.00,0.066
445.00,0.066
446.00,0.066
447.00,0.066
448.00,0.066
449.00,0.065
450.00,0.065
451.00,0.065
452.00,0.065
453.00,0.065
454.00,0.064
455.00,0.064
456.00,0.064
457.00,0.064
458.00,0.064
459.00,0.064
460.00,0.064
461.00,0.063
462.00,0.063
463.00,0.063
464.00,0.063
465.00,0.063
466.00,0.063
467.00,0.063
468.00,0.062
469.00,0.062
470.00,0.062
471.00,0.062
472.00,0.062
473.00,0.062
474.00,0.062
475.00,0.061
476.00,0.061
477.00,0.061
478.00,0.061
479.00,0.061
480.00,0.061
481.00,0.061
482.00,0.060
483.00,0.060
484.00,0.060
485.00,0.060
486.00,0.060
487.00,0.060
488.00,0.060
489.00,0.059
490.00,0.059
491.00,0.059
492.00,0.059
493.00,0.059
494.00,0.059
495.00,0.059
496.00,0.058
497.00,0.058
498.00,0.058
499.00,0.058
500.00,0.058
501.00,0.058
502.00,0.058
503.00,0.057
504.00,0.057
505.00,0.057
506.00,0.057
507.00,0.057
508.00,0.057
509.00,0.056
510.00,0.056
511.00,0.056
512.00,0.056
513.00,0.056
514.00,0.056
515.00,0.056
516.00,0.055
517.00,0.055
518.00,0.055
519.00,0.055
520.00,0.055
521.00,0.055
522.00,0.054
523.00,0.054
524.00,0.054
525.00,0.054
526.00,0.054
527.00,0.054
528.00,0.054
529.00,0.054
530.00,0.053
531.00,0.053
532.00,0.053
533.00,0.053
534.00,0.053
535.00,0.053
536.00,0.053
537.00,0.053
538.00,0.053
539.00,0.052
540.00,0.052
541.00,0.052
542.00,0.052
543.00,0.052
544.00,0.052
545.00,0.052
546.00,0.052
547.00,0.052
548.00,0.051
549.00,0.051
550.00,0.051
551.00,0.051
552.00,0.051
553.00,0.051
554.00,0.051
555.00,0.051
556.00,0.051
557.00,0.051
558.00,0.051
559.00,0.050
560.00,0.050
561.00,0.050
562.00,0.050
563.00,0.050
564.00,0.050
565.00,0.050
566.00,0.050
567.00,0.050
568.00,0.050
569.00,0.050
570.00,0.050
571.00,0.050
572.00,0.049
573.00,0.049
574.00,0.049
575.00,0.049
576.00,0.049
577.00,0.049
578.00,0.049
579.00,0.049
580.00,0.049
581.00,0.049
582.00,0.049
583.00,0.049
584.00,0.049
585.00,0.049
586.00,0.049
587.00,0.049
588.00,0.049
589.00,0.049
590.00,0.049
591.00,0.048
592.00,0.048
593.00,0.048
594.00,0.048
595.00,0.048
596.00,0.048
597.00,0.048
598.00,0.048
599.00,0.048
600.00,0.048
601.00,0.048
602.00,0.048
603.00,0.048
604.00,0.048
605.00,0.048
606.00,0.048
607.00,0.048
608.00,0.048
609.00,0.048
610.00,0.048
611.00,0.048
612.00,0.048
613.00,0.048
614.00,0.048
615.00,0.047
616.00,0.047
617.00,0.047
618.00,0.047
619.00,0.047
620.00,0.047
621.00,0.047
622.00,0.047
623.00,0.047
624.00,0.047
625.00,0.047
626.00,0.047
627.00,0.047
628.00,0.047
629.00,0.047
630.00,0.047
631.00,0.047
632.00,0.047
633.00,0.047
634.00,0.047
635.00,0.047
636.00,0.047
637.00,0.046
638.00,0.046
639.00,0.046
640.00,0.046
641.00,0.046
642.00,0.046
643.00,0.046
644.00,0.046
645.00,0.046
646.00,0.046
647.00,0.046
648.00,0.046
649.00,0.046
650.00,0.046
651.00,0.046
652.00,0.046
653.00,0.046
654.00,0.046
655.00,0.046
656.00,0.046
657.00,0.046
658.00,0.046
659.00,0.046
660.00,0.046
661.00,0.046
662.00,0.046
663.00,0.046
664.00,0.046
665.00,0.046
666.00,0.046
667.00,0.046
668.00,0.046
669.00,0.046
670.00,0.046
671.00,0.046
672.00,0.046
673.00,0.045
674.00,0.045
675.00,0.045
676.00,0.045
677.00,0.045
678.00,0.045
679.00,0.045
680.00,0.045
681.00,0.045
682.00,0.045
683.00,0.045
684.00,0.045
685.00,0.045
686.00,0.045
687.00,0.045
688.00,0.045
689.00,0.045
690.00,0.045
691.00,0.045
692.00,0.045
693.00,0.045
694.00,0.045
695.00,0.045
696.00,0.045
697.00,0.045
698.00,0.045
699.00,0.045
700.00,0.045
701.00,0.045
702.00,0.045
703.00,0.045
704.00,0.045
705.00,0.045
706.00,0.046
707.00,0.046
708.00,0.046
709.00,0.046
710.00,0.046
711.00,0.046
712.00,0.046
713.00,0.046
714.00,0.046
715.00,0.046
716.00,0.047
717.00,0.047
718.00,0.047
719.00,0.047
720.00,0.047
721.00,0.047
722.00,0.048
723.00,0.048
724.00,0.048
