"MultiBrasseLaRueeVersGoulau50x - RawData"
"Wavelength nm.","Abs."
190.00,3.014
191.00,3.694
192.00,3.389
193.00,3.461
194.00,3.337
195.00,3.456
196.00,3.523
197.00,3.632
198.00,3.577
199.00,3.497
200.00,3.855
201.00,3.483
202.00,3.394
203.00,3.581
204.00,3.485
205.00,3.242
206.00,3.113
207.00,3.078
208.00,2.945
209.00,2.850
210.00,2.746
211.00,2.638
212.00,2.524
213.00,2.424
214.00,2.319
215.00,2.222
216.00,2.127
217.00,2.036
218.00,1.943
219.00,1.858
220.00,1.775
221.00,1.697
222.00,1.626
223.00,1.556
224.00,1.484
225.00,1.419
226.00,1.353
227.00,1.287
228.00,1.222
229.00,1.163
230.00,1.108
231.00,1.057
232.00,1.010
233.00,0.968
234.00,0.932
235.00,0.900
236.00,0.874
237.00,0.851
238.00,0.832
239.00,0.817
240.00,0.804
241.00,0.795
242.00,0.789
243.00,0.785
244.00,0.783
245.00,0.783
246.00,0.784
247.00,0.786
248.00,0.789
249.00,0.792
250.00,0.797
251.00,0.802
252.00,0.806
253.00,0.812
254.00,0.818
255.00,0.823
256.00,0.829
257.00,0.833
258.00,0.836
259.00,0.839
260.00,0.841
261.00,0.843
262.00,0.845
263.00,0.847
264.00,0.849
265.00,0.851
266.00,0.852
267.00,0.853
268.00,0.852
269.00,0.851
270.00,0.848
271.00,0.844
272.00,0.841
273.00,0.836
274.00,0.830
275.00,0.823
276.00,0.816
277.00,0.806
278.00,0.796
279.00,0.785
280.00,0.774
281.00,0.762
282.00,0.748
283.00,0.735
284.00,0.720
285.00,0.703
286.00,0.688
287.00,0.672
288.00,0.655
289.00,0.639
290.00,0.622
291.00,0.605
292.00,0.589
293.00,0.574
294.00,0.561
295.00,0.548
296.00,0.536
297.00,0.525
298.00,0.514
299.00,0.504
300.00,0.494
301.00,0.484
302.00,0.475
303.00,0.466
304.00,0.458
305.00,0.449
306.00,0.442
307.00,0.434
308.00,0.426
309.00,0.419
310.00,0.412
311.00,0.405
312.00,0.398
313.00,0.392
314.00,0.386
315.00,0.380
316.00,0.374
317.00,0.368
318.00,0.363
319.00,0.357
320.00,0.351
321.00,0.345
322.00,0.339
323.00,0.334
324.00,0.328
325.00,0.323
326.00,0.317
327.00,0.311
328.00,0.306
329.00,0.300
330.00,0.294
331.00,0.289
332.00,0.284
333.00,0.278
334.00,0.273
335.00,0.268
336.00,0.263
337.00,0.258
338.00,0.253
339.00,0.249
340.00,0.244
341.00,0.238
342.00,0.233
343.00,0.229
344.00,0.224
345.00,0.220
346.00,0.216
347.00,0.212
348.00,0.208
349.00,0.203
350.00,0.200
351.00,0.196
352.00,0.192
353.00,0.189
354.00,0.185
355.00,0.182
356.00,0.179
357.00,0.175
358.00,0.172
359.00,0.169
360.00,0.166
361.00,0.163
362.00,0.161
363.00,0.158
364.00,0.155
365.00,0.153
366.00,0.151
367.00,0.148
368.00,0.146
369.00,0.144
370.00,0.142
371.00,0.140
372.00,0.138
373.00,0.136
374.00,0.134
375.00,0.132
376.00,0.130
377.00,0.128
378.00,0.126
379.00,0.124
380.00,0.123
381.00,0.121
382.00,0.119
383.00,0.118
384.00,0.116
385.00,0.115
386.00,0.114
387.00,0.112
388.00,0.111
389.00,0.110
390.00,0.108
391.00,0.107
392.00,0.106
393.00,0.105
394.00,0.104
395.00,0.103
396.00,0.102
397.00,0.101
398.00,0.100
399.00,0.099
400.00,0.098
401.00,0.097
402.00,0.096
403.00,0.095
404.00,0.094
405.00,0.093
406.00,0.093
407.00,0.092
408.00,0.091
409.00,0.090
410.00,0.089
411.00,0.089
412.00,0.088
413.00,0.087
414.00,0.087
415.00,0.086
416.00,0.085
417.00,0.085
418.00,0.084
419.00,0.083
420.00,0.083
421.00,0.082
422.00,0.082
423.00,0.081
424.00,0.081
425.00,0.080
426.00,0.079
427.00,0.079
428.00,0.078
429.00,0.078
430.00,0.077
431.00,0.077
432.00,0.076
433.00,0.076
434.00,0.075
435.00,0.074
436.00,0.074
437.00,0.074
438.00,0.073
439.00,0.073
440.00,0.072
441.00,0.072
442.00,0.071
443.00,0.071
444.00,0.071
445.00,0.070
446.00,0.070
447.00,0.069
448.00,0.069
449.00,0.069
450.00,0.068
451.00,0.068
452.00,0.067
453.00,0.067
454.00,0.067
455.00,0.066
456.00,0.066
457.00,0.066
458.00,0.065
459.00,0.065
460.00,0.064
461.00,0.064
462.00,0.064
463.00,0.063
464.00,0.063
465.00,0.063
466.00,0.062
467.00,0.062
468.00,0.062
469.00,0.061
470.00,0.061
471.00,0.061
472.00,0.060
473.00,0.060
474.00,0.060
475.00,0.059
476.00,0.059
477.00,0.059
478.00,0.059
479.00,0.058
480.00,0.058
481.00,0.058
482.00,0.057
483.00,0.057
484.00,0.057
485.00,0.057
486.00,0.056
487.00,0.056
488.00,0.056
489.00,0.056
490.00,0.055
491.00,0.055
492.00,0.055
493.00,0.055
494.00,0.054
495.00,0.054
496.00,0.054
497.00,0.054
498.00,0.053
499.00,0.053
500.00,0.053
501.00,0.053
502.00,0.052
503.00,0.052
504.00,0.052
505.00,0.052
506.00,0.052
507.00,0.052
508.00,0.051
