"NaufrageurBrigantin_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.644
191.00,3.553
192.00,3.613
193.00,3.287
194.00,3.622
195.00,3.752
196.00,3.843
197.00,3.712
198.00,3.739
199.00,3.874
200.00,3.898
201.00,3.850
202.00,3.872
203.00,3.869
204.00,3.885
205.00,3.863
206.00,3.925
207.00,3.879
208.00,3.825
209.00,3.814
210.00,3.815
211.00,3.835
212.00,3.875
213.00,3.985
214.00,3.946
215.00,3.927
216.00,3.850
217.00,3.772
218.00,3.596
219.00,3.664
220.00,3.494
221.00,3.384
222.00,3.261
223.00,3.131
224.00,3.002
225.00,2.853
226.00,2.712
227.00,2.587
228.00,2.444
229.00,2.308
230.00,2.185
231.00,2.074
232.00,1.971
233.00,1.877
234.00,1.794
235.00,1.722
236.00,1.661
237.00,1.607
238.00,1.560
239.00,1.522
240.00,1.488
241.00,1.460
242.00,1.440
243.00,1.423
244.00,1.411
245.00,1.401
246.00,1.395
247.00,1.390
248.00,1.387
249.00,1.386
250.00,1.388
251.00,1.390
252.00,1.394
253.00,1.398
254.00,1.404
255.00,1.410
256.00,1.417
257.00,1.423
258.00,1.428
259.00,1.432
260.00,1.435
261.00,1.440
262.00,1.442
263.00,1.446
264.00,1.449
265.00,1.448
266.00,1.447
267.00,1.444
268.00,1.440
269.00,1.434
270.00,1.425
271.00,1.414
272.00,1.405
273.00,1.393
274.00,1.379
275.00,1.363
276.00,1.347
277.00,1.328
278.00,1.307
279.00,1.287
280.00,1.265
281.00,1.242
282.00,1.220
283.00,1.194
284.00,1.170
285.00,1.143
286.00,1.120
287.00,1.098
288.00,1.075
289.00,1.053
290.00,1.027
291.00,1.004
292.00,0.981
293.00,0.962
294.00,0.945
295.00,0.930
296.00,0.917
297.00,0.905
298.00,0.893
299.00,0.882
300.00,0.871
301.00,0.861
302.00,0.851
303.00,0.841
304.00,0.832
305.00,0.823
306.00,0.814
307.00,0.804
308.00,0.794
309.00,0.784
310.00,0.775
311.00,0.765
312.00,0.755
313.00,0.747
314.00,0.737
315.00,0.728
316.00,0.718
317.00,0.709
318.00,0.699
319.00,0.689
320.00,0.678
