"NaufrageurColborne_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.111
191.00,3.528
192.00,3.656
193.00,3.562
194.00,3.419
195.00,3.548
196.00,3.909
197.00,3.752
198.00,3.697
199.00,3.770
200.00,3.805
201.00,3.810
202.00,3.634
203.00,3.721
204.00,3.898
205.00,3.777
206.00,3.886
207.00,3.832
208.00,3.795
209.00,3.811
210.00,3.783
211.00,3.576
212.00,3.460
213.00,3.328
214.00,3.232
215.00,3.100
216.00,2.945
217.00,2.821
218.00,2.699
219.00,2.563
220.00,2.455
221.00,2.341
222.00,2.240
223.00,2.134
224.00,2.034
225.00,1.936
226.00,1.839
227.00,1.743
228.00,1.652
229.00,1.568
230.00,1.489
231.00,1.418
232.00,1.353
233.00,1.295
234.00,1.244
235.00,1.201
236.00,1.163
237.00,1.132
238.00,1.106
239.00,1.084
240.00,1.066
241.00,1.053
242.00,1.042
243.00,1.035
244.00,1.030
245.00,1.027
246.00,1.026
247.00,1.025
248.00,1.026
249.00,1.028
250.00,1.030
251.00,1.033
252.00,1.036
253.00,1.040
254.00,1.043
255.00,1.047
256.00,1.050
257.00,1.052
258.00,1.053
259.00,1.053
260.00,1.053
261.00,1.052
262.00,1.052
263.00,1.051
264.00,1.049
265.00,1.047
266.00,1.044
267.00,1.040
268.00,1.037
269.00,1.031
270.00,1.024
271.00,1.016
272.00,1.006
273.00,0.995
274.00,0.984
275.00,0.972
276.00,0.959
277.00,0.946
278.00,0.931
279.00,0.916
280.00,0.900
281.00,0.884
282.00,0.866
283.00,0.847
284.00,0.828
285.00,0.808
286.00,0.788
287.00,0.769
288.00,0.750
289.00,0.730
290.00,0.710
291.00,0.690
292.00,0.672
293.00,0.656
294.00,0.642
295.00,0.629
296.00,0.618
297.00,0.608
298.00,0.598
299.00,0.588
300.00,0.580
301.00,0.572
302.00,0.564
303.00,0.556
304.00,0.549
305.00,0.542
306.00,0.535
307.00,0.528
308.00,0.521
309.00,0.514
310.00,0.507
311.00,0.500
312.00,0.493
313.00,0.487
314.00,0.481
315.00,0.475
316.00,0.469
317.00,0.463
318.00,0.456
319.00,0.450
320.00,0.444
321.00,0.437
322.00,0.431
323.00,0.424
324.00,0.418
325.00,0.411
326.00,0.404
327.00,0.397
328.00,0.390
329.00,0.384
330.00,0.377
331.00,0.370
332.00,0.363
333.00,0.356
334.00,0.349
335.00,0.343
336.00,0.336
337.00,0.330
338.00,0.323
339.00,0.317
340.00,0.311
341.00,0.303
342.00,0.297
343.00,0.291
344.00,0.285
345.00,0.279
346.00,0.274
347.00,0.269
348.00,0.263
349.00,0.258
350.00,0.252
351.00,0.247
352.00,0.242
353.00,0.238
354.00,0.233
355.00,0.229
356.00,0.225
357.00,0.221
358.00,0.216
359.00,0.212
360.00,0.208
361.00,0.205
362.00,0.201
363.00,0.198
364.00,0.195
365.00,0.191
366.00,0.188
367.00,0.185
368.00,0.182
369.00,0.180
370.00,0.177
371.00,0.174
372.00,0.171
373.00,0.169
374.00,0.167
375.00,0.164
376.00,0.162
377.00,0.159
378.00,0.157
379.00,0.155
380.00,0.153
381.00,0.150
382.00,0.148
383.00,0.146
384.00,0.145
385.00,0.142
386.00,0.141
387.00,0.139
388.00,0.137
389.00,0.135
390.00,0.134
391.00,0.132
392.00,0.130
393.00,0.129
394.00,0.127
395.00,0.126
396.00,0.124
397.00,0.123
398.00,0.121
399.00,0.120
400.00,0.119
401.00,0.117
402.00,0.116
403.00,0.115
404.00,0.114
405.00,0.113
406.00,0.112
407.00,0.111
408.00,0.109
409.00,0.108
410.00,0.107
411.00,0.106
412.00,0.105
413.00,0.105
414.00,0.104
415.00,0.103
416.00,0.102
417.00,0.101
418.00,0.100
419.00,0.099
420.00,0.098
421.00,0.098
422.00,0.097
423.00,0.096
424.00,0.095
425.00,0.095
426.00,0.094
427.00,0.093
428.00,0.092
429.00,0.092
430.00,0.091
431.00,0.090
432.00,0.090
433.00,0.089
434.00,0.089
435.00,0.088
436.00,0.087
437.00,0.087
438.00,0.086
439.00,0.086
440.00,0.085
441.00,0.084
442.00,0.084
443.00,0.083
444.00,0.083
445.00,0.082
446.00,0.082
447.00,0.081
448.00,0.081
449.00,0.080
450.00,0.080
451.00,0.079
452.00,0.079
453.00,0.078
454.00,0.078
455.00,0.078
456.00,0.077
457.00,0.077
458.00,0.076
459.00,0.076
460.00,0.075
461.00,0.075
462.00,0.074
463.00,0.074
464.00,0.074
465.00,0.073
466.00,0.073
467.00,0.073
468.00,0.072
469.00,0.072
470.00,0.071
471.00,0.071
472.00,0.071
473.00,0.070
474.00,0.070
475.00,0.069
476.00,0.069
477.00,0.069
478.00,0.068
479.00,0.068
480.00,0.068
481.00,0.067
482.00,0.067
483.00,0.067
484.00,0.066
485.00,0.066
486.00,0.066
487.00,0.065
488.00,0.065
489.00,0.065
490.00,0.064
491.00,0.064
492.00,0.064
493.00,0.063
494.00,0.063
495.00,0.063
496.00,0.063
497.00,0.062
498.00,0.062
499.00,0.062
500.00,0.062
501.00,0.061
502.00,0.061
503.00,0.061
504.00,0.061
505.00,0.060
506.00,0.060
507.00,0.060
508.00,0.059
509.00,0.059
510.00,0.059
511.00,0.059
512.00,0.059
513.00,0.058
514.00,0.058
515.00,0.058
516.00,0.058
517.00,0.058
518.00,0.057
519.00,0.057
520.00,0.057
521.00,0.057
522.00,0.056
523.00,0.056
524.00,0.056
525.00,0.056
526.00,0.056
527.00,0.055
528.00,0.055
529.00,0.055
530.00,0.055
531.00,0.055
532.00,0.054
533.00,0.054
534.00,0.054
535.00,0.054
536.00,0.054
537.00,0.054
538.00,0.053
539.00,0.053
540.00,0.053
541.00,0.053
542.00,0.053
543.00,0.053
544.00,0.053
545.00,0.052
546.00,0.052
547.00,0.052
548.00,0.052
549.00,0.052
550.00,0.052
551.00,0.051
552.00,0.051
553.00,0.051
554.00,0.051
555.00,0.051
556.00,0.051
557.00,0.051
558.00,0.051
559.00,0.050
560.00,0.050
561.00,0.050
562.00,0.050
563.00,0.050
564.00,0.050
565.00,0.050
566.00,0.050
567.00,0.049
568.00,0.049
569.00,0.049
570.00,0.049
571.00,0.049
572.00,0.049
573.00,0.049
574.00,0.049
575.00,0.049
576.00,0.048
577.00,0.048
578.00,0.048
579.00,0.048
580.00,0.048
581.00,0.048
582.00,0.048
583.00,0.048
584.00,0.048
585.00,0.048
586.00,0.048
587.00,0.048
588.00,0.048
589.00,0.047
590.00,0.047
591.00,0.047
592.00,0.047
593.00,0.047
594.00,0.047
595.00,0.047
596.00,0.047
597.00,0.047
598.00,0.047
599.00,0.047
600.00,0.047
601.00,0.047
602.00,0.047
603.00,0.047
604.00,0.047
605.00,0.047
606.00,0.046
607.00,0.046
608.00,0.046
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.046
615.00,0.046
616.00,0.046
617.00,0.046
618.00,0.046
619.00,0.046
620.00,0.046
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.045
