"NaufrageurLEtapeDuPhare_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.905
191.00,3.279
192.00,3.698
193.00,3.447
194.00,3.624
195.00,3.781
196.00,3.800
197.00,3.558
198.00,3.768
199.00,3.821
200.00,3.718
201.00,3.880
202.00,3.870
203.00,3.663
204.00,3.673
205.00,3.375
206.00,3.276
207.00,3.243
208.00,3.137
209.00,3.006
210.00,2.892
211.00,2.773
212.00,2.646
213.00,2.538
214.00,2.424
215.00,2.315
216.00,2.212
217.00,2.109
218.00,2.009
219.00,1.908
220.00,1.817
221.00,1.731
222.00,1.651
223.00,1.572
224.00,1.492
225.00,1.418
226.00,1.345
227.00,1.272
228.00,1.203
229.00,1.140
230.00,1.081
231.00,1.028
232.00,0.981
233.00,0.939
234.00,0.904
235.00,0.874
236.00,0.848
237.00,0.827
238.00,0.809
239.00,0.795
240.00,0.784
241.00,0.776
242.00,0.770
243.00,0.767
244.00,0.764
245.00,0.764
246.00,0.764
247.00,0.765
248.00,0.768
249.00,0.770
250.00,0.774
251.00,0.777
252.00,0.781
253.00,0.784
254.00,0.787
255.00,0.790
256.00,0.793
257.00,0.795
258.00,0.795
259.00,0.795
260.00,0.794
261.00,0.793
262.00,0.792
263.00,0.790
264.00,0.788
265.00,0.785
266.00,0.782
267.00,0.778
268.00,0.773
269.00,0.767
270.00,0.759
271.00,0.751
272.00,0.742
273.00,0.731
274.00,0.720
275.00,0.708
276.00,0.696
277.00,0.682
278.00,0.667
279.00,0.652
280.00,0.637
281.00,0.621
282.00,0.605
283.00,0.587
284.00,0.569
285.00,0.551
286.00,0.534
287.00,0.518
288.00,0.501
289.00,0.485
290.00,0.468
291.00,0.451
292.00,0.437
293.00,0.425
294.00,0.415
295.00,0.405
296.00,0.397
297.00,0.390
298.00,0.384
299.00,0.378
300.00,0.373
301.00,0.368
302.00,0.363
303.00,0.359
304.00,0.355
305.00,0.351
306.00,0.348
307.00,0.344
308.00,0.340
309.00,0.337
310.00,0.333
311.00,0.330
312.00,0.327
313.00,0.324
314.00,0.321
315.00,0.317
316.00,0.314
317.00,0.311
318.00,0.307
319.00,0.303
320.00,0.300
321.00,0.296
322.00,0.292
323.00,0.288
324.00,0.285
325.00,0.280
326.00,0.275
327.00,0.271
328.00,0.267
329.00,0.262
330.00,0.257
331.00,0.253
332.00,0.248
333.00,0.243
334.00,0.238
335.00,0.233
336.00,0.229
337.00,0.224
338.00,0.220
339.00,0.215
340.00,0.211
341.00,0.205
342.00,0.201
343.00,0.196
344.00,0.192
345.00,0.188
346.00,0.184
347.00,0.181
348.00,0.177
349.00,0.173
350.00,0.170
351.00,0.166
352.00,0.163
353.00,0.160
354.00,0.157
355.00,0.154
356.00,0.151
357.00,0.148
358.00,0.146
359.00,0.143
360.00,0.141
361.00,0.138
362.00,0.136
363.00,0.134
364.00,0.132
