"Nectareus100x - RawData"
"Wavelength nm.","Abs."
190.00,3.386
191.00,3.307
192.00,3.438
193.00,3.735
194.00,3.311
195.00,3.558
196.00,3.608
197.00,3.469
198.00,3.485
199.00,3.455
200.00,3.285
201.00,3.197
202.00,3.066
203.00,2.927
204.00,2.785
205.00,2.672
206.00,2.559
207.00,2.455
208.00,2.349
209.00,2.247
210.00,2.152
211.00,2.059
212.00,1.974
213.00,1.890
214.00,1.810
215.00,1.735
216.00,1.663
217.00,1.594
218.00,1.524
219.00,1.457
220.00,1.393
221.00,1.334
222.00,1.277
223.00,1.221
224.00,1.164
225.00,1.109
226.00,1.053
227.00,0.997
228.00,0.942
229.00,0.892
230.00,0.844
231.00,0.801
232.00,0.761
233.00,0.725
234.00,0.693
235.00,0.666
236.00,0.642
237.00,0.623
238.00,0.606
239.00,0.592
240.00,0.581
241.00,0.572
242.00,0.566
243.00,0.563
244.00,0.561
245.00,0.561
246.00,0.562
247.00,0.564
248.00,0.566
249.00,0.569
250.00,0.572
251.00,0.576
252.00,0.581
253.00,0.585
254.00,0.589
255.00,0.593
256.00,0.597
257.00,0.600
258.00,0.602
259.00,0.604
260.00,0.605
261.00,0.606
262.00,0.607
263.00,0.608
264.00,0.609
265.00,0.609
266.00,0.609
267.00,0.608
268.00,0.607
269.00,0.605
270.00,0.602
271.00,0.598
272.00,0.595
273.00,0.590
274.00,0.584
275.00,0.579
276.00,0.573
277.00,0.566
278.00,0.558
279.00,0.551
280.00,0.543
281.00,0.535
282.00,0.526
283.00,0.517
284.00,0.507
285.00,0.496
286.00,0.487
287.00,0.477
288.00,0.468
289.00,0.458
290.00,0.447
291.00,0.437
292.00,0.428
293.00,0.419
294.00,0.411
295.00,0.403
296.00,0.397
297.00,0.390
298.00,0.384
299.00,0.377
300.00,0.372
301.00,0.366
302.00,0.360
303.00,0.354
304.00,0.349
305.00,0.343
306.00,0.338
307.00,0.332
308.00,0.326
309.00,0.321
310.00,0.316
311.00,0.311
312.00,0.306
313.00,0.301
314.00,0.296
315.00,0.291
316.00,0.286
317.00,0.282
318.00,0.278
319.00,0.273
320.00,0.268
321.00,0.264
322.00,0.259
323.00,0.255
324.00,0.251
325.00,0.247
326.00,0.242
327.00,0.238
328.00,0.234
329.00,0.230
330.00,0.225
331.00,0.221
332.00,0.217
333.00,0.214
334.00,0.210
335.00,0.206
336.00,0.203
337.00,0.199
338.00,0.196
339.00,0.193
340.00,0.190
341.00,0.185
342.00,0.182
343.00,0.179
344.00,0.177
345.00,0.174
346.00,0.171
347.00,0.168
348.00,0.165
349.00,0.162
350.00,0.160
351.00,0.157
352.00,0.155
353.00,0.153
354.00,0.150
355.00,0.148
356.00,0.146
357.00,0.144
358.00,0.141
359.00,0.139
360.00,0.137
361.00,0.135
362.00,0.134
363.00,0.132
364.00,0.130
365.00,0.128
366.00,0.127
367.00,0.125
368.00,0.123
369.00,0.122
370.00,0.120
371.00,0.119
372.00,0.117
373.00,0.116
374.00,0.115
375.00,0.113
376.00,0.112
377.00,0.110
378.00,0.109
379.00,0.108
380.00,0.107
381.00,0.105
382.00,0.104
383.00,0.103
384.00,0.102
385.00,0.101
386.00,0.100
387.00,0.099
388.00,0.098
389.00,0.097
390.00,0.095
391.00,0.095
392.00,0.094
393.00,0.093
394.00,0.092
395.00,0.091
396.00,0.090
397.00,0.089
398.00,0.089
399.00,0.088
400.00,0.087
401.00,0.086
402.00,0.085
403.00,0.085
404.00,0.084
405.00,0.083
406.00,0.083
407.00,0.082
408.00,0.081
409.00,0.081
410.00,0.080
411.00,0.079
412.00,0.079
413.00,0.078
414.00,0.078
415.00,0.077
416.00,0.076
417.00,0.076
418.00,0.076
419.00,0.075
420.00,0.074
421.00,0.074
422.00,0.073
423.00,0.073
424.00,0.072
425.00,0.072
426.00,0.071
427.00,0.071
428.00,0.071
429.00,0.070
430.00,0.070
431.00,0.069
432.00,0.069
433.00,0.068
434.00,0.068
435.00,0.067
436.00,0.067
437.00,0.067
438.00,0.066
439.00,0.066
440.00,0.066
441.00,0.065
442.00,0.065
443.00,0.064
444.00,0.064
445.00,0.064
446.00,0.063
447.00,0.063
448.00,0.063
449.00,0.062
450.00,0.062
451.00,0.062
452.00,0.061
453.00,0.061
454.00,0.061
455.00,0.061
456.00,0.060
457.00,0.060
458.00,0.060
459.00,0.059
460.00,0.059
461.00,0.059
462.00,0.059
463.00,0.058
464.00,0.058
465.00,0.058
466.00,0.057
467.00,0.057
468.00,0.057
469.00,0.057
470.00,0.056
471.00,0.056
472.00,0.056
473.00,0.056
474.00,0.055
475.00,0.055
476.00,0.055
477.00,0.055
478.00,0.054
479.00,0.054
480.00,0.054
481.00,0.054
482.00,0.053
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.052
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.051
492.00,0.051
493.00,0.051
494.00,0.051
495.00,0.051
496.00,0.050
497.00,0.050
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.050
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.048
509.00,0.048
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.047
516.00,0.047
517.00,0.047
518.00,0.047
519.00,0.047
520.00,0.047
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.046
525.00,0.046
526.00,0.046
527.00,0.046
528.00,0.046
529.00,0.045
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.045
535.00,0.045
536.00,0.045
537.00,0.045
538.00,0.044
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
543.00,0.044
544.00,0.044
545.00,0.044
546.00,0.044
547.00,0.044
548.00,0.043
549.00,0.043
550.00,0.043
551.00,0.043
552.00,0.043
553.00,0.043
554.00,0.043
555.00,0.043
556.00,0.043
557.00,0.043
558.00,0.043
559.00,0.043
560.00,0.043
561.00,0.042
562.00,0.042
563.00,0.042
564.00,0.042
565.00,0.042
566.00,0.042
567.00,0.042
568.00,0.042
569.00,0.042
570.00,0.042
571.00,0.042
572.00,0.042
573.00,0.042
574.00,0.042
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.041
579.00,0.041
580.00,0.041
581.00,0.041
582.00,0.041
583.00,0.041
584.00,0.041
585.00,0.041
586.00,0.041
587.00,0.041
588.00,0.041
589.00,0.041
590.00,0.041
591.00,0.041
592.00,0.041
593.00,0.041
594.00,0.041
595.00,0.041
596.00,0.041
597.00,0.041
598.00,0.041
599.00,0.041
600.00,0.041
601.00,0.041
602.00,0.041
603.00,0.041
604.00,0.041
605.00,0.041
606.00,0.041
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.040
623.00,0.040
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.040
628.00,0.040
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.039
674.00,0.039
675.00,0.039
676.00,0.039
677.00,0.039
678.00,0.039
679.00,0.039
680.00,0.039
681.00,0.039
682.00,0.039
683.00,0.039
684.00,0.039
685.00,0.039
686.00,0.039
687.00,0.039
688.00,0.039
689.00,0.039
690.00,0.039
691.00,0.039
692.00,0.039
693.00,0.039
694.00,0.039
695.00,0.039
696.00,0.039
697.00,0.039
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.040
711.00,0.040
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.041
718.00,0.041
719.00,0.041
720.00,0.041
721.00,0.042
722.00,0.042
723.00,0.042
724.00,0.042
725.00,0.042
726.00,0.043
727.00,0.043
728.00,0.043
729.00,0.044
730.00,0.044
731.00,0.045
732.00,0.045
733.00,0.046
734.00,0.046
735.00,0.046
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.047
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.048
761.00,0.048
762.00,0.047
763.00,0.048
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.047
775.00,0.047
776.00,0.047
777.00,0.047
778.00,0.047
779.00,0.046
780.00,0.047
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.046
787.00,0.046
788.00,0.046
789.00,0.046
790.00,0.046
791.00,0.046
792.00,0.045
793.00,0.045
794.00,0.045
795.00,0.045
796.00,0.045
797.00,0.045
798.00,0.045
799.00,0.045
800.00,0.045
801.00,0.045
802.00,0.045
803.00,0.045
804.00,0.044
805.00,0.044
806.00,0.044
807.00,0.044
808.00,0.044
809.00,0.044
810.00,0.044
811.00,0.044
812.00,0.044
813.00,0.044
814.00,0.045
815.00,0.045
816.00,0.045
817.00,0.045
818.00,0.045
819.00,0.045
820.00,0.045
821.00,0.045
822.00,0.046
823.00,0.046
824.00,0.046
825.00,0.047
826.00,0.047
827.00,0.047
828.00,0.048
829.00,0.048
830.00,0.049
831.00,0.050
832.00,0.050
833.00,0.050
834.00,0.051
835.00,0.051
836.00,0.051
837.00,0.051
838.00,0.052
839.00,0.052
840.00,0.052
841.00,0.052
842.00,0.052
843.00,0.052
844.00,0.052
845.00,0.052
846.00,0.053
847.00,0.053
848.00,0.053
849.00,0.053
850.00,0.053
851.00,0.053
852.00,0.053
853.00,0.054
854.00,0.054
855.00,0.054
856.00,0.054
857.00,0.054
858.00,0.054
859.00,0.054
860.00,0.054
861.00,0.054
862.00,0.054
863.00,0.055
864.00,0.055
865.00,0.055
866.00,0.055
867.00,0.055
868.00,0.055
869.00,0.055
870.00,0.056
871.00,0.056
872.00,0.056
873.00,0.056
874.00,0.056
875.00,0.056
876.00,0.057
877.00,0.057
878.00,0.057
879.00,0.057
880.00,0.058
881.00,0.058
882.00,0.058
883.00,0.058
884.00,0.059
885.00,0.059
886.00,0.059
887.00,0.059
888.00,0.060
889.00,0.060
890.00,0.060
891.00,0.060
892.00,0.061
893.00,0.061
894.00,0.061
895.00,0.061
896.00,0.061
897.00,0.062
898.00,0.062
899.00,0.062
900.00,0.062
