"NouvelleFranceAmbreeDeSarrasin50x - RawData"
"Wavelength nm.","Abs."
190.00,3.544
191.00,3.103
192.00,3.268
193.00,3.185
194.00,3.391
195.00,3.558
196.00,3.394
197.00,3.455
198.00,3.362
199.00,3.338
200.00,3.410
201.00,3.437
202.00,3.433
203.00,3.452
204.00,3.288
205.00,3.175
206.00,3.048
207.00,2.959
208.00,2.814
209.00,2.698
210.00,2.584
211.00,2.453
212.00,2.356
213.00,2.249
214.00,2.151
215.00,2.055
216.00,1.958
217.00,1.870
218.00,1.781
219.00,1.696
220.00,1.613
221.00,1.539
222.00,1.468
223.00,1.398
224.00,1.328
225.00,1.261
226.00,1.196
227.00,1.131
228.00,1.068
229.00,1.011
230.00,0.958
231.00,0.910
232.00,0.866
233.00,0.827
234.00,0.794
235.00,0.766
236.00,0.742
237.00,0.722
238.00,0.706
239.00,0.693
240.00,0.683
241.00,0.676
242.00,0.671
243.00,0.668
244.00,0.666
245.00,0.666
246.00,0.666
247.00,0.668
248.00,0.670
249.00,0.672
250.00,0.675
251.00,0.679
252.00,0.682
253.00,0.686
254.00,0.690
255.00,0.693
256.00,0.696
257.00,0.698
258.00,0.700
259.00,0.701
260.00,0.701
261.00,0.701
262.00,0.701
263.00,0.701
264.00,0.701
265.00,0.700
266.00,0.699
267.00,0.699
268.00,0.697
269.00,0.694
270.00,0.690
271.00,0.684
272.00,0.678
273.00,0.671
274.00,0.663
275.00,0.653
276.00,0.644
277.00,0.633
278.00,0.622
279.00,0.610
280.00,0.597
281.00,0.584
282.00,0.570
283.00,0.555
284.00,0.539
285.00,0.523
286.00,0.507
287.00,0.492
288.00,0.476
289.00,0.459
290.00,0.442
291.00,0.426
292.00,0.411
293.00,0.398
294.00,0.387
295.00,0.376
296.00,0.367
297.00,0.359
298.00,0.351
299.00,0.344
300.00,0.337
301.00,0.331
302.00,0.325
303.00,0.320
304.00,0.315
305.00,0.310
306.00,0.306
307.00,0.301
308.00,0.297
309.00,0.294
310.00,0.290
311.00,0.286
312.00,0.283
313.00,0.280
314.00,0.276
315.00,0.273
316.00,0.270
317.00,0.267
318.00,0.263
319.00,0.260
320.00,0.257
321.00,0.253
322.00,0.250
323.00,0.246
324.00,0.243
325.00,0.240
326.00,0.236
327.00,0.232
328.00,0.229
329.00,0.225
330.00,0.221
331.00,0.217
332.00,0.213
333.00,0.209
334.00,0.205
335.00,0.201
336.00,0.198
337.00,0.194
338.00,0.191
339.00,0.187
340.00,0.184
341.00,0.179
342.00,0.175
343.00,0.172
344.00,0.168
345.00,0.165
346.00,0.162
347.00,0.159
348.00,0.155
349.00,0.152
350.00,0.149
351.00,0.146
352.00,0.143
353.00,0.141
