"PhilipsAnalogue78_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.455
191.00,3.202
192.00,3.174
193.00,3.583
194.00,3.374
195.00,3.268
196.00,3.619
197.00,3.661
198.00,3.557
199.00,3.460
200.00,3.521
201.00,3.329
202.00,3.437
203.00,3.430
204.00,3.533
205.00,3.336
206.00,3.237
207.00,3.283
208.00,3.089
209.00,3.027
210.00,2.851
211.00,2.734
212.00,2.624
213.00,2.511
214.00,2.395
215.00,2.295
216.00,2.191
217.00,2.095
218.00,1.993
219.00,1.897
220.00,1.800
221.00,1.714
222.00,1.631
223.00,1.551
224.00,1.467
225.00,1.388
226.00,1.308
227.00,1.225
228.00,1.145
229.00,1.073
230.00,1.006
231.00,0.946
232.00,0.893
233.00,0.846
234.00,0.805
235.00,0.770
236.00,0.739
237.00,0.714
238.00,0.693
239.00,0.675
240.00,0.661
241.00,0.650
242.00,0.641
243.00,0.635
244.00,0.631
245.00,0.628
246.00,0.626
247.00,0.626
248.00,0.626
249.00,0.627
250.00,0.629
251.00,0.631
252.00,0.634
253.00,0.637
254.00,0.640
255.00,0.644
256.00,0.647
257.00,0.650
258.00,0.652
259.00,0.653
260.00,0.653
261.00,0.654
262.00,0.656
263.00,0.657
264.00,0.658
265.00,0.659
266.00,0.659
267.00,0.658
268.00,0.657
269.00,0.654
270.00,0.651
271.00,0.646
272.00,0.641
273.00,0.634
274.00,0.626
275.00,0.617
276.00,0.607
277.00,0.595
278.00,0.583
279.00,0.569
280.00,0.555
281.00,0.541
282.00,0.526
283.00,0.508
284.00,0.491
285.00,0.472
286.00,0.456
287.00,0.439
288.00,0.421
289.00,0.404
290.00,0.385
291.00,0.367
292.00,0.351
293.00,0.338
294.00,0.327
295.00,0.317
296.00,0.308
297.00,0.301
298.00,0.295
299.00,0.289
300.00,0.284
301.00,0.280
302.00,0.276
303.00,0.273
304.00,0.270
305.00,0.267
306.00,0.265
307.00,0.262
308.00,0.260
309.00,0.258
310.00,0.257
311.00,0.255
312.00,0.254
313.00,0.252
314.00,0.251
315.00,0.249
316.00,0.248
317.00,0.246
318.00,0.244
319.00,0.242
320.00,0.241
321.00,0.238
322.00,0.236
323.00,0.233
324.00,0.231
325.00,0.228
326.00,0.225
327.00,0.222
328.00,0.218
329.00,0.215
330.00,0.211
331.00,0.208
332.00,0.204
333.00,0.200
334.00,0.196
335.00,0.192
336.00,0.188
337.00,0.184
338.00,0.180
339.00,0.176
340.00,0.172
341.00,0.166
342.00,0.163
343.00,0.159
344.00,0.155
345.00,0.151
346.00,0.148
347.00,0.145
348.00,0.141
349.00,0.137
350.00,0.134
351.00,0.131
352.00,0.128
353.00,0.125
354.00,0.122
355.00,0.120
356.00,0.117
357.00,0.114
358.00,0.112
359.00,0.110
360.00,0.108
361.00,0.106
362.00,0.104
363.00,0.102
364.00,0.100
365.00,0.099
366.00,0.097
367.00,0.096
368.00,0.094
369.00,0.093
370.00,0.091
371.00,0.090
372.00,0.089
373.00,0.087
374.00,0.086
375.00,0.085
376.00,0.084
377.00,0.083
378.00,0.082
379.00,0.081
380.00,0.080
381.00,0.079
382.00,0.078
383.00,0.077
384.00,0.076
385.00,0.075
386.00,0.075
387.00,0.074
388.00,0.073
389.00,0.073
390.00,0.072
391.00,0.071
392.00,0.071
393.00,0.070
394.00,0.070
395.00,0.069
396.00,0.069
397.00,0.068
398.00,0.068
399.00,0.068
400.00,0.067
401.00,0.067
402.00,0.066
403.00,0.066
404.00,0.065
405.00,0.065
406.00,0.065
407.00,0.064
408.00,0.064
409.00,0.064
410.00,0.063
411.00,0.063
412.00,0.063
413.00,0.063
414.00,0.062
415.00,0.062
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.061
420.00,0.061
421.00,0.061
422.00,0.061
423.00,0.061
424.00,0.060
425.00,0.060
426.00,0.060
427.00,0.060
428.00,0.059
429.00,0.059
430.00,0.059
431.00,0.059
432.00,0.059
433.00,0.059
434.00,0.058
435.00,0.058
436.00,0.058
437.00,0.058
438.00,0.058
439.00,0.058
440.00,0.058
441.00,0.057
442.00,0.057
443.00,0.057
444.00,0.057
445.00,0.057
446.00,0.057
447.00,0.057
448.00,0.057
449.00,0.056
450.00,0.056
451.00,0.056
452.00,0.056
453.00,0.056
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.055
459.00,0.055
460.00,0.055
461.00,0.055
462.00,0.055
463.00,0.055
464.00,0.055
465.00,0.055
466.00,0.055
467.00,0.054
468.00,0.054
469.00,0.054
470.00,0.054
471.00,0.054
472.00,0.054
473.00,0.054
474.00,0.054
475.00,0.054
476.00,0.054
477.00,0.054
478.00,0.054
479.00,0.053
480.00,0.053
481.00,0.053
482.00,0.053
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.053
487.00,0.053
488.00,0.053
489.00,0.053
490.00,0.053
491.00,0.052
492.00,0.052
493.00,0.052
494.00,0.052
495.00,0.052
496.00,0.052
497.00,0.052
498.00,0.052
499.00,0.052
500.00,0.052
501.00,0.052
502.00,0.052
503.00,0.052
504.00,0.051
505.00,0.051
506.00,0.051
507.00,0.051
508.00,0.051
509.00,0.051
510.00,0.051
511.00,0.051
512.00,0.051
513.00,0.051
514.00,0.051
515.00,0.051
516.00,0.051
517.00,0.051
518.00,0.051
519.00,0.051
520.00,0.050
521.00,0.050
522.00,0.050
523.00,0.050
524.00,0.050
525.00,0.050
526.00,0.050
527.00,0.050
528.00,0.050
529.00,0.050
530.00,0.050
531.00,0.050
532.00,0.050
533.00,0.050
534.00,0.050
535.00,0.050
536.00,0.050
537.00,0.049
538.00,0.049
539.00,0.049
540.00,0.049
541.00,0.049
542.00,0.049
543.00,0.049
544.00,0.049
545.00,0.049
546.00,0.049
547.00,0.049
548.00,0.049
549.00,0.049
550.00,0.049
551.00,0.049
552.00,0.048
553.00,0.048
554.00,0.048
555.00,0.048
556.00,0.048
557.00,0.048
558.00,0.048
559.00,0.048
560.00,0.048
561.00,0.048
562.00,0.048
563.00,0.048
564.00,0.048
565.00,0.048
566.00,0.048
567.00,0.048
568.00,0.048
569.00,0.048
570.00,0.048
571.00,0.048
572.00,0.048
573.00,0.048
574.00,0.048
575.00,0.048
576.00,0.047
577.00,0.047
578.00,0.047
579.00,0.047
580.00,0.047
581.00,0.047
582.00,0.047
583.00,0.047
584.00,0.047
585.00,0.047
586.00,0.047
587.00,0.047
588.00,0.047
589.00,0.047
590.00,0.047
591.00,0.047
592.00,0.047
593.00,0.047
594.00,0.047
595.00,0.047
596.00,0.047
597.00,0.047
598.00,0.047
599.00,0.047
600.00,0.047
601.00,0.047
602.00,0.047
603.00,0.047
604.00,0.047
605.00,0.047
606.00,0.047
607.00,0.047
608.00,0.047
609.00,0.047
610.00,0.047
611.00,0.047
612.00,0.047
613.00,0.047
614.00,0.047
615.00,0.047
616.00,0.046
617.00,0.046
618.00,0.046
619.00,0.046
620.00,0.046
621.00,0.046
622.00,0.046
623.00,0.046
624.00,0.046
625.00,0.046
626.00,0.046
627.00,0.046
628.00,0.046
629.00,0.046
630.00,0.046
631.00,0.046
632.00,0.046
633.00,0.046
634.00,0.046
635.00,0.046
636.00,0.046
637.00,0.046
638.00,0.046
639.00,0.046
640.00,0.046
641.00,0.046
642.00,0.046
643.00,0.046
644.00,0.046
645.00,0.046
646.00,0.046
647.00,0.046
648.00,0.046
649.00,0.046
650.00,0.046
651.00,0.046
652.00,0.046
653.00,0.046
654.00,0.046
655.00,0.046
656.00,0.046
657.00,0.046
658.00,0.046
659.00,0.046
660.00,0.046
661.00,0.046
662.00,0.046
663.00,0.046
664.00,0.046
665.00,0.046
666.00,0.046
667.00,0.046
668.00,0.045
669.00,0.046
670.00,0.045
671.00,0.045
672.00,0.045
673.00,0.045
