"PhilipsHopCircle - RawData"
"Wavelength nm.","Abs."
190.00,2.610
191.00,3.184
192.00,2.984
193.00,3.003
194.00,3.173
195.00,3.138
196.00,3.321
197.00,3.235
198.00,3.199
199.00,3.425
200.00,3.473
201.00,3.394
202.00,3.429
203.00,3.548
204.00,3.330
205.00,3.388
206.00,3.428
207.00,3.297
208.00,3.336
209.00,3.297
210.00,3.218
211.00,3.225
212.00,3.100
213.00,2.959
214.00,2.852
215.00,2.756
216.00,2.645
217.00,2.536
218.00,2.425
219.00,2.320
220.00,2.208
221.00,2.109
222.00,2.012
223.00,1.915
224.00,1.815
225.00,1.719
226.00,1.623
227.00,1.529
228.00,1.439
229.00,1.359
230.00,1.283
231.00,1.215
232.00,1.156
233.00,1.103
234.00,1.057
235.00,1.018
236.00,0.985
237.00,0.956
238.00,0.933
239.00,0.913
240.00,0.897
241.00,0.884
242.00,0.876
243.00,0.869
244.00,0.865
245.00,0.863
246.00,0.862
247.00,0.863
248.00,0.864
249.00,0.867
250.00,0.871
251.00,0.875
252.00,0.880
253.00,0.885
254.00,0.889
255.00,0.894
256.00,0.899
257.00,0.902
258.00,0.904
259.00,0.906
260.00,0.906
261.00,0.907
262.00,0.907
263.00,0.907
264.00,0.907
265.00,0.905
266.00,0.903
267.00,0.901
268.00,0.898
269.00,0.893
270.00,0.887
271.00,0.879
272.00,0.870
273.00,0.860
274.00,0.848
275.00,0.836
276.00,0.823
277.00,0.809
278.00,0.794
279.00,0.778
280.00,0.762
281.00,0.744
282.00,0.726
283.00,0.706
284.00,0.686
285.00,0.665
286.00,0.645
287.00,0.626
288.00,0.605
289.00,0.585
290.00,0.563
291.00,0.542
292.00,0.523
293.00,0.507
294.00,0.493
295.00,0.481
296.00,0.470
297.00,0.460
298.00,0.451
299.00,0.443
300.00,0.435
301.00,0.429
302.00,0.422
303.00,0.417
304.00,0.411
305.00,0.406
306.00,0.401
307.00,0.396
308.00,0.391
309.00,0.387
310.00,0.382
311.00,0.378
312.00,0.374
313.00,0.370
314.00,0.366
315.00,0.362
316.00,0.358
317.00,0.355
318.00,0.350
319.00,0.346
320.00,0.342
321.00,0.337
322.00,0.333
323.00,0.328
324.00,0.324
325.00,0.319
326.00,0.313
327.00,0.309
328.00,0.304
329.00,0.298
330.00,0.292
331.00,0.287
332.00,0.282
333.00,0.276
334.00,0.270
335.00,0.265
336.00,0.260
337.00,0.254
338.00,0.249
339.00,0.243
340.00,0.238
341.00,0.231
342.00,0.226
343.00,0.221
344.00,0.216
345.00,0.211
346.00,0.206
347.00,0.202
348.00,0.197
349.00,0.192
350.00,0.188
351.00,0.183
352.00,0.179
353.00,0.176
354.00,0.172
355.00,0.168
356.00,0.164
357.00,0.161
358.00,0.157
359.00,0.154
360.00,0.151
361.00,0.148
362.00,0.145
363.00,0.143
364.00,0.140
365.00,0.138
366.00,0.135
367.00,0.133
368.00,0.131
369.00,0.128
370.00,0.126
371.00,0.124
372.00,0.122
373.00,0.120
374.00,0.118
375.00,0.116
376.00,0.114
377.00,0.113
378.00,0.111
379.00,0.109
380.00,0.107
381.00,0.105
382.00,0.104
383.00,0.103
384.00,0.101
385.00,0.099
386.00,0.098
387.00,0.097
388.00,0.095
389.00,0.094
390.00,0.093
391.00,0.092
392.00,0.090
393.00,0.089
394.00,0.088
395.00,0.087
396.00,0.086
397.00,0.085
398.00,0.084
399.00,0.083
400.00,0.082
401.00,0.081
402.00,0.080
403.00,0.080
404.00,0.079
405.00,0.078
406.00,0.077
407.00,0.077
408.00,0.076
409.00,0.075
410.00,0.075
411.00,0.074
412.00,0.074
413.00,0.073
414.00,0.072
415.00,0.072
416.00,0.071
417.00,0.071
418.00,0.071
419.00,0.071
420.00,0.070
421.00,0.070
422.00,0.069
423.00,0.069
424.00,0.068
425.00,0.068
426.00,0.068
427.00,0.067
428.00,0.067
429.00,0.067
430.00,0.066
431.00,0.066
432.00,0.066
433.00,0.065
434.00,0.065
435.00,0.065
436.00,0.064
437.00,0.064
438.00,0.064
439.00,0.063
440.00,0.063
441.00,0.063
442.00,0.063
443.00,0.062
444.00,0.062
445.00,0.062
446.00,0.062
447.00,0.062
448.00,0.061
449.00,0.061
450.00,0.061
451.00,0.061
452.00,0.060
453.00,0.060
454.00,0.060
455.00,0.060
456.00,0.060
457.00,0.060
458.00,0.059
459.00,0.059
460.00,0.059
461.00,0.059
462.00,0.059
463.00,0.058
464.00,0.058
465.00,0.058
466.00,0.058
467.00,0.058
468.00,0.057
469.00,0.057
470.00,0.057
471.00,0.057
472.00,0.057
473.00,0.057
474.00,0.057
475.00,0.056
476.00,0.056
477.00,0.056
478.00,0.056
479.00,0.056
480.00,0.056
481.00,0.055
482.00,0.055
483.00,0.055
484.00,0.055
485.00,0.055
486.00,0.055
487.00,0.054
488.00,0.054
489.00,0.054
490.00,0.054
491.00,0.054
492.00,0.054
493.00,0.054
494.00,0.054
495.00,0.053
496.00,0.053
497.00,0.053
498.00,0.053
499.00,0.053
500.00,0.053
501.00,0.053
502.00,0.053
503.00,0.053
504.00,0.052
505.00,0.052
506.00,0.052
507.00,0.052
508.00,0.052
509.00,0.052
510.00,0.052
511.00,0.052
512.00,0.051
513.00,0.051
514.00,0.051
515.00,0.051
516.00,0.051
517.00,0.051
518.00,0.051
519.00,0.051
520.00,0.051
521.00,0.051
522.00,0.051
523.00,0.051
524.00,0.050
525.00,0.050
526.00,0.050
527.00,0.050
528.00,0.050
529.00,0.050
530.00,0.050
531.00,0.050
532.00,0.050
533.00,0.050
534.00,0.050
535.00,0.049
536.00,0.050
537.00,0.049
538.00,0.049
539.00,0.049
540.00,0.049
541.00,0.049
542.00,0.049
543.00,0.049
544.00,0.049
545.00,0.049
546.00,0.049
547.00,0.048
548.00,0.048
549.00,0.048
550.00,0.048
551.00,0.048
552.00,0.048
553.00,0.048
554.00,0.048
555.00,0.048
556.00,0.048
557.00,0.048
558.00,0.048
559.00,0.048
560.00,0.048
561.00,0.048
562.00,0.048
563.00,0.047
564.00,0.047
565.00,0.047
566.00,0.047
567.00,0.047
568.00,0.047
569.00,0.047
570.00,0.047
571.00,0.047
572.00,0.047
573.00,0.047
574.00,0.047
575.00,0.047
576.00,0.047
577.00,0.047
578.00,0.047
579.00,0.047
580.00,0.047
581.00,0.047
582.00,0.047
583.00,0.047
584.00,0.046
585.00,0.046
586.00,0.046
587.00,0.046
588.00,0.046
589.00,0.046
590.00,0.046
591.00,0.046
592.00,0.046
593.00,0.046
594.00,0.046
595.00,0.046
596.00,0.046
597.00,0.046
598.00,0.046
599.00,0.046
600.00,0.046
601.00,0.046
602.00,0.046
603.00,0.046
604.00,0.046
605.00,0.046
606.00,0.046
