"PhilipsHopCircle2 - RawData"
"Wavelength nm.","Abs."
190.00,2.986
191.00,2.994
192.00,2.932
193.00,3.276
194.00,3.188
195.00,3.311
196.00,3.212
197.00,3.319
198.00,3.311
199.00,3.416
200.00,3.456
201.00,3.541
202.00,3.600
203.00,3.546
204.00,3.396
205.00,3.583
206.00,3.660
207.00,3.633
208.00,3.557
209.00,3.424
210.00,3.633
211.00,3.398
212.00,3.350
213.00,3.203
214.00,3.164
215.00,3.016
216.00,2.912
217.00,2.798
218.00,2.680
219.00,2.551
220.00,2.428
221.00,2.323
222.00,2.211
223.00,2.109
224.00,2.001
225.00,1.901
226.00,1.800
227.00,1.699
228.00,1.603
229.00,1.518
230.00,1.438
231.00,1.364
232.00,1.299
233.00,1.240
234.00,1.191
235.00,1.148
236.00,1.112
237.00,1.081
238.00,1.057
239.00,1.036
240.00,1.019
241.00,1.007
242.00,0.998
243.00,0.992
244.00,0.989
245.00,0.988
246.00,0.989
247.00,0.991
248.00,0.994
249.00,0.998
250.00,1.004
251.00,1.009
252.00,1.016
253.00,1.022
254.00,1.028
255.00,1.034
256.00,1.040
257.00,1.044
258.00,1.046
259.00,1.046
260.00,1.046
261.00,1.045
262.00,1.045
263.00,1.044
264.00,1.044
265.00,1.041
266.00,1.039
267.00,1.036
268.00,1.029
269.00,1.022
270.00,1.014
271.00,1.004
272.00,0.993
273.00,0.982
274.00,0.969
275.00,0.954
276.00,0.939
277.00,0.922
278.00,0.902
279.00,0.883
280.00,0.863
281.00,0.843
282.00,0.822
283.00,0.799
284.00,0.775
285.00,0.750
286.00,0.727
287.00,0.704
288.00,0.680
289.00,0.656
290.00,0.630
291.00,0.606
292.00,0.585
293.00,0.567
294.00,0.551
295.00,0.537
296.00,0.525
297.00,0.514
298.00,0.504
299.00,0.494
300.00,0.486
301.00,0.478
302.00,0.472
303.00,0.466
304.00,0.459
305.00,0.454
306.00,0.449
307.00,0.443
308.00,0.438
309.00,0.433
310.00,0.428
311.00,0.423
312.00,0.419
313.00,0.415
314.00,0.410
315.00,0.406
316.00,0.402
317.00,0.397
318.00,0.392
319.00,0.387
320.00,0.382
321.00,0.377
322.00,0.371
323.00,0.366
324.00,0.360
325.00,0.355
326.00,0.348
327.00,0.342
328.00,0.336
329.00,0.329
330.00,0.322
331.00,0.316
332.00,0.309
333.00,0.302
334.00,0.295
335.00,0.288
336.00,0.282
337.00,0.275
338.00,0.269
339.00,0.262
340.00,0.256
341.00,0.248
342.00,0.241
343.00,0.235
344.00,0.229
345.00,0.224
346.00,0.218
347.00,0.213
348.00,0.207
349.00,0.202
350.00,0.197
351.00,0.192
352.00,0.187
353.00,0.183
354.00,0.179
355.00,0.175
356.00,0.171
357.00,0.167
358.00,0.163
359.00,0.159
360.00,0.156
361.00,0.153
362.00,0.150
363.00,0.147
364.00,0.144
365.00,0.141
366.00,0.139
367.00,0.136
368.00,0.134
369.00,0.131
370.00,0.129
371.00,0.127
372.00,0.125
373.00,0.123
374.00,0.120
375.00,0.118
376.00,0.116
377.00,0.115
378.00,0.113
379.00,0.111
380.00,0.109
381.00,0.107
382.00,0.105
383.00,0.104
384.00,0.102
385.00,0.101
386.00,0.099
387.00,0.098
388.00,0.097
389.00,0.095
390.00,0.094
391.00,0.093
392.00,0.091
393.00,0.090
394.00,0.089
395.00,0.088
396.00,0.087
397.00,0.086
398.00,0.085
399.00,0.084
400.00,0.083
401.00,0.082
402.00,0.081
403.00,0.080
404.00,0.079
405.00,0.079
406.00,0.078
407.00,0.077
408.00,0.076
409.00,0.075
410.00,0.075
411.00,0.074
412.00,0.074
413.00,0.073
414.00,0.072
415.00,0.072
416.00,0.071
417.00,0.071
418.00,0.071
419.00,0.070
420.00,0.070
421.00,0.069
422.00,0.069
423.00,0.069
424.00,0.068
425.00,0.068
426.00,0.067
427.00,0.067
428.00,0.066
429.00,0.066
430.00,0.066
431.00,0.065
432.00,0.065
433.00,0.065
434.00,0.064
435.00,0.064
436.00,0.064
437.00,0.064
438.00,0.063
439.00,0.063
440.00,0.063
441.00,0.062
442.00,0.062
443.00,0.062
444.00,0.062
445.00,0.061
446.00,0.061
447.00,0.061
448.00,0.061
449.00,0.060
450.00,0.060
451.00,0.060
452.00,0.060
453.00,0.059
454.00,0.059
455.00,0.059
456.00,0.059
457.00,0.059
458.00,0.058
459.00,0.058
460.00,0.058
461.00,0.058
462.00,0.058
463.00,0.057
464.00,0.057
465.00,0.057
466.00,0.057
467.00,0.057
468.00,0.056
469.00,0.056
470.00,0.056
471.00,0.056
472.00,0.056
473.00,0.056
474.00,0.055
475.00,0.055
476.00,0.055
477.00,0.055
478.00,0.055
479.00,0.055
480.00,0.054
481.00,0.054
482.00,0.054
483.00,0.054
484.00,0.054
485.00,0.054
486.00,0.053
487.00,0.053
488.00,0.053
489.00,0.053
490.00,0.053
491.00,0.053
492.00,0.053
493.00,0.052
494.00,0.052
495.00,0.052
496.00,0.052
497.00,0.052
498.00,0.052
499.00,0.052
500.00,0.052
501.00,0.051
502.00,0.051
503.00,0.051
504.00,0.051
505.00,0.051
506.00,0.051
507.00,0.051
508.00,0.051
509.00,0.050
510.00,0.050
511.00,0.050
512.00,0.050
513.00,0.050
514.00,0.050
515.00,0.050
516.00,0.050
517.00,0.050
518.00,0.050
519.00,0.049
520.00,0.049
521.00,0.049
522.00,0.049
523.00,0.049
524.00,0.049
525.00,0.049
526.00,0.049
527.00,0.049
528.00,0.049
529.00,0.049
530.00,0.048
531.00,0.048
532.00,0.048
533.00,0.048
534.00,0.048
535.00,0.048
536.00,0.048
537.00,0.048
538.00,0.048
539.00,0.048
540.00,0.047
541.00,0.047
542.00,0.047
543.00,0.047
544.00,0.047
545.00,0.047
546.00,0.047
547.00,0.047
548.00,0.047
549.00,0.047
550.00,0.047
551.00,0.047
552.00,0.046
553.00,0.046
554.00,0.046
555.00,0.046
556.00,0.046
557.00,0.046
558.00,0.046
559.00,0.046
560.00,0.046
561.00,0.046
562.00,0.046
563.00,0.046
564.00,0.046
565.00,0.046
566.00,0.046
567.00,0.046
568.00,0.046
569.00,0.045
570.00,0.045
571.00,0.045
572.00,0.045
573.00,0.045
574.00,0.045
575.00,0.045
576.00,0.045
577.00,0.045
578.00,0.045
579.00,0.045
580.00,0.045
581.00,0.045
582.00,0.045
583.00,0.045
584.00,0.045
585.00,0.045
586.00,0.045
587.00,0.045
588.00,0.045
589.00,0.045
590.00,0.045
591.00,0.045
592.00,0.045
593.00,0.045
594.00,0.044
595.00,0.045
596.00,0.044
597.00,0.044
598.00,0.044
599.00,0.044
600.00,0.044
601.00,0.044
602.00,0.044
603.00,0.044
604.00,0.044
605.00,0.044
606.00,0.044
607.00,0.044
608.00,0.044
609.00,0.044
610.00,0.044
611.00,0.044
612.00,0.044
613.00,0.044
614.00,0.044
615.00,0.044
616.00,0.044
617.00,0.044
618.00,0.044
619.00,0.044
620.00,0.044
621.00,0.044
622.00,0.044
623.00,0.043
624.00,0.044
625.00,0.044
626.00,0.043
627.00,0.043
628.00,0.043
629.00,0.043
630.00,0.043
631.00,0.043
632.00,0.043
633.00,0.043
634.00,0.043
635.00,0.043
636.00,0.043
637.00,0.043
638.00,0.043
639.00,0.043
640.00,0.043
641.00,0.043
642.00,0.043
643.00,0.043
644.00,0.043
645.00,0.043
646.00,0.043
647.00,0.043
648.00,0.043
649.00,0.043
650.00,0.043
651.00,0.043
652.00,0.043
653.00,0.043
654.00,0.043
655.00,0.043
656.00,0.043
657.00,0.043
658.00,0.043
659.00,0.043
660.00,0.043
661.00,0.043
662.00,0.043
663.00,0.043
664.00,0.043
665.00,0.043
666.00,0.043
667.00,0.043
668.00,0.043
669.00,0.043
670.00,0.043
671.00,0.042
672.00,0.042
673.00,0.042
674.00,0.042
675.00,0.042
676.00,0.042
677.00,0.042
678.00,0.042
679.00,0.042
680.00,0.042
681.00,0.042
682.00,0.042
683.00,0.042
684.00,0.042
685.00,0.042
686.00,0.042
687.00,0.042
688.00,0.042
689.00,0.042
690.00,0.042
691.00,0.042
692.00,0.042
693.00,0.042
694.00,0.042
695.00,0.042
696.00,0.042
697.00,0.042
698.00,0.042
699.00,0.042
700.00,0.043
701.00,0.042
702.00,0.042
703.00,0.043
704.00,0.043
705.00,0.043
706.00,0.043
707.00,0.043
708.00,0.043
709.00,0.043
710.00,0.043
711.00,0.043
712.00,0.043
713.00,0.043
714.00,0.044
715.00,0.044
716.00,0.044
717.00,0.044
718.00,0.044
719.00,0.044
720.00,0.045
721.00,0.045
722.00,0.045
723.00,0.045
724.00,0.046
725.00,0.046
726.00,0.046
727.00,0.046
728.00,0.047
729.00,0.047
730.00,0.048
731.00,0.048
732.00,0.049
733.00,0.049
734.00,0.049
735.00,0.050
736.00,0.050
737.00,0.050
738.00,0.051
739.00,0.051
740.00,0.051
741.00,0.051
742.00,0.051
743.00,0.051
744.00,0.051
745.00,0.051
746.00,0.051
747.00,0.051
748.00,0.051
749.00,0.051
750.00,0.051
751.00,0.051
752.00,0.051
753.00,0.051
754.00,0.051
755.00,0.051
756.00,0.051
757.00,0.051
758.00,0.051
759.00,0.051
760.00,0.051
761.00,0.051
762.00,0.050
763.00,0.050
764.00,0.050
765.00,0.050
766.00,0.050
767.00,0.050
768.00,0.050
769.00,0.050
770.00,0.050
771.00,0.050
772.00,0.050
773.00,0.050
774.00,0.050
775.00,0.050
776.00,0.050
777.00,0.050
778.00,0.049
779.00,0.049
780.00,0.049
781.00,0.049
782.00,0.049
