"PhilipsLongboat_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.992
191.00,2.959
192.00,3.047
193.00,3.357
194.00,3.579
195.00,3.304
196.00,3.463
197.00,3.580
198.00,3.489
199.00,3.719
200.00,3.729
201.00,3.568
202.00,3.639
203.00,3.768
204.00,3.532
205.00,3.548
206.00,3.619
207.00,3.560
208.00,3.509
209.00,3.431
210.00,3.303
211.00,3.205
212.00,3.104
213.00,3.003
214.00,2.912
215.00,2.822
216.00,2.733
217.00,2.622
218.00,2.528
219.00,2.444
220.00,2.348
221.00,2.265
222.00,2.180
223.00,2.103
224.00,2.024
225.00,1.946
226.00,1.871
227.00,1.794
228.00,1.719
229.00,1.650
230.00,1.583
231.00,1.521
232.00,1.464
233.00,1.410
234.00,1.362
235.00,1.319
236.00,1.280
237.00,1.245
238.00,1.214
239.00,1.186
240.00,1.162
241.00,1.141
242.00,1.125
243.00,1.112
244.00,1.102
245.00,1.094
246.00,1.089
247.00,1.084
248.00,1.082
249.00,1.081
250.00,1.081
251.00,1.082
252.00,1.083
253.00,1.085
254.00,1.088
255.00,1.091
256.00,1.094
257.00,1.097
258.00,1.099
259.00,1.100
260.00,1.103
261.00,1.104
262.00,1.106
263.00,1.107
264.00,1.110
265.00,1.112
266.00,1.113
267.00,1.114
268.00,1.113
269.00,1.112
270.00,1.109
271.00,1.106
272.00,1.102
273.00,1.097
274.00,1.090
275.00,1.083
276.00,1.075
277.00,1.066
278.00,1.054
279.00,1.042
280.00,1.030
281.00,1.016
282.00,1.003
283.00,0.986
284.00,0.969
285.00,0.951
286.00,0.934
287.00,0.914
288.00,0.895
289.00,0.876
290.00,0.854
291.00,0.834
292.00,0.815
293.00,0.797
294.00,0.780
295.00,0.764
296.00,0.750
297.00,0.737
298.00,0.723
299.00,0.710
300.00,0.698
301.00,0.686
302.00,0.676
303.00,0.665
304.00,0.656
305.00,0.647
306.00,0.639
307.00,0.631
308.00,0.623
309.00,0.615
310.00,0.608
311.00,0.601
312.00,0.594
313.00,0.588
314.00,0.582
315.00,0.577
316.00,0.571
317.00,0.565
318.00,0.559
319.00,0.554
320.00,0.548
321.00,0.542
322.00,0.536
323.00,0.530
324.00,0.524
325.00,0.518
326.00,0.511
327.00,0.505
328.00,0.498
329.00,0.491
330.00,0.484
331.00,0.478
332.00,0.471
333.00,0.464
334.00,0.457
335.00,0.451
336.00,0.445
337.00,0.438
338.00,0.432
339.00,0.425
340.00,0.419
341.00,0.411
342.00,0.404
343.00,0.398
344.00,0.392
345.00,0.386
346.00,0.381
347.00,0.375
348.00,0.370
349.00,0.364
350.00,0.358
351.00,0.353
352.00,0.348
353.00,0.344
354.00,0.339
355.00,0.334
356.00,0.330
357.00,0.325
358.00,0.321
359.00,0.316
360.00,0.313
361.00,0.308
362.00,0.305
363.00,0.301
364.00,0.298
365.00,0.294
366.00,0.290
367.00,0.287
368.00,0.284
369.00,0.281
370.00,0.278
371.00,0.275
372.00,0.272
373.00,0.269
374.00,0.266
375.00,0.263
376.00,0.260
377.00,0.257
378.00,0.255
379.00,0.252
380.00,0.249
381.00,0.247
382.00,0.244
383.00,0.242
384.00,0.239
385.00,0.237
386.00,0.235
387.00,0.233
388.00,0.230
389.00,0.228
390.00,0.226
391.00,0.224
392.00,0.222
393.00,0.220
394.00,0.218
395.00,0.216
396.00,0.214
397.00,0.212
398.00,0.210
399.00,0.209
400.00,0.207
401.00,0.205
402.00,0.203
403.00,0.202
404.00,0.200
405.00,0.198
406.00,0.197
407.00,0.195
408.00,0.193
409.00,0.192
410.00,0.190
411.00,0.189
412.00,0.187
413.00,0.185
414.00,0.184
415.00,0.182
416.00,0.181
417.00,0.180
418.00,0.179
419.00,0.177
420.00,0.176
421.00,0.174
422.00,0.173
423.00,0.172
424.00,0.170
425.00,0.169
426.00,0.167
427.00,0.166
428.00,0.165
429.00,0.164
430.00,0.162
431.00,0.161
432.00,0.160
433.00,0.159
434.00,0.157
435.00,0.156
436.00,0.155
437.00,0.154
438.00,0.153
439.00,0.152
440.00,0.150
441.00,0.149
442.00,0.148
443.00,0.147
444.00,0.146
445.00,0.145
446.00,0.144
447.00,0.143
448.00,0.142
449.00,0.141
450.00,0.140
451.00,0.139
452.00,0.138
453.00,0.137
454.00,0.136
455.00,0.135
456.00,0.134
457.00,0.133
458.00,0.132
459.00,0.131
460.00,0.131
461.00,0.130
462.00,0.129
463.00,0.128
464.00,0.127
465.00,0.126
466.00,0.125
467.00,0.124
468.00,0.124
469.00,0.123
470.00,0.122
471.00,0.121
472.00,0.120
473.00,0.120
474.00,0.119
475.00,0.118
476.00,0.117
477.00,0.116
478.00,0.116
479.00,0.115
480.00,0.114
481.00,0.113
482.00,0.113
483.00,0.112
484.00,0.111
485.00,0.110
486.00,0.110
487.00,0.109
488.00,0.108
489.00,0.108
490.00,0.107
491.00,0.106
492.00,0.106
493.00,0.105
494.00,0.105
495.00,0.104
496.00,0.103
497.00,0.103
498.00,0.102
499.00,0.101
500.00,0.101
501.00,0.100
502.00,0.100
503.00,0.099
504.00,0.099
505.00,0.098
506.00,0.097
507.00,0.097
508.00,0.096
509.00,0.096
510.00,0.095
511.00,0.095
512.00,0.094
513.00,0.094
514.00,0.093
515.00,0.093
516.00,0.092
517.00,0.092
518.00,0.091
519.00,0.091
520.00,0.090
521.00,0.090
522.00,0.089
523.00,0.089
524.00,0.088
525.00,0.088
526.00,0.087
527.00,0.087
528.00,0.086
529.00,0.086
530.00,0.085
531.00,0.085
532.00,0.085
533.00,0.084
534.00,0.084
535.00,0.083
536.00,0.083
537.00,0.082
538.00,0.082
539.00,0.081
540.00,0.081
541.00,0.081
542.00,0.080
543.00,0.080
544.00,0.079
545.00,0.079
546.00,0.079
547.00,0.078
548.00,0.078
549.00,0.077
550.00,0.077
551.00,0.077
552.00,0.076
553.00,0.076
554.00,0.076
555.00,0.075
556.00,0.075
557.00,0.075
558.00,0.074
559.00,0.074
560.00,0.074
561.00,0.073
562.00,0.073
563.00,0.073
564.00,0.072
565.00,0.072
566.00,0.072
567.00,0.071
568.00,0.071
569.00,0.071
570.00,0.071
571.00,0.070
572.00,0.070
573.00,0.070
574.00,0.069
575.00,0.069
576.00,0.069
577.00,0.069
578.00,0.068
579.00,0.068
580.00,0.068
581.00,0.068
582.00,0.067
583.00,0.067
584.00,0.067
585.00,0.067
586.00,0.066
587.00,0.066
588.00,0.066
589.00,0.066
590.00,0.065
591.00,0.065
592.00,0.065
593.00,0.065
594.00,0.065
595.00,0.064
596.00,0.064
597.00,0.064
598.00,0.064
599.00,0.064
600.00,0.064
601.00,0.063
602.00,0.063
603.00,0.063
604.00,0.063
605.00,0.063
606.00,0.062
607.00,0.062
608.00,0.062
609.00,0.062
610.00,0.062
611.00,0.061
612.00,0.061
613.00,0.061
614.00,0.061
615.00,0.061
616.00,0.060
617.00,0.060
618.00,0.060
619.00,0.060
620.00,0.060
621.00,0.060
622.00,0.059
623.00,0.059
624.00,0.059
625.00,0.059
626.00,0.059
627.00,0.058
628.00,0.058
629.00,0.058
630.00,0.058
631.00,0.058
632.00,0.058
633.00,0.057
634.00,0.057
635.00,0.057
636.00,0.057
637.00,0.057
638.00,0.057
639.00,0.056
640.00,0.056
641.00,0.056
642.00,0.056
643.00,0.056
644.00,0.056
645.00,0.056
646.00,0.056
647.00,0.055
648.00,0.055
649.00,0.055
650.00,0.055
651.00,0.055
652.00,0.055
653.00,0.055
654.00,0.055
655.00,0.054
656.00,0.054
657.00,0.054
658.00,0.054
659.00,0.054
660.00,0.054
661.00,0.054
662.00,0.054
663.00,0.054
664.00,0.053
665.00,0.053
666.00,0.053
667.00,0.053
668.00,0.053
669.00,0.053
670.00,0.053
671.00,0.053
672.00,0.053
673.00,0.052
674.00,0.052
675.00,0.052
676.00,0.052
677.00,0.052
678.00,0.052
679.00,0.052
680.00,0.052
681.00,0.052
682.00,0.052
683.00,0.051
684.00,0.051
685.00,0.051
686.00,0.051
687.00,0.051
688.00,0.051
689.00,0.051
690.00,0.051
691.00,0.051
692.00,0.051
693.00,0.051
694.00,0.051
695.00,0.051
696.00,0.051
697.00,0.050
698.00,0.050
699.00,0.050
700.00,0.050
701.00,0.050
702.00,0.050
703.00,0.050
704.00,0.050
705.00,0.050
706.00,0.050
707.00,0.050
708.00,0.050
709.00,0.050
710.00,0.050
711.00,0.050
712.00,0.051
713.00,0.051
714.00,0.051
715.00,0.051
716.00,0.051
717.00,0.051
718.00,0.051
719.00,0.051
720.00,0.051
721.00,0.052
722.00,0.052
723.00,0.052
724.00,0.052
725.00,0.052
726.00,0.052
727.00,0.053
728.00,0.053
729.00,0.053
730.00,0.054
731.00,0.054
732.00,0.055
733.00,0.055
734.00,0.055
735.00,0.056
736.00,0.056
737.00,0.056
738.00,0.056
739.00,0.056
740.00,0.056
741.00,0.056
742.00,0.056
743.00,0.056
744.00,0.056
745.00,0.056
746.00,0.056
747.00,0.056
748.00,0.056
749.00,0.056
750.00,0.056
751.00,0.056
752.00,0.056
753.00,0.056
754.00,0.056
755.00,0.056
756.00,0.056
757.00,0.055
758.00,0.055
759.00,0.055
760.00,0.056
761.00,0.055
762.00,0.055
763.00,0.055
764.00,0.055
765.00,0.055
766.00,0.055
