"PhillipsBlueBuck50x - RawData"
"Wavelength nm.","Abs."
190.00,2.860
191.00,3.087
192.00,3.355
193.00,3.268
194.00,3.205
195.00,3.522
196.00,3.450
197.00,3.410
198.00,3.433
199.00,3.741
200.00,3.467
201.00,3.431
202.00,3.513
203.00,3.523
204.00,3.513
205.00,3.426
206.00,3.444
207.00,3.332
208.00,3.197
209.00,3.197
210.00,3.049
211.00,3.004
212.00,2.886
213.00,2.737
214.00,2.633
215.00,2.533
216.00,2.424
217.00,2.318
218.00,2.218
219.00,2.115
220.00,2.014
221.00,1.917
222.00,1.831
223.00,1.741
224.00,1.652
225.00,1.566
226.00,1.482
227.00,1.397
228.00,1.315
229.00,1.240
230.00,1.169
231.00,1.105
232.00,1.047
233.00,0.996
234.00,0.952
235.00,0.914
236.00,0.881
237.00,0.853
238.00,0.830
239.00,0.810
240.00,0.794
241.00,0.782
242.00,0.774
243.00,0.768
244.00,0.765
245.00,0.763
246.00,0.763
247.00,0.764
248.00,0.766
249.00,0.769
250.00,0.773
251.00,0.777
252.00,0.782
253.00,0.787
254.00,0.792
255.00,0.797
256.00,0.801
257.00,0.806
258.00,0.808
259.00,0.810
260.00,0.811
261.00,0.812
262.00,0.814
263.00,0.815
264.00,0.817
265.00,0.817
266.00,0.817
267.00,0.816
268.00,0.814
269.00,0.810
270.00,0.806
271.00,0.801
272.00,0.795
273.00,0.788
274.00,0.780
275.00,0.771
276.00,0.761
277.00,0.751
278.00,0.739
279.00,0.726
280.00,0.713
281.00,0.699
282.00,0.684
283.00,0.668
284.00,0.652
285.00,0.634
286.00,0.618
287.00,0.602
288.00,0.585
289.00,0.568
290.00,0.550
291.00,0.532
292.00,0.516
293.00,0.502
294.00,0.489
295.00,0.478
296.00,0.469
297.00,0.461
298.00,0.452
299.00,0.444
300.00,0.437
301.00,0.430
302.00,0.424
303.00,0.418
304.00,0.413
305.00,0.407
306.00,0.402
307.00,0.396
308.00,0.391
309.00,0.386
310.00,0.381
311.00,0.377
312.00,0.372
313.00,0.367
314.00,0.363
315.00,0.358
316.00,0.354
317.00,0.349
318.00,0.344
319.00,0.339
320.00,0.334
321.00,0.329
322.00,0.324
323.00,0.319
324.00,0.313
325.00,0.308
326.00,0.302
327.00,0.297
328.00,0.290
329.00,0.284
330.00,0.278
331.00,0.272
332.00,0.266
333.00,0.260
334.00,0.254
335.00,0.247
336.00,0.242
337.00,0.236
338.00,0.230
339.00,0.225
340.00,0.219
341.00,0.213
342.00,0.207
343.00,0.201
344.00,0.196
345.00,0.191
346.00,0.186
347.00,0.182
348.00,0.177
349.00,0.173
350.00,0.168
351.00,0.164
352.00,0.160
353.00,0.156
354.00,0.153
355.00,0.149
356.00,0.146
357.00,0.142
358.00,0.139
359.00,0.136
360.00,0.133
361.00,0.131
362.00,0.128
363.00,0.125
364.00,0.123
365.00,0.121
366.00,0.119
367.00,0.117
368.00,0.114
369.00,0.112
370.00,0.110
371.00,0.109
372.00,0.107
373.00,0.105
374.00,0.104
375.00,0.102
376.00,0.100
377.00,0.099
378.00,0.097
379.00,0.096
380.00,0.094
381.00,0.093
382.00,0.092
383.00,0.090
384.00,0.089
385.00,0.088
386.00,0.087
387.00,0.086
388.00,0.085
389.00,0.084
390.00,0.083
391.00,0.082
392.00,0.081
393.00,0.080
394.00,0.079
395.00,0.078
396.00,0.077
397.00,0.077
398.00,0.076
399.00,0.075
400.00,0.074
401.00,0.074
402.00,0.073
403.00,0.072
404.00,0.071
405.00,0.071
406.00,0.070
407.00,0.070
408.00,0.069
409.00,0.069
410.00,0.068
411.00,0.067
412.00,0.067
413.00,0.066
414.00,0.066
415.00,0.065
416.00,0.065
417.00,0.065
418.00,0.064
419.00,0.064
420.00,0.064
421.00,0.063
422.00,0.063
423.00,0.062
424.00,0.062
425.00,0.062
426.00,0.061
427.00,0.061
428.00,0.060
429.00,0.060
430.00,0.060
431.00,0.059
432.00,0.059
433.00,0.059
434.00,0.058
435.00,0.058
436.00,0.058
437.00,0.058
438.00,0.057
439.00,0.057
440.00,0.057
441.00,0.056
442.00,0.056
443.00,0.056
444.00,0.056
445.00,0.055
446.00,0.055
447.00,0.055
448.00,0.055
449.00,0.054
450.00,0.054
451.00,0.054
452.00,0.054
453.00,0.053
454.00,0.053
455.00,0.053
456.00,0.053
457.00,0.053
458.00,0.052
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.051
464.00,0.051
465.00,0.051
466.00,0.051
467.00,0.051
468.00,0.050
469.00,0.050
470.00,0.050
471.00,0.050
472.00,0.050
473.00,0.050
474.00,0.049
475.00,0.049
476.00,0.049
477.00,0.049
478.00,0.049
479.00,0.048
480.00,0.048
481.00,0.048
482.00,0.048
483.00,0.048
484.00,0.048
485.00,0.047
486.00,0.047
487.00,0.047
488.00,0.047
489.00,0.047
490.00,0.047
491.00,0.047
492.00,0.047
493.00,0.046
494.00,0.046
495.00,0.046
496.00,0.046
497.00,0.046
498.00,0.046
499.00,0.046
500.00,0.045
501.00,0.045
502.00,0.045
503.00,0.045
504.00,0.045
505.00,0.045
506.00,0.045
507.00,0.045
508.00,0.045
509.00,0.045
510.00,0.044
511.00,0.044
512.00,0.044
513.00,0.044
514.00,0.044
515.00,0.044
516.00,0.044
517.00,0.044
518.00,0.044
519.00,0.044
520.00,0.043
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.043
528.00,0.043
529.00,0.043
530.00,0.043
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.042
539.00,0.042
540.00,0.042
541.00,0.042
542.00,0.042
543.00,0.042
544.00,0.042
545.00,0.042
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.041
558.00,0.041
559.00,0.041
560.00,0.041
561.00,0.041
562.00,0.041
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.040
572.00,0.040
573.00,0.040
574.00,0.040
575.00,0.040
576.00,0.040
577.00,0.040
578.00,0.040
579.00,0.040
580.00,0.040
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.040
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.038
674.00,0.038
675.00,0.039
676.00,0.039
677.00,0.039
678.00,0.038
679.00,0.039
680.00,0.038
681.00,0.038
682.00,0.039
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.039
687.00,0.039
688.00,0.039
689.00,0.039
690.00,0.039
691.00,0.039
692.00,0.039
693.00,0.039
694.00,0.039
695.00,0.039
696.00,0.039
697.00,0.039
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.040
710.00,0.040
711.00,0.040
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.040
718.00,0.041
719.00,0.041
720.00,0.041
721.00,0.041
722.00,0.042
723.00,0.042
724.00,0.042
725.00,0.042
726.00,0.043
727.00,0.043
728.00,0.043
729.00,0.044
730.00,0.044
731.00,0.045
732.00,0.045
733.00,0.046
734.00,0.046
735.00,0.046
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.047
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.048
760.00,0.048
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.047
775.00,0.047
776.00,0.047
777.00,0.047
778.00,0.046
779.00,0.046
780.00,0.046
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.046
787.00,0.046
788.00,0.045
789.00,0.045
790.00,0.045
791.00,0.045
792.00,0.045
793.00,0.045
794.00,0.045
795.00,0.045
796.00,0.045
797.00,0.045
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.044
803.00,0.044
804.00,0.044
805.00,0.044
806.00,0.044
807.00,0.044
808.00,0.044
809.00,0.044
810.00,0.044
811.00,0.044
812.00,0.044
813.00,0.044
814.00,0.044
815.00,0.044
816.00,0.044
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.045
821.00,0.045
822.00,0.045
823.00,0.045
824.00,0.046
825.00,0.046
826.00,0.046
827.00,0.047
828.00,0.047
829.00,0.048
830.00,0.048
831.00,0.049
832.00,0.049
833.00,0.050
834.00,0.050
835.00,0.050
836.00,0.051
837.00,0.051
838.00,0.051
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.052
845.00,0.052
846.00,0.052
847.00,0.052
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.052
853.00,0.053
854.00,0.053
855.00,0.053
856.00,0.053
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.053
861.00,0.053
862.00,0.053
863.00,0.054
864.00,0.054
865.00,0.054
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.054
870.00,0.055
871.00,0.055
872.00,0.055
873.00,0.055
874.00,0.055
875.00,0.055
876.00,0.056
877.00,0.056
878.00,0.056
879.00,0.056
880.00,0.056
881.00,0.057
882.00,0.057
883.00,0.057
884.00,0.057
885.00,0.058
886.00,0.058
887.00,0.058
888.00,0.058
889.00,0.059
890.00,0.059
891.00,0.059
892.00,0.059
893.00,0.059
894.00,0.060
895.00,0.060
896.00,0.060
897.00,0.060
898.00,0.061
899.00,0.061
900.00,0.061
