"PhillipsElectricUniWhiteIPA_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.934
191.00,2.984
192.00,3.139
193.00,3.309
194.00,3.514
195.00,3.723
196.00,3.441
197.00,3.544
198.00,3.451
199.00,3.887
200.00,3.540
201.00,3.850
202.00,3.608
203.00,3.644
204.00,3.661
205.00,3.732
206.00,3.679
207.00,3.433
208.00,3.475
209.00,3.436
210.00,3.331
211.00,3.161
212.00,3.046
213.00,2.942
214.00,2.807
215.00,2.667
216.00,2.560
217.00,2.430
218.00,2.305
219.00,2.192
220.00,2.078
221.00,1.977
222.00,1.877
223.00,1.780
224.00,1.684
225.00,1.590
226.00,1.500
227.00,1.406
228.00,1.318
229.00,1.237
230.00,1.163
231.00,1.096
232.00,1.037
233.00,0.985
234.00,0.940
235.00,0.901
236.00,0.867
237.00,0.839
238.00,0.816
239.00,0.798
240.00,0.784
241.00,0.773
242.00,0.766
243.00,0.762
244.00,0.760
245.00,0.759
246.00,0.761
247.00,0.763
248.00,0.766
249.00,0.770
250.00,0.774
251.00,0.779
252.00,0.785
253.00,0.790
254.00,0.796
255.00,0.801
256.00,0.806
257.00,0.810
258.00,0.813
259.00,0.815
260.00,0.815
261.00,0.816
262.00,0.817
263.00,0.817
264.00,0.817
265.00,0.815
266.00,0.814
267.00,0.812
268.00,0.809
269.00,0.804
270.00,0.797
271.00,0.787
272.00,0.776
273.00,0.763
274.00,0.749
275.00,0.735
276.00,0.719
277.00,0.703
278.00,0.685
279.00,0.667
280.00,0.648
281.00,0.627
282.00,0.606
283.00,0.583
284.00,0.560
285.00,0.536
286.00,0.513
287.00,0.490
288.00,0.467
289.00,0.444
290.00,0.419
291.00,0.396
292.00,0.376
293.00,0.358
294.00,0.343
295.00,0.330
296.00,0.319
297.00,0.309
298.00,0.301
299.00,0.293
300.00,0.286
301.00,0.281
302.00,0.276
303.00,0.272
304.00,0.268
305.00,0.265
306.00,0.262
307.00,0.259
308.00,0.257
309.00,0.255
310.00,0.253
311.00,0.252
312.00,0.250
313.00,0.248
314.00,0.246
315.00,0.245
316.00,0.243
317.00,0.242
318.00,0.240
319.00,0.238
320.00,0.236
321.00,0.234
322.00,0.231
323.00,0.229
324.00,0.227
325.00,0.224
326.00,0.221
327.00,0.218
328.00,0.214
329.00,0.210
330.00,0.207
331.00,0.202
332.00,0.198
333.00,0.194
334.00,0.190
335.00,0.186
336.00,0.182
337.00,0.178
338.00,0.173
339.00,0.168
340.00,0.164
341.00,0.159
342.00,0.154
343.00,0.150
344.00,0.145
345.00,0.141
346.00,0.137
347.00,0.133
348.00,0.129
349.00,0.125
350.00,0.121
351.00,0.117
352.00,0.114
353.00,0.110
354.00,0.107
355.00,0.104
356.00,0.101
357.00,0.097
358.00,0.094
359.00,0.091
360.00,0.089
361.00,0.086
362.00,0.084
363.00,0.082
364.00,0.079
365.00,0.077
366.00,0.075
367.00,0.073
368.00,0.071
369.00,0.070
370.00,0.068
371.00,0.066
372.00,0.065
373.00,0.063
374.00,0.061
375.00,0.060
376.00,0.058
377.00,0.057
378.00,0.055
379.00,0.054
380.00,0.053
381.00,0.051
382.00,0.050
383.00,0.049
384.00,0.048
385.00,0.047
386.00,0.046
387.00,0.044
388.00,0.043
389.00,0.042
390.00,0.041
391.00,0.040
