"BonneAventurePit50x - RawData"
"Wavelength nm.","Abs."
190.00,3.645
191.00,3.871
192.00,3.795
193.00,3.936
194.00,3.954
195.00,3.896
196.00,3.930
197.00,3.979
198.00,3.938
199.00,3.895
200.00,3.908
201.00,3.975
202.00,4.000
203.00,3.957
204.00,3.964
205.00,3.882
206.00,3.945
207.00,3.954
208.00,3.925
209.00,3.807
210.00,3.824
211.00,3.861
212.00,3.663
213.00,3.521
214.00,3.385
215.00,3.298
216.00,3.172
217.00,3.021
218.00,2.910
219.00,2.767
220.00,2.652
221.00,2.535
222.00,2.434
223.00,2.330
224.00,2.219
225.00,2.121
226.00,2.018
227.00,1.915
228.00,1.814
229.00,1.720
230.00,1.631
231.00,1.549
232.00,1.475
233.00,1.407
234.00,1.347
235.00,1.295
236.00,1.250
237.00,1.211
238.00,1.178
239.00,1.149
240.00,1.126
241.00,1.108
242.00,1.096
243.00,1.089
244.00,1.085
245.00,1.083
246.00,1.084
247.00,1.087
248.00,1.092
249.00,1.097
250.00,1.103
251.00,1.111
252.00,1.118
253.00,1.126
254.00,1.134
255.00,1.142
256.00,1.151
257.00,1.158
258.00,1.162
259.00,1.166
260.00,1.169
261.00,1.171
262.00,1.174
263.00,1.178
264.00,1.180
265.00,1.180
266.00,1.181
267.00,1.180
268.00,1.178
269.00,1.174
270.00,1.169
271.00,1.163
272.00,1.157
273.00,1.149
274.00,1.141
275.00,1.130
276.00,1.119
277.00,1.107
278.00,1.093
279.00,1.078
280.00,1.063
281.00,1.049
282.00,1.033
283.00,1.015
284.00,0.997
285.00,0.977
286.00,0.959
287.00,0.941
288.00,0.923
289.00,0.904
290.00,0.883
291.00,0.863
292.00,0.845
293.00,0.828
294.00,0.813
295.00,0.799
296.00,0.786
297.00,0.775
298.00,0.763
299.00,0.752
300.00,0.741
301.00,0.730
302.00,0.719
303.00,0.709
304.00,0.698
305.00,0.688
306.00,0.677
307.00,0.667
308.00,0.656
309.00,0.645
310.00,0.635
311.00,0.625
312.00,0.614
313.00,0.604
314.00,0.594
315.00,0.585
316.00,0.575
317.00,0.565
318.00,0.556
319.00,0.546
320.00,0.536
321.00,0.526
322.00,0.516
323.00,0.507
324.00,0.498
325.00,0.487
326.00,0.478
327.00,0.468
328.00,0.458
329.00,0.449
330.00,0.439
331.00,0.430
332.00,0.421
333.00,0.412
334.00,0.403
335.00,0.395
336.00,0.387
337.00,0.379
338.00,0.370
339.00,0.362
340.00,0.355
341.00,0.346
342.00,0.338
343.00,0.331
344.00,0.324
345.00,0.317
346.00,0.311
347.00,0.304
348.00,0.298
349.00,0.292
350.00,0.286
351.00,0.280
352.00,0.275
353.00,0.269
354.00,0.264
355.00,0.259
