"PitCaribouLessep50x - RawData"
"Wavelength nm.","Abs."
190.00,3.303
191.00,2.867
192.00,2.993
193.00,3.242
194.00,3.217
195.00,3.201
196.00,3.317
197.00,3.251
198.00,3.197
199.00,3.218
200.00,3.201
201.00,3.363
202.00,3.390
203.00,3.256
204.00,3.217
205.00,3.133
206.00,2.999
207.00,2.894
208.00,2.772
209.00,2.675
210.00,2.558
211.00,2.456
212.00,2.351
213.00,2.242
214.00,2.146
215.00,2.057
216.00,1.969
217.00,1.885
218.00,1.805
219.00,1.722
220.00,1.644
221.00,1.572
222.00,1.501
223.00,1.431
224.00,1.360
225.00,1.291
226.00,1.219
227.00,1.148
228.00,1.078
229.00,1.015
230.00,0.957
231.00,0.905
232.00,0.858
233.00,0.817
234.00,0.781
235.00,0.750
236.00,0.722
237.00,0.700
238.00,0.681
239.00,0.665
240.00,0.653
241.00,0.643
242.00,0.636
243.00,0.631
244.00,0.628
245.00,0.625
246.00,0.624
247.00,0.625
248.00,0.625
249.00,0.626
250.00,0.628
251.00,0.630
252.00,0.632
253.00,0.634
254.00,0.637
255.00,0.639
256.00,0.641
257.00,0.643
258.00,0.644
259.00,0.644
260.00,0.644
261.00,0.644
262.00,0.644
263.00,0.644
264.00,0.644
265.00,0.643
266.00,0.642
267.00,0.641
268.00,0.639
269.00,0.636
270.00,0.633
271.00,0.628
272.00,0.622
273.00,0.615
274.00,0.608
275.00,0.600
276.00,0.591
277.00,0.582
278.00,0.572
279.00,0.561
280.00,0.551
281.00,0.539
282.00,0.526
283.00,0.512
284.00,0.498
285.00,0.483
286.00,0.469
287.00,0.455
288.00,0.441
289.00,0.426
290.00,0.410
291.00,0.395
292.00,0.381
293.00,0.369
294.00,0.359
295.00,0.350
296.00,0.342
297.00,0.335
298.00,0.328
299.00,0.323
300.00,0.317
301.00,0.313
302.00,0.308
303.00,0.305
304.00,0.301
305.00,0.298
306.00,0.294
307.00,0.291
308.00,0.289
309.00,0.286
310.00,0.284
311.00,0.282
312.00,0.279
313.00,0.277
314.00,0.275
315.00,0.272
316.00,0.270
317.00,0.268
318.00,0.266
319.00,0.263
320.00,0.261
321.00,0.259
322.00,0.256
323.00,0.253
324.00,0.250
325.00,0.248
326.00,0.244
327.00,0.241
328.00,0.238
329.00,0.234
330.00,0.230
331.00,0.227
332.00,0.223
333.00,0.219
334.00,0.215
335.00,0.212
336.00,0.208
337.00,0.205
338.00,0.201
339.00,0.197
340.00,0.194
341.00,0.188
342.00,0.185
343.00,0.181
344.00,0.178
345.00,0.174
346.00,0.171
347.00,0.168
348.00,0.164
349.00,0.161
350.00,0.158
351.00,0.155
352.00,0.152
353.00,0.150
354.00,0.147
355.00,0.144
356.00,0.142
357.00,0.139
358.00,0.137
359.00,0.134
360.00,0.132
361.00,0.129
362.00,0.128
363.00,0.126
364.00,0.124
365.00,0.122
366.00,0.120
367.00,0.118
368.00,0.116
369.00,0.114
370.00,0.113
371.00,0.111
372.00,0.110
373.00,0.108
374.00,0.106
375.00,0.105
376.00,0.103
377.00,0.102
378.00,0.100
379.00,0.099
380.00,0.097
381.00,0.096
382.00,0.095
383.00,0.094
384.00,0.092
385.00,0.091
386.00,0.090
387.00,0.089
388.00,0.088
389.00,0.087
390.00,0.086
391.00,0.085
392.00,0.084
393.00,0.083
394.00,0.082
395.00,0.081
396.00,0.080
397.00,0.080
398.00,0.079
399.00,0.078
400.00,0.078
401.00,0.077
402.00,0.076
403.00,0.075
404.00,0.075
405.00,0.074
406.00,0.074
407.00,0.073
408.00,0.073
409.00,0.072
410.00,0.072
411.00,0.071
412.00,0.071
413.00,0.070
414.00,0.070
415.00,0.070
416.00,0.069
417.00,0.069
418.00,0.069
419.00,0.069
420.00,0.068
421.00,0.068
422.00,0.068
423.00,0.068
424.00,0.067
425.00,0.067
426.00,0.067
427.00,0.066
428.00,0.066
429.00,0.066
430.00,0.066
431.00,0.065
432.00,0.065
433.00,0.065
434.00,0.065
435.00,0.065
436.00,0.064
437.00,0.064
438.00,0.064
439.00,0.064
440.00,0.064
441.00,0.064
442.00,0.063
443.00,0.063
444.00,0.063
445.00,0.063
446.00,0.063
447.00,0.063
448.00,0.062
449.00,0.062
450.00,0.062
451.00,0.062
452.00,0.062
453.00,0.062
454.00,0.062
455.00,0.061
456.00,0.061
457.00,0.061
458.00,0.061
459.00,0.061
460.00,0.061
461.00,0.061
462.00,0.061
463.00,0.060
464.00,0.060
465.00,0.060
466.00,0.060
467.00,0.060
468.00,0.060
469.00,0.060
470.00,0.060
471.00,0.060
472.00,0.059
473.00,0.059
474.00,0.059
475.00,0.059
476.00,0.059
477.00,0.059
478.00,0.059
479.00,0.059
480.00,0.058
481.00,0.058
482.00,0.058
483.00,0.058
484.00,0.058
485.00,0.058
486.00,0.058
487.00,0.058
488.00,0.058
489.00,0.058
490.00,0.058
491.00,0.057
492.00,0.057
493.00,0.057
494.00,0.057
495.00,0.057
496.00,0.057
497.00,0.057
498.00,0.057
499.00,0.057
500.00,0.057
501.00,0.056
502.00,0.056
503.00,0.056
504.00,0.056
505.00,0.056
506.00,0.056
507.00,0.056
508.00,0.056
509.00,0.056
510.00,0.056
511.00,0.056
512.00,0.056
513.00,0.056
514.00,0.055
515.00,0.055
516.00,0.055
517.00,0.055
518.00,0.055
519.00,0.055
520.00,0.055
521.00,0.055
522.00,0.055
523.00,0.055
524.00,0.055
525.00,0.055
526.00,0.055
527.00,0.054
528.00,0.054
529.00,0.054
530.00,0.054
531.00,0.054
532.00,0.054
533.00,0.054
534.00,0.054
535.00,0.054
536.00,0.054
537.00,0.054
538.00,0.053
539.00,0.053
540.00,0.053
541.00,0.053
542.00,0.053
543.00,0.053
544.00,0.053
545.00,0.053
546.00,0.053
547.00,0.053
548.00,0.053
549.00,0.053
550.00,0.053
551.00,0.053
552.00,0.053
553.00,0.053
554.00,0.053
555.00,0.052
556.00,0.052
557.00,0.052
558.00,0.052
559.00,0.052
560.00,0.052
561.00,0.052
562.00,0.052
563.00,0.052
564.00,0.052
565.00,0.052
566.00,0.052
567.00,0.052
568.00,0.052
569.00,0.052
570.00,0.052
571.00,0.052
572.00,0.052
573.00,0.052
574.00,0.052
575.00,0.052
576.00,0.051
577.00,0.051
578.00,0.051
579.00,0.051
580.00,0.051
581.00,0.051
582.00,0.051
583.00,0.051
584.00,0.051
585.00,0.051
586.00,0.051
587.00,0.051
588.00,0.051
589.00,0.051
590.00,0.051
591.00,0.051
592.00,0.051
593.00,0.051
594.00,0.051
595.00,0.051
596.00,0.051
597.00,0.051
598.00,0.051
599.00,0.051
600.00,0.051
601.00,0.051
602.00,0.051
603.00,0.051
604.00,0.051
605.00,0.051
606.00,0.051
607.00,0.051
608.00,0.051
609.00,0.051
610.00,0.051
611.00,0.051
612.00,0.051
613.00,0.051
614.00,0.051
615.00,0.051
616.00,0.050
617.00,0.050
618.00,0.050
619.00,0.050
620.00,0.050
621.00,0.050
622.00,0.050
623.00,0.050
624.00,0.050
625.00,0.050
626.00,0.050
627.00,0.050
628.00,0.050
629.00,0.050
630.00,0.050
631.00,0.050
632.00,0.050
633.00,0.050
634.00,0.050
635.00,0.050
636.00,0.050
637.00,0.050
638.00,0.050
639.00,0.050
640.00,0.050
641.00,0.050
642.00,0.050
643.00,0.050
644.00,0.050
645.00,0.050
646.00,0.050
647.00,0.049
648.00,0.050
649.00,0.049
650.00,0.049
651.00,0.049
652.00,0.049
653.00,0.049
654.00,0.049
655.00,0.049
656.00,0.049
657.00,0.049
658.00,0.049
659.00,0.049
660.00,0.049
661.00,0.049
662.00,0.049
663.00,0.049
664.00,0.049
665.00,0.049
666.00,0.049
667.00,0.049
668.00,0.049
669.00,0.049
670.00,0.049
671.00,0.049
672.00,0.049
673.00,0.049
674.00,0.049
675.00,0.049
676.00,0.049
677.00,0.049
678.00,0.049
679.00,0.049
680.00,0.049
681.00,0.049
682.00,0.049
683.00,0.049
684.00,0.049
685.00,0.049
686.00,0.049
687.00,0.049
688.00,0.049
689.00,0.049
690.00,0.049
691.00,0.049
692.00,0.049
693.00,0.049
694.00,0.049
695.00,0.049
696.00,0.049
697.00,0.049
698.00,0.049
699.00,0.049
700.00,0.049
701.00,0.049
702.00,0.049
703.00,0.049
704.00,0.049
705.00,0.049
706.00,0.049
707.00,0.049
708.00,0.049
709.00,0.050
710.00,0.050
711.00,0.050
712.00,0.050
713.00,0.050
714.00,0.050
715.00,0.050
716.00,0.050
717.00,0.051
718.00,0.051
719.00,0.051
720.00,0.051
721.00,0.051
722.00,0.052
723.00,0.052
724.00,0.052
725.00,0.052
726.00,0.052
727.00,0.053
728.00,0.053
729.00,0.054
730.00,0.054
731.00,0.055
732.00,0.055
733.00,0.056
734.00,0.056
735.00,0.056
736.00,0.057
737.00,0.057
738.00,0.057
739.00,0.057
740.00,0.057
741.00,0.057
742.00,0.057
743.00,0.057
744.00,0.057
745.00,0.057
746.00,0.057
747.00,0.057
748.00,0.057
749.00,0.057
750.00,0.057
751.00,0.057
752.00,0.057
753.00,0.057
754.00,0.057
755.00,0.057
756.00,0.057
757.00,0.057
758.00,0.057
759.00,0.057
760.00,0.057
761.00,0.057
762.00,0.057
763.00,0.057
764.00,0.057
765.00,0.057
766.00,0.057
767.00,0.057
768.00,0.057
769.00,0.057
770.00,0.056
771.00,0.056
772.00,0.056
773.00,0.056
774.00,0.056
775.00,0.056
776.00,0.056
777.00,0.056
778.00,0.056
779.00,0.056
780.00,0.056
781.00,0.055
782.00,0.055
783.00,0.055
784.00,0.055
785.00,0.055
786.00,0.055
787.00,0.055
788.00,0.055
789.00,0.055
790.00,0.055
791.00,0.054
792.00,0.054
793.00,0.054
794.00,0.054
795.00,0.054
796.00,0.054
797.00,0.054
798.00,0.054
799.00,0.053
800.00,0.053
801.00,0.053
802.00,0.053
803.00,0.053
804.00,0.053
805.00,0.053
806.00,0.053
807.00,0.053
808.00,0.053
809.00,0.053
810.00,0.053
811.00,0.053
812.00,0.053
813.00,0.053
814.00,0.053
815.00,0.053
816.00,0.053
817.00,0.053
818.00,0.053
819.00,0.053
820.00,0.054
821.00,0.054
822.00,0.054
823.00,0.054
824.00,0.054
825.00,0.055
826.00,0.055
827.00,0.056
828.00,0.056
829.00,0.057
830.00,0.057
831.00,0.058
832.00,0.058
833.00,0.059
834.00,0.059
835.00,0.059
836.00,0.059
837.00,0.060
838.00,0.060
839.00,0.060
840.00,0.060
841.00,0.060
842.00,0.060
843.00,0.060
844.00,0.060
845.00,0.060
846.00,0.061
847.00,0.061
848.00,0.061
849.00,0.061
850.00,0.061
851.00,0.061
852.00,0.061
853.00,0.061
854.00,0.061
855.00,0.061
856.00,0.062
857.00,0.062
858.00,0.062
859.00,0.062
860.00,0.062
861.00,0.062
862.00,0.062
863.00,0.062
864.00,0.062
865.00,0.063
866.00,0.063
867.00,0.063
868.00,0.063
869.00,0.063
870.00,0.063
871.00,0.063
872.00,0.063
873.00,0.064
874.00,0.064
875.00,0.064
876.00,0.064
877.00,0.064
878.00,0.065
879.00,0.065
880.00,0.065
881.00,0.065
882.00,0.065
883.00,0.066
884.00,0.066
885.00,0.066
886.00,0.066
887.00,0.066
888.00,0.067
889.00,0.067
890.00,0.067
891.00,0.067
892.00,0.068
893.00,0.068
894.00,0.068
895.00,0.068
896.00,0.069
897.00,0.069
898.00,0.069
899.00,0.069
900.00,0.069
